energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Cu_p_up,Cu_p_down,Cu_d_up,Cu_d_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,S_s_up,S_s_down,S_p_up,S_p_down
-6.00000000,1.68419698,-1.51293163,0.03241483,-0.02778386,0.08375467,-0.07454667,0.52667402,-0.48760874,0.38047773,-0.34226686,0.19395685,-0.18554128,0.24442347,-0.20442247,0.03237018,-0.02859649,0.73256272,-0.66329033
-5.99399700,1.72177163,-1.55856135,0.03328334,-0.02885278,0.08609683,-0.07625989,0.53481268,-0.49883357,0.38916866,-0.35356272,0.19800781,-0.18630412,0.25146449,-0.21355661,0.03342410,-0.02988661,0.74716374,-0.68222959
-5.98799400,1.75453081,-1.60466742,0.03403920,-0.02993847,0.08844893,-0.07833949,0.54140059,-0.50995451,0.39660601,-0.36474818,0.20267502,-0.18844801,0.25750158,-0.22252196,0.03434612,-0.03114111,0.75948211,-0.70106227
-5.98199100,1.78131463,-1.64967741,0.03465608,-0.03100952,0.09072748,-0.08068639,0.54613081,-0.52052082,0.40254465,-0.37548202,0.20776531,-0.19174253,0.26236907,-0.23109639,0.03511133,-0.03232914,0.76904431,-0.71912630
-5.97598799,1.80116476,-1.69206955,0.03511122,-0.03203398,0.09285848,-0.08320247,0.54875967,-0.53010309,0.40678489,-0.38543423,0.21310513,-0.19596110,0.26593104,-0.23906348,0.03569870,-0.03342033,0.77546561,-0.73578546
-5.96998499,1.81335169,-1.73041968,0.03538628,-0.03298039,0.09477882,-0.08579305,0.54911383,-0.53830713,0.40917880,-0.39429663,0.21854261,-0.20088647,0.26808561,-0.24621907,0.03609188,-0.03438593,0.77846136,-0.75044948
-5.96398199,1.81739376,-1.76344462,0.03546794,-0.03381882,0.09643728,-0.08836915,0.54709476,-0.54478655,0.40963481,-0.40179278,0.22394862,-0.20631523,0.26876809,-0.25237744,0.03627986,-0.03519981,0.77785472,-0.76259245
-5.95797899,1.81306737,-1.79004033,0.03534837,-0.03452194,0.09779512,-0.09084951,0.54268057,-0.54925349,0.40812025,-0.40768678,0.22921672,-0.21206135,0.26795292,-0.25737703,0.03625739,-0.03583945,0.77358048,-0.77176895
-5.95197599,1.80040829,-1.80931376,0.03502552,-0.03506589,0.09882609,-0.09316223,0.53592517,-0.55148713,0.40466196,-0.41179081,0.23426232,-0.21795865,0.26565423,-0.26108549,0.03602527,-0.03628682,0.76568520,-0.77762721
-5.94597299,1.77970414,-1.82060712,0.03450315,-0.03543115,0.09951616,-0.09524605,0.52695497,-0.55133974,0.39934477,-0.41397093,0.23902108,-0.22386239,0.26192510,-0.26340372,0.03559032,-0.03652902,0.75432347,-0.77991907
