energy_ev,total_up,C_s_up,C_p_up,Mn_p_up,Mn_d_up,S_s_up,S_p_up,Zn_p_up,Zn_d_up
-6.00000000,6.91460602,0.12005318,0.06304118,0.30911971,0.20508902,0.03941614,0.84998787,0.51705553,4.61238633
-5.99399700,6.72128257,0.12302078,0.06330091,0.32404712,0.20925725,0.03980809,0.87144674,0.52914099,4.39129632
-5.98799400,6.55086023,0.12582457,0.06346217,0.34049943,0.21395153,0.04018678,0.89545865,0.54135681,4.18868427
-5.98199100,6.40159976,0.12843230,0.06352358,0.35837855,0.21915945,0.04055467,0.92195437,0.55359594,4.00304965
-5.97598799,6.27157256,0.13081128,0.06348427,0.37753906,0.22485068,0.04091354,0.95078141,0.56573293,3.83284173
-5.96998499,6.15870703,0.13292898,0.06334401,0.39778896,0.23097638,0.04126428,0.98170229,0.57762468,3.67650550
-5.96398199,6.06083095,0.13475365,0.06310321,0.41889227,0.23746941,0.04160681,1.01439578,0.58911187,3.53251914
-5.95797899,5.97571081,0.13625491,0.06276304,0.44057342,0.24424515,0.04194001,1.04846155,0.60002112,3.39942325
-5.95197599,5.90108895,0.13740446,0.06232536,0.46252345,0.25120324,0.04226169,1.08342842,0.61016801,3.27584235
-5.94597299,5.83472006,0.13817672,0.06179281,0.48440808,0.25823004,0.04256874,1.11876630,0.61936098,3.16049977
-5.93996998,5.77440831,0.13854958,0.06116880,0.50587724,0.26520199,0.04285731,1.15390170,0.62740616,3.05222718
-5.93396698,5.71804628,0.13850514,0.06045761,0.52657607,0.27198970,0.04312311,1.18823668,0.63411297,2.94997021
-5.92796398,5.66365647,0.13803051,0.05966450,0.54615683,0.27846266,0.04336179,1.22117060,0.63930053,2.85279154
-5.92196098,5.60943569,0.13711857,0.05879583,0.56429138,0.28449448,0.04356946,1.25212418,0.64280463,2.75987276
-5.91595798,5.55380185,0.13576876,0.05785928,0.58068369,0.28996852,0.04374326,1.28056489,0.64448492,2.67051601
-5.90995498,5.49544207,0.13398781,0.05686410,0.59508189,0.29478353,0.04388190,1.30603267,0.64423225,2.58414594
-5.90395198,5.43336037,0.13179032,0.05582137,0.60728921,0.29885920,0.04398635,1.32816497,0.64197559,2.50031256
-5.89794897,5.36692273,0.12919923,0.05474431,0.61717334,0.30214129,0.04406043,1.34671974,0.63768829,2.41869460
-5.89194597,5.29589664,0.12624615,0.05364855,0.62467375,0.30460611,0.04411132,1.36159526,0.63139330,2.33910322
-5.88594297,5.22048249,0.12297135,0.05255236,0.62980640,0.30626405,0.04415008,1.37284568,0.62316694,2.26148515
-5.87993997,5.14133367,0.11942357,0.05147685,0.63266579,0.30716199,0.04419190,1.38069126,0.61314108,2.18592458
-5.87393697,5.05956305,0.11565950,0.05044607,0.63342398,0.30738442,0.04425627,1.38552260,0.60150326,2.11264259
-5.86793397,4.97673362,0.11174289,0.04948692,0.63232669,0.30705316,0.04436691,1.38789816,0.58849497,2.04199341
-5.86193097,4.89483197,0.10774351,0.04862904,0.62968662,0.30632559,0.04455147,1.38853516,0.57440770,1.97445644
-5.85592796,4.81622413,0.10373565,0.04790445,0.62587424,0.30539147,0.04484104,1.38829363,0.55957708,1.91062361
-5.84992496,4.74359421,0.09979648,0.04734705,0.62130651,0.30446843,0.04526940,1.38815433,0.54437531,1.85118168
-5.84392196,4.67986728,0.09600421,0.04699201,0.61643413,0.30379627,0.04587202,1.38919112,0.52920198,1.79688960
-5.83791896,4.62811887,0.09243610,0.04687497,0.61172779,0.30363037,0.04668495,1.39253895,0.51447382,1.74855123
-5.83191596,4.59147426,0.08916641,0.04703113,0.60766422,0.30423435,0.04774353,1.39935851,0.50061380,1.70698432
-5.82591296,4.57300135,0.08626442,0.04749428,0.60471258,0.30587241,0.04908096,1.41079924,0.48803982,1.67298673
-5.81990995,4.57560141,0.08379255,0.04829572,0.60332181,0.30880153,0.05072689,1.42796181,0.47715380,1.64730130
-5.81390695,4.60190215,0.08180461,0.04946319,0.60390943,0.31326390,0.05270600,1.45186186,0.46833125,1.63058074
-5.80790395,4.65415726,0.08034437,0.05101985,0.60685217,0.31947993,0.05503667,1.48339616,0.46191184,1.62335429
-5.80190095,4.73415678,0.07944440,0.05298330,0.61247858,0.32764180,0.05772984,1.52331250,0.45819136,1.62599758
-5.79589795,4.84315138,0.07912527,0.05536469,0.62106390,0.33790809,0.06078798,1.57218425,0.45741505,1.63870704
-5.78989495,4.98179362,0.07939507,0.05816800,0.63282683,0.35039934,0.06420443,1.63039042,0.45977264,1.66148027
-5.78389195,5.15009783,0.08024932,0.06138945,0.64792819,0.36519467,0.06796297,1.69810156,0.46539490,1.69410308
-5.77788894,5.34741977,0.08167130,0.06501714,0.66647106,0.38232955,0.07203773,1.77527176,0.47435189,1.73614394
-5.77188594,5.57245599,0.08363256,0.06903084,0.68850198,0.40179450,0.07639342,1.86163655,0.48665243,1.78695601
-5.76588294,5.82326215,0.08609388,0.07340204,0.71401278,0.42353483,0.08098594,1.95671649,0.50224495,1.84568662
-5.75987994,6.09728872,0.08900633,0.07809410,0.74294255,0.44745100,0.08576322,2.05982575,0.52101917,1.91129374
-5.75387694,6.39143189,0.09231261,0.08306276,0.77517946,0.47339983,0.09066644,2.17008512,0.54280860,1.98256866
-5.74787394,6.70209711,0.09594846,0.08825661,0.81056207,0.50119607,0.09563137,2.28643874,0.56739348,2.05816386
-5.74187094,7.02527259,0.09984412,0.09361793,0.84887991,0.53061449,0.10059001,2.40767363,0.59450417,2.13662479
-5.73586793,7.35660976,0.10392588,0.09908350,0.88987351,0.56139221,0.10547225,2.53244159,0.62382462,2.21642434
-5.72986493,7.69150826,0.10811755,0.10458564,0.93323378,0.59323144,0.11020766,2.65928259,0.65499606,2.29599860
-5.72386193,8.02520302,0.11234182,0.11005330,0.97860127,0.62580241,0.11472722,2.78664948,0.68762093,2.37378267
-5.71785893,8.35285152,0.11652166,0.11541318,1.02556562,0.65874676,0.11896506,2.91293342,0.72126696,2.44824521
-5.71185593,8.66961979,0.12058150,0.12059102,1.07366566,0.69168135,0.12285999,3.03649008,0.75547175,2.51792096
-5.70585293,8.97076613,0.12444836,0.12551277,1.12239095,0.72420271,0.12635695,3.15566639,0.78974786,2.58144013
-5.69984992,9.25172190,0.12805290,0.13010596,1.17118510,0.75589211,0.12940825,3.26882790,0.82358869,2.63755427
-5.69384692,9.50816902,0.13133035,0.13430091,1.21945143,0.78632159,0.13197459,3.37438684,0.85647533,2.68515816
-5.68784392,9.73611412,0.13422136,0.13803202,1.26656145,0.81506082,0.13402583,3.47083073,0.88788440,2.72330757
-5.68184092,9.93195904,0.13667284,0.14123906,1.31186615,0.84168488,0.13554160,3.55675153,0.91729711,2.75123287
-5.67583792,10.09256744,0.13863874,0.14386832,1.35471021,0.86578301,0.13651162,3.63087510,0.94420929,2.76834862
-5.66983492,10.21532700,0.14008073,0.14587375,1.39444890,0.88696802,0.13693581,3.69209038,0.96814247,2.77425939
-5.66383192,10.29820615,0.14096894,0.14721805,1.43046695,0.90488623,0.13682423,3.73947778,0.98865561,2.76876206
-5.65782891,10.33980418,0.14128255,0.14787356,1.46219895,0.91922760,0.13619681,3.77233582,1.00535713,2.75184488
-5.65182591,10.33939284,0.14101041,0.14782304,1.48915010,0.92973566,0.13508286,3.79020496,1.01791687,2.72368347
-5.64582291,10.29694755,0.14015147,0.14706028,1.51091637,0.93621673,0.13352048,3.79288750,1.02607733,2.68463414
-5.63981991,10.21316583,0.13871516,0.14559049,1.52720296,0.93854795,0.13155576,3.78046220,1.02966369,2.63522438
-5.63381691,10.08947093,0.13672153,0.14343044,1.53783983,0.93668373,0.12924179,3.75329257,1.02859202,2.57614097
-5.62781391,9.92799846,0.13420130,0.14060834,1.54279336,0.93065997,0.12663761,3.71202753,1.02287512,2.50821543
-5.62181091,9.73156460,0.13119553,0.13716348,1.54217326,0.92059590,0.12380692,3.65759386,1.01262551,2.43240715
-5.61580790,9.50361481,0.12775513,0.13314552,1.53623400,0.90669299,0.12081675,3.59117970,0.99805529,2.34978407
-5.60980490,9.24815305,0.12394010,0.12861358,1.52537057,0.88923111,0.11773591,3.51420918,0.97947262,2.26150124
-5.60380190,8.96965237,0.11981840,0.12363497,1.51010843,0.86856164,0.11463339,3.42830843,0.95727476,2.16877738
-5.59779890,8.67294875,0.11546460,0.11828381,1.49108799,0.84509791,0.11157676,3.33526380,0.93193787,2.07286984
-5.59179590,8.36312115,0.11095829,0.11263936,1.46904430,0.81930318,0.10863039,3.23697377,0.90400391,1.97504845
-5.58579290,8.04536168,0.10638223,0.10678430,1.44478276,0.79167671,0.10585385,3.13539596,0.87406502,1.87656886
-5.57978989,7.72484053,0.10182040,0.10080284,1.41915214,0.76273842,0.10330024,3.03249159,0.84274616,1.77864606
-5.57378689,7.40657081,0.09735589,0.09477895,1.39301605,0.73301288,0.10101478,2.93016950,0.81068656,1.68242896
-5.56778389,7.09527881,0.09306886,0.08879454,1.36722435,0.70301338,0.09903350,2.83023212,0.77852100,1.58897679
-5.56178089,6.79528490,0.08903441,0.08292785,1.34258578,0.67322666,0.09738220,2.73432574,0.74686148,1.49923814
-5.55577789,6.51040021,0.08532075,0.07725201,1.31984309,0.64409918,0.09607573,2.64389720,0.71628021,1.41403356
-5.54977489,6.24384318,0.08198748,0.07183385,1.29965173,0.61602535,0.09511762,2.56015882,0.68729463,1.33404221
-5.54377189,5.99817940,0.07908410,0.06673297,1.28256297,0.58933837,0.09450007,2.48406296,0.66035495,1.25979323
-5.53776888,5.77528688,0.07664898,0.06200116,1.26901196,0.56430389,0.09420428,2.41628716,0.63583473,1.19166198
-5.53176588,5.57634753,0.07470857,0.05768218,1.25931102,0.54111676,0.09420131,2.35723009,0.61402474,1.12987147
-5.52576288,5.40186457,0.07327705,0.05381172,1.25364816,0.51990089,0.09445310,2.30701829,0.59513027,1.07449865
-5.51975988,5.25170405,0.07235641,0.05041784,1.25209044,0.50071201,0.09491403,2.26552278,0.57927179,1.02548529
-5.51375688,5.12515769,0.07193684,0.04752156,1.25459168,0.48354316,0.09553256,2.23238447,0.56648868,0.98265290
-5.50775388,5.02102326,0.07199756,0.04513765,1.26100378,0.46833237,0.09625318,2.20704668,0.55674583,0.94572089
-5.50175088,4.93769800,0.07250791,0.04327567,1.27109073,0.45497218,0.09701846,2.18879308,0.54994243,0.91432708
-5.49574787,4.87328010,0.07342879,0.04194099,1.28454450,0.44332024,0.09777109,2.17678876,0.54592259,0.88804958
-5.48974487,4.82567323,0.07471421,0.04113594,1.30100177,0.43321059,0.09845595,2.17012267,0.54448703,0.86642911
-5.48374187,4.79268926,0.07631305,0.04086080,1.32006073,0.42446493,0.09902194,2.16784924,0.54540529,0.84899057
-5.47773887,4.77214433,0.07817087,0.04111477,1.34129711,0.41690328,0.09942372,2.16902744,0.54842789,0.83526309
-5.47173587,4.76194468,0.08023168,0.04189669,1.36427884,0.41035374,0.09962309,2.17275584,0.55329775,0.82479764
-5.46573287,4.76015872,0.08243969,0.04320558,1.38857881,0.40466068,0.09959009,2.17820223,0.55976054,0.81718158
-5.45972986,4.76507321,0.08474084,0.04504090,1.41378548,0.39969134,0.09930379,2.18462718,0.56757345,0.81204958
-5.45372686,4.77523211,0.08708421,0.04740248,1.43951099,0.39534043,0.09875269,2.19140088,0.57651206,0.80909070
-5.44772386,4.78945749,0.08942311,0.05029021,1.46539687,0.39153281,0.09793474,2.19801313,0.58637528,0.80805141
-5.44172086,4.80685321,0.09171593,0.05370339,1.49111732,0.38822419,0.09685712,2.20407681,0.59698805,0.80873472
-5.43571786,4.82679226,0.09392671,0.05763979,1.51638020,0.38540001,0.09553564,2.20932512,0.60820205,0.81099576
-5.42971486,4.84889005,0.09602535,0.06209457,1.54092607,0.38307270,0.09399394,2.21360347,0.61989439,0.81473408
-5.42371186,4.87296582,0.09798755,0.06705893,1.56452540,0.38127762,0.09226252,2.21685683,0.63196462,0.81988344
-5.41770885,4.89899541,0.09979453,0.07251872,1.58697442,0.38006800,0.09037755,2.21911370,0.64433039,0.82639977
-5.41170585,4.92705840,0.10143245,0.07845306,1.60808993,0.37950915,0.08837974,2.22046770,0.65692199,0.83424792
-5.40570285,4.95728311,0.10289168,0.08483299,1.62770343,0.37967247,0.08631305,2.22105800,0.66967645,0.84338831
-5.39969985,4.98979260,0.10416595,0.09162040,1.64565499,0.38062942,0.08422358,2.22104971,0.68253136,0.85376397
-5.39369685,5.02465506,0.10525144,0.09876716,1.66178738,0.38244597,0.08215847,2.22061531,0.69541914,0.86528905
-5.38769385,5.06184123,0.10614586,0.10621466,1.67594070,0.38517759,0.08016489,2.21991802,0.70826204,0.87783928
-5.38169085,5.10119136,0.10684759,0.11389387,1.68794813,0.38886529,0.07828928,2.21909799,0.72096824,0.89124511
-5.37568784,5.14239352,0.10735502,0.12172577,1.69763299,0.39353257,0.07657666,2.21826188,0.73342955,0.90528796
-5.36968484,5.18497457,0.10766592,0.12962251,1.70480764,0.39918365,0.07507016,2.21747644,0.74552070,0.91969976
-5.36368184,5.22830419,0.10777719,0.13748894,1.70927434,0.40580281,0.07381065,2.21676606,0.75710055,0.93416607
-5.35767884,5.27161181,0.10768471,0.14522478,1.71082824,0.41335498,0.07283658,2.21611458,0.76801514,0.94833255
-5.35167584,5.31401546,0.10738346,0.15272721,1.70926266,0.42178726,0.07218389,2.21547085,0.77810250,0.96181455
-5.34567284,5.35456088,0.10686794,0.15989379,1.70437642,0.43103140,0.07188600,2.21475777,0.78719895,0.97420933
-5.33966983,5.39226840,0.10613267,0.16662571,1.69598295,0.44100688,0.07197389,2.21388400,0.79514657,0.98511039
-5.33366683,5.42618493,0.10517291,0.17283102,1.68392094,0.45162450,0.07247612,2.21275755,0.80180143,0.99412299
-5.32766383,5.45543778,0.10398548,0.17842793,1.66806572,0.46279003,0.07341888,2.21130026,0.80704208,1.00088025
-5.32166083,5.47928678,0.10256962,0.18334776,1.64834100,0.47440786,0.07482601,2.20946196,0.81077764,1.00505873
-5.31565783,5.49717162,0.10092776,0.18753758,1.62472987,0.48638428,0.07671883,2.20723350,0.81295511,1.00639281
-5.30965483,5.50875095,0.09906632,0.19096229,1.59728468,0.49863026,0.07911598,2.20465732,0.81356526,1.00468694
-5.30365183,5.51393082,0.09699621,0.19360605,1.56613474,0.51106351,0.08203308,2.20183496,0.81264672,0.99982515
-5.29764882,5.51288032,0.09473324,0.19547293,1.53149133,0.52360989,0.08548229,2.19893058,0.81028784,0.99177720
-5.29164582,5.50603312,0.09229826,0.19658673,1.49364951,0.53620389,0.08947177,2.19617026,0.80662617,0.98060113
-5.28564282,5.49407455,0.08971704,0.19699009,1.45298623,0.54878844,0.09400503,2.19383667,0.80184546,0.96644193
-5.27963982,5.47791461,0.08701989,0.19674265,1.40995484,0.56131408,0.09908023,2.19225957,0.79617018,0.94952647
-5.27363682,5.45864849,0.08424106,0.19591860,1.36507579,0.57373758,0.10468943,2.19180222,0.78985780,0.93015494
-5.26763382,5.43750641,0.08141788,0.19460362,1.31892415,0.58602024,0.11081787,2.19284469,0.78318928,0.90868931
-5.26163082,5.41579579,0.07858980,0.19289129,1.27211414,0.59812607,0.11744327,2.19576481,0.77645798,0.88553933
-5.25562781,5.39483888,0.07579728,0.19087927,1.22528172,0.61002003,0.12453522,2.20091792,0.76995785,0.86114690
-5.24962481,5.37590918,0.07308064,0.18866535,1.17906572,0.62166650,0.13205467,2.20861649,0.76397117,0.83596960
-5.24362181,5.36017022,0.07047889,0.18634356,1.13408867,0.63302819,0.13995364,2.21911088,0.75875671,0.81046408
-5.23761881,5.34861964,0.06802867,0.18400053,1.09093813,0.64406543,0.14817508,2.23257217,0.75453876,0.78507035
-5.23161581,5.34204161,0.06576330,0.18171224,1.05014935,0.65473608,0.15665291,2.24907804,0.75149752,0.76019730
-5.22561281,5.34096950,0.06371196,0.17954137,1.01219011,0.66499586,0.16531237,2.26860247,0.74976139,0.73621046
-5.21960980,5.34566038,0.06189907,0.17753525,0.97744828,0.67479912,0.17407055,2.29100962,0.74940145,0.71342206
-5.21360680,5.35608203,0.06034391,0.17572452,0.94622264,0.68409992,0.18283719,2.31605216,0.75042832,0.69208396
-5.20760380,5.37191255,0.05906035,0.17412259,0.91871704,0.69285320,0.19151571,2.34337394,0.75279148,0.67238332
-5.20160080,5.39255162,0.05805688,0.17272581,0.89503810,0.70101591,0.20000447,2.37251684,0.75638103,0.65444124
-5.19559780,5.41714241,0.05733670,0.17151438,0.87519630,0.70854798,0.20819824,2.40293107,0.76103169,0.63831388
-5.18959480,5.44460231,0.05689804,0.17045390,0.85911000,0.71541283,0.21598986,2.43398857,0.76652890,0.62399605
-5.18359180,5.47366036,0.05673452,0.16949746,0.84661224,0.72157747,0.22327209,2.46499850,0.77261649,0.61142661
-5.17758879,5.50289951,0.05683559,0.16858819,0.83745959,0.72701201,0.22993946,2.49522425,0.77900570,0.60049557
-5.17158579,5.53080136,0.05718709,0.16766210,0.83134257,0.73168864,0.23589042,2.52390117,0.78538511,0.59105204
