energy_ev,total_up,Fe_p_up,Fe_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,Zr_p_up,Zr_d_up
-6.00000000,4.86369885,0.78384974,0.31474877,0.01804913,1.33338115,0.06776014,1.54740126,1.40802124,1.08544257
-5.99399700,5.05793459,0.81815843,0.33161577,0.01875588,1.38569005,0.06991026,1.61221123,1.46520897,1.13094649
-5.98799400,5.24945013,0.85009552,0.34830599,0.01937982,1.43804826,0.07223558,1.67511777,1.52067112,1.17591111
-5.98199100,5.43540717,0.87925225,0.36459452,0.01991017,1.48980632,0.07469033,1.73513308,1.57383122,1.21975145
-5.97598799,5.61329347,0.90529235,0.38026714,0.02033817,1.54041878,0.07723080,1.79136694,1.62426516,1.26196977
-5.96998499,5.78102737,0.92796399,0.39512721,0.02065738,1.58947329,0.07981714,1.84305817,1.67172983,1.30218102
-5.96398199,5.93704404,0.94710900,0.40900194,0.02086391,1.63671357,0.08241493,1.88960128,1.71618432,1.34013359
-5.95797899,6.08035924,0.96266878,0.42174793,0.02095655,1.68205501,0.08499637,1.93056705,1.75780269,1.37572440
-5.95197599,6.21060750,0.97468662,0.43325559,0.02093680,1.72559186,0.08754128,1.96571621,1.79697706,1.40900717
-5.94597299,6.32805287,0.98330645,0.44345244,0.02080875,1.76759563,0.09003757,1.99500568,1.83431047,1.44019353
-5.93996998,6.43357148,0.98876800,0.45230493,0.02057896,1.80850433,0.09248141,2.01858709,1.87059943,1.46964654
-5.93396698,6.52860631,0.99139863,0.45981890,0.02025614,1.84890296,0.09487688,2.03679770,1.90680637,1.49786680
-5.92796398,6.61509621,0.99160212,0.46603839,0.01985083,1.88949591,0.09723537,2.05014409,1.94402269,1.52547135
-5.92196098,6.69538178,0.98984510,0.47104304,0.01937498,1.93107228,0.09957440,2.05927932,1.98342375,1.55316636
-5.91595798,6.77209233,0.98664137,0.47494406,0.01884147,1.97446555,0.10191635,2.06497463,2.02621727,1.58171449
-5.90995498,6.84801863,0.98253509,0.47787889,0.01826371,2.02050937,0.10428669,2.06808668,2.07358713,1.61189823
-5.90395198,6.92597679,0.97808312,0.48000485,0.01765510,2.06999127,0.10671221,2.06952185,2.12663479,1.64448089
-5.89794897,7.00866927,0.97383746,0.48149189,0.01702864,2.12360645,0.10921901,2.07019889,2.18632077,1.68016666
-5.89194597,7.09854877,0.97032813,0.48251489,0.01639648,2.18191357,0.11183053,2.07101157,2.25340857,1.71956173
-5.88594297,7.19769098,0.96804720,0.48324570,0.01576961,2.24529472,0.11456565,2.07279266,2.32841379,1.76313804
-5.87993997,7.30768145,0.96743428,0.48384528,0.01515757,2.31392131,0.11743696,2.07628063,2.41156050,1.81120132
-5.87393697,7.42952150,0.96886403,0.48445638,0.01456825,2.38772758,0.12044924,2.08209042,2.50274729,1.86386493
-5.86793397,7.56355709,0.97263577,0.48519687,0.01400775,2.46639304,0.12359838,2.09068915,2.60152474,1.92103077
-5.86193097,7.70943361,0.97896551,0.48615427,0.01348038,2.54933485,0.12687056,2.10237784,2.70708565,1.98237823
-5.85592796,7.86607866,0.98798046,0.48738148,0.01298865,2.63571053,0.13024195,2.11727943,2.81826907,2.04736165
