energy_ev,total_up,N_s_up,N_p_up,Pd_p_up,Pd_d_up,Se_s_up,Se_p_up
-6.00000000,2.32318230,0.00967781,0.19570624,1.87615585,0.75428768,0.02820537,0.93516183
-5.99399700,2.44713879,0.00994478,0.20967096,1.98757005,0.79782131,0.02866546,0.97959533
-5.98799400,2.56552343,0.01016401,0.22358975,2.09501205,0.83987125,0.02895730,1.02107261
-5.98199100,2.67643184,0.01033148,0.23723507,2.19673230,0.87979326,0.02907773,1.05893303
-5.97598799,2.77808027,0.01044440,0.25038131,2.29106337,0.91697303,0.02902717,1.09257759
-5.96998499,2.86885128,0.01050126,0.26281015,2.37646323,0.95084248,0.02880964,1.12148493
-5.96398199,2.94733869,0.01050188,0.27431639,2.45155776,0.98089639,0.02843275,1.14522638
-5.95797899,3.01238988,0.01044742,0.28471378,2.51518095,1.00670845,0.02790753,1.16347927
-5.95197599,3.06314340,0.01034033,0.29384069,2.56641076,1.02794623,0.02724815,1.17603808
-5.94597299,3.09906027,0.01018427,0.30156541,2.60459901,1.04438424,0.02647155,1.18282270
-5.93996998,3.11994691,0.00998404,0.30779068,2.62939368,1.05591428,0.02559706,1.18388329
-5.93396698,3.12596828,0.00974540,0.31245730,2.64075220,1.06255263,0.02464585,1.17940152
-5.92796398,3.11765013,0.00947491,0.31554649,2.63894488,1.06444324,0.02364037,1.16968771
-5.92196098,3.09586951,0.00917977,0.31708096,2.62454786,1.06185688,0.02260382,1.15517387
-5.91595798,3.06183329,0.00886758,0.31712440,2.59842557,1.05518563,0.02155952,1.13640278
-5.90995498,3.01704506,0.00854615,0.31577954,2.56170304,1.04493303,0.02053030,1.11401326
-5.90395198,2.96326132,0.00822328,0.31318462,2.51572919,1.03169988,0.01953799,1.08872211
-5.89794897,2.90243815,0.00790651,0.30950855,2.46203230,1.01616611,0.01860288,1.06130329
-5.89194597,2.83667053,0.00760302,0.30494484,2.40226953,0.99906942,0.01774322,1.03256510
-5.88594297,2.76812633,0.00731933,0.29970460,2.33817267,0.98118137,0.01697491,1.00332618
-5.87993997,2.69897766,0.00706127,0.29400882,2.27149214,0.96328190,0.01631111,0.97439116
-5.87393697,2.63133240,0.00683374,0.28808049,2.20394184,0.94613324,0.01576209,0.94652702
-5.86793397,2.56716840,0.00664073,0.28213661,2.13714691,0.93045439,0.01533509,0.92044093
