energy_ev,total_up,C_s_up,C_p_up,Se_s_up,Se_p_up,Ta_p_up,Ta_d_up
-6.00000000,3.35426737,0.01488162,0.43832733,0.02435659,1.38846065,1.27467434,0.60429336
-5.99399700,3.43974719,0.01347952,0.44119633,0.02652954,1.43731943,1.30021129,0.61670739
-5.98799400,3.53174812,0.01223046,0.44437546,0.02890630,1.48971948,1.32567754,0.63044669
-5.98199100,3.62925447,0.01113255,0.44770066,0.03147877,1.54530648,1.35077496,0.64525699
-5.97598799,3.73115716,0.01018300,0.45104443,0.03423765,1.60361049,1.37522008,0.66088823
-5.96998499,3.83627345,0.00937846,0.45432097,0.03717274,1.66404979,1.39874816,0.67710166
-5.96398199,3.94337031,0.00871524,0.45748944,0.04027339,1.72593990,1.42111708,0.69367634
-5.95797899,4.05119116,0.00818952,0.46055521,0.04352902,1.78850788,1.44211079,0.71041497
-5.95197599,4.15848547,0.00779753,0.46356912,0.04692957,1.85091157,1.46154259,0.72714887
-5.94597299,4.26404024,0.00753567,0.46662483,0.05046605,1.91226306,1.47925816,0.74374202
-5.93996998,4.36671231,0.00740060,0.46985436,0.05413095,1.97165549,1.49513809,0.76009388
-5.93396698,4.46545984,0.00738924,0.47342200,0.05791862,2.02819197,1.50910015,0.77614106
-5.92796398,4.55937123,0.00749876,0.47751692,0.06182548,2.08101507,1.52110066,0.79185742
-5.92196098,4.64768985,0.00772653,0.48234457,0.06585006,2.12933559,1.53113517,0.80725276
-5.91595798,4.72983256,0.00806996,0.48811725,0.06999283,2.17245878,1.53923783,0.82236975
-5.90995498,4.80540055,0.00852639,0.49504413,0.07425580,2.20980685,1.54547959,0.83727936
-5.90395198,4.87418114,0.00909288,0.50332092,0.07864188,2.24093625,1.54996470,0.85207445
-5.89794897,4.93613974,0.00976598,0.51311968,0.08315400,2.26554886,1.55282561,0.86686198
-5.89194597,4.99140170,0.01054150,0.52457889,0.08779406,2.28349635,1.55421620,0.88175385
-5.88594297,5.04022451,0.01141423,0.53779427,0.09256164,2.29477751,1.55430340,0.89685666
-5.87993997,5.08296138,0.01237774,0.55281057,0.09745276,2.29952863,1.55325753,0.91226096
-5.87393697,5.12001808,0.01342411,0.56961471,0.10245844,2.29800759,1.55124162,0.92803027
-5.86793397,5.15180535,0.01454375,0.58813067,0.10756353,2.29057256,1.54840042,0.94419070
-5.86193097,5.17868993,0.01572526,0.60821632,0.11274554,2.27765676,1.54484949,0.96072148
-5.85592796,5.20094727,0.01695535,0.62966255,0.11797388,2.25974056,1.54066528,0.97754738
-5.84992496,5.21871935,0.01821887,0.65219493,0.12320939,2.23732304,1.53587680,0.99453334
-5.84392196,5.23198081,0.01949887,0.67547800,0.12840431,2.21089432,1.53045962,1.01148199
-5.83791896,5.24051615,0.02077682,0.69912235,0.13350281,2.18091076,1.52433280,1.02813446
-5.83191596,5.24391035,0.02203291,0.72269433,0.13844195,2.14777411,1.51735919,1.04417473
-5.82591296,5.24155425,0.02324646,0.74572821,0.14315326,2.11181617,1.50934947,1.05923760
-5.81990995,5.23266537,0.02439640,0.76774065,0.14756477,2.07328956,1.50006984,1.07292013
-5.81390695,5.21632352,0.02546183,0.78824669,0.15160341,2.03236507,1.48925338,1.08479622
-5.80790395,5.19151986,0.02642267,0.80677706,0.15519783,1.98913557,1.47661432,1.09443381
-5.80190095,5.15721674,0.02726034,0.82289581,0.15828133,1.94362609,1.46186490,1.10141386
-5.79589795,5.11241526,0.02795836,0.83621766,0.16079485,1.89580901,1.44473364,1.10535028
-5.78989495,5.05622652,0.02850309,0.84642428,0.16268987,1.84562342,1.42498419,1.10590981
-5.78389195,4.98794231,0.02888426,0.85327855,0.16393095,1.79299704,1.40243356,1.10283083
-5.77788894,4.90710097,0.02909552,0.85663630,0.16449793,1.73786925,1.37696864,1.09593996
-5.77188594,4.81354425,0.02913486,0.85645468,0.16438748,1.68021359,1.34855996,1.08516579
-5.76588294,4.70746162,0.02900484,0.85279681,0.16361398,1.62005829,1.31727187,1.07054860
