energy_ev,total_up,In_p_up,In_d_up,Pd_p_up,Pd_d_up,Se_s_up,Se_p_up
-6.00000000,1.29231606,0.14630751,0.00449087,0.62049513,1.13679778,0.00044246,0.03068988
-5.99399700,1.40267417,0.15821052,0.00491287,0.65382651,1.24005502,0.00046744,0.03024046
-5.98799400,1.52085869,0.17083069,0.00537286,0.69189647,1.35003468,0.00049918,0.03024430
-5.98199100,1.64667542,0.18416644,0.00587149,0.73436270,1.46657770,0.00053759,0.03069608
-5.97598799,1.77993040,0.19822845,0.00640929,0.78088867,1.58951952,0.00058268,0.03158986
-5.96998499,1.92043673,0.21304164,0.00698666,0.83114846,1.71869549,0.00063450,0.03291870
-5.96398199,2.06801995,0.22864680,0.00760387,0.88483089,1.85394534,0.00069318,0.03467431
-5.95797899,2.22252158,0.24510161,0.00826110,0.94164290,1.99511610,0.00075894,0.03684659
-5.95197599,2.38380005,0.26248099,0.00895843,1.00131196,2.14206283,0.00083198,0.03942321
-5.94597299,2.55172838,0.28087643,0.00969585,1.06358716,2.29464681,0.00091259,0.04238917
-5.93996998,2.72618810,0.30039443,0.01047317,1.12823893,2.45273051,0.00100104,0.04572635
-5.93396698,2.90705904,0.32115363,0.01129004,1.19505702,2.61616919,0.00109757,0.04941319
-5.92796398,3.09420476,0.34328071,0.01214585,1.26384655,2.78479889,0.00120242,0.05342432
-5.92196098,3.28745380,0.36690516,0.01303966,1.33442227,2.95842096,0.00131575,0.05773037
-5.91595798,3.48657710,0.39215266,0.01397010,1.40660078,3.13678347,0.00143764,0.06229779
-5.90995498,3.69126237,0.41913753,0.01493530,1.48019126,3.31956020,0.00156805,0.06708885
-5.90395198,3.90108653,0.44795435,0.01593271,1.55498474,3.50632799,0.00170682,0.07206169
-5.89794897,4.11548751,0.47866901,0.01695908,1.63074267,3.69654387,0.00185364,0.07717051
-5.89194597,4.33373724,0.51130970,0.01801029,1.70718531,3.88952320,0.00200801,0.08236594
-5.88594297,4.55491757,0.54585823,0.01908132,1.78398077,4.08442045,0.00216928,0.08759541
-5.87993997,4.77790108,0.58224218,0.02016614,1.86073540,4.28021427,0.00233658,0.09280380
-5.87393697,5.00133870,0.62032842,0.02125776,1.93698664,4.47569835,0.00250887,0.09793409
-5.86793397,5.22365585,0.65991850,0.02234818,2.01219878,4.66947966,0.00268493,0.10292816
-5.86193097,5.44305864,0.70074634,0.02342846,2.08576263,4.85998511,0.00286338,0.10772770
-5.85592796,5.65755094,0.74247861,0.02448885,2.15699945,5.04547746,0.00304270,0.11227519
-5.84992496,5.86496301,0.78471799,0.02551890,2.22516945,5.22408090,0.00322125,0.11651493
-5.84392196,6.06299136,0.82700957,0.02650768,2.28948501,5.39381601,0.00339735,0.12039413
-5.83791896,6.24924908,0.86885010,0.02744397,2.34912826,5.55264345,0.00356925,0.12386402
-5.83191596,6.42132510,0.90970009,0.02831657,2.40327251,5.69851483,0.00373523,0.12688087
-5.82591296,6.57685023,0.94899820,0.02911452,2.45110670,5.82942920,0.00389365,0.12940708
-5.81990995,6.71356725,0.98617744,0.02982746,2.49186183,5.94349247,0.00404295,0.13141208
-5.81390695,6.82940187,1.02068245,0.03044584,2.52483809,6.03897740,0.00418173,0.13287318
-5.80790395,6.92253132,1.05198711,0.03096126,2.54943122,6.11438099,0.00430877,0.13377619
-5.80190095,6.99144696,1.07961161,0.03136666,2.56515695,6.16847672,0.00442307,0.13411590
-5.79589795,7.03500784,1.10313816,0.03165655,2.57167182,6.20035850,0.00452384,0.13389637
-5.78989495,7.05248213,1.12222456,0.03182717,2.56878954,6.20947432,0.00461057,0.13313085
-5.78389195,7.04357442,1.13661494,0.03187656,2.55649172,6.19564747,0.00468296,0.13184160
-5.77788894,7.00843707,1.14614718,0.03180460,2.53493236,6.15908418,0.00474095,0.13005932
-5.77188594,6.94766511,1.15075663,0.03161300,2.50443598,6.10036717,0.00478469,0.12782239
-5.76588294,6.86227498,1.15047607,0.03130520,2.46548921,6.02043549,0.00481451,0.12517584
-5.75987994,6.75366813,1.14543198,0.03088622,2.41872663,5.92055155,0.00483090,0.12217018
-5.75387694,6.62358175,1.13583739,0.03036248,2.36491147,5.80225735,0.00483443,0.11885996
-5.74787394,6.47402924,1.12198195,0.02974159,2.30491249,5.66732221,0.00482576,0.11530238
-5.74187094,6.30723382,1.10421977,0.02903208,2.23967826,5.51768494,0.00480559,0.11155572
-5.73586793,6.12555900,1.08295586,0.02824317,2.17021049,5.35539355,0.00477461,0.10767792
-5.72986493,5.93143962,1.05863201,0.02738451,2.09753793,5.18254577,0.00473348,0.10372520
-5.72386193,5.72731698,1.03171297,0.02646595,2.02269218,5.00123339,0.00468284,0.09975087
-5.71785893,5.51558145,1.00267368,0.02549736,1.94668692,4.81349317,0.00462327,0.09580434
-5.71185593,5.29852505,0.97198822,0.02448841,1.87050148,4.62126652,0.00455534,0.09193048
-5.70585293,5.07830594,0.94012103,0.02344848,1.79506951,4.42636952,0.00447957,0.08816917
-5.69984992,4.85692582,0.90752074,0.02238660,1.72127312,4.23047412,0.00439651,0.08455526
-5.69384692,4.63622046,0.87461673,0.02131131,1.64994248,4.03510068,0.00430675,0.08111877
-5.68784392,4.41786261,0.84181835,0.02023075,1.58186044,3.84162108,0.00421096,0.07788543
-5.68184092,4.20337594,0.80951662,0.01915264,1.51777148,3.65127137,0.00410993,0.07487738
-5.67583792,3.99415776,0.77808793,0.01808433,1.45839387,3.46517193,0.00400464,0.07211414
-5.66983492,3.79150813,0.74789921,0.01703286,1.40443388,3.28435310,0.00389627,0.06961362
-5.66383192,3.59666246,0.71931399,0.01600506,1.35660060,3.10978384,0.00378625,0.06739317
-5.65782891,3.41082455,0.69269859,0.01500760,1.31561983,2.94240092,0.00367629,0.06547064
-5.65182591,3.23519757,0.66842790,0.01404704,1.28224589,2.78313634,0.00356838,0.06386524
-5.64582291,3.07101012,0.64688997,0.01312993,1.25726977,2.63294073,0.00346481,0.06259824
-5.63981991,2.91953539,0.62848897,0.01226279,1.24152283,2.49280109,0.00336812,0.06169345
-5.63381691,2.78210180,0.61364611,0.01145210,1.23587500,2.36375144,0.00328112,0.06117732
-5.62781391,2.66009405,0.60279806,0.01070436,1.24122707,2.24687552,0.00320681,0.06107882
-5.62181091,2.55494403,0.59639295,0.01002595,1.25849690,2.14330113,0.00314836,0.06142885
-5.61580790,2.46811176,0.59488367,0.00942311,1.28859959,2.05418627,0.00310897,0.06225949
-5.60980490,2.40105701,0.59871888,0.00890184,1.33242203,1.98069747,0.00309187,0.06360281
-5.60380190,2.35520256,0.60833166,0.00846779,1.39079278,1.92398138,0.00310016,0.06548948
-5.59779890,2.33189064,0.62412651,0.00812611,1.46444797,1.88513057,0.00313677,0.06794724
-5.59179590,2.33233428,0.64646493,0.00788134,1.55399470,1.86514515,0.00320429,0.07099910
-5.58579290,2.35756552,0.67565011,0.00773725,1.65987323,1.86489165,0.00330494,0.07466165
-5.57978989,2.40838248,0.71191152,0.00769669,1.78231943,1.88506093,0.00344041,0.07894330
-5.57378689,2.48529754,0.75538976,0.00776146,1.92132913,1.92612662,0.00361181,0.08384263
-5.56778389,2.58848855,0.80612246,0.00793214,2.07662589,1.98830594,0.00381956,0.08934696
-5.56178089,2.71775532,0.86403173,0.00820802,2.24763379,2.07152442,0.00406334,0.09543121
-5.55577789,2.87248312,0.92891383,0.00858694,2.43345655,2.17538596,0.00434203,0.10205697
-5.54977489,3.05161499,1.00043150,0.00906520,2.63286441,2.29914976,0.00465366,0.10917210
-5.54377189,3.25363446,1.07810944,0.00963756,2.84428974,2.44171522,0.00499544,0.11671063
-5.53776888,3.47655996,1.16133337,0.01029715,3.06583220,2.60161587,0.00536376,0.12459312
-5.53176588,3.71795192,1.24935291,0.01103548,3.29527422,2.77702325,0.00575419,0.13272757
-5.52576288,3.97493320,1.34128839,0.01184254,3.53010668,2.96576114,0.00616161,0.14101067
-5.51975988,4.24422329,1.43614182,0.01270681,3.76756506,3.16533063,0.00658027,0.14932949
