energy_ev,total_up,C_s_up,C_p_up,Re_p_up,Re_d_up,Te_p_up,Te_d_up,Ti_p_up,Ti_d_up
-6.00000000,7.10079105,0.04182001,1.02490716,2.50172199,2.88592814,3.27405099,0.00000000,2.02328265,0.45605291
-5.99399700,7.07519691,0.04085721,1.01887105,2.48856878,2.86933279,3.27771753,0.00000000,2.03137496,0.45557493
-5.98799400,7.05361941,0.04000863,1.01294679,2.47919919,2.85359691,3.28383194,0.00000000,2.04029718,0.45579376
-5.98199100,7.03589548,0.03928250,1.00708250,2.47346250,2.83866005,3.29224079,0.00000000,2.05000567,0.45666433
-5.97598799,7.02181172,0.03868619,1.00124080,2.47111499,2.82448838,3.30274563,0.00000000,2.06039561,0.45813230
-5.96998499,7.01111425,0.03822607,0.99539674,2.47183057,2.81107317,3.31511376,0.00000000,2.07130817,0.46013641
-5.96398199,7.00351513,0.03790741,0.98953451,2.47521331,2.79842598,3.32908805,0.00000000,2.08253900,0.46261046
-5.95797899,6.99869524,0.03773420,0.98364320,2.48081127,2.78657078,3.34439529,0.00000000,2.09384756,0.46548514
-5.95197599,6.99630411,0.03770894,0.97771213,2.48813123,2.77553392,3.36075274,0.00000000,2.10496657,0.46868939
-5.94597299,6.99595718,0.03783245,0.97172613,2.49665371,2.76533284,3.37787268,0.00000000,2.11561133,0.47215145
-5.93996998,6.99723155,0.03810366,0.96566123,2.50584813,2.75596431,3.39546492,0.00000000,2.12548839,0.47579954
-5.93396698,6.99966114,0.03851945,0.95948113,2.51518733,2.74739343,3.41323756,0.00000000,2.13430339,0.47956217
-5.92796398,7.00273245,0.03907451,0.95313488,2.52416145,2.73954422,3.43089621,0.00000000,2.14176785,0.48336817
-5.92196098,7.00588204,0.03976130,0.94655580,2.53229064,2.73229263,3.44814215,0.00000000,2.14760483,0.48714662
-5.91595798,7.00849658,0.04057002,0.93966207,2.53913644,2.72546264,3.46467000,0.00000000,2.15155358,0.49082657
-5.90995498,7.00991631,0.04148874,0.93235867,2.54431151,2.71882599,3.48016546,0.00000000,2.15337318,0.49433686
-5.90395198,7.00944248,0.04250355,0.92454089,2.54748768,2.71210556,3.49430361,0.00000000,2.15284544,0.49760602
-5.89794897,7.00634875,0.04359880,0.91609899,2.54840217,2.70498249,3.50674840,0.00000000,2.14977714,0.50056241
-5.89194597,6.99989677,0.04475740,0.90692386,2.54686179,2.69710670,3.51715355,0.00000000,2.14400195,0.50313458
-5.88594297,6.98935518,0.04596124,0.89691330,2.54274532,2.68811034,3.52516539,0.00000000,2.13538210,0.50525206
-5.87993997,6.97402157,0.04719151,0.88597855,2.53600388,2.67762333,3.53042753,0.00000000,2.12380998,0.50684636
-5.87393697,6.95324638,0.04842922,0.87405068,2.52665956,2.66529041,3.53258749,0.00000000,2.10920983,0.50785245
-5.86793397,6.92645755,0.04965557,0.86108651,2.51480230,2.65078857,3.53130505,0.00000000,2.09153940,0.50821041
-5.86193097,6.89318479,0.05085236,0.84707361,2.50058520,2.63384401,3.52626195,0.00000000,2.07079173,0.50786739
-5.85592796,6.85308216,0.05200244,0.83203426,2.48421846,2.61424775,3.51717251,0.00000000,2.04699677,0.50677963
-5.84992496,6.80594773,0.05308996,0.81602804,2.46596226,2.59186908,3.50379464,0.00000000,2.02022292,0.50491451
-5.84392196,6.75173922,0.05410072,0.79915296,2.44611857,2.56666601,3.48594050,0.00000000,1.99057806,0.50225250
-5.83791896,6.69058463,0.05502234,0.78154503,2.42502244,2.53869241,3.46348631,0.00000000,1.95821009,0.49878882
-5.83191596,6.62278724,0.05584442,0.76337635,2.40303274,2.50810118,3.43638051,0.00000000,1.92330673,0.49453469
-5.82591296,6.54882435,0.05655865,0.74485171,2.38052279,2.47514358,3.40464993,0.00000000,1.88609437,0.48951821
-5.81990995,6.46933976,0.05715881,0.72620400,2.35787099,2.44016447,3.36840333,0.00000000,1.84683588,0.48378452
-5.81390695,6.38512988,0.05764072,0.70768840,2.33545171,2.40359374,3.32783207,0.00000000,1.80582740,0.47739540
-5.80790395,6.29712410,0.05800221,0.68957573,2.31362653,2.36593434,3.28320773,0.00000000,1.76339396,0.47042817
-5.80190095,6.20635983,0.05824295,0.67214519,2.29273609,2.32774730,3.23487666,0.00000000,1.71988405,0.46297395
-5.79589795,6.11395329,0.05836437,0.65567664,2.27309258,2.28963445,3.18325166,0.00000000,1.67566341,0.45513525
-5.78989495,6.02106696,0.05836946,0.64044275,2.25497291,2.25221938,3.12880106,0.00000000,1.63110796,0.44702313
-5.78389195,5.92887505,0.05826265,0.62670127,2.23861278,2.21612757,3.07203573,0.00000000,1.58659641,0.43875383
-5.77788894,5.83852831,0.05804965,0.61468754,2.22420153,2.18196629,3.01349459,0.00000000,1.54250259,0.43044519
-5.77188594,5.75111941,0.05773733,0.60460758,2.21187787,2.15030517,2.95372929,0.00000000,1.49918793,0.42221294
-5.76588294,5.66765054,0.05733357,0.59663185,2.20172655,2.12165802,2.89328877,0.00000000,1.45699442,0.41416705
-5.75987994,5.58900415,0.05684719,0.59088990,2.19377605,2.09646677,2.83270453,0.00000000,1.41623817,0.40640829
-5.75387694,5.51591848,0.05628787,0.58746609,2.18799716,2.07508791,2.77247721,0.00000000,1.37720402,0.39902523
-5.74787394,5.44896849,0.05566608,0.58639641,2.18430288,2.05778212,2.71306519,0.00000000,1.34014123,0.39209172
-5.74187094,5.38855323,0.05499303,0.58766664,2.18254935,2.04470741,2.65487569,0.00000000,1.30526055,0.38566510
-5.73586793,5.33489023,0.05428062,0.59121186,2.18253826,2.03591593,2.59825881,0.00000000,1.27273256,0.37978515
-5.72986493,5.28801706,0.05354144,0.59691744,2.18402057,2.03135482,2.54350476,0.00000000,1.24268751,0.37447379
-5.72386193,5.24780009,0.05278866,0.60462144,2.18670186,2.03087075,2.49084422,0.00000000,1.21521632,0.36973566
-5.71785893,5.21395015,0.05203599,0.61411852,2.19024918,2.03421834,2.44045192,0.00000000,1.19037289,0.36555943
-5.71185593,5.18604439,0.05129756,0.62516525,2.19429955,2.04107176,2.39245290,0.00000000,1.16817727,0.36191983
-5.70585293,5.16355331,0.05058781,0.63748671,2.19846997,2.05103933,2.34693125,0.00000000,1.14861965,0.35878021
-5.69984992,5.14587183,0.04992128,0.65078421,2.20236871,2.06368036,2.30394053,0.00000000,1.13166478,0.35609562
-5.69384692,5.13235278,0.04931236,0.66474394,2.20560779,2.07852351,2.26351528,0.00000000,1.11725659,0.35381605
-5.68784392,5.12234142,0.04877505,0.67904623,2.20781610,2.09508592,2.22568290,0.00000000,1.10532274,0.35188985
-5.68184092,5.11520891,0.04832257,0.69337510,2.20865280,2.11289219,2.19047495,0.00000000,1.09577877,0.35026697
-5.67583792,5.11038336,0.04796704,0.70742780,2.20782041,2.13149236,2.15793737,0.00000000,1.08853173,0.34890199
-5.66983492,5.10737658,0.04771900,0.72092381,2.20507694,2.15047797,2.12813862,0.00000000,1.08348308,0.34775668
-5.66383192,5.10580520,0.04758702,0.73361304,2.20024646,2.16949555,2.10117544,0.00000000,1.08053068,0.34680203
-5.65782891,5.10540495,0.04757724,0.74528286,2.19322745,2.18825673,2.07717562,0.00000000,1.07956989,0.34601960
-5.65182591,5.10603719,0.04769299,0.75576353,2.18399836,2.20654463,2.05629753,0.00000000,1.08049383,0.34540219
-5.64582291,5.10768752,0.04793436,0.76493185,2.17261991,2.22421608,2.03872638,0.00000000,1.08319273,0.34495376
-5.63981991,5.11045622,0.04829794,0.77271285,2.15923377,2.24119976,2.02466739,0.00000000,1.08755270,0.34468872
-5.63381691,5.11454121,0.04877660,0.77907942,2.14405754,2.25749024,2.01433601,0.00000000,1.09345391,0.34463051
-5.62781391,5.12021452,0.04935936,0.78404989,2.12737608,2.27313850,2.00794589,0.00000000,1.10076861,0.34480972
-5.62181091,5.12779346,0.05003146,0.78768374,2.10952936,2.28823937,2.00569520,0.00000000,1.10935896,0.34526173
-5.61580790,5.13760843,0.05077450,0.79007564,2.09089756,2.30291672,2.00775191,0.00000000,1.11907517,0.34602419
-5.60980490,5.14996910,0.05156676,0.79134824,2.07188384,2.31730742,2.01423922,0.00000000,1.12975393,0.34713424
-5.60380190,5.16513109,0.05238370,0.79164389,2.05289588,2.33154489,2.02522167,0.00000000,1.14121755,0.34862591
-5.59779890,5.18326527,0.05319852,0.79111614,2.03432696,2.34574338,2.04069294,0.00000000,1.15327378,0.35052754
-5.59179590,5.20443147,0.05398290,0.78992098,2.01653773,2.35998392,2.06056618,0.00000000,1.16571649,0.35285960
-5.58579290,5.22855841,0.05470781,0.78820884,1.99983965,2.37430280,2.08466732,0.00000000,1.17832736,0.35563286
-5.57978989,5.25543104,0.05534439,0.78611722,1.98448100,2.38868331,2.11273216,0.00000000,1.19087843,0.35884702
-5.57378689,5.28468628,0.05586484,0.78376482,1.97063633,2.40305121,2.14440725,0.00000000,1.20313566,0.36248985
-5.56778389,5.31581757,0.05624331,0.78124701,1.95839992,2.41727425,2.17925488,0.00000000,1.21486328,0.36653692
-5.56178089,5.34818807,0.05645676,0.77863318,1.94778370,2.43116575,2.21676214,0.00000000,1.22582901,0.37095182
-5.55577789,5.38105195,0.05648572,0.77596573,1.93871977,2.44449196,2.25635354,0.00000000,1.23580981,0.37568696
-5.54977489,5.41358281,0.05631491,0.77326086,1.93106730,2.45698295,2.29740699,0.00000000,1.24459832,0.38068476
-5.54377189,5.44490759,0.05593372,0.77051097,1.92462368,2.46834609,2.33927228,0.00000000,1.25200950,0.38587930
-5.53776888,5.47414456,0.05533659,0.76768836,1.91913901,2.47828169,2.38129148,0.00000000,1.25788765,0.39119835
-5.53176588,5.50044304,0.05452315,0.76475008,1.91433350,2.48649952,2.42282030,0.00000000,1.26211332,0.39656559
-5.52576288,5.52302330,0.05349817,0.76164338,1.90991649,2.49273566,2.46324950,0.00000000,1.26461024,0.40190303
-5.51975988,5.54121416,0.05227140,0.75831169,1.90560632,2.49676838,2.50202549,0.00000000,1.26535177,0.40713353
-5.51375688,5.55448682,0.05085721,0.75470039,1.90114992,2.49843248,2.53866918,0.00000000,1.26436686,0.41218328
-5.50775388,5.56248291,0.04927412,0.75076242,1.89634103,2.49763109,2.57279224,0.00000000,1.26174518,0.41698413
-5.50175088,5.56503563,0.04754415,0.74646311,1.89103615,2.49434446,2.60411007,0.00000000,1.25764116,0.42147583
-5.49574787,5.56218273,0.04569220,0.74178420,1.88516737,2.48863513,2.63245084,0.00000000,1.25227666,0.42560784
-5.48974487,5.55417075,0.04374525,0.73672669,1.87875143,2.48064934,2.65776018,0.00000000,1.24594195,0.42934086
-5.48374187,5.54145025,0.04173165,0.73131268,1.87189449,2.47061449,2.68010122,0.00000000,1.23899474,0.43264789
-5.47773887,5.52466210,0.03968030,0.72558577,1.86479235,2.45883275,2.69964984,0.00000000,1.23185697,0.43551473
-5.47173587,5.50461530,0.03761999,0.71961045,1.85772608,2.44567115,2.71668530,0.00000000,1.22500902,0.43794002
-5.46573287,5.48225720,0.03557868,0.71347022,1.85105313,2.43154842,2.73157645,0.00000000,1.21898139,0.43993468
-5.45972986,5.45863725,0.03358290,0.70726481,1.84519428,2.41691936,2.74476406,0.00000000,1.21434355,0.44152073
