energy_ev,total_up,C_s_up,C_p_up,Re_p_up,Re_d_up,Se_s_up,Se_p_up
-6.00000000,1.81029182,0.00117608,0.17602605,1.12226111,0.65496252,0.01818901,0.60981803
-5.99399700,1.79181868,0.00111858,0.17819025,1.11341209,0.65796753,0.01795505,0.59247087
-5.98799400,1.77366706,0.00107751,0.18071310,1.10591529,0.66161405,0.01769300,0.57448214
-5.98199100,1.75674263,0.00105244,0.18367362,1.10041329,0.66615130,0.01741304,0.55621098
-5.97598799,1.74195061,0.00104293,0.18714184,1.09750836,0.67182452,0.01712618,0.53803165
-5.96998499,1.73015052,0.00104858,0.19117335,1.09773222,0.67885869,0.01684379,0.52031937
-5.96398199,1.72211298,0.00106902,0.19580441,1.10151809,0.68744278,0.01657724,0.50343653
-5.95797899,1.71848071,0.00110390,0.20104768,1.10917656,0.69771560,0.01633740,0.48771985
-5.95197599,1.71973587,0.00115291,0.20688916,1.12087650,0.70975410,0.01613434,0.47346918
-5.94597299,1.72617546,0.00121577,0.21328614,1.13663197,0.72356488,0.01597697,0.46093825
-5.93996998,1.73789596,0.00129221,0.22016663,1.15629594,0.73907937,0.01587281,0.45032788
-5.93396698,1.75478821,0.00138199,0.22743022,1.17956122,0.75615324,0.01582780,0.44178169
-5.92796398,1.77654257,0.00148485,0.23495032,1.20596858,0.77457001,0.01584623,0.43538458
-5.92196098,1.80266427,0.00160058,0.24257785,1.23492196,0.79404876,0.01593071,0.43116376
-5.91595798,1.83249782,0.00172893,0.25014614,1.26570996,0.81425560,0.01608223,0.42909218
-5.90995498,1.86525939,0.00186967,0.25747692,1.29753277,0.83481838,0.01630035,0.42909415
-5.90395198,1.90007518,0.00202252,0.26438707,1.32953328,0.85534362,0.01658331,0.43105247
-5.89794897,1.93602379,0.00218722,0.27069589,1.36083091,0.87543504,0.01692835,0.43481696
-5.89194597,1.97218023,0.00236345,0.27623248,1.39055665,0.89471239,0.01733189,0.44021349
-5.88594297,2.00765919,0.00255088,0.28084295,1.41788763,0.91282973,0.01778985,0.44705326
-5.87993997,2.04165536,0.00274911,0.28439712,1.44207962,0.92949196,0.01829787,0.45514161
-5.87393697,2.07347856,0.00295769,0.28679427,1.46249594,0.94446888,0.01885155,0.46428609
-5.86793397,2.10258192,0.00317607,0.28796779,1.47863146,0.95760575,0.01944660,0.47430317
-5.86193097,2.12858174,0.00340364,0.28788844,1.49013062,0.96882997,0.02007905,0.48502351
-5.85592796,2.15126806,0.00363965,0.28656603,1.49679865,0.97815333,0.02074521,0.49629538
-5.84992496,2.17060548,0.00388325,0.28404952,1.49860558,0.98566982,0.02144178,0.50798637
-5.84392196,2.18672449,0.00413343,0.28042534,1.49568288,0.99154904,0.02216574,0.51998321
-5.83791896,2.19990371,0.00438903,0.27581427,1.48831308,0.99602555,0.02291426,0.53219001
-5.83191596,2.21054436,0.00464869,0.27036670,1.47691283,0.99938476,0.02368455,0.54452498
-5.82591296,2.21913829,0.00491090,0.26425680,1.46201042,1.00194607,0.02447369,0.55691614
-5.81990995,2.22623141,0.00517395,0.25767557,1.44421876,1.00404411,0.02527840,0.56929623
-5.81390695,2.23238451,0.00543591,0.25082330,1.42420527,1.00600907,0.02609483,0.58159726
-5.80790395,2.23813359,0.00569470,0.24390161,1.40266006,1.00814712,0.02691841,0.59374518
-5.80190095,2.24395173,0.00594803,0.23710559,1.38026387,1.01072187,0.02774359,0.60565494
-5.79589795,2.25021456,0.00619346,0.23061616,1.35765733,1.01393783,0.02856382,0.61722640
-5.78989495,2.25717088,0.00642840,0.22459316,1.33541285,1.01792663,0.02937137,0.62834139
-5.78389195,2.26492018,0.00665017,0.21916938,1.31401036,1.02273672,0.03015737,0.63886207
-5.77788894,2.27339781,0.00685601,0.21444580,1.29381803,1.02832706,0.03091184,0.64863076
