energy_ev,total_up,N_s_up,N_p_up,Pt_p_up,Pt_d_up,S_s_up,S_p_up
-6.00000000,2.63810711,0.00974650,0.14899473,0.70664371,1.26367574,0.00306518,1.09167698
-5.99399700,2.56744694,0.00919565,0.15268294,0.67938814,1.23906369,0.00278622,1.05049945
-5.98799400,2.49981278,0.00865217,0.15743056,0.65227132,1.21644044,0.00254243,1.00912207
-5.98199100,2.43677399,0.00812343,0.16328256,0.62576930,1.19652374,0.00233155,0.96826782
-5.97598799,2.37973750,0.00761594,0.17026679,0.60032106,1.17994249,0.00215166,0.92860530
-5.96998499,2.32991246,0.00713529,0.17839242,0.57632045,1.16721923,0.00200111,0.89073351
-5.96398199,2.28828342,0.00668612,0.18764889,0.55411011,1.15875709,0.00187860,0.85516994
-5.95797899,2.25559279,0.00627215,0.19800558,0.53397774,1.15483161,0.00178315,0.82234233
-5.95197599,2.23233290,0.00589617,0.20941215,0.51615442,1.15558767,0.00171406,0.79258415
-5.94597299,2.21874773,0.00556018,0.22179953,0.50081491,1.16104152,0.00167094,0.76613398
-5.93996998,2.21484376,0.00526548,0.23508154,0.48807974,1.17108783,0.00165363,0.74313825
-5.93396698,2.22040905,0.00501275,0.24915719,0.47801881,1.18551114,0.00166217,0.72365738
-5.92796398,2.23503963,0.00480221,0.26391339,0.47065608,1.20400138,0.00169680,0.70767458
-5.92196098,2.25817149,0.00463376,0.27922816,0.46597511,1.22617245,0.00175787,0.69510695
-5.91595798,2.28911679,0.00450703,0.29497412,0.46392510,1.25158314,0.00184581,0.68581804
-5.90995498,2.32710243,0.00442155,0.31102223,0.46442703,1.27975936,0.00196107,0.67963143
-5.90395198,2.37130926,0.00437677,0.32724551,0.46737970,1.31021665,0.00210408,0.67634438
-5.89794897,2.42091014,0.00437215,0.34352286,0.47266540,1.34248203,0.00227515,0.67574111
-5.89194597,2.47510527,0.00440715,0.35974256,0.48015496,1.37611407,0.00247444,0.67760492
-5.88594297,2.53315331,0.00448125,0.37580561,0.48971215,1.41072055,0.00270186,0.68172870
-5.87993997,2.59439718,0.00459391,0.39162863,0.50119733,1.44597273,0.00295704,0.68792338
-5.87393697,2.65828345,0.00474448,0.40714628,0.51447027,1.48161583,0.00323923,0.69602400
-5.86793397,2.72437506,0.00493216,0.42231314,0.52939235,1.51747525,0.00354722,0.70589324
-5.86193097,2.79235677,0.00515590,0.43710496,0.54582803,1.55345840,0.00387933,0.71742239
-5.85592796,2.86203374,0.00541430,0.45151921,0.56364588,1.58955218,0.00423335,0.73052991
-5.84992496,2.93332351,0.00570549,0.46557495,0.58271920,1.62581633,0.00460646,0.74515770
-5.84392196,3.00624220,0.00602708,0.47931199,0.60292632,1.66237310,0.00499529,0.76126563
-5.83791896,3.08088581,0.00637609,0.49278927,0.62415091,1.69939391,0.00539588,0.77882462
