energy_ev,total_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,Te_p_up,Te_d_up,Zr_p_up,Zr_d_up
-6.00000000,4.10353981,0.01492000,0.55983706,1.54647865,0.48995517,1.83444089,0.00000000,0.83486509,0.98540476
-5.99399700,4.08700769,0.01496320,0.54376484,1.55877651,0.49400217,1.85462083,0.00000000,0.81842048,0.96164318
-5.98799400,4.06559264,0.01496622,0.52701079,1.56807336,0.49801597,1.87275720,0.00000000,0.80077474,0.93634255
-5.98199100,4.04058526,0.01493465,0.50984226,1.57477677,0.50207293,1.88923865,0.00000000,0.78235072,0.90995862
-5.97598799,4.01344349,0.01487529,0.49254961,1.57940223,0.50625632,1.90454022,0.00000000,0.76360889,0.88299543
-5.96998499,3.98574522,0.01479596,0.47543757,1.58255747,0.51065349,1.91920612,0.00000000,0.74503454,0.85599005
-5.96398199,3.95913637,0.01470520,0.45881660,1.58492267,0.51535257,1.93382882,0.00000000,0.72712410,0.82949670
-5.95797899,3.93527649,0.01461197,0.44299457,1.58722713,0.52043893,1.94902545,0.00000000,0.71037132,0.80407103
-5.95197599,3.91578415,0.01452540,0.42826887,1.59022346,0.52599158,1.96541264,0.00000000,0.69525362,0.78025500
-5.94597299,3.90218412,0.01445443,0.41491936,1.59466028,0.53207957,1.98358064,0.00000000,0.68221904,0.75856293
-5.93996998,3.89585845,0.01440753,0.40320223,1.60125442,0.53875878,2.00406819,0.00000000,0.67167436,0.73946913
-5.93396698,3.89800301,0.01439239,0.39334494,1.61066392,0.54606899,2.02733899,0.00000000,0.66397451,0.72339734
-5.92796398,3.90959121,0.01441570,0.38554226,1.62346281,0.55403165,2.05376098,0.00000000,0.65941374,0.71071234
-5.92196098,3.93134575,0.01448291,0.37995347,1.64011874,0.56264818,2.08358918,0.00000000,0.65821865,0.70171371
-5.91595798,3.96371946,0.01459806,0.37670073,1.66097434,0.57189913,2.11695280,0.00000000,0.66054335,0.69663196
-5.90995498,4.00688544,0.01476367,0.37586846,1.68623310,0.58174402,2.15384730,0.00000000,0.66646667,0.69562682
-5.90395198,4.06073665,0.01498063,0.37750385,1.71595021,0.59212192,2.19413133,0.00000000,0.67599165,0.69878780
-5.89794897,4.12489466,0.01524824,0.38161825,1.75002882,0.60295280,2.23752895,0.00000000,0.68904716,0.70613678
-5.89194597,4.19872697,0.01556417,0.38818952,1.78822174,0.61413947,2.28363673,0.00000000,0.70549154,0.71763243
-5.88594297,4.28137209,0.01592460,0.39716512,1.83013863,0.62557006,2.33193545,0.00000000,0.72511832,0.73317636
-5.87993997,4.37177131,0.01632431,0.40846599,1.87525816,0.63712087,2.38180581,0.00000000,0.74766356,0.75262070
-5.87393697,4.46870593,0.01675685,0.42199100,1.92294481,0.64865963,2.43254750,0.00000000,0.77281496,0.77577686
-5.86793397,4.57083866,0.01721475,0.43762199,1.97246963,0.66004875,2.48340081,0.00000000,0.80022215,0.80242529
-5.86193097,4.67675770,0.01768971,0.45522925,2.02303403,0.67114870,2.53356994,0.00000000,0.82950810,0.83232577
-5.85592796,4.78502207,0.01817287,0.47467727,2.07379576,0.68182124,2.58224709,0.00000000,0.86028128,0.86522809
-5.84992496,4.89420668,0.01865505,0.49583067,2.12389615,0.69193252,2.62863645,0.00000000,0.89214823,0.90088278
-5.84392196,5.00294576,0.01912702,0.51856012,2.17248746,0.70135577,2.67197726,0.00000000,0.92472605,0.93905131
-5.83791896,5.10997309,0.01957971,0.54274791,2.21875939,0.70997374,2.71156520,0.00000000,0.95765469,0.97951571
-5.83191596,5.21415799,0.02000452,0.56829320,2.26196391,0.71768069,2.74677137,0.00000000,0.99060830,1.02208694
-5.82591296,5.31453567,0.02039349,0.59511643,2.30143738,0.72438398,2.77705843,0.00000000,1.02330553,1.06661182
-5.81990995,5.41033112,0.02073956,0.62316270,2.33661937,0.73000519,2.80199337,0.00000000,1.05551825,1.11297801
-5.81390695,5.50097563,0.02103673,0.65240398,2.36706754,0.73448091,2.82125680,0.00000000,1.08707823,1.16111679
-5.80790395,5.58611557,0.02128020,0.68283978,2.39246828,0.73776312,2.83464849,0.00000000,1.11788177,1.21100330
-5.80190095,5.66561294,0.02146655,0.71449603,2.41264286,0.73981925,2.84208946,0.00000000,1.14789168,1.26265414
-5.79589795,5.73953790,0.02159378,0.74742228,2.42754903,0.74063206,2.84362050,0.00000000,1.17713664,1.31612205
-5.78989495,5.80815358,0.02166137,0.78168691,2.43727850,0.74019925,2.83939766,0.00000000,1.20570788,1.37148785
-5.78389195,5.87189360,0.02167033,0.81737046,2.44205032,0.73853300,2.82968509,0.00000000,1.23375307,1.42884975
-5.77788894,5.93133354,0.02162315,0.85455731,2.44220097,0.73565946,2.81484550,0.00000000,1.26146763,1.48831028
-5.77188594,5.98715718,0.02152379,0.89332583,2.43817155,0.73161825,2.79532908,0.00000000,1.28908381,1.54996127
-5.76588294,6.04011916,0.02137751,0.93373744,2.43049283,0.72646188,2.77166104,0.00000000,1.31685771,1.61386760
-5.75987994,6.09100535,0.02119084,0.97582498,2.41976883,0.72025532,2.74442853,0.00000000,1.34505484,1.68005017
-5.75387694,6.14059267,0.02097140,1.01958092,2.40665958,0.71307556,2.71426718,0.00000000,1.37393477,1.74846915
-5.74787394,6.18960984,0.02072770,1.06494609,2.39186357,0.70501112,2.68184775,0.00000000,1.40373539,1.81900810
