energy_ev,total_up,B_p_up,B_d_up,Cu_p_up,Cu_d_up,Se_s_up,Se_p_up
-6.00000000,1.32631322,0.04822259,0.00000000,0.46451564,0.29240669,0.01398736,0.53540456
-5.99399700,1.43383512,0.05211749,0.00000000,0.50234293,0.31636008,0.01502586,0.57850603
-5.98799400,1.54097013,0.05601665,0.00000000,0.53996005,0.34017068,0.01604719,0.62143908
-5.98199100,1.64622836,0.05987245,0.00000000,0.57683762,0.36350494,0.01703330,0.66359380
-5.97598799,1.74812211,0.06363888,0.00000000,0.61244447,0.38602673,0.01796647,0.70436173
-5.96998499,1.84520545,0.06727307,0.00000000,0.64626193,0.40740635,0.01882975,0.74315173
-5.96398199,1.93611444,0.07073670,0.00000000,0.67779857,0.42732962,0.01960747,0.77940611
-5.95797899,2.01960612,0.07399741,0.00000000,0.70660449,0.44550695,0.02028564,0.81261629
-5.95197599,2.09459445,0.07702997,0.00000000,0.73228487,0.46168181,0.02085244,0.84233713
-5.94597299,2.16018154,0.07981719,0.00000000,0.75451180,0.47563825,0.02129849,0.86819948
-5.93996998,2.21568239,0.08235060,0.00000000,0.77303413,0.48720718,0.02161721,0.88992002
-5.93396698,2.26064226,0.08463071,0.00000000,0.78768461,0.49627096,0.02180495,0.90730821
-5.92796398,2.29484539,0.08666688,0.00000000,0.79838415,0.50276629,0.02186109,0.92026974
-5.92196098,2.31831509,0.08847691,0.00000000,0.80514288,0.50668508,0.02178804,0.92880656
-5.91595798,2.33130490,0.09008610,0.00000000,0.80805807,0.50807348,0.02159107,0.93301340
-5.90995498,2.33428175,0.09152612,0.00000000,0.80730898,0.50702893,0.02127815,0.93307103
-5.90395198,2.32790177,0.09283350,0.00000000,0.80314892,0.50369563,0.02085956,0.92923672
-5.89794897,2.31298042,0.09404794,0.00000000,0.79589505,0.49825849,0.02034760,0.92183246
-5.89194597,2.29045846,0.09521052,0.00000000,0.78591622,0.49093611,0.01975611,0.91123154
-5.88594297,2.26136559,0.09636180,0.00000000,0.77361973,0.48197290,0.01910007,0.89784432
-5.87993997,2.22678370,0.09754005,0.00000000,0.75943743,0.47163098,0.01839515,0.88210389
-5.87393697,2.18781159,0.09877956,0.00000000,0.74381202,0.46018215,0.01765731,0.86445231
-5.86793397,2.14553270,0.10010924,0.00000000,0.72718384,0.44790026,0.01690247,0.84532815
-5.86193097,2.10098741,0.10155144,0.00000000,0.70997911,0.43505438,0.01614618,0.82515583
-5.85592796,2.05515070,0.10312118,0.00000000,0.69259964,0.42190303,0.01540344,0.80433710
-5.84992496,2.00891619,0.10482571,0.00000000,0.67541470,0.40868956,0.01468858,0.78324493
-5.84392196,1.96308644,0.10666447,0.00000000,0.65875494,0.39563899,0.01401522,0.76221992
-5.83791896,1.91836973,0.10862948,0.00000000,0.64290875,0.38295608,0.01339632,0.74156906
-5.83191596,1.87538258,0.11070606,0.00000000,0.62812077,0.37082483,0.01284432,0.72156664
-5.82591296,1.83465738,0.11287382,0.00000000,0.61459256,0.35940913,0.01237131,0.70245703
-5.81990995,1.79665404,0.11510806,0.00000000,0.60248511,0.34885445,0.01198923,0.68445886
-5.81390695,1.76177462,0.11738119,0.00000000,0.59192296,0.33929040,0.01171013,0.66777005
-5.80790395,1.73037944,0.11966447,0.00000000,0.58299944,0.33083377,0.01154636,0.65257341
-5.80190095,1.70280370,0.12192962,0.00000000,0.57578288,0.32359198,0.01151079,0.63904203
-5.79589795,1.67937323,0.12415057,0.00000000,0.57032301,0.31766643,0.01161691,0.62734430
