energy_ev,total_up,C_s_up,C_p_up,Ca_p_up,Ca_d_up,Re_p_up,Re_d_up,Se_s_up,Se_p_up
-6.00000000,1.92129299,0.02212479,0.14246278,0.01632191,0.00000000,0.98645705,0.51972019,0.00576243,1.12996447
-5.99399700,1.99649722,0.02277212,0.14721645,0.01704122,0.00000000,1.02047477,0.54022795,0.00609322,1.17606133
-5.98799400,2.06422444,0.02334234,0.15120463,0.01771302,0.00000000,1.05014112,0.55856162,0.00641354,1.21811576
-5.98199100,2.12370146,0.02383476,0.15436183,0.01833175,0.00000000,1.07512899,0.57447701,0.00671969,1.25568482
-5.97598799,2.17430739,0.02425033,0.15663776,0.01889272,0.00000000,1.09519845,0.58777445,0.00700818,1.28840690
-5.96998499,2.21557942,0.02459141,0.15799856,0.01939214,0.00000000,1.11019868,0.59830195,0.00727581,1.31600417
-5.96398199,2.24721365,0.02486141,0.15842765,0.01982704,0.00000000,1.12006680,0.60595687,0.00751967,1.33828217
-5.95797899,2.26906086,0.02506446,0.15792593,0.02019524,0.00000000,1.12482395,0.61068617,0.00773719,1.35512688
-5.95197599,2.28111782,0.02520498,0.15651148,0.02049523,0.00000000,1.12456871,0.61248510,0.00792611,1.36649936
-5.94597299,2.28351490,0.02528736,0.15421872,0.02072607,0.00000000,1.11946854,0.61139467,0.00808454,1.37242861
-5.93996998,2.27650060,0.02531561,0.15109709,0.02088730,0.00000000,1.10974958,0.60749786,0.00821091,1.37300313
-5.93396698,2.26042438,0.02529303,0.14720930,0.02097880,0.00000000,1.09568554,0.60091497,0.00830402,1.36836181
-5.92796398,2.23571852,0.02522209,0.14262923,0.02100074,0.00000000,1.07758627,0.59179822,0.00836302,1.35868466
-5.92196098,2.20288022,0.02510423,0.13743958,0.02095352,0.00000000,1.05578654,0.58032609,0.00838737,1.34418415
-5.91595798,2.16245491,0.02493988,0.13172942,0.02083769,0.00000000,1.03063570,0.56669744,0.00837689,1.32509745
-5.90995498,2.11502138,0.02472852,0.12559162,0.02065397,0.00000000,1.00248857,0.55112591,0.00833170,1.30168010
-5.90395198,2.06117951,0.02446885,0.11912041,0.02040329,0.00000000,0.97169786,0.53383467,0.00825226,1.27420134
-5.89794897,2.00154078,0.02415902,0.11240908,0.02008680,0.00000000,0.93860847,0.51505182,0.00813934,1.24294108
-5.89194597,1.93672181,0.02379696,0.10554783,0.01970599,0.00000000,0.90355347,0.49500644,0.00799404,1.20818864
-5.88594297,1.86734062,0.02338069,0.09862198,0.01926274,0.00000000,0.86685196,0.47392556,0.00781778,1.17024292
-5.87993997,1.79401542,0.02290873,0.09171053,0.01875945,0.00000000,0.82880839,0.45203185,0.00761228,1.12941375
-5.87393697,1.71736534,0.02238044,0.08488499,0.01819911,0.00000000,0.78971327,0.42954218,0.00737962,1.08602405
-5.86793397,1.63801254,0.02179636,0.07820861,0.01758540,0.00000000,0.74984468,0.40666681,0.00712216,1.04041228
-5.86193097,1.55658502,0.02115849,0.07173600,0.01692276,0.00000000,0.70947048,0.38360929,0.00684256,0.99293483
-5.85592796,1.47371939,0.02047048,0.06551303,0.01621640,0.00000000,0.66885069,0.36056676,0.00654379,0.94396791
-5.84992496,1.39006326,0.01973782,0.05957698,0.01547232,0.00000000,0.62823969,0.33773058,0.00622908,0.89390850
-5.84392196,1.30627649,0.01896781,0.05395708,0.01469727,0.00000000,0.58788820,0.31528725,0.00590187,0.84317428
-5.83791896,1.22303118,0.01816958,0.04867506,0.01389866,0.00000000,0.54804446,0.29341931,0.00556582,0.79220220
-5.83191596,1.14101013,0.01735388,0.04374601,0.01308448,0.00000000,0.50895489,0.27230630,0.00522474,0.74144580
-5.82591296,1.06090373,0.01653293,0.03917927,0.01226315,0.00000000,0.47086397,0.25212553,0.00488253,0.69137129
-5.81990995,0.98340549,0.01572009,0.03497934,0.01144336,0.00000000,0.43401337,0.23305279,0.00454317,0.64245255
-5.81390695,0.90920631,0.01492952,0.03114692,0.01063385,0.00000000,0.39864067,0.21526273,0.00421063,0.59516529
-5.80790395,0.83898793,0.01417582,0.02767984,0.00984330,0.00000000,0.36497751,0.19892908,0.00388882,0.54998074
-5.80190095,0.77341579,0.01347363,0.02457395,0.00908008,0.00000000,0.33324766,0.18422454,0.00358159,0.50735900
-5.79589795,0.71313165,0.01283721,0.02182405,0.00835207,0.00000000,0.30366499,0.17132037,0.00329264,0.46774257
-5.78989495,0.65874640,0.01228010,0.01942457,0.00766656,0.00000000,0.27643160,0.16038575,0.00302549,0.43155008
-5.78389195,0.61083303,0.01181472,0.01737032,0.00703003,0.00000000,0.25173626,0.15158668,0.00278347,0.39917060
-5.77788894,0.56992025,0.01145211,0.01565707,0.00644812,0.00000000,0.22975317,0.14508453,0.00256971,0.37095862
-5.77188594,0.53648641,0.01120161,0.01428196,0.00592548,0.00000000,0.21064127,0.14103422,0.00238708,0.34722963
-5.76588294,0.51095409,0.01107072,0.01324391,0.00546578,0.00000000,0.19454382,0.13958191,0.00223821,0.32825652
-5.75987994,0.49368493,0.01106488,0.01254385,0.00507165,0.00000000,0.18158841,0.14086212,0.00212549,0.31426650
-5.75387694,0.48497474,0.01118745,0.01218480,0.00474471,0.00000000,0.17188718,0.14499448,0.00205102,0.30543861
-5.74787394,0.48504865,0.01143961,0.01217188,0.00448560,0.00000000,0.16553714,0.15207992,0.00201665,0.30190157
-5.74187094,0.49405622,0.01182042,0.01251215,0.00429404,0.00000000,0.16262039,0.16219635,0.00202392,0.30373190
-5.73586793,0.51206631,0.01232685,0.01321432,0.00416887,0.00000000,0.16320418,0.17539410,0.00207408,0.31095219
-5.72986493,0.53906187,0.01295388,0.01428837,0.00410819,0.00000000,0.16734051,0.19169105,0.00216802,0.32352949
-5.72386193,0.57493460,0.01369464,0.01574500,0.00410938,0.00000000,0.17506538,0.21106776,0.00230625,0.34137375
