energy_ev,total_up,Co_p_up,Co_d_up,N_s_up,N_p_up,Pd_p_up,Pd_d_up,Te_p_up,Te_d_up
-5.64582291,5.03609351,0.94093563,0.52452395,0.00821172,0.58613459,3.12845708,2.60768340,1.43978255,0.00000000
-5.63981991,5.16154070,0.95515499,0.53647310,0.00850218,0.60417541,3.19730496,2.67839022,1.47173569,0.00000000
-5.63381691,5.27965250,0.96797974,0.54772713,0.00874923,0.62139211,3.26004608,2.74554566,1.50135433,0.00000000
-5.62781391,5.38836674,0.97914332,0.55809797,0.00894829,0.63740620,3.31542884,2.80803379,1.52823227,0.00000000
-5.62181091,5.48570179,0.98839575,0.56741085,0.00909564,0.65183760,3.36227573,2.86477803,1.55199136,0.00000000
-5.61580790,5.56981060,0.99551243,0.57550786,0.00918856,0.66431623,3.39951873,2.91477059,1.57229089,0.00000000
-5.60980490,5.63903290,1.00030212,0.58225101,0.00922540,0.67449384,3.42623235,2.95710107,1.58883620,0.00000000
-5.60380190,5.69194371,1.00261402,0.58752476,0.00920561,0.68205558,3.44166294,2.99098341,1.60138618,0.00000000
-5.59779890,5.72739631,1.00234334,0.59123797,0.00912976,0.68673089,3.44525320,3.01578010,1.60975937,0.00000000
-5.59179590,5.74455807,0.99943545,0.59332534,0.00899953,0.68830307,3.43666075,3.03102269,1.61383845,0.00000000
-5.58579290,5.74293753,0.99388814,0.59374812,0.00881763,0.68661736,3.41577007,3.03642773,1.61357299,0.00000000
-5.57978989,5.72240173,0.98575219,0.59249436,0.00858773,0.68158688,3.38269735,3.03190759,1.60898031,0.00000000
-5.57378689,5.68318303,0.97512997,0.58957847,0.00831429,0.67319628,3.33778799,3.01757542,1.60014449,0.00000000
-5.56778389,5.62587490,0.96217237,0.58504036,0.00800248,0.66150304,3.28160689,2.99374416,1.58721358,0.00000000
-5.56178089,5.55141677,0.94707415,0.57894395,0.00765799,0.64663604,3.21492197,2.96091935,1.57039510,0.00000000
-5.55577789,5.46106855,0.93006777,0.57137537,0.00728685,0.62879185,3.13868148,2.91978605,1.54995006,0.00000000
-5.54977489,5.35637540,0.91141627,0.56244067,0.00689529,0.60822854,3.05398622,2.87119012,1.52618567,0.00000000
-5.54377189,5.23912435,0.89140511,0.55226325,0.00648955,0.58525757,2.96205758,2.81611465,1.49944716,0.00000000
-5.53776888,5.11129407,0.87033364,0.54098101,0.00607575,0.56023396,2.86420280,2.75565228,1.47010879,0.00000000
-5.53176588,4.97499982,0.84850633,0.52874332,0.00565972,0.53354520,2.76177875,2.69097435,1.43856459,0.00000000
-5.52576288,4.83243549,0.82622406,0.51570784,0.00524691,0.50559943,2.65615556,2.62329819,1.40521904,0.00000000
-5.51975988,4.68581491,0.80377592,0.50203736,0.00484224,0.47681333,2.54868150,2.55385354,1.37047797,0.00000000
-5.51375688,4.53731442,0.78143164,0.48789653,0.00445009,0.44760022,2.44065016,2.48384945,1.33474009,0.00000000
-5.50775388,4.38901876,0.75943498,0.47344885,0.00407418,0.41835887,2.33327124,2.41444276,1.29838921,0.00000000
-5.50175088,4.24287202,0.73799821,0.45885365,0.00371758,0.38946333,2.22764547,2.34670929,1.26178753,0.00000000
-5.49574787,4.10063509,0.71729788,0.44426334,0.00338269,0.36125427,2.12474462,2.28161858,1.22526999,0.00000000
-5.48974487,3.96385096,0.69747185,0.42982099,0.00307124,0.33403187,2.02539681,2.22001311,1.18913985,0.00000000
-5.48374187,3.83381840,0.67861783,0.41565804,0.00278433,0.30805063,1.93027725,2.16259231,1.15366554,0.00000000
-5.47773887,3.71157474,0.66079316,0.40189250,0.00252248,0.28351610,1.83990448,2.10990182,1.11907865,0.00000000
-5.47173587,3.59788742,0.64401591,0.38862743,0.00228565,0.26058336,1.75464161,2.06232804,1.08557313,0.00000000
-5.46573287,3.49325420,0.62826726,0.37594973,0.00207334,0.23935743,1.67470226,2.02009773,1.05330536,0.00000000
-5.45972986,3.39791120,0.61349484,0.36392941,0.00188465,0.21989523,1.60016045,1.98328239,1.02239523,0.00000000
-5.45372686,3.31184786,0.59961698,0.35261909,0.00171834,0.20220893,1.53096376,1.95180682,0.99292781,0.00000000
-5.44772386,3.23482759,0.58652766,0.34205392,0.00157289,0.18627044,1.46694896,1.92546111,0.96495545,0.00000000
-5.44172086,3.16641290,0.57410194,0.33225180,0.00144661,0.17201673,1.40785932,1.90391544,0.93850035,0.00000000
-5.43571786,3.10599351,0.56220162,0.32321387,0.00133767,0.15935578,1.35336279,1.88673677,0.91355712,0.00000000
-5.42971486,3.05281631,0.55068102,0.31492528,0.00124418,0.14817269,1.30307027,1.87340663,0.89009548,0.00000000
-5.42371186,3.00601571,0.53939251,0.30735625,0.00116423,0.13833592,1.25655344,1.86333928,0.86806272,0.00000000
-5.41770885,2.96464357,0.52819182,0.30046327,0.00109596,0.12970322,1.21336144,1.85589959,0.84738616,0.00000000
-5.41170585,2.92769752,0.51694273,0.29419051,0.00103756,0.12212719,1.17303609,1.85042006,0.82797528,0.00000000
-5.40570285,2.89414719,0.50552121,0.28847147,0.00098736,0.11546030,1.13512522,1.84621670,0.80972367,0.00000000
-5.39969985,2.86295792,0.49381880,0.28323063,0.00094378,0.10955919,1.09919405,1.84260331,0.79251094,0.00000000
-5.39369685,2.83311156,0.48174511,0.27838536,0.00090543,0.10428826,1.06483432,1.83890421,0.77620434,0.00000000
-5.38769385,2.80362441,0.46922967,0.27384783,0.00087106,0.09952244,1.03167142,1.83446541,0.76066059,0.00000000
-5.38169085,2.77356253,0.45622271,0.26952700,0.00083958,0.09514932,0.99936944,1.82866417,0.74572760,0.00000000
-5.37568784,2.74205443,0.44269539,0.26533072,0.00081007,0.09107039,0.96763438,1.82091740,0.73124647,0.00000000
-5.36968484,2.70830176,0.42863913,0.26116772,0.00078177,0.08720178,0.93621573,1.81068876,0.71705372,0.00000000
-5.36368184,2.67158806,0.41406445,0.25694969,0.00075407,0.08347429,0.90490664,1.79749505,0.70298380,0.00000000
-5.35767884,2.63128616,0.39899919,0.25259327,0.00072649,0.07983302,0.87354304,1.78091179,0.68887189,0.00000000
-5.35167584,2.58686430,0.38348646,0.24802186,0.00069871,0.07623653,0.84200173,1.76057830,0.67455711,0.00000000
-5.34567284,2.53789132,0.36758224,0.24316744,0.00067047,0.07265576,0.81019803,1.73620228,0.65988590,0.00000000
-5.33966983,2.48404100,0.35135289,0.23797208,0.00064165,0.06907267,0.77808283,1.70756397,0.64471563,0.00000000
-5.33366683,2.42509542,0.33487262,0.23238929,0.00061221,0.06547878,0.74563949,1.67451972,0.62891836,0.00000000
-5.32766383,2.36094742,0.31822107,0.22638511,0.00058215,0.06187368,0.71288061,1.63700491,0.61238439,0.00000000
-5.32166083,2.29160191,0.30148101,0.21993887,0.00055156,0.05826346,0.67984480,1.59503593,0.59502576,0.00000000
-5.31565783,2.21717571,0.28473631,0.21304368,0.00052056,0.05465929,0.64659340,1.54871118,0.57677923,0.00000000
-5.30965483,2.13789580,0.26807011,0.20570653,0.00048931,0.05107605,0.61320746,1.49821054,0.55760888,0.00000000
-5.30365183,2.05409569,0.25156336,0.19794809,0.00045798,0.04753104,0.57978458,1.44379346,0.53750786,0.00000000
-5.29764882,1.96620964,0.23529350,0.18980209,0.00042677,0.04404287,0.54643603,1.38579520,0.51649944,0.00000000
-5.29164582,1.87476477,0.21933355,0.18131443,0.00039587,0.04063056,0.51328373,1.32462132,0.49463715,0.00000000
-5.28564282,1.78037083,0.20375133,0.17254197,0.00036549,0.03731263,0.48045745,1.26074031,0.47200393,0.00000000
-5.27963982,1.68370787,0.18860895,0.16355097,0.00033580,0.03410652,0.44809183,1.19467448,0.44871037,0.00000000
-5.27363682,1.58551204,0.17396240,0.15441540,0.00030700,0.03102802,0.41632360,1.12698927,0.42489198,0.00000000
-5.26763382,1.48655964,0.15986133,0.14521496,0.00027925,0.02809088,0.38528868,1.05828126,0.40070566,0.00000000
-5.26163082,1.38765013,0.14634887,0.13603306,0.00025269,0.02530658,0.35511939,0.98916527,0.37632547,0.00000000
