energy_ev,total_up,N_s_up,N_p_up,Rh_p_up,Rh_d_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up
-6.00000000,10.79947113,0.08684821,0.95324684,4.53221937,3.65895858,0.11677321,5.15546158,2.75058760,0.62061336
-5.99399700,10.74822392,0.08632205,0.93277031,4.48688732,3.59761272,0.11685677,5.17355447,2.81666328,0.62674377
-5.98799400,10.69166809,0.08549144,0.91027517,4.43442805,3.53471431,0.11679258,5.19188871,2.88576562,0.63331950
-5.98199100,10.63079445,0.08435798,0.88625528,4.37608470,3.47134597,0.11658737,5.20997792,2.95672238,0.64000953
-5.97598799,10.56646430,0.08292897,0.86121057,4.31312174,3.40852501,0.11624763,5.22725127,3.02827549,0.64649185
-5.96998499,10.49931200,0.08121698,0.83562865,4.24676774,3.34715207,0.11577876,5.24302971,3.09909291,0.65245454
-5.96398199,10.42966758,0.07923930,0.80996771,4.17816459,3.28796780,0.11518434,5.25651193,3.16778582,0.65759731
-5.95797899,10.35750460,0.07701732,0.78464150,4.10832592,3.23151981,0.11446565,5.26677173,3.23293161,0.66163386
-5.95197599,10.28241690,0.07457584,0.76000726,4.03810657,3.17814189,0.11362137,5.27276790,3.29310230,0.66429502
-5.94597299,10.20362582,0.07194229,0.73635696,3.96818454,3.12794624,0.11264758,5.27336650,3.34689779,0.66533265
-5.93996998,10.12001743,0.06914608,0.71391214,3.89905590,3.08082910,0.11153792,5.26737468,3.39298290,0.66452427
-5.93396698,10.03020734,0.06621780,0.69282264,3.83104208,3.03648900,0.11028417,5.25358439,3.43012658,0.66167803
-5.92796398,9.93262875,0.06318864,0.67316890,3.76430863,2.99445639,0.10887686,5.23082340,3.45724173,0.65663788
-5.92196098,9.82563809,0.06008977,0.65496758,3.69889344,2.95413264,0.10730613,5.19801075,3.47342340,0.64928854
-5.91595798,9.70763125,0.05695183,0.63818006,3.63474215,2.91483579,0.10556270,5.15421309,3.47798348,0.63955984
-5.90995498,9.57716302,0.05380446,0.62272309,3.57174792,2.87585027,0.10363888,5.09869862,3.47047991,0.62743026
-5.90395198,9.43306192,0.05067599,0.60848088,3.50979271,2.83647752,0.10152949,5.03098501,3.45073839,0.61292904
-5.89794897,9.27453327,0.04759308,0.59531789,3.44878698,2.79608442,0.09923278,4.95087845,3.41886545,0.59613700
-5.89194597,9.10124378,0.04458053,0.58309146,3.38870516,2.75414679,0.09675115,4.85850104,3.37525144,0.57718552
-5.88594297,8.91338235,0.04166108,0.57166361,3.32961433,2.71028531,0.09409166,4.75430480,3.32056306,0.55625389
-5.87993997,8.71169308,0.03885524,0.56091120,3.27169412,2.66429197,0.09126634,4.63907101,3.25572534,0.53356487
-5.87393697,8.49747835,0.03618120,0.55073417,3.21524653,2.61614556,0.08829226,4.51389470,3.18189340,0.50937875
-5.86793397,8.27257133,0.03365474,0.54106109,3.16069476,2.56601542,0.08519126,4.38015474,3.10041514,0.48398591
-5.86193097,8.03927924,0.03128914,0.53185218,3.10857111,2.51425347,0.08198955,4.23947085,3.01278624,0.45769849
-5.85592796,7.80030038,0.02909509,0.52309943,3.05949441,2.46137504,0.07871700,4.09364954,2.92059923,0.43084119
-5.84992496,7.55861910,0.02708072,0.51482416,3.01413849,2.40802971,0.07540628,3.94462164,2.82548896,0.40374190
-5.84392196,7.31738452,0.02525146,0.50707211,2.97319319,2.35496407,0.07209186,3.79437428,2.72907662,0.37672233
-5.83791896,7.07977910,0.02361011,0.49990659,2.93732048,2.30297849,0.06880891,3.64488065,2.63291473,0.35008917
-5.83191596,6.84888424,0.02215677,0.49340025,2.90710821,2.25288055,0.06559222,3.49803090,2.53843556,0.32412608
-5.82591296,6.62754970,0.02088895,0.48762588,2.88302427,2.20543771,0.06247506,3.35556726,2.44690497,0.29908685
-5.81990995,6.41827353,0.01980156,0.48264713,2.86537410,2.16133198,0.05948821,3.21902643,2.35938378,0.27518989
-5.81390695,6.22309870,0.01888709,0.47850957,2.85426422,2.12111914,0.05665907,3.08969164,2.27669799,0.25261432
-5.80790395,6.04353132,0.01813574,0.47523289,2.84957416,2.08519476,0.05401093,2.96855647,2.19941922,0.23149761
-5.80190095,5.88048453,0.01753562,0.47280457,2.85093885,2.05376879,0.05156244,2.85630170,2.12785587,0.21193490
-5.79589795,5.73425041,0.01707305,0.47117567,2.85774282,2.02685026,0.04932727,2.75328592,2.06205527,0.19397979
-5.78989495,5.60450097,0.01673284,0.47025883,2.86912700,2.00424262,0.04731403,2.65954987,2.00181634,0.17764657
-5.78389195,5.49031761,0.01649866,0.46992875,2.88400819,1.98555007,0.04552626,2.57483381,1.94671221,0.16291364
-5.77788894,5.39024713,0.01635340,0.47002511,2.90111045,1.97019432,0.04396276,2.49860666,1.89612128,0.14972788
-5.77188594,5.30238079,0.01627963,0.47035786,2.91900720,1.95744078,0.04261798,2.43010514,1.84926541,0.13800979
-5.76588294,5.22445215,0.01625996,0.47071444,2.93617178,1.94643269,0.04148248,2.36838052,1.80525309,0.12765899
-5.75987994,5.15394813,0.01627750,0.47086864,2.95103433,1.93623121,0.04054362,2.31235055,1.76312572,0.11855999
-5.75387694,5.08822757,0.01631622,0.47059055,2.96204171,1.92585920,0.03978613,2.26085393,1.72190481,0.11058786
-5.74787394,5.02464119,0.01636134,0.46965712,2.96771781,1.91434648,0.03919281,2.21270445,1.68063784,0.10361365
-5.74187094,4.96064690,0.01639960,0.46786255,2.96672081,1.90077395,0.03874510,2.16674253,1.63844092,0.09750927
-5.73586793,4.89391507,0.01641952,0.46502815,2.95789480,1.88431451,0.03842368,2.12188158,1.59453641,0.09215185
-5.72986493,4.82241898,0.01641159,0.46101097,2.94031300,1.86426858,0.03820892,2.07714761,1.54828393,0.08742730
-5.72386193,4.74450669,0.01636836,0.45571084,2.91331063,1.84009274,0.03808128,2.03171037,1.49920377,0.08323310
-5.71785893,4.65895180,0.01628448,0.44907541,2.87650600,1.81142016,0.03802163,1.98490537,1.44699194,0.07948030
-5.71185593,4.56498159,0.01615661,0.44110289,2.82980898,1.77807209,0.03801138,1.93624631,1.39152651,0.07609461
-5.70585293,4.46228279,0.01598337,0.43184251,2.77341701,1.74006032,0.03803271,1.88542809,1.33286560,0.07301684
-5.69984992,4.35098580,0.01576512,0.42139264,2.70779902,1.69758082,0.03806852,1.83232122,1.27123736,0.07020256
-5.69384692,4.23162981,0.01550377,0.40989662,2.63366889,1.65099931,0.03810254,1.77695848,1.20702306,0.06762114
-5.68784392,4.10511188,0.01520249,0.39753679,2.55195002,1.60083002,0.03811927,1.71951560,1.14073439,0.06525435
-5.68184092,3.97262368,0.01486552,0.38452682,2.46373332,1.54770894,0.03810404,1.66028716,1.07298638,0.06309452
-5.67583792,3.83558012,0.01449780,0.37110291,2.37023107,1.49236342,0.03804296,1.59965994,1.00446758,0.06114244
-5.66983492,3.69554416,0.01410481,0.35751431,2.27272919,1.43557965,0.03792307,1.53808501,0.93590897,0.05940514
-5.66383192,3.55415186,0.01369227,0.34401361,2.17254034,1.37816997,0.03773236,1.47605049,0.86805316,0.05789358
-5.65782891,3.41304154,0.01326594,0.33084724,2.07096009,1.32094151,0.03746002,1.41405622,0.80162528,0.05662051
-5.65182591,3.27379024,0.01283147,0.31824681,1.96922811,1.26466767,0.03709655,1.35259160,0.73730670,0.05559836
-5.64582291,3.13786016,0.01239429,0.30642141,1.86849584,1.21006362,0.03663408,1.29211733,0.67571258,0.05483751
-5.63981991,3.00655678,0.01195948,0.29555146,1.76980163,1.15776676,0.03606657,1.23305172,0.61737393,0.05434478
-5.63381691,2.88099985,0.01153174,0.28578416,1.67405393,1.10832267,0.03539013,1.17576156,0.56272455,0.05412229
