energy_ev,total_up,total_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,N_s_up,N_s_down,N_p_up,N_p_down,S_s_up,S_s_down,S_p_up,S_p_down
-6.00000000,2.54436233,-0.45388254,0.50593007,-0.07699350,0.53640147,-0.03552181,0.01432352,-0.00418037,0.32122038,-0.06811852,0.02784405,-0.00378617,0.81287324,-0.16485551
-5.99399700,2.56359951,-0.49204143,0.50524739,-0.08489541,0.53867368,-0.03886492,0.01413670,-0.00427673,0.31694987,-0.07383777,0.02863776,-0.00421263,0.82989266,-0.17955264
-5.98799400,2.57828220,-0.53707157,0.50386024,-0.09396183,0.54028855,-0.04279166,0.01406798,-0.00440285,0.31233574,-0.08051718,0.02927994,-0.00469933,0.84510852,-0.19690103
-5.98199100,2.58727165,-0.58933952,0.50153918,-0.10421655,0.54101299,-0.04733739,0.01411549,-0.00456676,0.30726807,-0.08819935,0.02975841,-0.00525145,0.85809699,-0.21705197
-5.97598799,2.58959344,-0.64916503,0.49809220,-0.11567062,0.54064470,-0.05253418,0.01427639,-0.00477676,0.30166395,-0.09692003,0.03006401,-0.00587365,0.86847706,-0.24013835
-5.96998499,2.58446536,-0.71680498,0.49337071,-0.12832040,0.53901782,-0.05840954,0.01454695,-0.00504117,0.29546960,-0.10670638,0.03019084,-0.00656989,0.87592210,-0.26626792
-5.96398199,2.57131828,-0.79243795,0.48727422,-0.14214598,0.53600699,-0.06498509,0.01492253,-0.00536817,0.28866105,-0.11757527,0.03013638,-0.00734326,0.88016982,-0.29551680
-5.95797899,2.54980927,-0.87615007,0.47975352,-0.15710992,0.53152980,-0.07227535,0.01539749,-0.00576556,0.28124379,-0.12953183,0.02990154,-0.00819584,0.88103009,-0.32792342
-5.95197599,2.51982676,-0.96792268,0.47081246,-0.17315655,0.52554751,-0.08028668,0.01596514,-0.00624057,0.27325118,-0.14256835,0.02949061,-0.00912857,0.87839040,-0.36348311
-5.94597299,2.48148791,-1.06762237,0.46050816,-0.19021184,0.51806422,-0.08901633,0.01661765,-0.00679960,0.26474194,-0.15666339,0.02891106,-0.01014111,0.87221887,-0.40214375
-5.93996998,2.43512852,-1.17499380,0.44894998,-0.20818374,0.50912446,-0.09845173,0.01734591,-0.00744804,0.25579676,-0.17178135,0.02817335,-0.01123182,0.86256461,-0.44380238
-5.93396698,2.38128646,-1.28965549,0.43629702,-0.22696324,0.49880950,-0.10857003,0.01813950,-0.00819000,0.24651443,-0.18787232,0.02729062,-0.01239766,0.84955560,-0.48830316
-5.92796398,2.32067939,-1.41109880,0.42275467,-0.24642589,0.48723262,-0.11933773,0.01898661,-0.00902810,0.23700748,-0.20487234,0.02627826,-0.01363421,0.83339415,-0.53543669
-5.92196098,2.25417835,-1.53868989,0.40857003,-0.26643387,0.47453362,-0.13071071,0.01987401,-0.00996333,0.22739781,-0.22270391,0.02515355,-0.01493569,0.81435037,-0.58494052
-5.91595798,2.18277830,-1.67167468,0.39402669,-0.28683845,0.46087289,-0.14263438,0.02078711,-0.01099480,0.21781225,-0.24127682,0.02393519,-0.01629497,0.79275383,-0.63650115
-5.90995498,2.10756722,-1.80918645,0.37943890,-0.30748273,0.44642542,-0.15504401,0.02171011,-0.01211966,0.20837859,-0.26048919,0.02264278,-0.01770367,0.76898391,-0.68975711
-5.90395198,2.02969523,-1.95025571,0.36514538,-0.32820464,0.43137491,-0.16786534,0.02262614,-0.01333297,0.19922194,-0.28022861,0.02129643,-0.01915223,0.74345937,-0.74430317
-5.89794897,1.95034478,-2.09382207,0.35150297,-0.34883996,0.41590845,-0.18101523,0.02351753,-0.01462765,0.19046174,-0.30037348,0.01991621,-0.02063003,0.71662747,-0.79969552
-5.89194597,1.87070336,-2.23874765,0.33888031,-0.36922532,0.40021187,-0.19440256,0.02436621,-0.01599450,0.18220939,-0.32079436,0.01852180,-0.02212552,0.68895313,-0.85545763
-5.88594297,1.79193928,-2.38383173,0.32765162,-0.38920113,0.38446594,-0.20792919,0.02515408,-0.01742223,0.17456665,-0.34135544,0.01713204,-0.02362628,0.66090862,-0.91108679
-5.87993997,1.71518153,-2.52782637,0.31819077,-0.40861428,0.36884357,-0.22149103,0.02586347,-0.01889767,0.16762473,-0.36191594,0.01576462,-0.02511923,0.63296410,-0.96606105
