energy_ev,total_up,As_p_up,As_d_up,S_s_up,S_p_up,Y_p_up,Y_d_up
-6.00000000,1.07940056,0.03894385,0.00000000,0.00835383,0.61578956,0.41107068,0.31888356
-5.99399700,1.04443805,0.03755656,0.00000000,0.00820273,0.59493099,0.40004865,0.30826024
-5.98799400,1.01356031,0.03650359,0.00000000,0.00813321,0.57635016,0.38965830,0.29894654
-5.98199100,0.98636910,0.03577458,0.00000000,0.00814538,0.55981987,0.37971404,0.29083162
-5.97598799,0.96246903,0.03535833,0.00000000,0.00823878,0.54511430,0.37004077,0.28380425
-5.96998499,0.94148916,0.03524340,0.00000000,0.00841246,0.53202164,0.36048233,0.27775914
-5.96398199,0.92310097,0.03541878,0.00000000,0.00866509,0.52035455,0.35090846,0.27260227
-5.95797899,0.90703182,0.03587425,0.00000000,0.00899496,0.50995820,0.34121998,0.26825484
-5.95197599,0.89307371,0.03660075,0.00000000,0.00940012,0.50071540,0.33135198,0.26465590
-5.94597299,0.88108724,0.03759051,0.00000000,0.00987835,0.49254909,0.32127514,0.26176358
-5.93996998,0.87100105,0.03883709,0.00000000,0.01042727,0.48542210,0.31099518,0.25955494
-5.93396698,0.86280732,0.04033533,0.00000000,0.01104433,0.47933461,0.30055062,0.25802474
-5.92796398,0.85655394,0.04208117,0.00000000,0.01172687,0.47431970,0.29000922,0.25718324
-5.92196098,0.85233423,0.04407139,0.00000000,0.01247218,0.47043736,0.27946338,0.25705328
-5.91595798,0.85027517,0.04630338,0.00000000,0.01327752,0.46776774,0.26902475,0.25766695
-5.90995498,0.85052489,0.04877475,0.00000000,0.01414022,0.46640375,0.25881856,0.25906209
-5.90395198,0.85324029,0.05148302,0.00000000,0.01505775,0.46644397,0.24897795,0.26127888
-5.89794897,0.85857556,0.05442527,0.00000000,0.01602774,0.46798585,0.23963848,0.26435663
-5.89194597,0.86667200,0.05759781,0.00000000,0.01704813,0.47111983,0.23093321,0.26833110
-5.88594297,0.87764951,0.06099582,0.00000000,0.01811716,0.47592442,0.22298839,0.27323224
-5.87993997,0.89160011,0.06461304,0.00000000,0.01923346,0.48246251,0.21591992,0.27908265
-5.87393697,0.90858333,0.06844143,0.00000000,0.02039605,0.49077878,0.20983060,0.28589642
-5.86793397,0.92862336,0.07247091,0.00000000,0.02160432,0.50089827,0.20480814,0.29367872
-5.86193097,0.95170795,0.07668904,0.00000000,0.02285801,0.51282593,0.20092382,0.30242563
-5.85592796,0.97778845,0.08108078,0.00000000,0.02415707,0.52654696,0.19823182,0.31212446
-5.84992496,1.00678088,0.08562827,0.00000000,0.02550156,0.54202776,0.19676889,0.32275423
-5.84392196,1.03856766,0.09031063,0.00000000,0.02689143,0.55921722,0.19655447,0.33428624
-5.83791896,1.07299964,0.09510385,0.00000000,0.02832635,0.57804818,0.19759095,0.34668473
-5.83191596,1.10989824,0.09998078,0.00000000,0.02980543,0.59843896,0.19986408,0.35990737
-5.82591296,1.14905755,0.10491115,0.00000000,0.03132697,0.62029472,0.20334343,0.37390568
-5.81990995,1.19024633,0.10986179,0.00000000,0.03288819,0.64350855,0.20798290,0.38862526
-5.81390695,1.23320981,0.11479691,0.00000000,0.03448501,0.66796251,0.21372118,0.40400590
