energy_ev,total_up,Ag_p_up,Ag_d_up,N_s_up,N_p_up,S_s_up,S_p_up,Zr_p_up,Zr_d_up
-6.00000000,8.19956419,0.42104289,1.24485983,0.02827255,1.48633824,0.07493396,2.81211932,3.23187145,1.91943126
-5.99399700,8.11152222,0.41687504,1.24794222,0.02823369,1.45975373,0.07234658,2.78652300,3.21263630,1.88463920
-5.98799400,8.02274308,0.41314144,1.25188686,0.02816051,1.43183754,0.06966704,2.76149903,3.19284479,1.84850814
-5.98199100,7.93595608,0.40997861,1.25695242,0.02805833,1.40327003,0.06694268,2.73787027,3.17357797,1.81187594
-5.97598799,7.85370039,0.40750765,1.26334809,0.02793275,1.37472357,0.06421978,2.71637964,3.15585947,1.77556656
-5.96998499,7.77824806,0.40583078,1.27122622,0.02778945,1.34684206,0.06154253,2.69766776,3.14062506,1.74036516
-5.96398199,7.71153791,0.40502849,1.28067721,0.02763411,1.32022209,0.05895204,2.68225427,3.12869584,1.70699511
-5.95797899,7.65512263,0.40515724,1.29172644,0.02747223,1.29539660,0.05648550,2.67052341,3.12075591,1.67609775
-5.95197599,7.61013074,0.40624793,1.30433361,0.02730899,1.27282136,0.05417555,2.66271441,3.11733511,1.64821561
-5.94597299,7.57724439,0.40830510,1.31839411,0.02714918,1.25286499,0.05204971,2.65891676,3.11879735,1.62377954
-5.93996998,7.55669320,0.41130694,1.33374257,0.02699704,1.23580242,0.05013014,2.65907062,3.12533450,1.60310016
-5.93396698,7.54826379,0.41520595,1.35015821,0.02685619,1.22181207,0.04843340,2.66297197,3.13696596,1.58636369
-5.92796398,7.55132395,0.41993052,1.36737186,0.02672961,1.21097640,0.04697050,2.67028241,3.15354353,1.57363208
-5.92196098,7.56485977,0.42538702,1.38507431,0.02661955,1.20328574,0.04574699,2.68054298,3.17476103,1.56484721
-5.91595798,7.58752377,0.43146263,1.40292571,0.02652754,1.19864482,0.04476328,2.69319148,3.20016816,1.55983874
-5.90995498,7.61769176,0.43802860,1.42056569,0.02645440,1.19688155,0.04401498,2.70758251,3.22918775,1.55833501
-5.90395198,7.65352555,0.44494402,1.43762395,0.02640028,1.19775746,0.04349332,2.72300951,3.26113562,1.55997655
-5.89794897,7.69303927,0.45205976,1.45373085,0.02636471,1.20097917,0.04318571,2.73872793,3.29524209,1.56433120
-5.89194597,7.73416627,0.45922273,1.46852791,0.02634661,1.20621039,0.04307626,2.75397872,3.33067435,1.57091046
-5.88594297,7.77482437,0.46628002,1.48167772,0.02634445,1.21308371,0.04314630,2.76801135,3.36655888,1.57918622
