energy_ev,total_up,Ag_p_up,Ag_d_up,N_s_up,N_p_up,Ni_p_up,Ni_d_up,S_s_up,S_p_up
-6.00000000,5.23624475,1.53952308,2.72911036,0.00216510,0.54513629,0.62225861,0.71644371,0.01041536,1.04730652
-5.99399700,5.24626892,1.56026305,2.70893721,0.00227048,0.53761077,0.62996349,0.73851088,0.01028032,1.07322909
-5.98799400,5.25918474,1.58198207,2.68917929,0.00239301,0.52978622,0.63853074,0.76210173,0.01021644,1.10096795
-5.98199100,5.27634228,1.60494936,2.67092223,0.00253262,0.52192132,0.64801448,0.78711369,0.01022799,1.13041802
-5.97598799,5.29887712,1.62937420,2.65515912,0.00268886,0.51426681,0.65843058,0.81339143,0.01031780,1.16140560
-5.96998499,5.32764434,1.65538354,2.64274749,0.00286096,0.50705485,0.66975275,0.84072546,0.01048715,1.19368567
-5.96398199,5.36316477,1.68300317,2.63437252,0.00304772,0.50048932,0.68191028,0.86885269,0.01073562,1.22694214
-5.95797899,5.40558654,1.71214370,2.63051821,0.00324752,0.49473744,0.69478774,0.89745938,0.01106098,1.26079116
-5.95197599,5.45466398,1.74259228,2.63144794,0.00345833,0.48992330,0.70822664,0.92618629,0.01145913,1.29478756
-5.94597299,5.50975520,1.77401049,2.63719511,0.00367770,0.48612340,0.72202907,0.95463604,0.01192411,1.32843436
-5.93996998,5.56983860,1.80593904,2.64756439,0.00390281,0.48336456,0.73596318,0.98238250,0.01244813,1.36119499
-5.93396698,5.63354799,1.83780885,2.66214339,0.00413049,0.48162414,0.74977038,1.00898198,0.01302169,1.39250806
-5.92796398,5.69922459,1.86895840,2.68032415,0.00435732,0.48083271,0.76317390,1.03398576,0.01363374,1.42180389
-5.92196098,5.76498389,1.89865639,2.70133336,0.00457965,0.48087880,0.77588846,1.05695363,0.01427189,1.44852248
-5.91595798,5.82879411,1.92612882,2.72426986,0.00479375,0.48161572,0.78763065,1.07746780,0.01492268,1.47213192
-5.90995498,5.88856291,1.95058923,2.74814770,0.00499589,0.48286988,0.79812945,1.09514678,0.01557195,1.49214680
-5.90395198,5.94222819,1.97127054,2.77194264,0.00518241,0.48445041,0.80713671,1.10965848,0.01620515,1.50814551
-5.89794897,5.98784883,1.98745715,2.79463999,0.00534988,0.48615935,0.81443684,1.12073200,0.01680775,1.51978596
-5.89194597,6.02369123,1.99851563,2.81528159,0.00549516,0.48780220,0.81985547,1.12816771,0.01736562,1.52681875
-5.88594297,6.04830743,2.00392267,2.83300978,0.00561553,0.48919804,0.82326659,1.13184484,0.01786549,1.52909734
-5.87993997,6.06060137,2.00328878,2.84710639,0.00570876,0.49018904,0.82459786,1.13172647,0.01829525,1.52658451
-5.87393697,6.05988003,1.99637683,2.85702497,0.00577316,0.49064858,0.82383384,1.12786144,0.01864437,1.51935500
-5.86793397,6.04588703,1.98311441,2.86241493,0.00580767,0.49048786,0.82101687,1.12038305,0.01890415,1.50759380
-5.86193097,6.01881722,1.96359950,2.86313636,0.00581187,0.48966059,0.81624568,1.10950462,0.01906798,1.49159037
-5.85592796,5.97931144,1.93809922,2.85926512,0.00578597,0.48816555,0.80967159,1.09551192,0.01913152,1.47172875
-5.84992496,5.92843157,1.90704171,2.85108779,0.00573082,0.48604689,0.80149266,1.07875285,0.01909278,1.44847409
-5.84392196,5.86761715,1.87100148,2.83908688,0.00564788,0.48339223,0.79194575,1.05962469,0.01895211,1.42235598
-5.83791896,5.79862535,1.83067908,2.82391700,0.00553912,0.48032852,0.78129708,1.03855958,0.01871218,1.39394945
-5.83191596,5.72345704,1.78687580,2.80637293,0.00540698,0.47701598,0.76983163,1.01600871,0.01837777,1.36385424
-5.82591296,5.64427230,1.74046467,2.78735118,0.00525427,0.47364035,0.75784173,0.99242607,0.01795562,1.33267345
