energy_ev,total_up,Ge_p_up,Ge_d_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up
-6.00000000,2.73154594,0.24134352,0.00000000,0.17957306,0.57154790,0.80371191,0.67629565
-5.99399700,2.76393008,0.24574736,0.00000000,0.18288573,0.58110154,0.80319082,0.68296207
-5.98799400,2.78342298,0.24895180,0.00000000,0.18538329,0.58775862,0.79872491,0.68654581
-5.98199100,2.78970552,0.25090280,0.00000000,0.18704616,0.59142357,0.79037653,0.68698631
-5.97598799,2.78267034,0.25156740,0.00000000,0.18786708,0.59205181,0.77827042,0.68427194
-5.96998499,2.76242294,0.25093439,0.00000000,0.18785080,0.58965017,0.76258977,0.67843995
-5.96398199,2.72927715,0.24901448,0.00000000,0.18701351,0.58427581,0.74357099,0.66957511
-5.95797899,2.68374524,0.24583992,0.00000000,0.18538194,0.57603387,0.72149720,0.65780720
-5.95197599,2.62652294,0.24146349,0.00000000,0.18299233,0.56507381,0.69669082,0.64330727
-5.94597299,2.55847008,0.23595709,0.00000000,0.17988909,0.55158467,0.66950542,0.62628301
-5.93996998,2.48058750,0.22940976,0.00000000,0.17612347,0.53578946,0.64031715,0.60697328
-5.93396698,2.39399144,0.22192539,0.00000000,0.17175219,0.51793888,0.60951606,0.58564209
-5.92796398,2.29988605,0.21362016,0.00000000,0.16683601,0.49830461,0.57749764,0.56257226
-5.92196098,2.19953549,0.20461971,0.00000000,0.16143844,0.47717258,0.54465469,0.53805896
-5.91595798,2.09423634,0.19505636,0.00000000,0.15562460,0.45483625,0.51137005,0.51240345
-5.90995498,1.98529146,0.18506626,0.00000000,0.14946015,0.43159032,0.47801008,0.48590712
-5.90395198,1.87398599,0.17478671,0.00000000,0.14301046,0.40772499,0.44491928,0.45886616
-5.89794897,1.76156636,0.16435376,0.00000000,0.13633993,0.38352094,0.41241607,0.43156678
-5.89194597,1.64922253,0.15389999,0.00000000,0.12951150,0.35924511,0.38078974,0.40428139
-5.88594297,1.53807384,0.14355269,0.00000000,0.12258628,0.33514741,0.35029865,0.37726540
-5.87993997,1.42915863,0.13343246,0.00000000,0.11562331,0.31145832,0.32116947,0.35075504
-5.87393697,1.32342717,0.12365200,0.00000000,0.10867946,0.28838729,0.29359758,0.32496584
-5.86793397,1.22173797,0.11431548,0.00000000,0.10180929,0.26612201,0.26774816,0.30009185
-5.86193097,1.12485664,0.10551800,0.00000000,0.09506505,0.24482825,0.24375810,0.27630551
-5.85592796,1.03345706,0.09734545,0.00000000,0.08849652,0.22465032,0.22173830,0.25375790
-5.84992496,0.94812398,0.08987448,0.00000000,0.08215097,0.20571186,0.20177622,0.23257944
-5.84392196,0.86935661,0.08317261,0.00000000,0.07607292,0.18811692,0.18393855,0.21288068
-5.83791896,0.79757252,0.07729839,0.00000000,0.07030393,0.17195112,0.16827365,0.19475327
-5.83191596,0.73311131,0.07230149,0.00000000,0.06488222,0.15728283,0.15481372,0.17827082
-5.82591296,0.67623758,0.06822272,0.00000000,0.05984237,0.14416417,0.14357645,0.16348967
-5.81990995,0.62714300,0.06509395,0.00000000,0.05521477,0.13263189,0.13456624,0.15044942
-5.81390695,0.58594704,0.06293775,0.00000000,0.05102520,0.12270795,0.12777464,0.13917333
-5.80790395,0.55269658,0.06176703,0.00000000,0.04729428,0.11439984,0.12318031,0.12966837
-5.80190095,0.52736428,0.06158429,0.00000000,0.04403702,0.10770067,0.12074830,0.12192511
-5.79589795,0.50984596,0.06238096,0.00000000,0.04126231,0.10258902,0.12042891,0.11591743
-5.78989495,0.49995746,0.06413649,0.00000000,0.03897255,0.09902860,0.12215611,0.11160211
-5.78389195,0.49743121,0.06681754,0.00000000,0.03716334,0.09696787,0.12584577,0.10891842
-5.77788894,0.50191317,0.07037715,0.00000000,0.03582329,0.09633965,0.13139390,0.10778774
-5.77188594,0.51296070,0.07475418,0.00000000,0.03493393,0.09706081,0.13867504,0.10811340
-5.76588294,0.53004181,0.07987298,0.00000000,0.03446982,0.09903224,0.14754103,0.10978079
-5.75987994,0.55253647,0.08564337,0.00000000,0.03439883,0.10213911,0.15782046,0.11265787
-5.75387694,0.57974041,0.09196114,0.00000000,0.03468250,0.10625151,0.16931888,0.11659608
-5.74787394,0.61087183,0.09870904,0.00000000,0.03527672,0.11122571,0.18181995,0.12143189
-5.74187094,0.64508118,0.10575834,0.00000000,0.03613247,0.11690580,0.19508773,0.12698886
-5.73586793,0.68146431,0.11297093,0.00000000,0.03719675,0.12312609,0.20887012,0.13308029
-5.72986493,0.71907874,0.12020205,0.00000000,0.03841369,0.12971397,0.22290338,0.13951251
-5.72386193,0.75696281,0.12730348,0.00000000,0.03972577,0.13649335,0.23691784,0.14608857
-5.71785893,0.79415735,0.13412717,0.00000000,0.04107508,0.14328859,0.25064452,0.15261245
-5.71185593,0.82972912,0.14052923,0.00000000,0.04240471,0.14992879,0.26382252,0.15889354
-5.70585293,0.86279531,0.14637405,0.00000000,0.04366011,0.15625228,0.27620696,0.16475126
-5.69984992,0.89254813,0.15153846,0.00000000,0.04479045,0.16211123,0.28757709,0.17001968
-5.69384692,0.91827852,0.15591575,0.00000000,0.04574987,0.16737607,0.29774430,0.17455188
-5.68784392,0.93939801,0.15941931,0.00000000,0.04649867,0.17193975,0.30655966,0.17822399
-5.68184092,0.95545776,0.16198587,0.00000000,0.04700422,0.17572134,0.31392067,0.18093863
-5.67583792,0.96616378,0.16357799,0.00000000,0.04724185,0.17866916,0.31977678,0.18262760
-5.66983492,0.97138782,0.16418587,0.00000000,0.04719534,0.18076297,0.32413360,0.18325369
-5.66383192,0.97117317,0.16382825,0.00000000,0.04685727,0.18201534,0.32705535,0.18281168
-5.65782891,0.96573519,0.16255239,0.00000000,0.04622909,0.18247196,0.32866548,0.18132811
-5.65182591,0.95545639,0.16043321,0.00000000,0.04532093,0.18221093,0.32914544,0.17886028
-5.64582291,0.94087632,0.15757144,0.00000000,0.04415117,0.18134105,0.32873144,0.17549408
