energy_ev,total_up,Hf_p_up,Hf_d_up,P_s_up,P_p_up,Te_p_up,Te_d_up
-6.00000000,2.00760694,0.67438904,0.81551434,0.01091901,0.64439132,0.66061973,0.00000000
-5.99399700,2.02043576,0.67646015,0.81412785,0.01099210,0.63903893,0.67432778,0.00000000
-5.98799400,2.02430968,0.67636107,0.80881333,0.01099863,0.63092802,0.68490688,0.00000000
-5.98199100,2.01923079,0.67411358,0.79966254,0.01093716,0.62013114,0.69228432,0.00000000
-5.97598799,2.00547991,0.66982697,0.78689039,0.01080793,0.60681992,0.69647107,0.00000000
-5.96998499,1.98359948,0.66369053,0.77082548,0.01061282,0.59125712,0.69755856,0.00000000
-5.96398199,1.95436585,0.65596278,0.75189651,0.01035522,0.57378549,0.69571199,0.00000000
-5.95797899,1.91875283,0.64695782,0.73061523,0.01003995,0.55481386,0.69116050,0.00000000
-5.95197599,1.87788818,0.63702973,0.70755675,0.00967302,0.53480121,0.68418492,0.00000000
-5.94597299,1.83300544,0.62655582,0.68333812,0.00926143,0.51423954,0.67510362,0.00000000
-5.93996998,1.78539347,0.61591941,0.65859625,0.00881287,0.49363624,0.66425731,0.00000000
-5.93396698,1.73634619,0.60549328,0.63396602,0.00833550,0.47349682,0.65199367,0.00000000
-5.92796398,1.68711488,0.59562431,0.61005968,0.00783763,0.45430862,0.63865250,0.00000000
-5.92196098,1.63886528,0.58662024,0.58744827,0.00732748,0.43652621,0.62455240,0.00000000
-5.91595798,1.59264134,0.57873889,0.56664578,0.00681295,0.42055904,0.60997937,0.00000000
-5.90995498,1.54933691,0.57218049,0.54809663,0.00630140,0.40676154,0.59517818,0.00000000
-5.90395198,1.50967650,0.56708318,0.53216685,0.00579943,0.39542624,0.58034655,0.00000000
-5.89794897,1.47420553,0.56352196,0.51913907,0.00531285,0.38677971,0.56563268,0.00000000
-5.89194597,1.44328988,0.56151076,0.50921146,0.00484648,0.38098152,0.55113577,0.00000000
-5.88594297,1.41712435,0.56100766,0.50250019,0.00440418,0.37812604,0.53690960,0.00000000
-5.87993997,1.39574892,0.56192268,0.49904537,0.00398882,0.37824672,0.52296867,0.00000000
-5.87393697,1.37907161,0.56412773,0.49881976,0.00360231,0.38132261,0.50929642,0.00000000
-5.86793397,1.36689617,0.56746820,0.50173974,0.00324570,0.38728659,0.49585494,0.00000000
-5.86193097,1.35895297,0.57177546,0.50767794,0.00291920,0.39603499,0.48259552,0.00000000
-5.85592796,1.35493111,0.57687973,0.51647669,0.00262238,0.40743787,0.46946922,0.00000000
-5.84992496,1.35450997,0.58262263,0.52796173,0.00235422,0.42134957,0.45643701,0.00000000
-5.84392196,1.35738854,0.58886882,0.54195537,0.00211330,0.43761899,0.44347866,0.00000000
-5.83791896,1.36331089,0.59551619,0.55828853,0.00189787,0.45609905,0.43060000,0.00000000
-5.83191596,1.37208665,0.60250416,0.57681099,0.00170601,0.47665502,0.41783811,0.00000000
-5.82591296,1.38360557,0.60981970,0.59739959,0.00153574,0.49917112,0.40526415,0.00000000
-5.81990995,1.39784544,0.61750086,0.61996377,0.00138510,0.52355536,0.39298377,0.00000000
-5.81390695,1.41487338,0.62563760,0.64444847,0.00125226,0.54974221,0.38113510,0.00000000
-5.80790395,1.43484045,0.63436997,0.67083415,0.00113557,0.57769309,0.36988443,0.00000000
-5.80190095,1.45797013,0.64388373,0.69913407,0.00103363,0.60739469,0.35942001,0.00000000
-5.79589795,1.48454151,0.65440353,0.72938904,0.00094535,0.63885515,0.34994413,0.00000000
-5.78989495,1.51486821,0.66618415,0.76165985,0.00086994,0.67209842,0.34166418,0.00000000
-5.78389195,1.54927413,0.67949998,0.79601798,0.00080694,0.70715706,0.33478294,0.00000000
-5.77788894,1.58806771,0.69463340,0.83253490,0.00075626,0.74406379,0.32948890,0.00000000
-5.77188594,1.63151582,0.71186244,0.87127074,0.00071817,0.78284238,0.32594693,0.00000000
-5.76588294,1.67981891,0.73144836,0.91226275,0.00069329,0.82349825,0.32428984,0.00000000
-5.75987994,1.73308876,0.75362371,0.95551430,0.00068259,0.86600934,0.32461134,0.00000000
-5.75387694,1.79132994,0.77858133,1.00098494,0.00068739,0.91031773,0.32696078,0.00000000
-5.74787394,1.85442615,0.80646483,1.04858205,0.00070938,0.95632253,0.33133979,0.00000000
-5.74187094,1.92213211,0.83736103,1.09815457,0.00075056,1.00387430,0.33770122,0.00000000
-5.73586793,1.99407154,0.87129461,1.14948918,0.00081326,1.05277158,0.34595040,0.00000000
-5.72986493,2.06974149,0.90822523,1.20230910,0.00090016,1.10275956,0.35594851,0.00000000
-5.72386193,2.14852282,0.94804732,1.25627577,0.00101420,1.15353116,0.36751825,0.00000000
-5.71785893,2.22969651,0.99059248,1.31099329,0.00115866,1.20473053,0.38045126,0.00000000
-5.71185593,2.31246510,1.03563437,1.36601559,0.00133704,1.25595891,0.39451713,0.00000000
-5.70585293,2.39597832,1.08289597,1.42085601,0.00155313,1.30678269,0.40947351,0.00000000
-5.69984992,2.47936175,1.13205871,1.47499903,0.00181089,1.35674339,0.42507687,0.00000000
-5.69384692,2.56174734,1.18277322,1.52791369,0.00211443,1.40536920,0.44109333,0.00000000
-5.68784392,2.64230425,1.23467109,1.57906815,0.00246800,1.45218765,0.45730913,0.00000000
-5.68184092,2.72026869,1.28737713,1.62794485,0.00287584,1.49673903,0.47354002,0.00000000
-5.67583792,2.79497131,1.34052160,1.67405572,0.00334214,1.53858983,0.48963929,0.00000000
-5.66983492,2.86586090,1.39375172,1.71695672,0.00387096,1.57734587,0.50550380,0.00000000
-5.66383192,2.93252309,1.44674199,1.75626128,0.00446607,1.61266444,0.52107776,0.00000000
-5.65782891,2.99469321,1.49920280,1.79165181,0.00513085,1.64426505,0.53635397,0.00000000
-5.65182591,3.05226246,1.55088680,1.82288904,0.00586817,1.67193810,0.55137232,0.00000000
-5.64582291,3.10527692,1.60159277,1.84981847,0.00668018,1.69555133,0.56621568,0.00000000
-5.63981991,3.15392930,1.65116669,1.87237384,0.00756821,1.71505338,0.58100310,0.00000000
-5.63381691,3.19854342,1.69949979,1.89057713,0.00853254,1.73047447,0.59588076,0.00000000
-5.62781391,3.23955203,1.74652378,1.90453511,0.00957229,1.74192387,0.61101094,0.00000000
-5.62181091,3.27746860,1.79220317,1.91443244,0.01068520,1.74958424,0.62655949,0.00000000
-5.61580790,3.31285419,1.83652521,1.92052145,0.01186750,1.75370289,0.64268250,0.00000000
-5.60980490,3.34628079,1.87948766,1.92310906,0.01311376,1.75458021,0.65951267,0.00000000
-5.60380190,3.37829263,1.92108511,1.92254109,0.01441677,1.75255573,0.67714609,0.00000000
-5.59779890,3.40936717,1.96129450,1.91918481,0.01576745,1.74799224,0.69563028,0.00000000
-5.59179590,3.43987770,2.00006056,1.91341039,0.01715487,1.74125868,0.71495389,0.00000000
-5.58579290,3.47005934,2.03728216,1.90557207,0.01856618,1.73271254,0.73503885,0.00000000
-5.57978989,3.49998032,2.07280025,1.89598998,0.01998679,1.72268252,0.75573542,0.00000000
-5.57378689,3.52952012,2.10638847,1.88493348,0.02140043,1.71145242,0.77682047,0.00000000
