energy_ev,total_up,C_s_up,C_p_up,Co_p_up,Co_d_up,Cu_p_up,Cu_d_up,S_s_up,S_p_up
-6.00000000,8.11960978,0.10127419,1.46154280,0.45870335,0.37694030,2.83884987,1.57014053,0.10491918,2.01994072
-5.99399700,8.06949709,0.10075246,1.47008613,0.44262263,0.36896597,2.88061167,1.56967422,0.10274954,1.98434703
-5.98799400,8.00502358,0.09991841,1.47295945,0.42613708,0.36092454,2.91152182,1.56389064,0.10047732,1.95014118
-5.98199100,7.92586455,0.09878549,1.47006816,0.40934998,0.35282438,2.93105978,1.55281304,0.09810551,1.91725216
-5.97598799,7.83205427,0.09737222,1.46141284,0.39238674,0.34468706,2.93889351,1.53655272,0.09564244,1.88565140
-5.96998499,7.72398232,0.09570190,1.44708796,0.37539146,0.33654762,2.93488570,1.51530666,0.09310187,1.85535295
-5.96398199,7.60237871,0.09380228,1.42727857,0.35852313,0.32845423,2.91909517,1.48935374,0.09050264,1.82641068
-5.95797899,7.46828917,0.09170519,1.40225526,0.34195154,0.32046717,2.89177344,1.45904966,0.08786823,1.79891303
-5.95197599,7.32304252,0.08944613,1.37236736,0.32585322,0.31265730,2.85335683,1.42482081,0.08522607,1.77297594
-5.94597299,7.16821184,0.08706385,1.33803503,0.31040737,0.30510411,2.80445454,1.38715717,0.08260667,1.74873448
-5.93996998,7.00557126,0.08459987,1.29974001,0.29579203,0.29789332,2.74583296,1.34660435,0.08004271,1.72633406
-5.93396698,6.83705008,0.08209801,1.25801572,0.28218043,0.29111435,2.67839701,1.30375490,0.07756800,1.70592146
-5.92796398,6.66468572,0.07960384,1.21343651,0.26973762,0.28485755,2.60316876,1.25923887,0.07521650,1.68763657
-5.92196098,6.49057675,0.07716410,1.16660665,0.25861732,0.27921138,2.52126413,1.21371383,0.07302128,1.67160480
-5.91595798,6.31683715,0.07482606,1.11814890,0.24895906,0.27425964,2.43386814,1.16785429,0.07101362,1.65793083
