energy_ev,total_up,total_down,Co_p_up,Co_p_down,Co_d_up,Co_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down,Ti_p_up,Ti_p_down,Ti_d_up,Ti_d_down
-6.00000000,2.53121195,-2.65239635,0.58552461,-0.62765114,0.76927405,-0.75496129,0.00904721,-0.01235943,0.19419458,-0.19993799,1.34252257,-1.43358718,0.00000000,-0.00000000,0.67962241,-0.69946276,0.13799215,-0.14893621
-5.99399700,2.47718646,-2.62608151,0.56807477,-0.61768892,0.76672681,-0.76249765,0.00814942,-0.01138634,0.19216310,-0.20073843,1.30707071,-1.41120888,0.00000000,-0.00000000,0.66567863,-0.69268352,0.13329955,-0.14484593
-5.98799400,2.41978455,-2.59244712,0.54977469,-0.60565586,0.76240418,-0.76757807,0.00729417,-0.01042075,0.18972514,-0.20092805,1.27033588,-1.38511623,0.00000000,-0.00000000,0.65110636,-0.68405875,0.12873481,-0.14055433
-5.98199100,2.36016344,-2.55231021,0.53101373,-0.59179958,0.75655431,-0.77026790,0.00648809,-0.00947482,0.18695574,-0.20052216,1.23299044,-1.35586937,0.00000000,-0.00000000,0.63626391,-0.67385842,0.12437575,-0.13614847
-5.97598799,2.29945886,-2.50658732,0.51218532,-0.57641097,0.74944088,-0.77068350,0.00573612,-0.00855922,0.18393275,-0.19955286,1.19568079,-1.32406429,0.00000000,-0.00000000,0.62149614,-0.66237713,0.12029089,-0.13171351
-5.96998499,2.23875415,-2.45627402,0.49367687,-0.55981685,0.74133225,-0.76898817,0.00504161,-0.00768298,0.18073331,-0.19806689,1.15901247,-1.29032122,0.00000000,-0.00000000,0.60712482,-0.64992731,0.11653816,-0.12733105
-5.96398199,2.17905078,-2.40242114,0.47585997,-0.54237157,0.73249039,-0.76538600,0.00440641,-0.00685341,0.17743053,-0.19612294,1.12353617,-1.25527209,0.00000000,-0.00000000,0.59343959,-0.63683146,0.11316375,-0.12307752
-5.95797899,2.12124152,-2.34610824,0.45908136,-0.52444789,0.72316010,-0.76011368,0.00383103,-0.00607610,0.17409045,-0.19378857,1.08973531,-1.21954716,0.00000000,-0.00000000,0.58069003,-0.62341382,0.11020139,-0.11902275
-5.95197599,2.06608728,-2.28841509,0.44365485,-0.50642738,0.71355921,-0.75343086,0.00331484,-0.00535502,0.17076956,-0.19113688,1.05801556,-1.18376102,0.00000000,-0.00000000,0.56907909,-0.60999160,0.10767188,-0.11522859
-5.94597299,2.01419879,-2.23039218,0.42985441,-0.48869055,0.70387006,-0.74560925,0.00285620,-0.00469255,0.16751291,-0.18824301,1.02869675,-1.14849858,0.00000000,-0.00000000,0.55875807,-0.59686613,0.10558301,-0.11174782
-5.93996998,1.96602366,-2.17303121,0.41790866,-0.47160720,0.69423298,-0.73692115,0.00245272,-0.00408970,0.16435284,-0.18518071,1.00200739,-1.11430131,0.00000000,-0.00000000,0.54982361,-0.58431431,0.10392977,-0.10862311
-5.93396698,1.92183965,-2.11723705,0.40799675,-0.45552715,0.68474180,-0.72762792,0.00210138,-0.00354621,0.16130856,-0.18201911,0.97808224,-1.08165434,0.00000000,-0.00000000,0.54231646,-0.57258059,0.10269492,-0.10588632
-5.92796398,1.88175422,-2.06380217,0.40024577,-0.44077159,0.67544191,-0.71796906,0.00179878,-0.00306079,0.15838636,-0.17881992,0.95696278,-1.05097491,0.00000000,-0.00000000,0.53622238,-0.56187000,0.10184992,-0.10355794
-5.92196098,1.84571037,-2.01338487,0.39472960,-0.42762556,0.66633068,-0.70815240,0.00154124,-0.00263127,0.15558054,-0.17563504,0.93860066,-1.02260271,0.00000000,-0.00000000,0.53147489,-0.55234241,0.10135608,-0.10164691
