energy_ev,total_up,Hg_p_up,Hg_d_up,In_p_up,In_d_up,S_s_up,S_p_up
-6.00000000,0.31497673,0.10520638,0.03911481,0.05644402,0.00137583,0.02249895,0.02166644
-5.99399700,0.34115870,0.11451552,0.04313942,0.05985265,0.00151412,0.02212837,0.02301287
-5.98799400,0.36848080,0.12432155,0.04734314,0.06342226,0.00165516,0.02183694,0.02452022
-5.98199100,0.39665258,0.13453682,0.05168705,0.06711113,0.00179726,0.02162035,0.02617688
-5.97598799,0.42534406,0.14505920,0.05612749,0.07087244,0.00193857,0.02147068,0.02796681
-5.96998499,0.45419472,0.15577473,0.06061713,0.07465607,0.00207717,0.02137694,0.02986979
-5.96398199,0.48282441,0.16656109,0.06510642,0.07841084,0.00221104,0.02132562,0.03186194
-5.95797899,0.51084615,0.17729174,0.06954516,0.08208693,0.00233818,0.02130142,0.03391642
-5.95197599,0.53788003,0.18784058,0.07388441,0.08563839,0.00245662,0.02128797,0.03600429
-5.94597299,0.56356791,0.19808688,0.07807842,0.08902574,0.00256455,0.02126855,0.03809551
-5.93996998,0.58758813,0.20792047,0.08208666,0.09221833,0.00266031,0.02122688,0.04016006
-5.93396698,0.60966958,0.21724670,0.08587577,0.09519657,0.00274249,0.02114774,0.04216908
-5.92796398,0.62960442,0.22599105,0.08942128,0.09795374,0.00280997,0.02101767,0.04409606
-5.92196098,0.64725870,0.23410321,0.09270919,0.10049729,0.00286197,0.02082540,0.04591788
-5.91595798,0.66258036,0.24156015,0.09573705,0.10284958,0.00289809,0.02056230,0.04761587
-5.90995498,0.67560389,0.24836820,0.09851462,0.10504797,0.00291829,0.02022263,0.04917656
-5.90395198,0.68645141,0.25456376,0.10106400,0.10714412,0.00292295,0.01980366,0.05059231
-5.89794897,0.69532980,0.26021270,0.10341919,0.10920267,0.00291281,0.01930569,0.05186162
-5.89194597,0.70252382,0.26540822,0.10562496,0.11129906,0.00288900,0.01873193,0.05298921
-5.88594297,0.70838533,0.27026722,0.10773524,0.11351677,0.00285293,0.01808821,0.05398570
-5.87993997,0.71331903,0.27492538,0.10981085,0.11594392,0.00280630,0.01738270,0.05486708
-5.87393697,0.71776505,0.27953090,0.11191680,0.11866941,0.00275101,0.01662546,0.05565384
-5.86793397,0.72217926,0.28423735,0.11411916,0.12177874,0.00268909,0.01582796,0.05636985
-5.86193097,0.72701203,0.28919580,0.11648170,0.12534967,0.00262265,0.01500259,0.05704103
-5.85592796,0.73268638,0.29454655,0.11906243,0.12944785,0.00255374,0.01416218,0.05769392
-5.84992496,0.73957663,0.30041105,0.12191019,0.13412281,0.00248434,0.01331944,0.05835409
-5.84392196,0.74798841,0.30688415,0.12506143,0.13940425,0.00241628,0.01248656,0.05904464
-5.83791896,0.75814125,0.31402729,0.12853747,0.14529896,0.00235113,0.01167478,0.05978473
-5.83191596,0.77015435,0.32186292,0.13234219,0.15178863,0.00229021,0.01089406,0.06058830
-5.82591296,0.78403659,0.33037047,0.13646052,0.15882840,0.00223450,0.01015279,0.06146305
-5.81990995,0.79968113,0.33948415,0.14085763,0.16634659,0.00218465,0.00945765,0.06240965
-5.81390695,0.81686507,0.34909280,0.14547902,0.17424542,0.00214096,0.00881349,0.06342135
-5.80790395,0.83525429,0.35904178,0.15025151,0.18240287,0.00210338,0.00822330,0.06448398
-5.80190095,0.85441331,0.36913694,0.15508501,0.19067559,0.00207152,0.00768828,0.06557625
-5.79589795,0.87381981,0.37915058,0.15987523,0.19890277,0.00204472,0.00720795,0.06667052
-5.78989495,0.89288326,0.38882904,0.16450697,0.20691091,0.00202206,0.00678034,0.06773383
-5.78389195,0.91096674,0.39790175,0.16885812,0.21451917,0.00200240,0.00640219,0.06872931
-5.77788894,0.92741116,0.40609132,0.17280393,0.22154524,0.00198451,0.00606919,0.06961771
-5.77188594,0.94156064,0.41312412,0.17622159,0.22781144,0.00196703,0.00577627,0.07035920
-5.76588294,0.95278800,0.41874098,0.17899480,0.23315074,0.00194863,0.00551785,0.07091516
-5.75987994,0.96051925,0.42270755,0.18101812,0.23741256,0.00192801,0.00528811,0.07125003
-5.75387694,0.96425597,0.42482375,0.18220099,0.24046797,0.00190395,0.00508120,0.07133295
-5.74787394,0.96359459,0.42493198,0.18247113,0.24221425,0.00187543,0.00489151,0.07113939
-5.74187094,0.95824186,0.42292368,0.18177729,0.24257847,0.00184157,0.00471381,0.07065235
-5.73586793,0.94802584,0.41874406,0.18009113,0.24151995,0.00180174,0.00454345,0.06986342
-5.72986493,0.93290208,0.41239467,0.17740828,0.23903169,0.00175554,0.00437640,0.06877339
-5.72386193,0.91295475,0.40393389,0.17374841,0.23514047,0.00170280,0.00420941,0.06739255
-5.71785893,0.88839303,0.39347526,0.16915445,0.22990583,0.00164361,0.00403998,0.06574063
-5.71185593,0.85954279,0.38118382,0.16369100,0.22341790,0.00157828,0.00386640,0.06384631
-5.70585293,0.82683433,0.36727068,0.15744190,0.21579429,0.00150732,0.00368768,0.06174650
-5.69984992,0.79078672,0.35198600,0.15050733,0.20717597,0.00143142,0.00350356,0.05948520
-5.69384692,0.75198955,0.33561083,0.14300030,0.19772272,0.00135142,0.00331437,0.05711225
-5.68784392,0.71108303,0.31844815,0.13504298,0.18760787,0.00126827,0.00312100,0.05468179
-5.68184092,0.66873718,0.30081342,0.12676278,0.17701303,0.00118297,0.00292472,0.05225061
-5.67583792,0.62563122,0.28302511,0.11828858,0.16612261,0.00109656,0.00272718,0.04987647
-5.66983492,0.58243373,0.26539544,0.10974702,0.15511862,0.00101009,0.00253022,0.04761638
-5.66383192,0.53978440,0.24822186,0.10125923,0.14417585,0.00092454,0.00233583,0.04552494
-5.65782891,0.49827807,0.23177926,0.09293793,0.13345746,0.00084085,0.00214605,0.04365285
-5.65182591,0.45845132,0.21631340,0.08488507,0.12311131,0.00075987,0.00196290,0.04204543
-5.64582291,0.42077207,0.20203552,0.07718998,0.11326704,0.00068234,0.00178831,0.04074154
-5.63981991,0.38563228,0.18911835,0.06992824,0.10403379,0.00060890,0.00162412,0.03977255
-5.63381691,0.35334390,0.17769355,0.06316098,0.09549893,0.00054004,0.00147204,0.03916174
-5.62781391,0.32413781,0.16785055,0.05693493,0.08772741,0.00047618,0.00133366,0.03892385
-5.62181091,0.29816574,0.15963679,0.05128280,0.08076195,0.00041759,0.00121044,0.03906503
-5.61580790,0.27550477,0.15305926,0.04622430,0.07462391,0.00036446,0.00110380,0.03958303
-5.60980490,0.25616413,0.14808725,0.04176742,0.06931476,0.00031688,0.00101512,0.04046780
-5.60380190,0.24009394,0.14465621,0.03791011,0.06481811,0.00027490,0.00094584,0.04170227
-5.59779890,0.22719542,0.14267251,0.03464210,0.06110208,0.00023848,0.00089750,0.04326354
-5.59179590,0.21733217,0.14201894,0.03194691,0.05812207,0.00020757,0.00087185,0.04512422
-5.58579290,0.21034214,0.14256090,0.02980396,0.05582372,0.00018212,0.00087091,0.04725407
-5.57978989,0.20604979,0.14415284,0.02819054,0.05414595,0.00016205,0.00089708,0.04962180
-5.57378689,0.20427810,0.14664506,0.02708383,0.05302402,0.00014733,0.00095318,0.05219695
-5.56778389,0.20485992,0.14989035,0.02646263,0.05239256,0.00013795,0.00104255,0.05495183
-5.56178089,0.20764846,0.15375047,0.02630901,0.05218832,0.00013398,0.00116908,0.05786347
-5.55577789,0.21252632,0.15810220,0.02660959,0.05235276,0.00013552,0.00133725,0.06091536
-5.54977489,0.21941292,0.16284261,0.02735654,0.05283426,0.00014274,0.00155215,0.06409906
-5.54377189,0.22826993,0.16789354,0.02854829,0.05358989,0.00015589,0.00181943,0.06741548
-5.53776888,0.23910451,0.17320498,0.03018980,0.05458684,0.00017529,0.00214526,0.07087577
-5.53176588,0.25197002,0.17875716,0.03229247,0.05580319,0.00020130,0.00253621,0.07450175
-5.52576288,0.26696425,0.18456133,0.03487367,0.05722829,0.00023435,0.00299914,0.07832586
