energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Co_p_up,Co_d_up,Te_p_up,Te_d_up
-6.00000000,1.50941944,0.05594038,1.46665734,0.00111678,0.01676292,0.01427583,0.01329059,0.05893883,0.00000000
-5.99399700,1.49530016,0.05519857,1.45331554,0.00104676,0.01608941,0.01428970,0.01319475,0.05846717,0.00000000
-5.98799400,1.47641366,0.05455022,1.43499613,0.00099924,0.01535475,0.01439186,0.01311688,0.05800116,0.00000000
-5.98199100,1.45272605,0.05399600,1.41165105,0.00097484,0.01457109,0.01459633,0.01305939,0.05753318,0.00000000
-5.97598799,1.42434119,0.05354305,1.38336304,0.00097415,0.01375172,0.01492080,0.01302739,0.05706299,0.00000000
-5.96998499,1.39150935,0.05320636,1.35035281,0.00099774,0.01291074,0.01538714,0.01302907,0.05659914,0.00000000
-5.96398199,1.35463069,0.05301005,1.31298128,0.00104624,0.01206285,0.01602182,0.01307603,0.05616009,0.00000000
-5.95797899,1.31425351,0.05298821,1.27174683,0.00112033,0.01122305,0.01685616,0.01318357,0.05577498,0.00000000
-5.95197599,1.27106757,0.05318568,1.22727787,0.00122083,0.01040646,0.01792652,0.01337087,0.05548410,0.00000000
-5.94597299,1.22589270,0.05365843,1.18032108,0.00134870,0.00962816,0.01927423,0.01366104,0.05533884,0.00000000
-5.93996998,1.17966346,0.05447364,1.13172593,0.00150509,0.00890301,0.02094544,0.01408115,0.05540140,0.00000000
-5.93396698,1.13341038,0.05570956,1.08242630,0.00169134,0.00824564,0.02299074,0.01466204,0.05574403,0.00000000
-5.92796398,1.08823862,0.05745500,1.03341982,0.00190903,0.00767031,0.02546449,0.01543813,0.05644795,0.00000000
-5.92196098,1.04530483,0.05980845,0.98574587,0.00215995,0.00719099,0.02842411,0.01644699,0.05760190,0.00000000
-5.91595798,1.00579295,0.06287699,0.94046287,0.00244610,0.00682136,0.03192899,0.01772889,0.05930039,0.00000000
-5.90995498,0.97088959,0.06677475,0.89862573,0.00276969,0.00657480,0.03603928,0.01932614,0.06164174,0.00000000
-5.90395198,0.94175963,0.07162107,0.86126387,0.00313307,0.00646447,0.04081444,0.02128234,0.06472575,0.00000000
-5.89794897,0.91952246,0.07753822,0.82936032,0.00353870,0.00650332,0.04631165,0.02364145,0.06865132,0.00000000
-5.89194597,0.90522917,0.08464884,0.80383230,0.00398907,0.00670404,0.05258398,0.02644682,0.07351378,0.00000000
