energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,Hg_p_up,Hg_d_up,Te_p_up,Te_d_up
-6.00000000,3.07573992,0.02387595,0.15674741,0.14637011,1.50959556,0.58111930,0.46150486,0.71722554,0.00000000
-5.99399700,3.06455000,0.02321336,0.15828930,0.14524232,1.50648201,0.58303134,0.45840580,0.71360607,0.00000000
-5.98799400,3.04055597,0.02263310,0.15910409,0.14385670,1.49607392,0.58308276,0.45361880,0.70727591,0.00000000
-5.98199100,3.00367341,0.02212274,0.15922503,0.14221957,1.47824383,0.58132932,0.44716397,0.69815311,0.00000000
-5.97598799,2.95429152,0.02167413,0.15870828,0.14036402,1.45311675,0.57791471,0.43912230,0.68627005,0.00000000
-5.96998499,2.89325668,0.02128317,0.15763115,0.13834861,1.42106350,0.57306385,0.42963305,0.67176997,0.00000000
-5.96398199,2.82183968,0.02094942,0.15608929,0.13625519,1.38268624,0.56707284,0.41888883,0.65489975,0.00000000
-5.95797899,2.74168841,0.02067568,0.15419324,0.13418621,1.33879666,0.56029596,0.40712849,0.63599906,0.00000000
-5.95197599,2.65476820,0.02046733,0.15206418,0.13226150,1.29038832,0.55313016,0.39462820,0.61548664,0.00000000
-5.94597299,2.56329285,0.02033171,0.14982927,0.13061466,1.23860416,0.54599777,0.38169125,0.59384418,0.00000000
-5.93996998,2.46964931,0.02027743,0.14761669,0.12938921,1.18470102,0.53932816,0.36863684,0.57159870,0.00000000
-5.93396698,2.37631957,0.02031360,0.14555060,0.12873462,1.13001235,0.53353915,0.35578860,0.54930405,0.00000000
-5.92796398,2.28580300,0.02044917,0.14374629,0.12880248,1.07591095,0.52901899,0.34346332,0.52752244,0.00000000
-5.92196098,2.20054230,0.02069225,0.14230567,0.12974265,1.02377294,0.52610977,0.33196028,0.50680670,0.00000000
-5.91595798,2.12285578,0.02104954,0.14131338,0.13169986,0.97494417,0.52509285,0.32155177,0.48768385,0.00000000
-5.90995498,2.05487823,0.02152587,0.14083357,0.13481054,0.93071021,0.52617711,0.31247511,0.47064067,0.00000000
-5.90395198,1.99851210,0.02212383,0.14090763,0.13920006,0.89227042,0.52949030,0.30492640,0.45611152,0.00000000
-5.89794897,1.95538996,0.02284356,0.14155283,0.14498040,0.86071663,0.53507406,0.29905632,0.44446880,0.00000000
-5.89194597,1.92684861,0.02368263,0.14276195,0.15224820,0.83701649,0.54288254,0.29496787,0.43601623,0.00000000
-5.88594297,1.91391479,0.02463612,0.14450399,0.16108321,0.82200159,0.55278474,0.29271613,0.43098468,0.00000000
-5.87993997,1.91730154,0.02569680,0.14672571,0.17154702,0.81635973,0.56457035,0.29230987,0.42953079,0.00000000
-5.87393697,1.93741431,0.02685537,0.14935412,0.18368206,0.82063126,0.57795871,0.29371483,0.43173789,0.00000000
-5.86793397,1.97436515,0.02810084,0.15229965,0.19751082,0.83520869,0.59261045,0.29685821,0.43761897,0.00000000
-5.86193097,2.02799353,0.02942097,0.15545987,0.21303514,0.86033921,0.60814116,0.30163441,0.44712152,0.00000000
-5.85592796,2.09789207,0.03080270,0.15872364,0.23023568,0.89612945,0.62413651,0.30791119,0.46013368,0.00000000
-5.84992496,2.18343553,0.03223260,0.16197540,0.24907138,0.94255225,0.64016800,0.31553634,0.47649142,0.00000000
-5.84392196,2.28381176,0.03369733,0.16509953,0.26947899,0.99945478,0.65580878,0.32434425,0.49598655,0.00000000
-5.83791896,2.39805331,0.03518396,0.16798450,0.29137273,1.06656817,0.67064877,0.33416214,0.51837506,0.00000000
-5.83191596,2.52506885,0.03668032,0.17052670,0.31464407,1.14351813,0.68430856,0.34481582,0.54338573,0.00000000
-5.82591296,2.66367374,0.03817518,0.17263384,0.33916170,1.22983684,0.69645159,0.35613460,0.57072872,0.00000000
-5.81990995,2.81261950,0.03965836,0.17422775,0.36477194,1.32497595,0.70679418,0.36795542,0.60010408,0.00000000
-5.81390695,2.97062185,0.04112081,0.17524658,0.39129943,1.42832081,0.71511338,0.38012601,0.63121000,0.00000000
-5.80790395,3.13638760,0.04255444,0.17564636,0.41854855,1.53920591,0.72125228,0.39250714,0.66375076,0.00000000
-5.80190095,3.30864036,0.04395209,0.17540186,0.44630535,1.65693150,0.72512308,0.40497406,0.69744431,0.00000000
-5.79589795,3.48614518,0.04530724,0.17450686,0.47434035,1.78078118,0.72670787,0.41741714,0.73202938,0.00000000
