energy_ev,total_up,Bi_p_up,Bi_d_up,Os_p_up,Os_d_up,Se_s_up,Se_p_up
-6.00000000,3.25094613,0.45573400,0.01670658,0.95145455,1.44232355,0.07768561,1.20596870
-5.99399700,3.29481261,0.47987365,0.01710070,1.00296823,1.44427788,0.07846344,1.20885158
-5.98799400,3.34377471,0.50776268,0.01750403,1.05712322,1.44692592,0.07929867,1.21132806
-5.98199100,3.39816560,0.53919760,0.01791601,1.11363859,1.45069107,0.08020109,1.21369066
-5.97598799,3.45832597,0.57391920,0.01833552,1.17217136,1.45604833,0.08118033,1.21628984
-5.96998499,3.52456455,0.61161064,0.01876076,1.23231331,1.46349958,0.08224489,1.21951808
-5.96398199,3.59712007,0.65189671,0.01918915,1.29359099,1.47354791,0.08340115,1.22379381
-5.95797899,3.67612688,0.69434457,0.01961730,1.35546944,1.48667242,0.08465234,1.22954564
-5.95197599,3.76158629,0.73846618,0.02004097,1.41735969,1.50330465,0.08599757,1.23719791
-5.94597299,3.85334552,0.78372272,0.02045512,1.47863007,1.52380763,0.08743103,1.24715782
-5.93996998,3.95108522,0.82953101,0.02085400,1.53862097,1.54845856,0.08894139,1.25980449
-5.93396698,4.05431624,0.87527198,0.02123131,1.59666254,1.57743573,0.09051150,1.27548027
-5.92796398,4.16238577,0.92030102,0.02158033,1.65209441,1.61080999,0.09211840,1.29448395
-5.92196098,4.27449210,0.96396013,0.02189418,1.70428663,1.64854107,0.09373365,1.31706607
-5.91595798,4.38970720,1.00559138,0.02216608,1.75266069,1.69047855,0.09532403,1.34342572
-5.90995498,4.50700550,1.04455138,0.02238953,1.79670950,1.73636731,0.09685258,1.37370873
-5.90395198,4.62529732,1.08022631,0.02255868,1.83601530,1.78585695,0.09827993,1.40800686
-5.89794897,4.74346519,1.11204685,0.02266851,1.87026466,1.83851455,0.09956579,1.44635775
-5.89194597,4.86040113,1.13950257,0.02271509,1.89925960,1.89384030,0.10067071,1.48874543
-5.88594297,4.97504345,1.16215526,0.02269579,1.92292455,1.95128517,0.10155778,1.53510135
-5.87993997,5.08641163,1.17965059,0.02260945,1.94130874,2.01027007,0.10219442,1.58530617
-5.87393697,5.19363823,1.19172771,0.02245645,1.95458423,2.07020588,0.10255394,1.63919232
-5.86793397,5.29599722,1.19822647,0.02223882,1.96303974,2.13051389,0.10261700,1.69654787
-5.86193097,5.39292837,1.19909195,0.02196019,1.96707102,2.19064608,0.10237273,1.75712205
-5.85592796,5.48405779,1.19437613,0.02162582,1.96716840,2.25010509,0.10181955,1.82063280
-5.84992496,5.56921469,1.18423675,0.02124239,1.96390253,2.30846331,0.10096554,1.88677677
-5.84392196,5.64844499,1.16893338,0.02081794,1.95790918,2.36538105,0.09982853,1.95524200
-5.83791896,5.72202189,1.14882086,0.02036160,1.94987397,2.42062336,0.09843572,2.02572323
-5.83191596,5.79045390,1.12434052,0.01988345,1.94051802,2.47407526,0.09682291,2.09793970
-5.82591296,5.85449026,1.09600937,0.01939420,1.93058483,2.52575495,0.09503344,2.17165483
-5.81990995,5.91512369,1.06440785,0.01890495,1.92082907,2.57582462,0.09311684,2.24669704
-5.81390695,5.97358983,1.03016640,0.01842696,1.91200727,2.62459822,0.09112723,2.32298057
-5.80790395,6.03136256,0.99395148,0.01797135,1.90487029,2.67254572,0.08912165,2.40052488
-5.80190095,6.09014423,0.95645131,0.01754889,1.90015727,2.72029310,0.08715822,2.47947127
-5.79589795,6.15184940,0.91836192,0.01716976,1.89859056,2.76861748,0.08529439,2.56009492
-5.78989495,6.21858080,0.88037374,0.01684335,1.90087086,2.81843677,0.08358522,2.64281101
