energy_ev,total_up,Ca_p_up,Ca_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up,V_p_up,V_d_up
-6.00000000,3.66947328,0.00472362,0.00000000,0.00864694,1.10031014,0.04979171,1.18424282,2.33187735,1.06796442
-5.99399700,3.70821311,0.00502978,0.00000000,0.00844554,1.10842626,0.04895820,1.20068983,2.35176711,1.09178063
-5.98799400,3.75860803,0.00537920,0.00000000,0.00826579,1.11927090,0.04806484,1.22132165,2.37730961,1.12050614
-5.98199100,3.82222744,0.00577306,0.00000000,0.00810890,1.13326145,0.04713902,1.24668323,2.40938611,1.15463353
-5.97598799,3.90044238,0.00621188,0.00000000,0.00797586,1.15076406,0.04620837,1.27724946,2.44876904,1.19457627
-5.96998499,3.99434666,0.00669547,0.00000000,0.00786740,1.17207090,0.04529970,1.31340002,2.49607697,1.24064088
-5.96398199,4.10468086,0.00722274,0.00000000,0.00778392,1.19737830,0.04443800,1.35539501,2.55173117,1.29300032
-5.95797899,4.23176259,0.00779164,0.00000000,0.00772542,1.22676685,0.04364553,1.40335238,2.61591551,1.35166962
-5.95197599,4.37542633,0.00839905,0.00000000,0.00769142,1.26018455,0.04294100,1.45722819,2.68854199,1.41648536
-5.94597299,4.53497641,0.00904071,0.00000000,0.00768095,1.29743393,0.04233889,1.51680077,2.76922367,1.48708997
-5.93996998,4.70915601,0.00971122,0.00000000,0.00769250,1.33816407,0.04184891,1.58165981,2.85725700,1.56292204
-5.93396698,4.89613498,0.01040404,0.00000000,0.00772402,1.38186825,0.04147568,1.65120124,2.95161511,1.64321371
-5.92796398,5.09351847,0.01111153,0.00000000,0.00777290,1.42788787,0.04121856,1.72462857,3.05095327,1.72699569
-5.92196098,5.29837757,0.01182502,0.00000000,0.00783603,1.47542277,0.04107169,1.80096125,3.15362734,1.81311039
-5.91595798,5.50730233,0.01253503,0.00000000,0.00790984,1.52354814,0.04102425,1.87905023,3.25772524,1.90023328
-5.90995498,5.71647648,0.01323136,0.00000000,0.00799034,1.57123748,0.04106087,1.95760054,3.36111136,1.98690199
-5.90395198,5.92177217,0.01390334,0.00000000,0.00807325,1.61739130,0.04116226,2.03520063,3.46148243,2.07155276
-5.89794897,6.11886201,0.01454010,0.00000000,0.00815410,1.66087032,0.04130591,2.11035761,3.55643357,2.15256287
-5.89194597,6.30334475,0.01513082,0.00000000,0.00822831,1.70053227,0.04146700,2.18153734,3.64353199,2.22829784
-5.88594297,6.47088024,0.01566501,0.00000000,0.00829138,1.73527065,0.04161932,2.24720821,3.72039570,2.29716168
-5.87993997,6.61732847,0.01613282,0.00000000,0.00833900,1.76405401,0.04173629,2.30588680,3.78477417,2.35764832
-5.87393697,6.73888745,0.01652533,0.00000000,0.00836720,1.78596421,0.04179193,2.35618396,3.83462752,2.40839211
-5.86793397,6.83222416,0.01683480,0.00000000,0.00837246,1.80023174,0.04176186,2.39684946,3.86820092,2.44821551
-5.86193097,6.89459336,0.01705492,0.00000000,0.00835186,1.80626689,0.04162418,2.42681331,3.88409106,2.47617183
