energy_ev,total_up,C_s_up,C_p_up,Hg_p_up,Hg_d_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up
-6.00000000,5.54916747,0.16226548,0.20151072,1.18131671,1.56380787,0.20959180,1.48533752,0.91795914,0.42934331
-5.99399700,5.48447238,0.16283344,0.20027580,1.15505445,1.55627248,0.21789178,1.45510184,0.88293383,0.42383373
-5.98799400,5.43140731,0.16388618,0.19865395,1.13007611,1.55321373,0.22651501,1.42821089,0.85067942,0.41901351
-5.98199100,5.38943172,0.16538770,0.19664654,1.10638413,1.55438175,0.23536150,1.40454840,0.82127404,0.41486898
-5.97598799,5.35765728,0.16728744,0.19425693,1.08393409,1.55941495,0.24432524,1.38390046,0.79472289,0.41135784
-5.96998499,5.33490221,0.16952174,0.19149099,1.06264182,1.56785477,0.25329772,1.36597243,0.77096544,0.40841339
-5.96398199,5.31975211,0.17201563,0.18835747,1.04239069,1.57916231,0.26217156,1.35040746,0.74988426,0.40594945
-5.95797899,5.31062410,0.17468486,0.18486829,1.02303907,1.59273626,0.27084390,1.33680575,0.73131478,0.40386584
-5.95197599,5.30583134,0.17743810,0.18103866,1.00442751,1.60793117,0.27921954,1.32474360,0.71505564,0.40205411
-5.94597299,5.30364528,0.18017926,0.17688705,0.98638544,1.62407565,0.28721374,1.31379150,0.70087900,0.40040309
-5.93996998,5.30235352,0.18280986,0.17243506,0.96873739,1.64048982,0.29475438,1.30353044,0.68854057,0.39880422
-5.93396698,5.30031139,0.18523143,0.16770705,0.95130846,1.65650173,0.30178369,1.29356610,0.67778883,0.39715617
-5.92796398,5.29598635,0.18734781,0.16272974,0.93392926,1.67146238,0.30825927,1.28354035,0.66837337,0.39536885
-5.92196098,5.28799423,0.18906745,0.15753173,0.91644006,1.68475931,0.31415452,1.27314019,0.66005200,0.39336646
-5.91595798,5.27512738,0.19030553,0.15214287,0.89869447,1.69582843,0.31945855,1.26210373,0.65259664,0.39108961
-5.90995498,5.25637466,0.19098594,0.14659377,0.88056254,1.70416435,0.32417536,1.25022366,0.64579788,0.38849658
-5.90395198,5.23093377,0.19104308,0.14091519,0.86193340,1.70932886,0.32832264,1.23734818,0.63946826,0.38556352
-5.89794897,5.19821650,0.19042336,0.13513757,0.84271738,1.71095792,0.33193008,1.22337983,0.63344434,0.38228396
-5.89194597,5.15784759,0.18908657,0.12929060,0.82284785,1.70876672,0.33503729,1.20827239,0.62758757,0.37866742
-5.88594297,5.10965779,0.18700680,0.12340291,0.80228240,1.70255314,0.33769138,1.19202636,0.62178419,0.37473746
-5.87993997,5.05367192,0.18417308,0.11750183,0.78100371,1.69219933,0.33994439,1.17468323,0.61594418,0.37052925
-5.87393697,4.99009249,0.18058966,0.11161333,0.75901975,1.67767131,0.34185052,1.15631886,0.60999939,0.36608666
-5.86793397,4.91927943,0.17627590,0.10576191,0.73636349,1.65901678,0.34346329,1.13703635,0.60390106,0.36145921
-5.86193097,4.84172663,0.17126572,0.09997073,0.71309185,1.63636077,0.34483271,1.11695858,0.59761674,0.35669888
-5.85592796,4.75803587,0.16560667,0.09426168,0.68928408,1.60989944,0.34600261,1.09622069,0.59112685,0.35185691
-5.84992496,4.66888885,0.15935863,0.08865554,0.66503935,1.57989203,0.34700810,1.07496274,0.58442102,0.34698080
-5.84392196,4.57501819,0.15259212,0.08317216,0.64047386,1.54665118,0.34787337,1.05332274,0.57749427,0.34211155
-5.83791896,4.47717834,0.14538639,0.07783054,0.61571723,1.51053188,0.34860991,1.03143028,0.57034337,0.33728127
-5.83191596,4.37611739,0.13782716,0.07264901,0.59090865,1.47191958,0.34921513,1.00940099,0.56296334,0.33251126
-5.82591296,4.27255114,0.13000431,0.06764526,0.56619266,1.43121786,0.34967175,0.98733202,0.55534454,0.32781070
-5.81990995,4.16714025,0.12200945,0.06283636,0.54171492,1.38883618,0.34994765,0.96529863,0.54747019,0.32317592
-5.81390695,4.06047196,0.11393355,0.05823876,0.51761812,1.34517833,0.34999665,0.94335224,0.53931480,0.31859033
-5.80790395,3.95304704,0.10586463,0.05386814,0.49403827,1.30063208,0.34975987,0.92151987,0.53084337,0.31402515
-5.80190095,3.84527272,0.09788568,0.04973932,0.47110143,1.25556049,0.34916796,0.89980507,0.52201156,0.30944070
-5.79589795,3.73746207,0.09007289,0.04586607,0.44892120,1.21029525,0.34814391,0.87819039,0.51276685,0.30478846
-5.78989495,3.62983966,0.08249413,0.04226092,0.42759689,1.16513232,0.34660656,0.85664110,0.50305063,0.30001353
-5.78389195,3.52255306,0.07520789,0.03893497,0.40721255,1.12032984,0.34447444,0.83511019,0.49280102,0.29505770
-5.77788894,3.41568932,0.06826250,0.03589765,0.38783665,1.07610830,0.34166996,0.81354412,0.48195651,0.28986267
-5.77188594,3.30929515,0.06169588,0.03315653,0.36952261,1.03265269,0.33812362,0.79188917,0.47045990,0.28437347
-5.76588294,3.20339908,0.05553555,0.03071713,0.35230968,0.99011628,0.33377807,0.77009778,0.45826251,0.27854176
-5.75987994,3.09803403,0.04979902,0.02858275,0.33622439,0.94862546,0.32859171,0.74813464,0.44532830,0.27232890
-5.75387694,2.99325830,0.04449451,0.02675430,0.32128198,0.90828515,0.32254178,0.72598194,0.43163763,0.26570853
-5.74787394,2.88917333,0.03962181,0.02523018,0.30748803,0.86918417,0.31562650,0.70364347,0.41719029,0.25866859
-5.74187094,2.78593665,0.03517342,0.02400614,0.29483974,0.83140016,0.30786639,0.68114717,0.40200784,0.25121258
-5.73586793,2.68376895,0.03113570,0.02307520,0.28332695,0.79500337,0.29930444,0.65854603,0.38613474,0.24335998
-5.72986493,2.58295454,0.02749012,0.02242753,0.27293273,0.76005921,0.29000522,0.63591712,0.36963845,0.23514586
-5.72386193,2.48383506,0.02421447,0.02205042,0.26363346,0.72662924,0.28005294,0.61335875,0.35260829,0.22661961
-5.71785893,2.38679675,0.02128401,0.02192824,0.25539846,0.69477061,0.26954858,0.59098611,0.33515320,0.21784296
-5.71185593,2.29225234,0.01867251,0.02204247,0.24818926,0.66453405,0.25860617,0.56892541,0.31739842,0.20888731
-5.70585293,2.20061868,0.01635318,0.02237168,0.24195857,0.63596069,0.24734851,0.54730706,0.29948145,0.19983055
-5.69984992,2.11229196,0.01429942,0.02289174,0.23664910,0.60907805,0.23590254,0.52625839,0.28154731,0.19075373
-5.69384692,2.02762235,0.01248547,0.02357593,0.23219258,0.58389569,0.22439458,0.50589620,0.26374354,0.18173741
-5.68784392,1.94688997,0.01088685,0.02439524,0.22850895,0.56040100,0.21294579,0.48631993,0.24621513,0.17285837
-5.68184092,1.87028411,0.00948069,0.02531873,0.22550601,0.53855563,0.20166796,0.46760568,0.22909973,0.16418642
-5.67583792,1.79788735,0.00824594,0.02631399,0.22307979,0.51829295,0.19065999,0.44980165,0.21252330,0.15578184
-5.66983492,1.72966568,0.00716344,0.02734767,0.22111551,0.49951694,0.18000510,0.43292521,0.19659656,0.14769332
-5.66383192,1.66546574,0.00621598,0.02838616,0.21948944,0.48210272,0.16976898,0.41696194,0.18141225,0.13995671
-5.65782891,1.60501922,0.00538822,0.02939629,0.21807148,0.46589889,0.15999884,0.40186654,0.16704341,0.13259443
-5.65182591,1.54795448,0.00466658,0.03034615,0.21672855,0.45073152,0.15072346,0.38756567,0.15354272,0.12561564
-5.64582291,1.49381462,0.00403917,0.03120586,0.21532855,0.43640979,0.14195411,0.37396256,0.14094279,0.11901715
-5.63981991,1.44208097,0.00349563,0.03194848,0.21374485,0.42273285,0.13368621,0.36094301,0.12925744,0.11278490
-5.63381691,1.39220060,0.00302703,0.03255081,0.21186099,0.40949764,0.12590172,0.34838251,0.11848386,0.10689588
-5.62781391,1.34361618,0.00262575,0.03299414,0.20957550,0.39650717,0.11857183,0.33615398,0.10860530,0.10132052
-5.62181091,1.29579654,0.00228541,0.03326499,0.20680649,0.38357874,0.11166010,0.32413582,0.09959445,0.09602508
-5.61580790,1.24826620,0.00200080,0.03335570,0.20349597,0.37055185,0.10512553,0.31221960,0.09141695,0.09097430
-5.60980490,1.20063228,0.00176786,0.03326487,0.19961342,0.35729503,0.09892560,0.30031728,0.08403521,0.08613373
-5.60380190,1.15260747,0.00158363,0.03299773,0.19515880,0.34371160,0.09301907,0.28836740,0.07741204,0.08147198
-5.59779890,1.10402804,0.00144630,0.03256629,0.19016463,0.32974383,0.08736838,0.27634001,0.07151421,0.07696258
-5.59179590,1.05486616,0.00135524,0.03198935,0.18469707,0.31537538,0.08194154,0.26424027,0.06631566,0.07258541
-5.58579290,1.00523620,0.00131098,0.03129238,0.17885623,0.30063206,0.07671358,0.25211044,0.06180023,0.06832774
-5.57978989,0.95539508,0.00131533,0.03050721,0.17277533,0.28558080,0.07166736,0.24003045,0.05796401,0.06418477
-5.57378689,0.90573689,0.00137136,0.02967160,0.16661916,0.27032706,0.06679394,0.22811692,0.05481710,0.06015973
-5.56778389,0.85678238,0.00148349,0.02882869,0.16058155,0.25501083,0.06209239,0.21652087,0.05238471,0.05626360
-5.56178089,0.80916413,0.00165746,0.02802634,0.15488224,0.23980147,0.05756919,0.20542433,0.05070781,0.05251439
-5.55577789,0.76360821,0.00190035,0.02731637,0.14976304,0.22489173,0.05323735,0.19503585,0.04984304,0.04893627
-5.54977489,0.72091311,0.00222053,0.02675366,0.14548341,0.21049117,0.04911522,0.18558527,0.04986207,0.04555834
-5.54377189,0.68192706,0.00262754,0.02639531,0.14231557,0.19681936,0.04522510,0.17731795,0.05085034,0.04241338
-5.53776888,0.64752414,0.00313200,0.02629952,0.14053919,0.18409902,0.04159192,0.17048845,0.05290512,0.03953640
-5.53176588,0.61858018,0.00374538,0.02652457,0.14043557,0.17254939,0.03824175,0.16535400,0.05613302,0.03696330
-5.52576288,0.59594870,0.00447971,0.02712764,0.14228150,0.16237997,0.03520048,0.16216769,0.06064683,0.03472943
-5.51975988,0.58043736,0.00534728,0.02816350,0.14634269,0.15378476,0.03249260,0.16117165,0.06656176,0.03286837
-5.51375688,0.57278516,0.00636020,0.02968326,0.15286686,0.14693707,0.03014012,0.16259005,0.07399110,0.03141065
-5.50775388,0.57364063,0.00752990,0.03173288,0.16207639,0.14198488,0.02816166,0.16662223,0.08304138,0.03038268
-5.50175088,0.58354102,0.00886664,0.03435170,0.17416082,0.13904690,0.02657173,0.17343576,0.09380702,0.02980583
-5.49574787,0.60289280,0.01037885,0.03757095,0.18926905,0.13820913,0.02538021,0.18315976,0.10636470,0.02969550
-5.48974487,0.63195366,0.01207255,0.04141217,0.20750160,0.13952209,0.02459197,0.19587839,0.12076755,0.03006051
-5.48374187,0.67081619,0.01395069,0.04588570,0.22890307,0.14299850,0.02420675,0.21162480,0.13703930,0.03090247
-5.47773887,0.71939398,0.01601253,0.05098930,0.25345502,0.14861175,0.02421907,0.23037565,0.15516874,0.03221541
-5.47173587,0.77741045,0.01825306,0.05670688,0.28106974,0.15629478,0.02461843,0.25204652,0.17510467,0.03398548
-5.46573287,0.84439117,0.02066252,0.06300749,0.31158520,0.16593981,0.02538958,0.27648838,0.19675165,0.03619085
-5.45972986,0.91966053,0.02322600,0.06984466,0.34476153,0.17739875,0.02651296,0.30348558,0.21996685,0.03880187
-5.45372686,1.00234338,0.02592321,0.07715613,0.38027956,0.19048453,0.02796527,0.33275545,0.24455827,0.04178130
-5.44772386,1.09137255,0.02872844,0.08486404,0.41774171,0.20497337,0.02972021,0.36395004,0.27028465,0.04508490
-5.44172086,1.18550271,0.03161066,0.09287570,0.45667546,0.22060811,0.03174934,0.39665998,0.29685721,0.04866218
-5.43571786,1.28333102,0.03453392,0.10108497,0.49653978,0.23710260,0.03402306,0.43042077,0.32394333,0.05245742
-5.42971486,1.38332477,0.03745792,0.10937415,0.53673443,0.25414733,0.03651178,0.46472157,0.35117239,0.05641098
-5.42371186,1.48385562,0.04033880,0.11761658,0.57661220,0.27141602,0.03918707,0.49901628,0.37814349,0.06046073
-5.41770885,1.58324000,0.04313015,0.12567971,0.61549379,0.28857331,0.04202301,0.53273682,0.40443510,0.06454382
-5.41170585,1.67978451,0.04578424,0.13342864,0.65268500,0.30528322,0.04499749,0.56530825,0.42961623,0.06859850
-5.40570285,1.77183491,0.04825328,0.14073002,0.68749565,0.32121825,0.04809350,0.59616525,0.45325879,0.07256605
-5.39969985,1.85782705,0.05049088,0.14745619,0.71925956,0.33606868,0.05130037,0.62476930,0.47495072,0.07639271
-5.39369685,1.93633744,0.05245347,0.15348926,0.74735486,0.34955194,0.05461481,0.65062593,0.49430921,0.08003158
-5.38769385,2.00613155,0.05410175,0.15872517,0.77122365,0.36142148,0.05804178,0.67330130,0.51099363,0.08344428
-5.38169085,2.06620722,0.05540200,0.16307736,0.79039030,0.37147477,0.06159504,0.69243728,0.52471735,0.08660242
-5.37568784,2.11583128,0.05632726,0.16647992,0.80447732,0.37956020,0.06529732,0.70776434,0.53525806,0.08948859
-5.36968484,2.15456715,0.05685831,0.16889012,0.81321832,0.38558229,0.06918017,0.71911156,0.54246593,0.09209708
-5.36368184,2.18229203,0.05698440,0.17029011,0.81646716,0.38950514,0.07328318,0.72641319,0.54626933,0.09443400
-5.35767884,2.19920239,0.05670366,0.17068777,0.81420291,0.39135374,0.07765294,0.72971144,0.54667763,0.09651685
-5.35167584,2.20580716,0.05602331,0.17011651,0.80653051,0.39121318,0.08234136,0.72915521,0.54378105,0.09837367
-5.34567284,2.20290884,0.05495940,0.16863423,0.79367681,0.38922559,0.08740361,0.72499482,0.53774750,0.10004159
-5.33966983,2.19157300,0.05353642,0.16632128,0.77598245,0.38558498,0.09289572,0.71757291,0.52881656,0.10156491
-5.33366683,2.17308748,0.05178658,0.16327757,0.75388977,0.38053025,0.09887176,0.70731192,0.51729083,0.10299284
-5.32766383,2.14891333,0.04974878,0.15961908,0.72792753,0.37433649,0.10538097,0.69469878,0.50352519,0.10437694
-5.32166083,2.12062942,0.04746758,0.15547373,0.69869305,0.36730517,0.11246469,0.68026744,0.48791438,0.10576840
-5.31565783,2.08987360,0.04499189,0.15097693,0.66683264,0.35975343,0.12015345,0.66458021,0.47087955,0.10721534
-5.30965483,2.05828308,0.04237371,0.14626698,0.63302141,0.35200315,0.12846424,0.64820862,0.45285449,0.10876018
-5.30365183,2.02743671,0.03966679,0.14148054,0.59794309,0.34437009,0.13739816,0.63171486,0.43427205,0.11043733
-5.29764882,1.99880195,0.03692545,0.13674835,0.56227103,0.33715370,0.14693856,0.61563451,0.41555142,0.11227127
-5.29164582,1.97368872,0.03420337,0.13219138,0.52665087,0.33062797,0.15704985,0.60046136,0.39708687,0.11427509
-5.28564282,1.95321215,0.03155269,0.12791752,0.49168574,0.32503366,0.16767696,0.58663489,0.37923820,0.11644969
-5.27963982,1.93826552,0.02902314,0.12401906,0.45792429,0.32057220,0.17874564,0.57453082,0.36232347,0.11878355
-5.27363682,1.92950438,0.02666139,0.12057088,0.42585193,0.31740146,0.19016356,0.56445508,0.34661392,0.12125318
-5.26763382,1.92734180,0.02451067,0.11762948,0.39588529,0.31563353,0.20182218,0.55664112,0.33233132,0.12382421
-5.26163082,1.93195464,0.02261043,0.11523277,0.36836985,0.31533432,0.21359940,0.55125046,0.31964758,0.12645304
-5.25562781,1.94329974,0.02099623,0.11340073,0.34358051,0.31652517,0.22536282,0.54837628,0.30868642,0.12908893
-5.24962481,1.96113864,0.01969967,0.11213668,0.32172460,0.31918602,0.23697355,0.54804943,0.29952682,0.13167653
-5.24362181,1.98506912,0.01874850,0.11142913,0.30294700,0.32326009,0.24829036,0.55024638,0.29220785,0.13415857
-5.23761881,2.01456145,0.01816667,0.11125421,0.28733670,0.32865973,0.25917408,0.55489852,0.28673445,0.13647868
-5.23161581,2.04899727,0.01797439,0.11157829,0.27493431,0.33527296,0.26949191,0.56190210,0.28308378,0.13858411
-5.22561281,2.08770890,0.01818819,0.11236096,0.26573989,0.34297070,0.27912163,0.57112808,0.28121165,0.14042828
-5.21960980,2.13001705,0.01882090,0.11355791,0.25972066,0.35161394,0.28795536,0.58243151,0.28105868,0.14197296
-5.21360680,2.17526521,0.01988153,0.11512390,0.25681822,0.36106093,0.29590285,0.59565974,0.28255589,0.14319003
-5.20760380,2.22284927,0.02137509,0.11701548,0.25695477,0.37117375,0.30289409,0.61065920,0.28562939,0.14406273
-5.20160080,2.27224125,0.02330232,0.11919343,0.26003839,0.38182436,0.30888112,0.62728043,0.29020413,0.14458637
-5.19559780,2.32300654,0.02565941,0.12162492,0.26596705,0.39289965,0.31383908,0.64538130,0.29620654,0.14476839
-5.18959480,2.37481456,0.02843762,0.12428525,0.27463146,0.40430558,0.31776632,0.66482852,0.30356615,0.14462803
-5.18359180,2.42744294,0.03162299,0.12715912,0.28591694,0.41597022,0.32068381,0.68549749,0.31221621,0.14419531
-5.17758879,2.48077594,0.03519605,0.13024154,0.29970438,0.42784574,0.32263369,0.70727093,0.32209361,0.14350979
-5.17158579,2.53479794,0.03913177,0.13353824,0.31587057,0.43990934,0.32367728,0.73003659,0.33313813,0.14261885
-5.16558279,2.58958314,0.04339950,0.13706567,0.33428828,0.45216323,0.32389245,0.75368450,0.34529143,0.14157584
-5.15957979,2.64528277,0.04796328,0.14085063,0.35482616,0.46463374,0.32337075,0.77810426,0.35849590,0.14043814
-5.15357679,2.70211083,0.05278226,0.14492948,0.37734888,0.47736967,0.32221421,0.80318272,0.37269362,0.13926517
-5.14757379,2.76032971,0.05781150,0.14934710,0.40171758,0.49044008,0.32053221,0.82880247,0.38782563,0.13811654
-5.14157079,2.82023648,0.06300293,0.15415544,0.42779083,0.50393146,0.31843834,0.85484146,0.40383158,0.13705042
-5.13556778,2.88215051,0.06830658,0.15941190,0.45542606,0.51794464,0.31604758,0.88117378,0.42064991,0.13612206
-5.12956478,2.94640286,0.07367201,0.16517740,0.48448140,0.53259123,0.31347374,0.90767177,0.43821842,0.13538268
-5.12356178,3.01332737,0.07904989,0.17151424,0.51481784,0.54798988,0.31082731,0.93420923,0.45647523,0.13487865
-5.11755878,3.08325314,0.08439361,0.17848377,0.54630148,0.56426222,0.30821377,0.96066555,0.47535993,0.13465082
-5.11155578,3.15649807,0.08966090,0.18614391,0.57880552,0.58152864,0.30573229,0.98693032,0.49481480,0.13473424
-5.10555278,3.23336236,0.09481526,0.19454648,0.61221184,0.59990371,0.30347486,1.01290808,0.51478574,0.13515796
