energy_ev,total_up,Cd_p_up,Cd_d_up,Pb_p_up,Pb_d_up,S_s_up,S_p_up
-6.00000000,2.49650235,1.79180511,0.42202236,0.36304061,0.00340136,0.22423894,0.98359799
-5.99399700,2.41630694,1.71538728,0.41116615,0.34048543,0.00333218,0.22359076,0.95716856
-5.98799400,2.33622819,1.63942212,0.40025805,0.31825996,0.00326326,0.22288237,0.93066257
-5.98199100,2.25750378,1.56508121,0.38947497,0.29664930,0.00319605,0.22213410,0.90453572
-5.97598799,2.18118441,1.49338977,0.37896294,0.27591172,0.00313176,0.22135224,0.87916874
-5.96998499,2.10811595,1.42520688,0.36883502,0.25627261,0.00307133,0.22052972,0.85486155
-5.96398199,2.03893164,1.36121344,0.35917088,0.23791983,0.00301544,0.21964764,0.83183140
-5.95797899,1.97405391,1.30190767,0.35001789,0.22100070,0.00296453,0.21867737,0.81021477
-5.95197599,1.91370431,1.24760734,0.34139353,0.20562037,0.00291876,0.21758306,0.79007226
-5.94597299,1.85792028,1.19845806,0.33328883,0.19184180,0.00287804,0.21632439,0.77139613
-5.93996998,1.80657695,1.15444636,0.32567245,0.17968692,0.00284211,0.21485943,0.75411952
-5.93396698,1.75941225,1.11541643,0.31849524,0.16913900,0.00281051,0.21314725,0.73812679
-5.92796398,1.71605355,1.08108946,0.31169479,0.16014599,0.00278262,0.21115034,0.72326417
-5.92196098,1.67604451,1.05108439,0.30519986,0.15262454,0.00275772,0.20883654,0.70935034
-5.91595798,1.63887067,1.02493917,0.29893442,0.14646469,0.00273499,0.20618044,0.69618617
-5.90995498,1.60398309,1.00213173,0.29282120,0.14153488,0.00271357,0.20316436,0.68356358
-5.90395198,1.57081926,0.98210013,0.28678461,0.13768712,0.00269256,0.19977862,0.67127311
-5.89794897,1.53882119,0.96426141,0.28075305,0.13476236,0.00267104,0.19602144,0.65911030
-5.89194597,1.50745050,0.94802899,0.27466069,0.13259566,0.00264813,0.19189840,0.64688076
-5.88594297,1.47620098,0.93282847,0.26844866,0.13102125,0.00262296,0.18742155,0.63440425
-5.87993997,1.44460874,0.91811185,0.26206591,0.12987741,0.00259472,0.18260835,0.62151785
-5.87393697,1.41226064,0.90337024,0.25546974,0.12901089,0.00256268,0.17748060,0.60807839
-5.86793397,1.37880131,0.88814511,0.24862615,0.12828109,0.00252619,0.17206325,0.59396455
-5.86193097,1.34393915,0.87203813,0.24151010,0.12756377,0.00248468,0.16638351,0.57907855
-5.85592796,1.30745171,0.85471976,0.23410578,0.12675422,0.00243772,0.16047003,0.56334771
