energy_ev,total_up,Os_p_up,Os_d_up,S_s_up,S_p_up,Sn_p_up,Sn_d_up
-6.00000000,5.55218882,1.06244930,2.73730449,0.01412669,3.15020457,0.24485978,0.00046915
-5.99399700,5.73254991,1.11111897,2.81352047,0.01520595,3.25428672,0.25333515,0.00049875
-5.98799400,5.94314779,1.16735940,2.90481355,0.01643247,3.37604716,0.26288126,0.00053039
-5.98199100,6.18148403,1.23088544,3.00994957,0.01779915,3.51412527,0.27339870,0.00056374
-5.97598799,6.44427959,1.30125260,3.12729702,0.01929666,3.66670062,0.28476762,0.00059843
-5.96998499,6.72755181,1.37786412,3.25486506,0.02091345,3.83153441,0.29685177,0.00063402
-5.96398199,7.02671276,1.45998198,3.39035266,0.02263579,4.00602352,0.30950274,0.00067004
-5.95797899,7.33668585,1.54674151,3.53120728,0.02444789,4.18726557,0.32256429,0.00070596
-5.95197599,7.65203665,1.63716900,3.67469120,0.02633209,4.37213284,0.33587641,0.00074124
-5.94597299,7.96711374,1.73020192,3.81795360,0.02826917,4.55735259,0.34927906,0.00077533
-5.93996998,8.27619480,1.82471099,3.95810579,0.03023866,4.73959137,0.36261519,0.00080769
-5.93396698,8.57363333,1.91952358,4.09229748,0.03221920,4.91554044,0.37573321,0.00083778
-5.92796398,8.85400135,2.01344776,4.21779144,0.03418900,5.08199975,0.38848864,0.00086511
-5.92196098,9.11222354,2.10529636,4.33203422,0.03612622,5.23595772,0.40074513,0.00088923
-5.91595798,9.34369882,2.19391048,4.43272066,0.03800948,5.37466450,0.41237480,0.00090973
-5.90995498,9.54440596,2.27818185,4.51785013,0.03981824,5.49569640,0.42325813,0.00092631
-5.90395198,9.71099035,2.35707363,4.58577292,0.04153330,5.59700971,0.43328353,0.00093872
-5.89794897,9.84082983,2.42963921,4.63522518,0.04313713,5.67698257,0.44234680,0.00094680
-5.89194597,9.93207858,2.49503871,4.66535197,0.04461436,5.73444380,0.45035075,0.00095049
-5.88594297,9.98368856,2.55255298,4.67571753,0.04595202,5.76868844,0.45720502,0.00094981
-5.87993997,9.99540919,2.60159492,4.66630341,0.04713995,5.77948001,0.46282650,0.00094488
-5.87393697,9.96776648,2.64171818,4.63749456,0.04817103,5.76704011,0.46714028,0.00093592
-5.86793397,9.90202378,2.67262321,4.59005491,0.04904145,5.73202637,0.47008127,0.00092321
-5.86193097,9.80012668,2.69416076,4.52509355,0.04975095,5.67550033,0.47159656,0.00090715
-5.85592796,9.66463520,2.70633311,4.44402353,0.05030295,5.59888695,0.47164834,0.00088818
-5.84992496,9.49864649,2.70929305,4.34851510,0.05070477,5.50392773,0.47021735,0.00086682
-5.84392196,9.30571145,2.70334104,4.24044565,0.05096770,5.39262966,0.46730657,0.00084363
-5.83791896,9.08974859,2.68892052,4.12184839,0.05110710,5.26721199,0.46294510,0.00081925
-5.83191596,8.85495812,2.66661186,3.99486178,0.05114250,5.13005291,0.45719176,0.00079430
-5.82591296,8.60573888,2.63712476,3.86168155,0.05109751,4.98363790,0.45013826,0.00076947
-5.81990995,8.34661019,2.60128954,3.72451674,0.05099986,4.83051130,0.44191171,0.00074542
-5.81390695,8.08214023,2.56004724,3.58555099,0.05088123,4.67323219,0.43267610,0.00072285
-5.80790395,7.81688176,2.51443844,3.44690973,0.05077713,4.51433551,0.42263269,0.00070242
-5.80190095,7.55531565,2.46559106,3.31063369,0.05072660,4.35629856,0.41201909,0.00068478
-5.79589795,7.30180173,2.41470677,3.17865859,0.05077188,4.20151320,0.40110693,0.00067053
-5.78989495,7.06053659,2.36304608,3.05280064,0.05095799,4.05226309,0.39019818,0.00066025
-5.78389195,6.83551691,2.31191212,2.93474704,0.05133221,3.91070554,0.37962006,0.00065446
-5.77788894,6.63050738,2.26263274,2.82605053,0.05194344,3.77885714,0.36971879,0.00065362
-5.77188594,6.44901156,2.21654129,2.72812700,0.05284147,3.65858213,0.36085216,0.00065812
-5.76588294,6.29424441,2.17495577,2.64225471,0.05407621,3.55158255,0.35338128,0.00066828
-5.75987994,6.16910546,2.13915680,2.56957433,0.05569675,3.45938932,0.34766168,0.00068433
-5.75387694,6.07615147,2.11036430,2.51108842,0.05775040,3.38335340,0.34403403,0.00070642
-5.74787394,6.01756832,2.08971355,2.46765987,0.06028168,3.32463640,0.34281471,0.00073460
-5.74187094,5.99514171,2.07823083,2.44000843,0.06333120,3.28420033,0.34428662,0.00076883
-5.73586793,6.01022723,2.07680921,2.42870506,0.06693458,3.26279644,0.34869036,0.00080897
-5.72986493,6.06372034,2.08618533,2.43416421,0.07112130,3.26095325,0.35621610,0.00085479
-5.72386193,6.15602736,2.10691758,2.45663408,0.07591362,3.27896418,0.36699645,0.00090594
-5.71785893,6.28703896,2.13936668,2.49618548,0.08132544,3.31687557,0.38110037,0.00096201
-5.71185593,6.45610764,2.18367931,2.55269996,0.08736133,3.37447573,0.39852850,0.00102248
-5.70585293,6.66203096,2.23977549,2.62585816,0.09401553,3.45128610,0.41920999,0.00108675
-5.69984992,6.90304230,2.30734055,2.71512931,0.10127117,3.54655533,0.44300102,0.00115415
-5.69384692,7.17681066,2.38582208,2.81976299,0.10909949,3.65925737,0.46968508,0.00122398
-5.68784392,7.48045108,2.47443253,2.93878420,0.11745941,3.78809424,0.49897519,0.00129544
-5.68184092,7.81054664,2.57215752,3.07099252,0.12629712,3.93150433,0.53051797,0.00136775
-5.67583792,8.16318284,2.67777015,3.21496639,0.13554607,4.08767659,0.56389970,0.00144007
-5.66983492,8.53399470,2.78985114,3.36907292,0.14512710,4.25457086,0.59865426,0.00151159
-5.66383192,8.91822623,2.90681451,3.53148358,0.15494897,4.42994442,0.63427274,0.00158150
-5.65782891,9.31080172,3.02693820,3.70019601,0.16490919,4.61138425,0.67021479,0.00164901
-5.65182591,9.70640748,3.14839903,3.87306156,0.17489513,4.79634466,0.70592112,0.00171340
-5.64582291,10.09958244,3.26931099,4.04781824,0.18478562,4.98218930,0.74082716,0.00177397
-5.63981991,10.48481537,3.38776584,4.22212813,0.19445275,5.16623657,0.77437722,0.00183011
-5.63381691,10.85664627,3.50187485,4.39361853,0.20376418,5.34580719,0.80603892,0.00188128
-5.62781391,11.20976914,3.60981031,4.55992540,0.21258557,5.51827265,0.83531727,0.00192704
-5.62181091,11.53913316,3.70984572,4.71873788,0.22078345,5.68110307,0.86176791,0.00196699
-5.61580790,11.84003932,3.80039331,4.86784254,0.22822815,5.83191315,0.88500907,0.00200088
-5.60980490,12.10822965,3.88003765,5.00516581,0.23479692,5.96850483,0.90473161,0.00202849
-5.60380190,12.33996624,3.94756458,5.12881330,0.24037709,6.08890549,0.92070695,0.00204973
-5.59779890,12.53209787,4.00198436,5.23710477,0.24486907,6.19140065,0.93279218,0.00206457
-5.59179590,12.68211236,4.04254865,5.32860373,0.24818926,6.27456049,0.94093246,0.00207305
-5.58579290,12.78817325,4.06876081,5.40214074,0.25027260,6.33725950,0.94516025,0.00207530
-5.57978989,12.84914024,4.08037962,5.45683006,0.25107480,6.37868916,0.94559163,0.00207148
-5.57378689,12.86457325,4.07741647,5.49207922,0.25057400,6.39836363,0.94241967,0.00206182
-5.56778389,12.83472088,4.06012655,5.50759178,0.24877192,6.39611876,0.93590522,0.00204660
-5.56178089,12.76049426,4.02899471,5.50336338,0.24569442,6.37210490,0.92636551,0.00202613
-5.55577789,12.64342822,3.98471679,5.47967185,0.24139134,6.32677436,0.91416116,0.00200074
-5.54977489,12.48563182,3.92817759,5.43706208,0.23593575,6.26086421,0.89968208,0.00197081
-5.54377189,12.28973058,3.86042622,5.37632660,0.22942258,6.17537540,0.88333307,0.00193674
-5.53776888,12.05880309,3.78265029,5.29848278,0.22196661,6.07154919,0.86551972,0.00189894
-5.53176588,11.79631423,3.69614951,5.20474778,0.21370003,5.95084160,0.84663526,0.00185785
-5.52576288,11.50604744,3.60230991,5.09651207,0.20476951,5.81489677,0.82704907,0.00181394
-5.51975988,11.19203778,3.50257921,4.97531234,0.19533303,5.66551969,0.80709716,0.00176771
-5.51375688,10.85850742,3.39844389,4.84280458,0.18555646,5.50464884,0.78707517,0.00171966
-5.50775388,10.50980446,3.29140823,4.70073764,0.17561003,5.33432894,0.76723403,0.00167036
-5.50175088,10.15034567,3.18297542,4.55092779,0.16566490,5.15668383,0.74777829,0.00162039
-5.49574787,9.78456307,3.07463063,4.39523421,0.15588970,4.97388946,0.72886721,0.00157035
-5.48974487,9.41685409,2.96782563,4.23553549,0.14644744,4.78814687,0.71061810,0.00152090
-5.48374187,9.05153460,2.86396480,4.07370703,0.13749250,4.60165488,0.69311185,0.00147269
-5.47773887,8.69279389,2.76439186,3.91159911,0.12916805,4.41658225,0.67639989,0.00142641
-5.47173587,8.34465099,2.67037690,3.75101545,0.12160375,4.23503936,0.66051227,0.00138276
-5.46573287,8.01091136,2.58310350,3.59369213,0.11491378,4.05904926,0.64546615,0.00134244
-5.45972986,7.69512359,2.50365546,3.44127677,0.10919530,3.89051826,0.63127422,0.00130613
-5.45372686,7.40053607,2.43300313,3.29530804,0.10452714,3.73120656,0.61795247,0.00127448
-5.44772386,7.13005378,2.37198949,3.15719570,0.10096891,3.58269930,0.60552696,0.00124812
-5.44172086,6.88619621,2.32131611,3.02820148,0.09856039,3.44637884,0.59403918,0.00122759
-5.43571786,6.67105735,2.28152961,2.90942138,0.09732127,3.32339919,0.58354976,0.00121337
-5.42971486,6.48626962,2.25300910,2.80176978,0.09725110,3.21466358,0.57414045,0.00120585
-5.42371186,6.33297330,2.23595549,2.70596621,0.09832969,3.12080620,0.56591446,0.00120531
-5.41770885,6.21179368,2.23038337,2.62252531,0.10051770,3.04217911,0.55899502,0.00121193
-5.41170585,6.12282760,2.23611625,2.55175076,0.10375759,2.97884533,0.55352268,0.00122574
-5.40570285,6.06564127,2.25278592,2.49373351,0.10797497,2.93057874,0.54965131,0.00124667
-5.39969985,6.03928059,2.27983646,2.44835488,0.11308021,2.89687142,0.54754329,0.00127448
-5.39369685,6.04229475,2.31653315,2.41529472,0.11897040,2.87694847,0.54736410,0.00130886
-5.38769385,6.07277333,2.36197662,2.39404452,0.12553171,2.86979042,0.54927658,0.00134932
-5.38169085,6.12839612,2.41512175,2.38392515,0.13264197,2.87416240,0.55343515,0.00139531
-5.37568784,6.20649465,2.47480107,2.38410897,0.14017356,2.88864963,0.55998012,0.00144614
-5.36968484,6.30412302,2.53975176,2.39364520,0.14799647,2.91169771,0.56903234,0.00150108
-5.36368184,6.41813575,2.60864537,2.41148789,0.15598145,2.94165649,0.58068807,0.00155930
-5.35767884,6.54526922,2.68011896,2.43652516,0.16400316,2.97682580,0.59501435,0.00161996
-5.35167584,6.68222346,2.75280649,2.46760869,0.17194320,3.01550127,0.61204464,0.00168217
