energy_ev,total_up,P_s_up,P_p_up,Ru_p_up,Ru_d_up,Te_p_up,Te_d_up
-6.00000000,6.05129910,0.00972801,1.96049360,5.09969818,3.35327432,1.04563902,0.00000000
-5.99399700,6.10979678,0.01033455,1.93361239,5.17389016,3.36654569,1.08920990,0.00000000
-5.98799400,6.17315074,0.01095303,1.90922113,5.24692426,3.38312579,1.13425777,0.00000000
-5.98199100,6.23870679,0.01157321,1.88692431,5.31664408,3.40170356,1.17995004,0.00000000
-5.97598799,6.30361520,0.01218428,1.86624085,5.38087943,3.42083144,1.22541684,0.00000000
-5.96998499,6.36491410,0.01277505,1.84662097,5.43750453,3.43896921,1.26977456,0.00000000
-5.96398199,6.41962389,0.01333426,1.82746769,5.48449950,3.45453514,1.31215098,0.00000000
-5.95797899,6.46484878,0.01385083,1.80816215,5.52001317,3.46596255,1.35171105,0.00000000
-5.95197599,6.49788120,0.01431418,1.78809131,5.54242457,3.47175902,1.38768254,0.00000000
-5.94597299,6.51630402,0.01471454,1.76667668,5.55040040,3.47056546,1.41938017,0.00000000
-5.93996998,6.51808538,0.01504323,1.74340246,5.54294541,3.46121204,1.44622736,0.00000000
-5.93396698,6.50166119,0.01529294,1.71784142,5.51944291,3.44276789,1.46777443,0.00000000
-5.92796398,6.46600057,0.01545796,1.68967716,5.47968275,3.41458201,1.48371237,0.00000000
-5.92196098,6.41065060,0.01553435,1.65872128,5.42387480,3.37631287,1.49388137,0.00000000
-5.91595798,6.33575735,0.01552010,1.62492458,5.35264633,3.32794513,1.49827356,0.00000000
-5.90995498,6.24206201,0.01541517,1.58838146,5.26702299,3.26979239,1.49702990,0.00000000
-5.90395198,6.13087165,0.01522149,1.54932746,5.16839337,3.20248574,1.49043105,0.00000000
-5.89794897,6.00400618,0.01494289,1.50812980,5.05845879,3.12694856,1.47888287,0.00000000
-5.89194597,5.86372400,0.01458495,1.46527165,4.93917026,3.04435907,1.46289714,0.00000000
-5.88594297,5.71263018,0.01415482,1.42133099,4.81265561,2.95610239,1.44306847,0.00000000
-5.87993997,5.55357201,0.01366095,1.37695509,4.68114054,2.86371474,1.42004876,0.00000000
-5.87393697,5.38952732,0.01311281,1.33283219,4.54686741,2.76882274,1.39452030,0.00000000
-5.86793397,5.22349122,0.01252061,1.28966180,4.41201592,2.67308080,1.36716922,0.00000000
-5.86193097,5.05836712,0.01189492,1.24812517,4.27862973,2.57810982,1.33866031,0.00000000
-5.85592796,4.89686701,0.01124640,1.20885748,4.14855260,2.48544007,1.30961479,0.00000000
-5.84992496,4.74142583,0.01058549,1.17242306,4.02337698,2.39646085,1.28059171,0.00000000
-5.84392196,4.59413324,0.00992212,1.13929472,3.90440725,2.31237909,1.25207407,0.00000000
-5.83791896,4.45668534,0.00926553,1.10983809,3.79263879,2.23418825,1.22445987,0.00000000
-5.83191596,4.33035738,0.00862403,1.08430149,3.68875320,2.16264856,1.19805829,0.00000000
-5.82591296,4.21599737,0.00800490,1.06281147,3.59312879,2.09827854,1.17309089,0.00000000
-5.81990995,4.11403926,0.00741430,1.04537407,3.50586480,2.04135763,1.14969707,0.00000000
-5.81390695,4.02453331,0.00685722,1.03188115,3.42681686,1.99193862,1.12794337,0.00000000
-5.80790395,3.94719052,0.00633749,1.02212142,3.35564083,1.94986869,1.10783529,0.00000000
-5.80190095,3.88143730,0.00585787,1.01579504,3.29184159,1.91481694,1.08933086,0.00000000
-5.79589795,3.82647643,0.00542004,1.01253111,3.23482357,1.88630665,1.07235469,0.00000000
-5.78989495,3.78135028,0.00502479,1.01190673,3.18393961,1.86374995,1.05681163,0.00000000
-5.78389195,3.74500250,0.00467206,1.01346677,3.13853535,1.84648313,1.04259892,0.00000000
-5.77788894,3.71633498,0.00436112,1.01674323,3.09798689,1.83380047,1.02961630,0.00000000
-5.77188594,3.69425736,0.00409063,1.02127343,3.06172981,1.82498536,1.01777354,0.00000000
-5.76588294,3.67772744,0.00385881,1.02661620,3.02927884,1.81933720,1.00699501,0.00000000
-5.75987994,3.66578134,0.00366350,1.03236549,3.00023783,1.81619357,0.99722160,0.00000000
-5.75387694,3.65755334,0.00350230,1.03816108,2.97430058,1.81494703,0.98840987,0.00000000
-5.74787394,3.65228583,0.00337260,1.04369622,2.95124369,1.81505669,0.98052926,0.00000000
-5.74187094,3.64933076,0.00327169,1.04872210,2.93091295,1.81605470,0.97355760,0.00000000
-5.73586793,3.64814398,0.00319682,1.05304940,2.91320528,1.81754837,0.96747587,0.00000000
-5.72986493,3.64827455,0.00314520,1.05654718,2.89804827,1.81921861,0.96226276,0.00000000
-5.72386193,3.64935107,0.00311413,1.05913950,2.88537938,1.82081550,0.95788973,0.00000000
