energy_ev,total_up,Au_p_up,Au_d_up,C_s_up,C_p_up,Co_p_up,Co_d_up,S_s_up,S_p_up
-6.00000000,1.47930975,0.23804889,0.74356715,0.00030942,0.07185836,0.45151225,0.20044492,0.00393233,0.48385255
-5.99399700,1.40480173,0.22728349,0.69996609,0.00027752,0.06874436,0.42883400,0.19519558,0.00374325,0.46152342
-5.98799400,1.33195616,0.21659645,0.65731431,0.00024772,0.06578251,0.40635002,0.19027153,0.00353823,0.43958494
-5.98199100,1.26122236,0.20599903,0.61586767,0.00022001,0.06295348,0.38418562,0.18573575,0.00332093,0.41820442
-5.97598799,1.19305515,0.19551169,0.57588539,0.00019439,0.06024331,0.36246656,0.18164728,0.00309510,0.39754785
-5.96998499,1.12790365,0.18516280,0.53762494,0.00017084,0.05764272,0.34131718,0.17805927,0.00286442,0.37777577
-5.96398199,1.06620164,0.17498729,0.50133798,0.00014937,0.05514645,0.32085865,0.17501736,0.00263246,0.35903948
-5.95797899,1.00835968,0.16502524,0.46726734,0.00012995,0.05275256,0.30120738,0.17255840,0.00240256,0.34147764
-5.95197599,0.95475898,0.15532057,0.43564494,0.00011255,0.05046180,0.28247349,0.17070957,0.00217777,0.32521353
-5.94597299,0.90574706,0.14591959,0.40669070,0.00009711,0.04827701,0.26475945,0.16948785,0.00196078,0.31035266
-5.93996998,0.86163499,0.13686974,0.38061216,0.00008358,0.04620258,0.24815874,0.16889986,0.00175392,0.29698109
-5.93396698,0.82269582,0.12821825,0.35760465,0.00007189,0.04424394,0.23275452,0.16894203,0.00155908,0.28516415
-5.92796398,0.78916421,0.12001082,0.33785182,0.00006195,0.04240709,0.21861849,0.16960101,0.00137776,0.27494567
-5.92196098,0.76123658,0.11229050,0.32152626,0.00005368,0.04069824,0.20580968,0.17085435,0.00121106,0.26634767
-5.91595798,0.73907168,0.10509648,0.30878998,0.00004700,0.03912340,0.19437339,0.17267123,0.00105969,0.25937038
-5.90995498,0.72279125,0.09846307,0.29979459,0.00004183,0.03768806,0.18434030,0.17501332,0.00092404,0.25399268
-5.90395198,0.71248038,0.09241881,0.29468078,0.00003808,0.03639694,0.17572568,0.17783572,0.00080417,0.25017276
-5.89794897,0.70818747,0.08698569,0.29357719,0.00003569,0.03525367,0.16852892,0.18108776,0.00069989,0.24784917
-5.89194597,0.70992355,0.08217856,0.29659829,0.00003459,0.03426065,0.16273323,0.18471394,0.00061080,0.24694200
-5.88594297,0.71766093,0.07800470,0.30384136,0.00003473,0.03341885,0.15830575,0.18865467,0.00053632,0.24735447
-5.87993997,0.73133115,0.07446366,0.31538235,0.00003604,0.03272765,0.15519797,0.19284714,0.00047575,0.24897471
-5.87393697,0.75082217,0.07154724,0.33127094,0.00003849,0.03218483,0.15334652,0.19722603,0.00042828,0.25167782
