energy_ev,total_up,N_s_up,N_p_up,Ni_p_up,Ni_d_up,Pd_p_up,Pd_d_up,Te_p_up,Te_d_up
-6.00000000,3.34284244,0.00307708,0.39835326,0.69208704,0.58415731,2.36633285,1.60315705,0.86707372,0.00000000
-5.99399700,3.40462997,0.00338331,0.40369735,0.70484605,0.59339463,2.41797902,1.63053614,0.89313908,0.00000000
-5.98799400,3.47084754,0.00370968,0.40906095,0.71723784,0.60428825,2.46776218,1.66064985,0.92057082,0.00000000
-5.98199100,3.54120977,0.00405336,0.41443692,0.72915646,0.61680143,2.51533162,1.69341294,0.94920491,0.00000000
-5.97598799,3.61542307,0.00441106,0.41983912,0.74050940,0.63087665,2.56044135,1.72872417,0.97886110,0.00000000
-5.96998499,3.69319202,0.00477901,0.42530315,0.75121884,0.64643573,2.60295331,1.76646927,1.00934556,0.00000000
-5.96398199,3.77422337,0.00515297,0.43088566,0.76122214,0.66338003,2.64283540,1.80652315,1.04045373,0.00000000
-5.95797899,3.85822741,0.00552830,0.43666246,0.77047180,0.68159077,2.68015443,1.84875115,1.07197329,0.00000000
-5.95197599,3.94491654,0.00590002,0.44272523,0.77893486,0.70092955,2.71506429,1.89300934,1.10368717,0.00000000
-5.94597299,4.03400093,0.00626288,0.44917706,0.78659172,0.72123886,2.74778964,1.93914366,1.13537624,0.00000000
-5.93996998,4.12518154,0.00661148,0.45612699,0.79343464,0.74234276,2.77860620,1.98698805,1.16682186,0.00000000
-5.93396698,4.21814088,0.00694039,0.46368363,0.79946582,0.76404766,2.80781825,2.03636154,1.19780796,0.00000000
-5.92796398,4.31253188,0.00724427,0.47194838,0.80469532,0.78614331,2.83573475,2.08706452,1.22812269,0.00000000
-5.92196098,4.40796562,0.00751805,0.48100831,0.80913888,0.80840403,2.86264499,2.13887432,1.25755957,0.00000000
-5.91595798,4.50399860,0.00775704,0.49092912,0.81281564,0.83059026,2.88879514,2.19154038,1.28591812,0.00000000
-5.90995498,4.60012033,0.00795707,0.50174864,0.81574599,0.85245045,2.91436663,2.24477927,1.31300410,0.00000000
-5.90395198,4.69574213,0.00811463,0.51347089,0.81794953,0.87372341,2.93945753,2.29826994,1.33862924,0.00000000
-5.89794897,4.79018795,0.00822695,0.52606132,0.81944309,0.89414106,2.96406778,2.35164952,1.36261076,0.00000000
-5.89194597,4.88268806,0.00829211,0.53944330,0.82023912,0.91343174,2.98808885,2.40451018,1.38477066,0.00000000
-5.88594297,4.97237652,0.00830910,0.55349614,0.82034425,0.93132391,3.01129844,2.45639736,1.40493505,0.00000000
-5.87993997,5.05829295,0.00827781,0.56805481,0.81975807,0.94755039,3.03336039,2.50680991,1.42293366,0.00000000
-5.87393697,5.13938934,0.00819907,0.58291146,0.81847240,0.96185292,3.05382991,2.55520245,1.43859959,0.00000000
-5.86793397,5.21454229,0.00807459,0.59781879,0.81647075,0.97398710,3.07216398,2.60099026,1.45176976,0.00000000
-5.86193097,5.28257072,0.00790690,0.61249508,0.81372835,0.98372753,3.08773642,2.64355709,1.46228582,0.00000000
-5.85592796,5.34225928,0.00769928,0.62663107,0.81021251,0.99087302,3.09985727,2.68226581,1.46999602,0.00000000
-5.84992496,5.39238681,0.00745562,0.63989809,0.80588359,0.99525174,3.10779563,2.71647195,1.47475780,0.00000000
-5.84392196,5.43175938,0.00718031,0.65195755,0.80069639,0.99672614,3.11080512,2.74554000,1.47644122,0.00000000
-5.83791896,5.45924698,0.00687813,0.66247117,0.79460216,0.99519747,3.10815109,2.76886195,1.47493316,0.00000000
-5.83191596,5.47382239,0.00655405,0.67111174,0.78755105,0.99060965,3.09913854,2.78587745,1.47014215,0.00000000
-5.82591296,5.47460102,0.00621314,0.67757398,0.77949504,0.98295240,3.08313956,2.79609509,1.46200347,0.00000000
-5.81990995,5.46087975,0.00586042,0.68158494,0.77039121,0.97226343,3.05961942,2.79911352,1.45048455,0.00000000
-5.81390695,5.43217313,0.00550076,0.68291371,0.76020529,0.95862951,3.02816012,2.79464177,1.43559000,0.00000000
-5.80790395,5.38824495,0.00513874,0.68137986,0.74891520,0.94218639,2.98848063,2.78251736,1.41736622,0.00000000
-5.80190095,5.32913350,0.00477861,0.67686032,0.73651454,0.92311739,2.94045275,2.76272147,1.39590509,0.00000000
-5.79589795,5.25516880,0.00442416,0.66929438,0.72301570,0.90165070,2.88411215,2.73538990,1.37134649,0.00000000
-5.78989495,5.16698063,0.00407877,0.65868663,0.70845247,0.87805548,2.81966395,2.70081913,1.34387934,0.00000000
-5.78389195,5.06549629,0.00374530,0.64510756,0.69288185,0.85263659,2.74748259,2.65946686,1.31374108,0.00000000
-5.77788894,4.95192771,0.00342610,0.62869202,0.67638508,0.82572841,2.66810596,2.61194650,1.28121526,0.00000000
-5.77188594,4.82774786,0.00312305,0.60963529,0.65906744,0.79768762,2.58222391,2.55901557,1.24662745,0.00000000
-5.76588294,4.69465701,0.00283758,0.58818726,0.64105708,0.76888529,2.49066165,2.50155827,1.21033940,0.00000000
-5.75987994,4.55454001,0.00257065,0.56464469,0.62250265,0.73969851,2.39435853,2.44056264,1.17274170,0.00000000
-5.75387694,4.40941596,0.00232285,0.53934204,0.60356980,0.71050184,2.29434316,2.37709309,1.13424517,0.00000000
-5.74787394,4.26138227,0.00209442,0.51264123,0.58443674,0.68165878,2.19170571,2.31225955,1.09527131,0.00000000
-5.74187094,4.11255541,0.00188529,0.48492077,0.56528899,0.65351357,2.08756863,2.24718418,1.05624228,0.00000000
