energy_ev,total_up,C_s_up,C_p_up,Cu_p_up,Cu_d_up,S_s_up,S_p_up
-6.00000000,0.39597328,0.00037687,0.07147427,0.02898238,0.07928056,0.00260906,0.08200586
-5.99399700,0.41460531,0.00042660,0.07527109,0.03259024,0.08296259,0.00268038,0.08533050
-5.98799400,0.43356492,0.00047943,0.07915915,0.03651738,0.08668086,0.00274565,0.08868840
-5.98199100,0.45288434,0.00053495,0.08313759,0.04076459,0.09043679,0.00280488,0.09209608
-5.97598799,0.47258982,0.00059263,0.08720318,0.04532940,0.09422992,0.00285809,0.09557068
-5.96998499,0.49269735,0.00065184,0.09134962,0.05020613,0.09805710,0.00290526,0.09912886
-5.96398199,0.51320876,0.00071184,0.09556714,0.05538609,0.10191178,0.00294629,0.10278565
-5.95797899,0.53410873,0.00077183,0.09984226,0.06085786,0.10578360,0.00298100,0.10655339
-5.95197599,0.55536280,0.00083090,0.10415781,0.06660774,0.10965809,0.00300914,0.11044083
-5.94597299,0.57691644,0.00088811,0.10849316,0.07262021,0.11351679,0.00303031,0.11445233
-5.93996998,0.59869522,0.00094251,0.11282469,0.07887843,0.11733747,0.00304406,0.11858732
-5.93396698,0.62060603,0.00099313,0.11712652,0.08536480,0.12109468,0.00304984,0.12283982
-5.92796398,0.64253914,0.00103904,0.12137129,0.09206134,0.12476051,0.00304704,0.12719829
-5.92196098,0.66437090,0.00107936,0.12553111,0.09895001,0.12830540,0.00303506,0.13164551
-5.91595798,0.68596680,0.00111330,0.12957848,0.10601288,0.13169916,0.00301329,0.13615865
-5.90995498,0.70718467,0.00114020,0.13348716,0.11323204,0.13491189,0.00298119,0.14070947
-5.90395198,0.72787764,0.00115950,0.13723297,0.12058929,0.13791493,0.00293835,0.14526461
-5.89794897,0.74789668,0.00117082,0.14079430,0.12806565,0.14068160,0.00288447,0.14978586
-5.89194597,0.76709261,0.00117395,0.14415246,0.13564053,0.14318785,0.00281945,0.15423060
-5.88594297,0.78531735,0.00116885,0.14729174,0.14329086,0.14541264,0.00274339,0.15855222
-5.87993997,0.80242453,0.00115564,0.15019922,0.15098992,0.14733815,0.00265663,0.16270059
-5.87393697,0.81826943,0.00113464,0.15286431,0.15870624,0.14894973,0.00255971,0.16662265
-5.86793397,0.83270853,0.00110630,0.15527809,0.16640246,0.15023566,0.00245343,0.17026303
-5.86193097,0.84559873,0.00107126,0.15743251,0.17403433,0.15118677,0.00233881,0.17356482
-5.85592796,0.85679672,0.00103023,0.15931955,0.18154991,0.15179597,0.00221703,0.17647046
-5.84992496,0.86615855,0.00098407,0.16093027,0.18888913,0.15205773,0.00208948,0.17892273
-5.84392196,0.87353985,0.00093370,0.16225415,0.19598373,0.15196755,0.00195763,0.18086600
-5.83791896,0.87879679,0.00088007,0.16327840,0.20275764,0.15152160,0.00182305,0.18224750
-5.83191596,0.88178808,0.00082418,0.16398771,0.20912794,0.15071642,0.00168735,0.18301878
-5.82591296,0.88237790,0.00076703,0.16436410,0.21500629,0.14954887,0.00155211,0.18313728
-5.81990995,0.88043991,0.00070960,0.16438731,0.22030084,0.14801621,0.00141889,0.18256779
-5.81390695,0.87586211,0.00065282,0.16403532,0.22491869,0.14611644,0.00128914,0.18128404
-5.80790395,0.86855242,0.00059758,0.16328534,0.22876861,0.14384883,0.00116422,0.17927006
-5.80190095,0.85844462,0.00054474,0.16211499,0.23176409,0.14121458,0.00104535,0.17652142
