energy_ev,total_up,C_s_up,C_p_up,Te_p_up,Te_d_up,W_p_up,W_d_up
-6.00000000,5.00102355,0.01303134,1.69072784,0.99217784,0.00000000,3.61238002,1.87329081
-5.99399700,5.00850315,0.01329485,1.69217098,0.99121627,0.00000000,3.63755250,1.87023829
-5.98799400,5.00653385,0.01356927,1.69047129,0.98801077,0.00000000,3.65633512,1.86415608
-5.98199100,4.99517804,0.01386306,1.68562717,0.98267283,0.00000000,3.66882243,1.85503639
-5.97598799,4.97467984,0.01418479,1.67770072,0.97535702,0.00000000,3.67524053,1.84293702
-5.96998499,4.94544678,0.01454281,1.66681440,0.96625157,0.00000000,3.67592605,1.82797808
-5.96398199,4.90802576,0.01494481,1.65314523,0.95556831,0.00000000,3.67130104,1.81033609
-5.95797899,4.86307449,0.01539745,1.63691682,0.94353213,0.00000000,3.66184520,1.79023557
-5.95197599,4.81132971,0.01590598,1.61838940,0.93037067,0.00000000,3.64806670,1.76793848
-5.94597299,4.75357334,0.01647394,1.59784843,0.91630461,0.00000000,3.63047295,1.74373214
-5.93996998,4.69059831,0.01710280,1.57559215,0.90153897,0.00000000,3.60954268,1.71791593
-5.93396698,4.62317529,0.01779179,1.55191859,0.88625585,0.00000000,3.58570064,1.69078767
-5.92796398,4.55202197,0.01853770,1.52711280,0.87060878,0.00000000,3.55929588,1.66263017
-5.92196098,4.47777617,0.01933481,1.50143472,0.85471900,0.00000000,3.53058486,1.63369872
-5.91595798,4.40097393,0.02017486,1.47510843,0.83867358,0.00000000,3.49971977,1.60421027
-5.90995498,4.32203376,0.02104718,1.44831325,0.82252555,0.00000000,3.46674295,1.57433466
-5.90395198,4.24124763,0.02193884,1.42117726,0.80629588,0.00000000,3.43158738,1.54418870
-5.89794897,4.15877917,0.02283490,1.39377347,0.78997706,0.00000000,3.39408342,1.51383321
-5.89194597,4.07466927,0.02371882,1.36611908,0.77353809,0.00000000,3.35397138,1.48327338
-5.88594297,3.98884856,0.02457281,1.33817766,0.75693065,0.00000000,3.31091944,1.45246240
-5.87993997,3.90115644,0.02537839,1.30986447,0.74009584,0.00000000,3.26454604,1.42130818
-5.87393697,3.81136539,0.02611687,1.28105434,0.72297141,0.00000000,3.21444577,1.38968290
-5.86793397,3.71920945,0.02676993,1.25159207,0.70549881,0.00000000,3.16021739,1.35743472
-5.86193097,3.62441522,0.02732024,1.22130443,0.68762989,0.00000000,3.10149284,1.32440126
-5.85592796,3.52673388,0.02775194,1.19001351,0.66933281,0.00000000,3.03796552,1.29042373
-5.84992496,3.42597217,0.02805124,1.15755029,0.65059686,0.00000000,2.96941669,1.25536132
-5.84392196,3.32202098,0.02820683,1.12376808,0.63143600,0.00000000,2.89573845,1.21910466
-5.83791896,3.21487969,0.02821034,1.08855475,0.61189097,0.00000000,2.81695217,1.18158789
-5.83191596,3.10467504,0.02805659,1.05184337,0.59202995,0.00000000,2.73322146,1.14279845
-5.82591296,2.99167354,0.02774380,1.01362044,0.57194765,0.00000000,2.64485887,1.10278416
-5.81990995,2.87628670,0.02727369,0.97393149,0.55176313,0.00000000,2.55232605,1.06165721
-5.81390695,2.75906895,0.02665142,0.93288367,0.53161647,0.00000000,2.45622732,1.01959483
-5.80790395,2.64070838,0.02588547,0.89064519,0.51166446,0.00000000,2.35729703,0.97683672
-5.80190095,2.52201104,0.02498734,0.84744188,0.49207577,0.00000000,2.25638137,0.93367930
-5.79589795,2.40387972,0.02397125,0.80355095,0.47302579,0.00000000,2.15441557,0.89046743
-5.78989495,2.28728850,0.02285364,0.75929237,0.45469151,0.00000000,2.05239774,0.84758381
-5.78389195,2.17325469,0.02165273,0.71501857,0.43724686,0.00000000,1.95136082,0.80543687
-5.77788894,2.06280958,0.02038796,0.67110278,0.42085860,0.00000000,1.85234381,0.76444791
-5.77188594,1.95696983,0.01907947,0.62792699,0.40568314,0.00000000,1.75636409,0.72503796
-5.76588294,1.85671078,0.01774749,0.58586983,0.39186433,0.00000000,1.66439183,0.68761533
-5.75987994,1.76294317,0.01641191,0.54529528,0.37953241,0.00000000,1.57732789,0.65256425
-5.75387694,1.67649414,0.01509176,0.50654258,0.36880397,0.00000000,1.49598599,0.62023525
-5.74787394,1.59809336,0.01380482,0.46991776,0.35978290,0.00000000,1.42107981,0.59093759
-5.74187094,1.52836444,0.01256726,0.43568722,0.35256226,0.00000000,1.35321540,0.56493395
-5.73586793,1.46782170,0.01139340,0.40407339,0.34722655,0.00000000,1.29288873,0.54243754
-5.72986493,1.41687187,0.01029553,0.37525259,0.34385448,0.00000000,1.24048822,0.52361143
-5.72386193,1.37582000,0.00928380,0.34935501,0.34252165,0.00000000,1.19630148,0.50857004
