energy_ev,total_up,total_down,Mn_p_up,Mn_p_down,Mn_d_up,Mn_d_down,N_s_up,N_s_down,N_p_up,N_p_down,Ni_p_up,Ni_p_down,Ni_d_up,Ni_d_down,Te_p_up,Te_p_down,Te_d_up,Te_d_down
-6.00000000,2.24126671,-2.24125601,0.37368166,-0.37367291,0.19831658,-0.19835975,0.00485479,-0.00484907,0.54961190,-0.54959103,1.19821504,-1.19823630,0.72622541,-0.72617856,0.70339203,-0.70340320,0.00000000,-0.00000000
-5.99399700,2.29474364,-2.29471833,0.37284566,-0.37283769,0.20017313,-0.20021552,0.00447800,-0.00447226,0.57289132,-0.57286177,1.22953011,-1.22953364,0.75377603,-0.75372519,0.70646152,-0.70647398,0.00000000,-0.00000000
-5.98799400,2.34649948,-2.34645552,0.37193447,-0.37192679,0.20153037,-0.20157160,0.00410246,-0.00409678,0.59539837,-0.59535927,1.25804340,-1.25802644,0.78173631,-0.78168057,0.70931623,-0.70932850,0.00000000,-0.00000000
-5.98199100,2.39568427,-2.39561810,0.37077999,-0.37077211,0.20230531,-0.20234504,0.00373301,-0.00372745,0.61698907,-0.61693974,1.28315773,-1.28311796,0.81000809,-0.80994669,0.71157731,-0.71158800,0.00000000,-0.00000000
-5.97598799,2.44154893,-2.44145763,0.36923121,-0.36922272,0.20243002,-0.20246795,0.00337395,-0.00336858,0.63754569,-0.63748569,1.30436333,-1.30429898,0.83850599,-0.83843836,0.71289834,-0.71290620,0.00000000,-0.00000000
-5.96998499,2.48346940,-2.48335089,0.36716155,-0.36715215,0.20185498,-0.20189088,0.00302900,-0.00302387,0.65697817,-0.65690729,1.32125644,-1.32116638,0.86715494,-0.86708074,0.71298013,-0.71298413,0.00000000,-0.00000000
-5.96398199,2.52096393,-2.52081710,0.36447481,-0.36446429,0.20055178,-0.20058552,0.00270124,-0.00269640,0.67522409,-0.67514241,1.33355327,-1.33343703,0.89588624,-0.89580544,0.71158300,-0.71158236,0.00000000,-0.00000000
-5.95797899,2.55370317,-2.55352793,0.36110931,-0.36109763,0.19851492,-0.19854644,0.00239312,-0.00238859,0.69224739,-0.69215527,1.34109869,-1.34095655,0.92463274,-0.92454557,0.70853585,-0.70853011,0.00000000,-0.00000000
-5.95197599,2.58151290,-2.58131028,0.35704046,-0.35702772,0.19576257,-0.19579193,0.00210640,-0.00210222,0.70803595,-0.70793402,1.34386953,-1.34370247,0.95332330,-0.95323035,0.70374189,-0.70373094,0.00000000,-0.00000000
-5.94597299,2.60436995,-2.60414207,0.35228133,-0.35226774,0.19233647,-0.19236383,0.00184227,-0.00183844,0.72259826,-0.72248745,1.34197234,-1.34178204,0.98187744,-0.98177958,0.69718091,-0.69716496,0.00000000,-0.00000000
-5.93996998,2.62239189,-2.62214193,0.34688146,-0.34686740,0.18830080,-0.18832643,0.00160132,-0.00159785,0.73595953,-0.73584102,1.33563592,-1.33542470,1.01020035,-1.01009877,0.68890798,-0.68888757,0.00000000,-0.00000000
-5.93396698,2.63582148,-2.63555355,0.34092406,-0.34091002,0.18374015,-0.18376443,0.00138362,-0.00138051,0.74815744,-0.74803264,1.32519921,-1.32496995,1.03817904,-1.03807519,0.67904896,-0.67902492,0.00000000,-0.00000000
-5.92796398,2.64500709,-2.64472615,0.33452168,-0.33450825,0.17875675,-0.17878015,0.00118883,-0.00118606,0.75923792,-0.75910843,1.31109506,-1.31085111,1.06567985,-1.06557542,0.66779302,-0.66776648,0.00000000,-0.00000000
-5.92196098,2.65038037,-2.65009205,0.32781065,-0.32779849,0.17346701,-0.17349007,0.00101621,-0.00101377,0.76925114,-0.76911872,1.29383100,-1.29357605,1.09254769,-1.09244456,0.65538279,-0.65535506,0.00000000,-0.00000000
-5.91595798,2.65243249,-2.65214286,0.32094464,-0.32093445,0.16799757,-0.16802087,0.00086472,-0.00086259,0.77824816,-0.77811466,1.27396774,-1.27370575,1.11860733,-1.11850748,0.64210250,-0.64207507,0.00000000,-0.00000000
-5.90995498,2.65169016,-2.65140557,0.31408766,-0.31408014,0.16248104,-0.16250523,0.00073313,-0.00073130,0.78627806,-0.78614540,1.25209671,-1.25183172,1.14366644,-1.14357194,0.62826499,-0.62823941,0.00000000,-0.00000000
-5.90395198,2.64869274,-2.64841961,0.30740673,-0.30740256,0.15705171,-0.15707743,0.00062005,-0.00061848,0.79338607,-0.79325617,1.22881741,-1.22855347,1.16752070,-1.16743360,0.61419796,-0.61417580,0.00000000,-0.00000000
-5.89794897,2.64397133,-2.64371589,0.30106483,-0.30106462,0.15184121,-0.15186909,0.00052400,-0.00052267,0.79961246,-0.79948716,1.20471576,-1.20445678,1.18996028,-1.18988255,0.60023040,-0.60021320,0.00000000,-0.00000000
-5.89194597,2.63803062,-2.63779875,0.29521415,-0.29521842,0.14697454,-0.14700519,0.00044350,-0.00044239,0.80499220,-0.80487329,1.18034424,-1.18009388,1.21077766,-1.21071114,0.58667967,-0.58666883,0.00000000,-0.00000000
-5.88594297,2.63133423,-2.63113127,0.28999020,-0.28999936,0.14256649,-0.14260046,0.00037710,-0.00037619,0.80955546,-0.80944456,1.15620458,-1.15596619,1.22977615,-1.22972247,0.57383985,-0.57383659,0.00000000,-0.00000000
-5.87993997,2.62429374,-2.62412432,0.28550687,-0.28552118,0.13871860,-0.13875638,0.00032344,-0.00032270,0.81332858,-0.81322715,1.13273371,-1.13251021,1.24677860,-1.24673914,0.56197181,-0.56197712,0.00000000,-0.00000000
