energy_ev,total_up,N_s_up,N_p_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up,Zn_p_up,Zn_d_up
-6.00000000,1.45240165,0.00284730,0.29463700,0.02899190,0.46964514,0.59169558,0.20860894,0.46505439,0.07930339
-5.99399700,1.44915134,0.00286729,0.29216182,0.03196792,0.47225031,0.57311078,0.20782648,0.45893917,0.07861184
-5.98799400,1.45131341,0.00289515,0.29040581,0.03522144,0.47704545,0.55723216,0.20725304,0.45457473,0.07826671
-5.98199100,1.45962958,0.00293109,0.28961983,0.03874144,0.48415483,0.54448453,0.20706925,0.45214558,0.07829534
-5.97598799,1.47466531,0.00297488,0.29004308,0.04250923,0.49362015,0.53520902,0.20745573,0.45175664,0.07871208
-5.96998499,1.49679676,0.00302582,0.29189849,0.04649836,0.50539852,0.52965945,0.20858924,0.45343156,0.07951795
-5.96398199,1.52620505,0.00308280,0.29538875,0.05067460,0.51936380,0.52800175,0.21063913,0.45711449,0.08070069
-5.95797899,1.56287785,0.00314431,0.30069288,0.05499635,0.53531113,0.53031614,0.21376417,0.46267492,0.08223539
-5.95197599,1.60661791,0.00320856,0.30796342,0.05941521,0.55296459,0.53660171,0.21810967,0.46991547,0.08408557
-5.94597299,1.65705782,0.00327352,0.31732424,0.06387686,0.57198762,0.54678291,0.22380507,0.47858227,0.08620472
-5.93996998,1.71368016,0.00333704,0.32886870,0.06832222,0.59199580,0.56071746,0.23096183,0.48837735,0.08853816
-5.93396698,1.77584169,0.00339694,0.34265823,0.07268877,0.61257147,0.57820515,0.23967157,0.49897259,0.09102519
-5.92796398,1.84280026,0.00345114,0.35872106,0.07691211,0.63327957,0.59899694,0.25000445,0.51002449,0.09360144
-5.92196098,1.91374314,0.00349777,0.37705111,0.08092759,0.65368405,0.62280394,0.26200769,0.52118921,0.09620131
-5.91595798,1.98781513,0.00353527,0.39760691,0.08467210,0.67336417,0.64930589,0.27570408,0.53213718,0.09876034
-5.90995498,2.06414529,0.00356246,0.42031039,0.08808576,0.69193007,0.67815864,0.29109051,0.54256670,0.10121755
-5.90395198,2.14187105,0.00357866,0.44504580,0.09111366,0.70903685,0.70900072,0.30813658,0.55221596,0.10351746
-5.89794897,2.22015875,0.00358374,0.47165850,0.09370740,0.72439676,0.74145859,0.32678305,0.56087304,0.10561195
-5.89194597,2.29822000,0.00357816,0.49995398,0.09582648,0.73778892,0.77515080,0.34694046,0.56838349,0.10746169
-5.88594297,2.37532351,0.00356297,0.52969722,0.09743948,0.74906623,0.80969118,0.36848792,0.57465528,0.10903719
-5.87993997,2.45080232,0.00353986,0.56061249,0.09852492,0.75815926,0.84469111,0.39127219,0.57966095,0.11031944
-5.87393697,2.52405676,0.00351107,0.59238399,0.09907179,0.76507695,0.87976137,0.41510722,0.58343702,0.11130010
-5.86793397,2.59455355,0.00347941,0.62465752,0.09907986,0.76990427,0.91451369,0.43977441,0.58608067,0.11198128
-5.86193097,2.66182190,0.00344815,0.65704333,0.09855949,0.77279684,0.94856244,0.46502368,0.58774399,0.11237492
-5.85592796,2.72544741,0.00342093,0.68912055,0.09753128,0.77397290,0.98152668,0.49057559,0.58862607,0.11250183
-5.84992496,2.78506460,0.00340170,0.72044306,0.09602529,0.77370297,1.01303288,0.51612455,0.58896333,0.11239036
-5.84392196,2.84034908,0.00339460,0.75054703,0.09408005,0.77229761,1.04271833,0.54134324,0.58901840,0.11207498
-5.83791896,2.89101015,0.00340379,0.77896004,0.09174139,0.77009387,1.07023539,0.56588825,0.58906824,0.11159451
-5.83191596,2.93678439,0.00343340,0.80521150,0.08906098,0.76744092,1.09525652,0.58940678,0.58939169,0.11099043
-5.82591296,2.97743084,0.00348734,0.82884413,0.08609485,0.76468541,1.11747990,0.61154431,0.59025716,0.11030507
-5.81990995,3.01272789,0.00356920,0.84942619,0.08290181,0.76215722,1.13663536,0.63195299,0.59191070,0.10957987
-5.81390695,3.04247207,0.00368215,0.86656381,0.07954191,0.76015601,1.15249035,0.65030040,0.59456504,0.10885378
-5.80790395,3.06647852,0.00382875,0.87991303,0.07607487,0.75893903,1.16485556,0.66627839,0.59838987,0.10816180
-5.80190095,3.08458280,0.00401092,0.88919083,0.07255864,0.75871088,1.17358979,0.67961158,0.60350361,0.10753371
-5.79589795,3.09664381,0.00422979,0.89418480,0.06904818,0.75961513,1.17860373,0.69006513,0.60996717,0.10699311
-5.78989495,3.10254715,0.00448565,0.89476072,0.06559425,0.76172857,1.17986227,0.69745146,0.61777966,0.10655667
-5.78389195,3.10220870,0.00477787,0.89086777,0.06224254,0.76505787,1.17738523,0.70163559,0.62687632,0.10623367
-5.77788894,3.09557785,0.00510487,0.88254100,0.05903293,0.76953903,1.17124630,0.70253881,0.63712878,0.10602585
-5.77188594,3.08264031,0.00546409,0.86990095,0.05599901,0.77503950,1.16157019,0.70014054,0.64834757,0.10592754
-5.76588294,3.06342009,0.00585200,0.85315032,0.05316780,0.78136296,1.14852818,0.69447847,0.66028697,0.10592598
-5.75987994,3.03798091,0.00626416,0.83256794,0.05055970,0.78825652,1.13233216,0.68564665,0.67265188,0.10600198
-5.75387694,3.00642692,0.00669524,0.80850018,0.04818867,0.79542020,1.11322771,0.67379211,0.68510675,0.10613075
-5.74787394,2.96890312,0.00713915,0.78135043,0.04606254,0.80251829,1.09148639,0.65910981,0.69728613,0.10628289
-5.74187094,2.92559568,0.00758915,0.75156701,0.04418359,0.80919219,1.06739790,0.64183654,0.70880662,0.10642556
-5.73586793,2.87673245,0.00803801,0.71963010,0.04254919,0.81507433,1.04126241,0.62224386,0.71927977,0.10652373
-5.72986493,2.82258406,0.00847817,0.68603850,0.04115267,0.81980264,1.01338359,0.60063056,0.72832552,0.10654152
-5.72386193,2.76346572,0.00890196,0.65129657,0.03998414,0.82303505,0.98406274,0.57731494,0.73558578,0.10644353
-5.71785893,2.69973989,0.00930177,0.61590219,0.03903157,0.82446358,0.95359419,0.55262730,0.74073749,0.10619618
-5.71185593,2.63181985,0.00967033,0.58033597,0.03828174,0.82382729,0.92226236,0.52690287,0.74350489,0.10576897
-5.70585293,2.56017386,0.01000087,0.54505233,0.03772129,0.82092391,0.89034032,0.50047545,0.74367033,0.10513563
-5.69984992,2.48532980,0.01028733,0.51047250,0.03733769,0.81561939,0.85809007,0.47367195,0.74108340,0.10427519
-5.69384692,2.40787964,0.01052461,0.47697972,0.03712015,0.80785531,0.82576415,0.44680786,0.73566780,0.10317279
-5.68784392,2.32848337,0.01070867,0.44491654,0.03706047,0.79765357,0.79360848,0.42018378,0.72742586,0.10182038
-5.68184092,2.24787160,0.01083669,0.41458413,0.03715365,0.78511840,0.76186602,0.39408291,0.71644037,0.10021714
-5.67583792,2.16684634,0.01090716,0.38624330,0.03739840,0.77043543,0.73078085,0.36876938,0.70287376,0.09836970
-5.66983492,2.08627927,0.01091993,0.36011705,0.03779742,0.75386796,0.70060237,0.34448740,0.68696451,0.09629212
-5.66383192,2.00710697,0.01087621,0.33639407,0.03835748,0.73575037,0.67158897,0.32146098,0.66902101,0.09400555
-5.65782891,1.93032279,0.01077853,0.31523296,0.03908922,0.71647903,0.64401104,0.29989408,0.64941308,0.09153774
-5.65182591,1.85696499,0.01063061,0.29676668,0.04000671,0.69650089,0.61815276,0.27997099,0.62856135,0.08892228
-5.64582291,1.78810121,0.01043726,0.28110688,0.04112683,0.67630020,0.59431253,0.26185688,0.60692503,0.08619763
-5.63981991,1.72480940,0.01020418,0.26834771,0.04246834,0.65638375,0.57280183,0.24569825,0.58498840,0.08340594
-5.63381691,1.66815561,0.00993773,0.25856899,0.04405079,0.63726501,0.55394234,0.23162325,0.56324648,0.08059182
-5.62781391,1.61916917,0.00964477,0.25183836,0.04589331,0.61944797,0.53806150,0.21974181,0.54219050,0.07780092
-5.62181091,1.57881609,0.00933231,0.24821251,0.04801326,0.60341088,0.52548642,0.21014550,0.52229345,0.07507851
-5.61580790,1.54797163,0.00900736,0.24773729,0.05042481,0.58959064,0.51653652,0.20290711,0.50399645,0.07246804
-5.60980490,1.52739303,0.00867663,0.25044683,0.05313758,0.57836830,0.51151509,0.19808011,0.48769609,0.07000974
-5.60380190,1.51769357,0.00834634,0.25636186,0.05615540,0.57005615,0.51070011,0.19569777,0.47373345,0.06773938
-5.59779890,1.51931912,0.00802204,0.26548724,0.05947513,0.56488689,0.51433480,0.19577238,0.46238487,0.06568710
-5.59179590,1.53252819,0.00770840,0.27780914,0.06308582,0.56300521,0.52261822,0.19829430,0.45385493,0.06387654
-5.58579290,1.55737662,0.00740916,0.29329191,0.06696811,0.56446217,0.53569645,0.20323118,0.44827177,0.06232410
-5.57978989,1.59370760,0.00712703,0.31187502,0.07109390,0.56921252,0.55365468,0.21052740,0.44568487,0.06103853
-5.57378689,1.64114784,0.00686367,0.33347031,0.07542654,0.57711522,0.57651061,0.22010370,0.44606538,0.06002082
-5.56778389,1.69911016,0.00661971,0.35795967,0.07992123,0.58793704,0.60420944,0.23185724,0.44930889,0.05926427
-5.56178089,1.76680268,0.00639480,0.38519350,0.08452592,0.60135924,0.63662083,0.24566207,0.45524058,0.05875496
-5.55577789,1.84324451,0.00618774,0.41498989,0.08918251,0.61698718,0.67353776,0.26137001,0.46362240,0.05847240
-5.54977489,1.92728743,0.00599660,0.44713490,0.09382834,0.63436233,0.71467764,0.27881204,0.47416218,0.05839042
-5.54377189,2.01764279,0.00581887,0.48138360,0.09839793,0.65297659,0.75968541,0.29780027,0.48652414,0.05847829
-5.53776888,2.11291284,0.00565161,0.51746231,0.10282491,0.67228807,0.80813874,0.31813017,0.50034040,0.05870189
-5.53176588,2.21162516,0.00549169,0.55507158,0.10704401,0.69173796,0.85955502,0.33958346,0.51522310,0.05902501
