energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up
-6.00000000,2.71430711,0.83673181,1.80650399,0.01075530,0.05803875,0.01125158,0.63230712,0.55121700,0.14166477
-5.99399700,2.69824879,0.81737680,1.81658483,0.00961496,0.05723942,0.01091788,0.61672841,0.53758642,0.13823146
-5.98799400,2.67878581,0.79625724,1.82457945,0.00856183,0.05630577,0.01055933,0.60018630,0.52304931,0.13445362
-5.98199100,2.65508070,0.77342847,1.82958804,0.00759649,0.05523718,0.01017886,0.58268210,0.50761019,0.13035020
-5.97598799,2.62629784,0.74895833,1.83070880,0.00671817,0.05403367,0.00977953,0.56422127,0.49127970,0.12594267
-5.96998499,2.59164882,0.72293060,1.82707872,0.00592488,0.05269619,0.00936443,0.54481783,0.47407801,0.12125523
-5.96398199,2.55043615,0.69544798,1.81791307,0.00521368,0.05122694,0.00893678,0.52449832,0.45603779,0.11631502
-5.95797899,2.50209316,0.66663433,1.80254178,0.00458085,0.04962967,0.00849982,0.50330527,0.43720676,0.11115213
-5.95197599,2.44621811,0.63663599,1.78044089,0.00402215,0.04790992,0.00805690,0.48129975,0.41764939,0.10579958
-5.94597299,2.38260082,0.60562206,1.75125778,0.00353296,0.04607517,0.00761135,0.45856299,0.39744786,0.10029311
-5.93996998,2.31124062,0.57378348,1.71482887,0.00310850,0.04413495,0.00716657,0.43519692,0.37670202,0.09467089
-5.93396698,2.23235493,0.54133103,1.67118928,0.00274395,0.04210081,0.00672590,0.41132356,0.35552845,0.08897305
-5.92796398,2.14637818,0.50849226,1.62057401,0.00243460,0.03998627,0.00629265,0.38708329,0.33405860,0.08324111
-5.92196098,2.05395142,0.47550747,1.56341102,0.00217595,0.03780658,0.00586999,0.36263229,0.31243617,0.07751731
-5.91595798,1.95590349,0.44262501,1.50030657,0.00196379,0.03557853,0.00546096,0.33813895,0.29081379,0.07184388
-5.90995498,1.85322477,0.41009601,1.43202402,0.00179427,0.03332007,0.00506837,0.31377984,0.26934930,0.06626225
-5.90395198,1.74703537,0.37816901,1.35945721,0.00166391,0.03104993,0.00469477,0.28973518,0.24820172,0.06081230
-5.89794897,1.63854924,0.34708455,1.28359999,0.00156967,0.02878724,0.00434239,0.26618428,0.22752715,0.05553164
-5.89194597,1.52903638,0.31707012,1.20551357,0.00150892,0.02655106,0.00401310,0.24330096,0.20747489,0.05045493
-5.88594297,1.41978496,0.28833568,1.12629322,0.00147948,0.02435997,0.00370835,0.22124938,0.18818386,0.04561333
-5.87993997,1.31206518,0.26106995,1.04703616,0.00147957,0.02223169,0.00342920,0.20018046,0.16977954,0.04103410
-5.87393697,1.20709651,0.23543766,0.96881172,0.00150781,0.02018272,0.00317625,0.18022882,0.15237153,0.03674033
-5.86793397,1.10601964,0.21157775,0.89263539,0.00156323,0.01822804,0.00294964,0.16151072,0.13605188,0.03275079
-5.86193097,1.00987418,0.18960275,0.81944735,0.00164525,0.01638090,0.00274912,0.14412271,0.12089408,0.02908000
-5.85592796,0.91958253,0.16959912,0.75009633,0.00175363,0.01465269,0.00257398,0.12814123,0.10695293,0.02573841
-5.84992496,0.83594039,0.15162861,0.68532892,0.00188852,0.01305285,0.00242319,0.11362302,0.09426502,0.02273272
-5.84392196,0.75961349,0.13573043,0.62578431,0.00205037,0.01158892,0.00229534,0.10060625,0.08284990,0.02006634
-5.83791896,0.69114019,0.12192411,0.57199422,0.00224000,0.01026658,0.00218878,0.08911230,0.07271175,0.01773985
-5.83191596,0.63093903,0.11021281,0.52438720,0.00245853,0.00908986,0.00210164,0.07914804,0.06384144,0.01575165
-5.82591296,0.57932029,0.10058691,0.48329666,0.00270739,0.00806128,0.00203187,0.07070833,0.05621888,0.01409848
-5.81990995,0.53650024,0.09302762,0.44897153,0.00298827,0.00718208,0.00197735,0.06377877,0.04981549,0.01277604
-5.81390695,0.50261693,0.08751036,0.42158859,0.00330311,0.00645250,0.00193594,0.05833835,0.04459655,0.01177950
-5.80790395,0.47774625,0.08400785,0.40126529,0.00365406,0.00587200,0.00190550,0.05436196,0.04052357,0.01110396
-5.80190095,0.46191695,0.08249251,0.38807219,0.00404337,0.00543950,0.00188398,0.05182255,0.03755623,0.01074481
-5.79589795,0.45512371,0.08293826,0.38204400,0.00447338,0.00515359,0.00186947,0.05069287,0.03565411,0.01069796
-5.78989495,0.45733734,0.08532145,0.38318844,0.00494638,0.00501269,0.00186021,0.05094666,0.03477788,0.01095995
-5.78389195,0.46851149,0.08962099,0.39149245,0.00546452,0.00501520,0.00185460,0.05255931,0.03489015,0.01152790
-5.77788894,0.48858540,0.09581754,0.40692531,0.00602967,0.00515955,0.00185128,0.05550791,0.03595577,0.01239936
-5.77188594,0.51748276,0.10389191,0.42943850,0.00664330,0.00544423,0.00184908,0.05977070,0.03794171,0.01357202
-5.76588294,0.55510669,0.11382273,0.45896246,0.00730632,0.00586777,0.00184704,0.06532600,0.04081646,0.01504328
-5.75987994,0.60133123,0.12558345,0.49540049,0.00801887,0.00642867,0.00184440,0.07215067,0.04454919,0.01680974
-5.75387694,0.65599014,0.13913893,0.53862031,0.00878026,0.00712527,0.00184058,0.08021821,0.04910843,0.01886671
-5.74787394,0.71886361,0.15444170,0.58844391,0.00958872,0.00795560,0.00183517,0.08949661,0.05446068,0.02120752
-5.74187094,0.78966395,0.17142823,0.64463649,0.01044131,0.00891724,0.00182790,0.09994607,0.06056888,0.02382302
-5.73586793,0.86802141,0.19001536,0.70689526,0.01133377,0.01000708,0.00181861,0.11151679,0.06739083,0.02670099
-5.72986493,0.95347096,0.21009709,0.77483915,0.01226047,0.01122123,0.00180724,0.12414686,0.07487775,0.02982569
-5.72386193,1.04544135,0.23154213,0.84800016,0.01321431,0.01255478,0.00179378,0.13776056,0.08297308,0.03317747
-5.71785893,1.14324729,0.25419209,0.92581716,0.01418675,0.01400169,0.00177828,0.15226701,0.09161149,0.03673261
-5.71185593,1.24608559,0.27786086,1.00763294,0.01516788,0.01555465,0.00176080,0.16755945,0.10071840,0.04046322
-5.70585293,1.35303597,0.30233504,1.09269494,0.01614646,0.01720507,0.00174143,0.18351511,0.11020985,0.04433736
-5.69984992,1.46306687,0.32737555,1.18016006,0.01711013,0.01894297,0.00172024,0.19999582,0.11999297,0.04831940
