energy_ev,total_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,Hg_p_up,Hg_d_up,Se_s_up,Se_p_up
-6.00000000,1.00656847,0.00008430,0.07299390,0.36150097,0.27570410,0.28517794,0.16601184,0.02063085,0.42156476
-5.99399700,1.08320630,0.00008818,0.07613340,0.38939547,0.30332347,0.29725120,0.17391157,0.02269827,0.45804248
-5.98799400,1.16227440,0.00009385,0.07925059,0.41843307,0.33211875,0.30927760,0.18176108,0.02484322,0.49597841
-5.98199100,1.24321318,0.00010107,0.08233216,0.44843789,0.36186427,0.32121980,0.18951309,0.02704706,0.53509708
-5.97598799,1.32536278,0.00010964,0.08536148,0.47919408,0.39229409,0.33302640,0.19711724,0.02928843,0.57506678
-5.96998499,1.40796369,0.00011946,0.08831788,0.51044506,0.42310419,0.34462857,0.20451942,0.03154350,0.61550045
-5.96398199,1.49016219,0.00013049,0.09117617,0.54189476,0.45395622,0.35593775,0.21166143,0.03378632,0.65595916
-5.95797899,1.57102094,0.00014276,0.09390654,0.57321111,0.48448274,0.36684458,0.21848115,0.03598929,0.69595816
-5.95197599,1.64953460,0.00015639,0.09647467,0.60403176,0.51429393,0.37721937,0.22491320,0.03812367,0.73497549
-5.94597299,1.72465017,0.00017159,0.09884239,0.63397189,0.54298554,0.38691397,0.23089006,0.04016026,0.77246301
-5.93996998,1.79529154,0.00018869,0.10096850,0.66263392,0.57014793,0.39576533,0.23634355,0.04207000,0.80785954
-5.93396698,1.86038749,0.00020811,0.10281010,0.68961884,0.59537592,0.40360036,0.24120682,0.04382475,0.84060570
-5.92796398,1.91890190,0.00023045,0.10432402,0.71453849,0.61827899,0.41024210,0.24541641,0.04539799,0.87015983
-5.92196098,1.96986518,0.00025644,0.10546862,0.73702854,0.63849169,0.41551682,0.24891468,0.04676550,0.89601448
-5.91595798,2.01240543,0.00028697,0.10620557,0.75676130,0.65568365,0.41926168,0.25165207,0.04790607,0.91771270
-5.90995498,2.04577795,0.00032313,0.10650169,0.77345787,0.66956902,0.42133264,0.25358939,0.04880205,0.93486337
-5.90395198,2.06939188,0.00036622,0.10633074,0.78689910,0.67991478,0.42161202,0.25469983,0.04943993,0.94715500
-5.89794897,2.08283250,0.00041771,0.10567498,0.79693458,0.68654771,0.42001547,0.25497064,0.04981068,0.95436725
-5.89194597,2.08587838,0.00047930,0.10452644,0.80348947,0.68935976,0.41649780,0.25440437,0.04991009,0.95637962
-5.88594297,2.07851228,0.00055285,0.10288785,0.80656849,0.68831149,0.41105743,0.25301963,0.04973890,0.95317701
-5.87993997,2.06092541,0.00064042,0.10077319,0.80625720,0.68343354,0.40373910,0.25085119,0.04930279,0.94485165
-5.87393697,2.03351473,0.00074421,0.09820773,0.80272017,0.67482598,0.39463482,0.24794966,0.04861231,0.93160149
-5.86793397,1.99687336,0.00086651,0.09522764,0.79619632,0.66265571,0.38388277,0.24438041,0.04768256,0.91372500
-5.86193097,1.95177446,0.00100967,0.09187921,0.78699147,0.64715179,0.37166444,0.24022216,0.04653282,0.89161256
-5.85592796,1.89914922,0.00117601,0.08821758,0.77546857,0.62859907,0.35819993,0.23556492,0.04518600,0.86573487
-5.84992496,1.84005995,0.00136777,0.08430518,0.76203594,0.60733026,0.34374180,0.23050763,0.04366808,0.83662890
-5.84392196,1.77566925,0.00158696,0.08020995,0.74713407,0.58371678,0.32856766,0.22515546,0.04200733,0.80488181
-5.83791896,1.70720657,0.00183533,0.07600326,0.73122148,0.55815868,0.31297191,0.21961695,0.04023364,0.77111370
-5.83191596,1.63593342,0.00211420,0.07175789,0.71476029,0.53107406,0.29725700,0.21400099,0.03837767,0.73595977
-5.82591296,1.56310858,0.00242439,0.06754593,0.69820199,0.50288833,0.28172460,0.20841388,0.03647007,0.70005252
-5.81990995,1.48995454,0.00276609,0.06343677,0.68197392,0.47402365,0.26666705,0.20295639,0.03454070,0.66400486
-5.81390695,1.41762632,0.00313875,0.05949530,0.66646699,0.44488894,0.25235936,0.19772117,0.03261791,0.62839444
-5.80790395,1.34718370,0.00354102,0.05578035,0.65202499,0.41587079,0.23905219,0.19279028,0.03072784,0.59374990
-5.80190095,1.27956766,0.00397063,0.05234334,0.63893576,0.38732545,0.22696587,0.18823320,0.02889389,0.56053943
-5.79589795,1.21558159,0.00442440,0.04922733,0.62742452,0.35957218,0.21628567,0.18410519,0.02713619,0.52916174
-5.78989495,1.15587783,0.00489819,0.04646631,0.61764941,0.33288808,0.20715843,0.18044603,0.02547130,0.49993986
-5.78389195,1.10094942,0.00538689,0.04408485,0.60969936,0.30750455,0.19969047,0.17727942,0.02391194,0.47311756
-5.77788894,1.05112740,0.00588456,0.04209806,0.60359418,0.28360526,0.19394686,0.17461265,0.02246695,0.44885858
-5.77188594,1.00658301,0.00638442,0.04051175,0.59928679,0.26132574,0.18995176,0.17243690,0.02114127,0.42724821
-5.76588294,0.96733477,0.00687905,0.03932292,0.59666748,0.24075438,0.18768991,0.17072796,0.01993614,0.40829730
-5.75987994,0.93325964,0.00736054,0.03852036,0.59556986,0.22193482,0.18710887,0.16944739,0.01884935,0.39194810
