energy_ev,total_up,C_s_up,C_p_up,Nb_p_up,Nb_d_up,S_s_up,S_p_up
-6.00000000,0.44378957,0.00027213,0.09092139,0.09588305,0.11273162,0.01001374,0.08880448
-5.99399700,0.47715313,0.00033050,0.09758623,0.10556369,0.12059154,0.01041359,0.09640553
-5.98799400,0.51183361,0.00039859,0.10456116,0.11572309,0.12877395,0.01082764,0.10429771
-5.98199100,0.54772955,0.00047740,0.11183481,0.12634211,0.13725899,0.01125537,0.11245324
-5.97598799,0.58473232,0.00056783,0.11939417,0.13740088,0.14602481,0.01169596,0.12084312
-5.96998499,0.62272933,0.00067076,0.12722507,0.14887918,0.15504824,0.01214835,0.12943775
-5.96398199,0.66160680,0.00078692,0.13531254,0.16075670,0.16430554,0.01261130,0.13820751
-5.95797899,0.70125195,0.00091694,0.14364109,0.17301308,0.17377285,0.01308345,0.14712315
-5.95197599,0.74155428,0.00106122,0.15219485,0.18562758,0.18342664,0.01356341,0.15615590
-5.94597299,0.78240601,0.00121999,0.16095752,0.19857863,0.19324382,0.01404977,0.16527748
-5.93996998,0.82370159,0.00139319,0.16991217,0.21184309,0.20320171,0.01454122,0.17445981
-5.93396698,0.86533641,0.00158053,0.17904097,0.22539539,0.21327778,0.01503653,0.18367458
-5.92796398,0.90720483,0.00178140,0.18832472,0.23920660,0.22344931,0.01553457,0.19289268
-5.92196098,0.94919787,0.00199491,0.19774248,0.25324354,0.23369284,0.01603435,0.20208360
-5.91595798,0.99120091,0.00221987,0.20727109,0.26746796,0.24398372,0.01653500,0.21121481
-5.90995498,1.03309153,0.00245483,0.21688486,0.28183601,0.25429565,0.01703579,0.22025128
-5.90395198,1.07473812,0.00269808,0.22655544,0.29629798,0.26460035,0.01753610,0.22915517
-5.89794897,1.11599928,0.00294768,0.23625179,0.31079838,0.27486743,0.01803541,0.23788578
-5.89194597,1.15672430,0.00320155,0.24594048,0.32527647,0.28506451,0.01853335,0.24639973
-5.88594297,1.19675484,0.00345751,0.25558611,0.33966713,0.29515758,0.01902969,0.25465155
-5.87993997,1.23592768,0.00371331,0.26515209,0.35390208,0.30511161,0.01952435,0.26259450
-5.87393697,1.27407852,0.00396677,0.27460146,0.36791140,0.31489135,0.02001748,0.27018169
