energy_ev,total_up,Bi_p_up,Bi_d_up,Re_p_up,Re_d_up,Te_p_up,Te_d_up
-6.00000000,1.99012697,0.79683652,0.01512804,0.91343997,1.16898531,0.20137886,0.00000000
-5.99399700,2.08312649,0.83464435,0.01599579,0.95594480,1.22512528,0.20727389,0.00000000
-5.98799400,2.16972001,0.86978540,0.01682385,0.99605884,1.27739314,0.21270800,0.00000000
-5.98199100,2.24817221,0.90153240,0.01759741,1.03304608,1.32475897,0.21751228,0.00000000
-5.97598799,2.31696330,0.92924693,0.01830274,1.06626942,1.36631283,0.22155334,0.00000000
-5.96998499,2.37482267,0.95239405,0.01892754,1.09520298,1.40128610,0.22473408,0.00000000
-5.96398199,2.42075680,0.97055438,0.01946124,1.11944144,1.42906966,0.22699361,0.00000000
-5.95797899,2.45406993,0.98343319,0.01989532,1.13870622,1.44922804,0.22830619,0.00000000
-5.95197599,2.47437669,0.99086609,0.02022348,1.15284790,1.46150894,0.22867920,0.00000000
-5.94597299,2.48160583,0.99282092,0.02044185,1.16184497,1.46584768,0.22815029,0.00000000
-5.93996998,2.47599492,0.98939579,0.02054908,1.16579875,1.46236619,0.22678362,0.00000000
-5.93396698,2.45807608,0.98081330,0.02054630,1.16492482,1.45136666,0.22466559,0.00000000
-5.92796398,2.42865337,0.96741112,0.02043711,1.15954132,1.43332007,0.22189998,0.00000000
-5.92196098,2.38877270,0.94962947,0.02022738,1.15005456,1.40885002,0.21860277,0.00000000
-5.91595798,2.33968568,0.92799583,0.01992508,1.13694278,1.37871258,0.21489697,0.00000000
-5.90995498,2.28280879,0.90310775,0.01953995,1.12073869,1.34377301,0.21090750,0.00000000
-5.90395198,2.21967982,0.87561429,0.01908320,1.10201156,1.30498024,0.20675642,0.00000000
-5.89794897,2.15191301,0.84619696,0.01856718,1.08134975,1.26334027,0.20255866,0.00000000
-5.89194597,2.08115504,0.81555081,0.01800494,1.05934423,1.21988932,0.19841847,0.00000000
-5.88594297,2.00904312,0.78436639,0.01740995,1.03657391,1.17566787,0.19442662,0.00000000
-5.87993997,1.93716684,0.75331319,0.01679567,1.01359297,1.13169637,0.19065848,0.00000000
-5.87393697,1.86703479,0.72302502,0.01617531,0.99092080,1.08895337,0.18717297,0.00000000
-5.86793397,1.80004689,0.69408768,0.01556149,0.96903451,1.04835665,0.18401247,0.00000000
-5.86193097,1.73747284,0.66702917,0.01496612,0.94836413,1.01074787,0.18120340,0.00000000
