energy_ev,total_up,N_s_up,N_p_up,S_s_up,S_p_up,Ti_p_up,Ti_d_up,Y_p_up,Y_d_up
-6.00000000,4.29088086,0.00895478,0.55845458,0.05972704,2.26980938,1.28971470,0.39316903,1.25934456,1.00290297
-5.99399700,4.32941651,0.00913880,0.56951003,0.06025783,2.28393024,1.27151333,0.39212678,1.28911847,1.02664707
-5.98799400,4.36445710,0.00930980,0.57880499,0.06069811,2.29803310,1.25395118,0.39054727,1.31596804,1.04896459
-5.98199100,4.39476662,0.00946396,0.58625850,0.06103352,2.31135548,1.23682261,0.38833329,1.33943341,1.06955593
-5.97598799,4.41914639,0.00959769,0.59181249,0.06125127,2.32312642,1.21987750,0.38540476,1.35908849,1.08813253
-5.96998499,4.43645819,0.00970770,0.59543073,0.06134008,2.33258387,1.20283203,0.38169997,1.37455026,1.10442051
-5.96398199,4.44564849,0.00979102,0.59709787,0.06129028,2.33899290,1.18538112,0.37717649,1.38548788,1.11816446
-5.95797899,4.44577333,0.00984513,0.59681868,0.06109389,2.34166447,1.16721199,0.37181180,1.39163103,1.12913150
-5.95197599,4.43602367,0.00986795,0.59461766,0.06074478,2.33997417,1.14801829,0.36560370,1.39277762,1.13711571
-5.94597299,4.41575048,0.00985792,0.59053918,0.06023893,2.33338047,1.12751399,0.35857035,1.38880043,1.14194301
-5.93996998,4.38448899,0.00981408,0.58464795,0.05957462,2.32144203,1.10544653,0.35075019,1.37965257,1.14347640
-5.93396698,4.34198129,0.00973604,0.57702997,0.05875266,2.30383348,1.08160857,0.34220146,1.36537159,1.14162144
-5.92796398,4.28819628,0.00962406,0.56779364,0.05777668,2.28035920,1.05584791,0.33300154,1.34608197,1.13633183
-5.92196098,4.22334612,0.00947902,0.55707096,0.05665327,2.25096457,1.02807513,0.32324588,1.32199593,1.12761478
-5.91595798,4.14789806,0.00930248,0.54501853,0.05539214,2.21574428,0.99826875,0.31304671,1.29341237,1.11553583
-5.90995498,4.06258071,0.00909662,0.53181806,0.05400613,2.17494717,0.96647761,0.30253130,1.26071387,1.10022272
-5.90395198,3.96838399,0.00886422,0.51767630,0.05251121,2.12897742,0.93282061,0.29183994,1.22436173,1.08186811
-5.89794897,3.86655185,0.00860866,0.50282397,0.05092627,2.07839175,0.89748378,0.28112347,1.18488906,1.06073049
-5.89194597,3.75856746,0.00833382,0.48751364,0.04927287,2.02389235,0.86071493,0.27054055,1.14289200,1.03713324
-5.88594297,3.64613047,0.00804406,0.47201641,0.04757488,1.96631570,0.82281608,0.26025447,1.09901926,1.01146143
-5.87993997,3.53112650,0.00774407,0.45661743,0.04585794,1.90661714,0.78413412,0.25042980,1.05396012,0.98415627
-5.87393697,3.41558918,0.00743888,0.44161016,0.04414891,1.84585156,0.74505005,0.24122866,1.00843123,0.95570721
-5.86793397,3.30165548,0.00713365,0.42728968,0.04247523,1.78515040,0.70596728,0.23280703,0.96316250,0.92664170
-5.86193097,3.19151537,0.00683365,0.41394510,0.04086421,1.72569548,0.66729938,0.22531085,0.91888249,0.89751293
-5.85592796,3.08735717,0.00654409,0.40185151,0.03934231,1.66869028,0.62945785,0.21887230,0.87630357,0.86888588
-5.84992496,2.99131016,0.00627005,0.39126164,0.03793442,1.61532945,0.59284017,0.21360625,0.83610745,0.84132204
-5.84392196,2.90538639,0.00601630,0.38239783,0.03666321,1.56676727,0.55781876,0.20960709,0.79893130,0.81536358
-5.83791896,2.83142352,0.00578727,0.37544438,0.03554848,1.52408604,0.52473090,0.20694601,0.76535498,0.79151732
-5.83191596,2.77103080,0.00558686,0.37054096,0.03460664,1.48826547,0.49387025,0.20566889,0.73588973,0.77023938
-5.82591296,2.72554028,0.00541841,0.36777730,0.03385027,1.46015399,0.46547988,0.20579497,0.71096854,0.75192103
-5.81990995,2.69596506,0.00528456,0.36718938,0.03328784,1.44044302,0.43974723,0.20731625,0.69093860,0.73687642
-5.81390695,2.68296641,0.00518723,0.36875751,0.03292348,1.42964516,0.41680097,0.21019785,0.67605594,0.72533274
-5.80790395,2.68683114,0.00512753,0.37240638,0.03275699,1.42807721,0.39670982,0.21437918,0.66648242,0.71742320
-5.80190095,2.70746041,0.00510573,0.37800715,0.03278393,1.43584865,0.37948333,0.21977607,0.66228513,0.71318335
-5.79589795,2.74437066,0.00512127,0.38538156,0.03299583,1.45285629,0.36507458,0.22628367,0.66343812,0.71255067
-5.78989495,2.79670688,0.00517274,0.39430791,0.03338057,1.47878529,0.35338446,0.23378013,0.66982649,0.71536775
-5.78389195,2.86326808,0.00525794,0.40452884,0.03392283,1.51311685,0.34426768,0.24213079,0.68125246,0.72138881
-5.77788894,2.94254418,0.00537391,0.41576039,0.03460466,1.55514226,0.33753989,0.25119289,0.69744344,0.73028927
-5.77188594,3.03276313,0.00551701,0.42770219,0.03540604,1.60398316,0.33298594,0.26082039,0.71806166,0.74167817
-5.76588294,3.13194678,0.00568303,0.44004827,0.03630562,1.65861725,0.33036888,0.27086891,0.74271503,0.75511270
-5.75987994,3.23797327,0.00586728,0.45249803,0.03728129,1.71790865,0.32943927,0.28120037,0.77096898,0.77011440
-5.75387694,3.34864394,0.00606475,0.46476699,0.03831095,1.78064190,0.32994473,0.29168725,0.80235889,0.78618628
-5.74787394,3.46175204,0.00627019,0.47659671,0.03937309,1.84555844,0.33163916,0.30221624,0.83640267,0.80283015
-5.74187094,3.57515085,0.00647829,0.48776367,0.04044737,1.91139418,0.33429154,0.31269104,0.87261329,0.81956350
-5.73586793,3.68681845,0.00668384,0.49808644,0.04151519,1.97691695,0.33769379,0.32303437,0.91051069,0.83593521
-5.72986493,3.79491689,0.00688181,0.50743110,0.04256007,2.04096235,0.34166772,0.33318890,0.94963312,0.85153943
-5.72386193,3.89784348,0.00706753,0.51571448,0.04356806,2.10246682,0.34607059,0.34311722,0.98954727,0.86602720
-5.71785893,3.99427227,0.00723678,0.52290511,0.04452793,2.16049678,0.35079933,0.35280081,1.02985727,0.87911531
-5.71185593,4.08318447,0.00738589,0.52902185,0.04543138,2.21427276,0.35579309,0.36223817,1.07021219,0.89059217
-5.70585293,4.16388667,0.00751184,0.53413034,0.04627303,2.26318791,0.36103431,0.37144213,1.11031208,0.90032049
-5.69984992,4.23601659,0.00761228,0.53833722,0.04705044,2.30682022,0.36654802,0.38043664,1.14991229,0.90823688
-5.69384692,4.29953643,0.00768560,0.54178261,0.04776393,2.34493826,0.37239969,0.38925309,1.18882617,0.91434840
-5.68784392,4.35471443,0.00773090,0.54463111,0.04841639,2.37750049,0.37869153,0.39792656,1.22692614,0.91872644
