energy_ev,total_up,Bi_p_up,Bi_d_up,Se_s_up,Se_p_up,Ti_p_up,Ti_d_up
-6.00000000,1.24881574,0.16460350,0.00170863,0.01898201,0.73112509,0.90311426,0.26811618
-5.99399700,1.26985214,0.17058816,0.00178628,0.01899896,0.74154812,0.90760548,0.27502691
-5.98799400,1.29461288,0.17762719,0.00187103,0.01921064,0.75362003,0.91324603,0.28278480
-5.98199100,1.32247118,0.18560456,0.00196162,0.01960370,0.76700305,0.91976999,0.29124436
-5.97598799,1.35276975,0.19438769,0.00205669,0.02016204,0.78135231,0.92692346,0.30025063
-5.96998499,1.38483489,0.20383014,0.00215480,0.02086722,0.79632344,0.93447281,0.30964171
-5.96398199,1.41798973,0.21377448,0.00225444,0.02169877,0.81157927,0.94221112,0.31925135
-5.95797899,1.45156643,0.22405557,0.00235408,0.02263449,0.82679566,0.94996272,0.32891132
-5.95197599,1.48491743,0.23450393,0.00245221,0.02365088,0.84166647,0.95758588,0.33845386
-5.94597299,1.51742577,0.24494946,0.00254736,0.02472342,0.85590770,0.96497363,0.34771414
-5.93996998,1.54851457,0.25522518,0.00263813,0.02582703,0.86926095,0.97205301,0.35653271
-5.93396698,1.57765563,0.26517106,0.00272328,0.02693641,0.88149620,0.97878291,0.36475805
-5.92796398,1.60437728,0.27463781,0.00280169,0.02802651,0.89241410,0.98515076,0.37224904
-5.92196098,1.62827117,0.28349041,0.00287243,0.02907292,0.90184769,0.99116833,0.37887754
-5.91595798,1.64899806,0.29161139,0.00293480,0.03005233,0.90966371,0.99686687,0.38453080
-5.90995498,1.66629229,0.29890353,0.00298833,0.03094298,0.91576327,1.00229185,0.38911370
-5.90395198,1.67996469,0.30529198,0.00303278,0.03172504,0.92008205,1.00749741,0.39255073
-5.89794897,1.68990370,0.31072566,0.00306817,0.03238102,0.92258975,1.01254077,0.39478757
-5.89194597,1.69607441,0.31517768,0.00309476,0.03289612,0.92328898,1.01747663,0.39579217
-5.88594297,1.69851546,0.31864500,0.00311304,0.03325852,0.92221321,1.02235175,0.39555522
-5.87993997,1.69733366,0.32114705,0.00312368,0.03345958,0.91942401,1.02719976,0.39409001
-5.87393697,1.69269639,0.32272354,0.00312754,0.03349399,0.91500756,1.03203644,0.39143156
-5.86793397,1.68482203,0.32343138,0.00312557,0.03335982,0.90907037,1.03685542,0.38763506
-5.86193097,1.67396873,0.32334104,0.00311882,0.03305849,0.90173452,1.04162464,0.38277372
-5.85592796,1.66042209,0.32253241,0.00310834,0.03259463,0.89313251,1.04628363,0.37693604
-5.84992496,1.64448219,0.32109034,0.00309517,0.03197587,0.88340200,1.05074189,0.37022270
-5.84392196,1.62645090,0.31910028,0.00308026,0.03121255,0.87268068,1.05487848,0.36274313
-5.83791896,1.60661995,0.31664407,0.00306445,0.03031739,0.86110165,1.05854306,0.35461206
-5.83191596,1.58526055,0.31379627,0.00304840,0.02930505,0.84878946,1.06155853,0.34594613
-5.82591296,1.56261521,0.31062109,0.00303261,0.02819172,0.83585711,1.06372532,0.33686072
-5.81990995,1.53889222,0.30717029,0.00301738,0.02699467,0.82240430,1.06482729,0.32746729
-5.81390695,1.51426308,0.30348193,0.00300276,0.02573180,0.80851683,1.06463928,0.31787112
-5.80790395,1.48886305,0.29958024,0.00298866,0.02442116,0.79426738,1.06293600,0.30816980
-5.80190095,1.46279482,0.29547649,0.00297477,0.02308063,0.77971755,1.05950202,0.29845225
-5.79589795,1.43613489,0.29117076,0.00296064,0.02172744,0.76492093,1.05414241,0.28879846
-5.78989495,1.40894226,0.28665464,0.00294572,0.02037798,0.74992714,1.04669361,0.27927981
-5.78389195,1.38126876,0.28191441,0.00292936,0.01904742,0.73478632,1.03703395,0.26995986
-5.77788894,1.35317034,0.27693474,0.00291093,0.01774960,0.71955400,1.02509328,0.26089563
