energy_ev,total_up,C_s_up,C_p_up,Fe_p_up,Fe_d_up,Se_s_up,Se_p_up,Zn_p_up,Zn_d_up
-5.62181091,0.15960662,0.00587638,0.00562848,0.05394369,0.01301274,0.00254032,0.06664244,0.04065672,0.02735654
-5.61580790,0.17761335,0.00662400,0.00638893,0.06011042,0.01410801,0.00289006,0.07433057,0.04603708,0.03012594
-5.60980490,0.19790000,0.00745040,0.00722744,0.06705934,0.01543139,0.00326923,0.08296430,0.05200805,0.03329384
-5.60380190,0.22029525,0.00835067,0.00814104,0.07474653,0.01695807,0.00367623,0.09247776,0.05854914,0.03682265
-5.59779890,0.24461328,0.00931934,0.00912616,0.08312288,0.01866435,0.00410896,0.10279845,0.06563664,0.04067266
-5.59179590,0.27065269,0.01035032,0.01017851,0.09213418,0.02052719,0.00456482,0.11384691,0.07324331,0.04480170
-5.58579290,0.29819679,0.01143700,0.01129313,0.10172154,0.02252393,0.00504082,0.12553693,0.08133838,0.04916522
-5.57978989,0.32701558,0.01257233,0.01246440,0.11182226,0.02463222,0.00553358,0.13777637,0.08988799,0.05371657
-5.57378689,0.35686913,0.01374899,0.01368614,0.12237110,0.02683001,0.00603943,0.15046864,0.09885579,0.05840754
-5.56778389,0.38751223,0.01495960,0.01495174,0.13330190,0.02909576,0.00655457,0.16351464,0.10820389,0.06318922
-5.56178089,0.41870007,0.01619702,0.01625434,0.14454932,0.03140866,0.00707516,0.17681511,0.11789389,0.06801294
-5.55577789,0.45019457,0.01745455,0.01758698,0.15605077,0.03374906,0.00759749,0.19027325,0.12788792,0.07283145
-5.54977489,0.48177086,0.01872624,0.01894276,0.16774822,0.03609885,0.00811812,0.20379735,0.13814970,0.07760010
-5.54377189,0.51322355,0.02000710,0.02031501,0.17958988,0.03844190,0.00863401,0.21730342,0.14864536,0.08227802
-5.53776888,0.54437231,0.02129332,0.02169742,0.19153141,0.04076448,0.00914265,0.23071738,0.15934393,0.08682927
-5.53176588,0.57506630,0.02258236,0.02308411,0.20353674,0.04305563,0.00964215,0.24397693,0.17021756,0.09122367
-5.52576288,0.60518709,0.02387304,0.02446969,0.21557824,0.04530744,0.01013134,0.25703268,0.18124127,0.09543752
-5.51975988,0.63464989,0.02516547,0.02584922,0.22763628,0.04751527,0.01060973,0.26984866,0.19239218,0.09945396
-5.51375688,0.66340279,0.02646091,0.02721818,0.23969803,0.04967777,0.01107759,0.28240206,0.20364848,0.10326300
-5.50775388,0.69142423,0.02776151,0.02857235,0.25175569,0.05179692,0.01153582,0.29468213,0.21498783,0.10686116
-5.50175088,0.71871870,0.02907003,0.02990767,0.26380417,0.05387784,0.01198591,0.30668853,0.22638564,0.11025086
-5.49574787,0.74531098,0.03038945,0.03122008,0.27583827,0.05592856,0.01242977,0.31842905,0.23781311,0.11343943
-5.48974487,0.77123948,0.03172247,0.03250539,0.28784979,0.05795977,0.01286962,0.32991701,0.24923541,0.11643793
-5.48374187,0.79654903,0.03307115,0.03375908,0.29982459,0.05998446,0.01330781,0.34116844,0.26060992,0.11925977
