energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Ca_p_up,Ca_d_up,S_s_up,S_p_up
-6.00000000,3.12352121,0.88102960,2.19722056,0.02548614,0.05910712,0.01455318,0.00000000,0.01742674,0.59650989
-5.99399700,3.15504217,0.89517044,2.20760090,0.02590492,0.05999541,0.01475158,0.00000000,0.01838400,0.60969548
-5.98799400,3.18693121,0.90862432,2.21663798,0.02630318,0.06069300,0.01496128,0.00000000,0.01943093,0.62400777
-5.98199100,3.21974948,0.92142915,2.22489505,0.02667899,0.06120966,0.01518237,0.00000000,0.02056717,0.63946232
-5.97598799,3.25412202,0.93365578,2.23302264,0.02703024,0.06156255,0.01541501,0.00000000,0.02179084,0.65605663
-5.96998499,3.29070321,0.94540228,2.24172981,0.02735446,0.06177568,0.01565934,0.00000000,0.02309835,0.67376584
-5.96398199,3.33013620,0.95678641,2.25175003,0.02764875,0.06187912,0.01591545,0.00000000,0.02448420,0.69253825
-5.95797899,3.37300882,0.96793676,2.26380365,0.02790969,0.06190790,0.01618327,0.00000000,0.02594082,0.71229076
-5.95197599,3.41980858,0.97898301,2.27855889,0.02813328,0.06190082,0.01646248,0.00000000,0.02745849,0.73290493
-5.94597299,3.47087963,0.99004596,2.29659356,0.02831489,0.06189901,0.01675239,0.00000000,0.02902530,0.75422382
-5.93996998,3.52638432,1.00122794,2.31835972,0.02844932,0.06194455,0.01705188,0.00000000,0.03062722,0.77605015
-5.93396698,3.58627205,1.01260400,2.34415320,0.02853086,0.06207889,0.01735926,0.00000000,0.03224821,0.79814618
-5.92796398,3.65025753,1.02421459,2.37408990,0.02855345,0.06234142,0.01767226,0.00000000,0.03387051,0.82023537
-5.92196098,3.71780993,1.03606000,2.40809014,0.02851086,0.06276807,0.01798798,0.00000000,0.03547500,0.84200609
-5.91595798,3.78815412,1.04809684,2.44587201,0.02839697,0.06339006,0.01830289,0.00000000,0.03704155,0.86311739
-5.90995498,3.86028414,1.06023678,2.48695433,0.02820599,0.06423281,0.01861286,0.00000000,0.03854964,0.88320664
-5.90395198,3.93298860,1.07234758,2.53066898,0.02793278,0.06531505,0.01891328,0.00000000,0.03997883,0.90189883
-5.89794897,4.00488676,1.08425614,2.57618213,0.02757319,0.06664816,0.01919909,0.00000000,0.04130942,0.91881715
-5.89194597,4.07447378,1.09575364,2.62252332,0.02712426,0.06823575,0.01946500,0.00000000,0.04252305,0.93359441
-5.88594297,4.14017286,1.10660214,2.66862094,0.02658454,0.07007355,0.01970559,0.00000000,0.04360325,0.94588474
-5.87993997,4.20039176,1.11654255,2.71334245,0.02595423,0.07214943,0.01991550,0.00000000,0.04453598,0.95537505
