energy_ev,total_up,C_s_up,C_p_up,Mo_p_up,Mo_d_up,S_s_up,S_p_up,V_p_up,V_d_up
-5.55577789,0.73573644,0.00125109,0.08029609,0.26280012,0.23440276,0.00501641,0.31997437,0.15548422,0.11762374
-5.54977489,0.69042200,0.00131032,0.07427626,0.24253727,0.21856482,0.00479534,0.30187146,0.14775986,0.11101650
-5.54377189,0.64893949,0.00139859,0.06865466,0.22410556,0.20360493,0.00457718,0.28603949,0.14090935,0.10496506
-5.53776888,0.61188097,0.00151594,0.06348657,0.20769723,0.18970841,0.00436690,0.27273486,0.13504229,0.09958153
-5.53176588,0.57980499,0.00166245,0.05882462,0.19347992,0.17704762,0.00416995,0.26219833,0.13026327,0.09497128
-5.52576288,0.55322477,0.00183819,0.05471865,0.18159469,0.16577942,0.00399221,0.25464830,0.12666830,0.09123051
-5.51975988,0.53259905,0.00204302,0.05121559,0.17215519,0.15604329,0.00383988,0.25027530,0.12434175,0.08844414
-5.51375688,0.51832554,0.00227658,0.04835967,0.16524793,0.14796029,0.00371949,0.24923781,0.12335393,0.08668438
-5.50775388,0.51073680,0.00253811,0.04619267,0.16093340,0.14163267,0.00363783,0.25165935,0.12375936,0.08600968
-5.50175088,0.51009837,0.00282645,0.04475428,0.15924803,0.13714406,0.00360185,0.25762668,0.12559553,0.08646426
-5.49574787,0.51660864,0.00313990,0.04408253,0.16020666,0.13456018,0.00361862,0.26718910,0.12888234,0.08807797
-5.48974487,0.53040029,0.00347624,0.04421416,0.16380548,0.13392986,0.00369522,0.28035853,0.13362206,0.09086660
-5.48374187,0.55154293,0.00383266,0.04518502,0.17002521,0.13528635,0.00383864,0.29711042,0.13979978,0.09483244
-5.47773887,0.58004635,0.00420579,0.04703028,0.17883438,0.13864877,0.00405561,0.31738514,0.14738434,0.09996509
-5.47173587,0.61586444,0.00459172,0.04978463,0.19019270,0.14402352,0.00435255,0.34108991,0.15632957,0.10624246
-5.46573287,0.65889908,0.00498603,0.05348226,0.20405417,0.15140575,0.00473529,0.36810093,0.16657592,0.11363184
-5.45972986,0.70900415,0.00538386,0.05815671,0.22037018,0.16078063,0.00520899,0.39826574,0.17805230,0.12209102
-5.45372686,0.76598911,0.00578005,0.06384056,0.23909223,0.17212449,0.00577789,0.43140563,0.19067803,0.13156942
-5.44772386,0.82962229,0.00616918,0.07056501,0.26017444,0.18540575,0.00644512,0.46731802,0.20436498,0.14200917
-5.44172086,0.89963374,0.00654574,0.07835925,0.28357573,0.20058569,0.00721252,0.50577871,0.21901958,0.15334603
-5.43571786,0.97571752,0.00690426,0.08724983,0.30926159,0.21761901,0.00808041,0.54654409,0.23454483,0.16551030
-5.42971486,1.05753367,0.00723941,0.09725993,0.33720561,0.23645419,0.00904742,0.58935306,0.25084216,0.17842750
-5.42371186,1.14470983,0.00754620,0.10840855,0.36739051,0.25703382,0.01011034,0.63392885,0.26781305,0.19201896
-5.41770885,1.23684264,0.00782006,0.12070984,0.39980894,0.27929476,0.01126401,0.67998074,0.28536042,0.20620235
-5.41170585,1.33349926,0.00805698,0.13417239,0.43446377,0.30316838,0.01250122,0.72720564,0.30338979,0.22089196
-5.40570285,1.43421900,0.00825360,0.14879867,0.47136812,0.32858074,0.01381269,0.77528975,0.32181007,0.23599908
-5.39969985,1.53851546,0.00840733,0.16458460,0.51054495,0.35545295,0.01518714,0.82391036,0.34053420,0.25143226
-5.39369685,1.64587935,0.00851636,0.18151929,0.55202631,0.38370160,0.01661138,0.87273782,0.35947942,0.26709761
-5.38769385,1.75578206,0.00857974,0.19958487,0.59585221,0.41323933,0.01807047,0.92143803,0.37856753,0.28289926
-5.38169085,1.86768033,0.00859736,0.21875655,0.64206915,0.44397566,0.01954802,0.96967533,0.39772481,0.29873989
-5.37568784,1.98102193,0.00856997,0.23900285,0.69072826,0.47581793,0.02102645,1.01711604,0.41688205,0.31452145
-5.36968484,2.09525249,0.00849911,0.26028586,0.74188315,0.50867235,0.02248738,1.06343268,0.43597441,0.33014615
-5.36368184,2.20982330,0.00838705,0.28256164,0.79558746,0.54244527,0.02391206,1.10830893,0.45494148,0.34551773
-5.35767884,2.32420011,0.00823677,0.30578070,0.85189208,0.57704435,0.02528180,1.15144519,0.47372723,0.36054291
-5.35167584,2.43787238,0.00805178,0.32988842,0.91084223,0.61237983,0.02657844,1.19256480,0.49228020,0.37513317
-5.34567284,2.55036300,0.00783608,0.35482551,0.97247437,0.64836565,0.02778483,1.23142061,0.51055368,0.38920673
-5.33966983,2.66123775,0.00759403,0.38052832,1.03681302,0.68492034,0.02888524,1.26780176,0.52850604,0.40269061
-5.33366683,2.77011432,0.00733024,0.40692912,1.10386764,0.72196770,0.02986581,1.30154035,0.54610102,0.41552288
-5.32766383,2.87667017,0.00704944,0.43395628,1.17362967,0.75943708,0.03071489,1.33251758,0.56330801,0.42765467
-5.32166083,2.98064890,0.00675639,0.46153430,1.24606978,0.79726334,0.03142335,1.36066911,0.58010224,0.43905221
-5.31565783,3.08186461,0.00645577,0.48958380,1.32113554,0.83538625,0.03198474,1.38598916,0.59646480,0.44969838
-5.30965483,3.18020379,0.00615209,0.51802144,1.39874959,0.87374953,0.03239549,1.40853294,0.61238241,0.45959389
-5.30365183,3.27562455,0.00584958,0.54675980,1.47880836,0.91229941,0.03265489,1.42841714,0.62784689,0.46875789
-5.29764882,3.36815291,0.00555217,0.57570736,1.56118152,0.95098279,0.03276504,1.44581817,0.64285435,0.47722780
-5.29164582,3.45787609,0.00526338,0.60476848,1.64571210,0.98974503,0.03273074,1.46096800,0.65740403,0.48505845
-5.28564282,3.54493290,0.00498631,0.63384358,1.73221737,1.02852762,0.03255923,1.47414743,0.67149678,0.49232035
-5.27963982,3.62950155,0.00472360,0.66282944,1.82049043,1.06726556,0.03225992,1.48567699,0.68513341,0.49909712
-5.27363682,3.71178518,0.00447740,0.69161983,1.91030248,1.10588489,0.03184403,1.49590562,0.69831273,0.50548217
-5.26763382,3.79199588,0.00424936,0.72010623,2.00140562,1.14430034,0.03132422,1.50519740,0.71102967,0.51157464
-5.26163082,3.87033761,0.00404069,0.74817892,2.09353616,1.18241330,0.03071416,1.51391702,0.72327339,0.51747485
-5.25562781,3.94698925,0.00385209,0.77572826,2.18641818,1.22011026,0.03002814,1.52241441,0.73502563,0.52327941
-5.24962481,4.02208822,0.00368383,0.80264625,2.27976737,1.25726191,0.02928061,1.53100928,0.74625950,0.52907616
-5.24362181,4.09571598,0.00353579,0.82882821,2.37329489,1.29372292,0.02848587,1.53997647,0.75693868,0.53493930
-5.23761881,4.16788608,0.00340748,0.85417467,2.46671118,1.32933267,0.02765767,1.54953270,0.76701731,0.54092498
-5.23161581,4.23853562,0.00329806,0.87859338,2.55972967,1.36391683,0.02680893,1.55982558,0.77644064,0.54706749
-5.22561281,4.30752092,0.00320647,0.90200125,2.65207031,1.39728993,0.02595152,1.57092563,0.78514636,0.55337645
-5.21960980,4.37461778,0.00313138,0.92432644,2.74346287,1.42925891,0.02509607,1.58282168,0.79306683,0.55983516
-5.21360680,4.43952672,0.00307133,0.94551022,2.83365004,1.45962754,0.02425188,1.59542030,0.80013199,0.56640019
-5.20760380,4.50188321,0.00302476,0.96550876,2.92239041,1.48820166,0.02342683,1.60854926,0.80627298,0.57300243
