energy_ev,total_up,C_s_up,C_p_up,Cr_p_up,Cr_d_up,Pt_p_up,Pt_d_up,Te_p_up,Te_d_up
-6.00000000,4.82023133,0.02077610,0.26768245,1.63199661,0.45595802,1.37549109,2.71699389,1.75572364,0.00000000
-5.99399700,4.91790862,0.02071333,0.27091622,1.63458919,0.46187190,1.37460961,2.78926881,1.78111273,0.00000000
-5.98799400,5.01671224,0.02061480,0.27466192,1.63529993,0.46748628,1.37518112,2.86276708,1.80540585,0.00000000
-5.98199100,5.11610545,0.02047994,0.27887823,1.63384820,0.47276370,1.37700397,2.93729041,1.82831972,0.00000000
-5.97598799,5.21574444,0.02030936,0.28353374,1.63005745,0.47769334,1.37993213,3.01272442,1.84965997,0.00000000
-5.96998499,5.31547583,0.02010488,0.28860708,1.62385967,0.48229057,1.38387758,3.08903259,1.86932463,0.00000000
-5.96398199,5.41532342,0.01986956,0.29408647,1.61529514,0.48659497,1.38880889,3.16624525,1.88730329,0.00000000
-5.95797899,5.51546468,0.01960767,0.29996850,1.60450758,0.49066721,1.39474606,3.24444400,1.90367184,0.00000000
-5.95197599,5.61619840,0.01932458,0.30625634,1.59173478,0.49458479,1.40175205,3.32374226,1.91858325,0.00000000
-5.94597299,5.71790475,0.01902658,0.31295745,1.57729551,0.49843683,1.40992160,3.40426287,1.93225461,0.00000000
-5.93996998,5.82099996,0.01872073,0.32008088,1.56157312,0.50231828,1.41936799,3.48611390,1.94495136,0.00000000
-5.93396698,5.92588793,0.01841454,0.32763445,1.54499693,0.50632377,1.43020866,3.56936371,1.95696929,0.00000000
-5.92796398,6.03291104,0.01811575,0.33562171,1.52802206,0.51054137,1.44255039,3.65401686,1.96861531,0.00000000
-5.92196098,6.14230297,0.01783203,0.34403916,1.51110891,0.51504669,1.45647504,3.73999180,1.98018789,0.00000000
-5.91595798,6.25414568,0.01757064,0.35287357,1.49470313,0.51989754,1.47202649,3.82710192,1.99195823,0.00000000
-5.90995498,6.36833319,0.01733820,0.36209979,1.47921694,0.52512944,1.48919962,3.91504081,2.00415288,0.00000000
-5.90395198,6.48454384,0.01714035,0.37167901,1.46501276,0.53075220,1.50793180,4.00337291,2.01693886,0.00000000
-5.89794897,6.60222279,0.01698158,0.38155765,1.45238961,0.53674774,1.52809737,4.09153020,2.03041177,0.00000000
-5.89194597,6.72057602,0.01686499,0.39166696,1.44157298,0.54306927,1.54950540,4.17881538,2.04458763,0.00000000
-5.88594297,6.83857621,0.01679220,0.40192330,1.43270833,0.54964188,1.57190075,4.26441183,2.05939869,0.00000000
-5.87993997,6.95498080,0.01676323,0.41222918,1.42585846,0.55636450,1.59496853,4.34740015,2.07469340,0.00000000
-5.87393697,7.06836170,0.01677652,0.42247505,1.42100468,0.56311309,1.61834154,4.42678097,2.09024059,0.00000000
-5.86793397,7.17714554,0.01682896,0.43254168,1.41805152,0.56974504,1.64161048,4.50150305,2.10573756,0.00000000
-5.86193097,7.27966294,0.01691603,0.44230315,1.41683467,0.57610446,1.66433647,4.57049592,2.12082179,0.00000000
-5.85592796,7.37420479,0.01703197,0.45163027,1.41713155,0.58202813,1.68606516,4.63270549,2.13508552,0.00000000
-5.84992496,7.45908307,0.01716998,0.46039430,1.41867399,0.58735194,1.70634199,4.68713134,2.14809282,0.00000000
-5.84392196,7.53269358,0.01732257,0.46847081,1.42116229,0.59191739,1.72472780,4.73286385,2.15939793,0.00000000
-5.83791896,7.59357768,0.01748175,0.47574348,1.42427987,0.59557797,1.74081409,4.76911960,2.16856448,0.00000000
-5.83191596,7.64048010,0.01763946,0.48210771,1.42770797,0.59820512,1.75423741,4.79527325,2.17518421,0.00000000
-5.82591296,7.67240028,0.01778783,0.48747381,1.43113948,0.59969343,1.76469201,4.81088438,2.17889479,0.00000000
-5.81990995,7.68863445,0.01791951,0.49176968,1.43429143,0.59996500,1.77194052,4.81571783,2.17939543,0.00000000
-5.81390695,7.68880668,0.01802797,0.49494276,1.43691562,0.59897269,1.77582181,4.80975647,2.17646009,0.00000000
-5.80790395,7.67288706,0.01810774,0.49696126,1.43880683,0.59670205,1.77625611,4.79320576,2.16994716,0.00000000
-5.80190095,7.64119627,0.01815463,0.49781452,1.43980855,0.59317212,1.77324685,4.76648952,2.15980568,0.00000000
-5.79589795,7.59439625,0.01816588,0.49751254,1.43981591,0.58843479,1.76687937,4.73023727,2.14607750,0.00000000
-5.78989495,7.53346737,0.01814024,0.49608469,1.43877601,0.58257294,1.75731648,4.68526355,2.12889559,0.00000000
-5.78389195,7.45967329,0.01807800,0.49357769,1.43668565,0.57569747,1.74479119,4.63254016,2.10847853,0.00000000
-5.77788894,7.37451539,0.01798095,0.49005297,1.43358695,0.56794324,1.72959695,4.57316285,2.08512159,0.00000000
-5.77188594,7.27967897,0.01785229,0.48558357,1.42956107,0.55946430,1.71207585,4.50831380,2.05918492,0.00000000
-5.76588294,7.17697397,0.01769644,0.48025077,1.42472074,0.55042848,1.69260549,4.43922209,2.03107959,0.00000000
-5.75987994,7.06827325,0.01751890,0.47414056,1.41920186,0.54101163,1.67158504,4.36712371,2.00125203,0.00000000
-5.75387694,6.95545133,0.01732596,0.46734026,1.41315499,0.53139189,1.64942120,4.29322330,1.97016798,0.00000000
-5.74787394,6.84032646,0.01712446,0.45993541,1.40673700,0.52174403,1.62651478,4.21865917,1.93829645,0.00000000
-5.74187094,6.72460871,0.01692154,0.45200704,1.40010356,0.51223420,1.60324837,4.14447328,1.90609474,0.00000000
-5.73586793,6.60985610,0.01672436,0.44362954,1.39340259,0.50301538,1.57997573,4.07158715,1.87399491,0.00000000
-5.72986493,6.49744042,0.01653984,0.43486919,1.38676918,0.49422346,1.55701331,4.00078468,1.84239249,0.00000000
-5.72386193,6.38852359,0.01637446,0.42578329,1.38032197,0.48597429,1.53463404,3.93270205,1.81163770,0.00000000
-5.71785893,6.28404507,0.01623401,0.41642003,1.37416107,0.47836163,1.51306367,3.86782481,1.78202932,0.00000000
-5.71185593,6.18471966,0.01612351,0.40681905,1.36836744,0.47145609,1.49247958,3.80649158,1.75381147,0.00000000
-5.70585293,6.09104519,0.01604700,0.39701245,1.36300349,0.46530495,1.47301188,3.74890361,1.72717297,0.00000000
-5.69984992,6.00331839,0.01600753,0.38702634,1.35811482,0.45993288,1.45474655,3.69513916,1.70224913,0.00000000
-5.69384692,5.92165749,0.01600707,0.37688267,1.35373252,0.45534342,1.43773026,3.64517148,1.67912562,0.00000000
-5.68784392,5.84602949,0.01604656,0.36660126,1.34987592,0.45152100,1.42197644,3.59888900,1.65784386,0.00000000
-5.68184092,5.77628027,0.01612589,0.35620185,1.34655542,0.44843358,1.40747209,3.55611662,1.63840754,0.00000000
-5.67583792,5.71216566,0.01624401,0.34570603,1.34377503,0.44603545,1.39418491,3.51663678,1.62078976,0.00000000
-5.66983492,5.65338174,0.01639897,0.33513902,1.34153455,0.44427034,1.38207027,3.48020932,1.60494028,0.00000000
-5.66383192,5.59959298,0.01658804,0.32453107,1.33983102,0.44307449,1.37107770,3.44658941,1.59079249,0.00000000
-5.65782891,5.55045730,0.01680784,0.31391849,1.33865963,0.44237968,1.36115651,3.41554289,1.57826982,0.00000000
-5.65182591,5.50564723,0.01705444,0.30334429,1.33801383,0.44211605,1.35226042,3.38685885,1.56729132,0.00000000
-5.64582291,5.46486679,0.01732350,0.29285829,1.33788496,0.44221467,1.34435098,3.36035909,1.55777624,0.00000000
-5.63981991,5.42786426,0.01761039,0.28251696,1.33826136,0.44260981,1.33739983,3.33590492,1.54964761,0.00000000
-5.63381691,5.39444083,0.01791032,0.27238265,1.33912735,0.44324083,1.33138982,3.31340119,1.54283485,0.00000000
-5.62781391,5.36445563,0.01821850,0.26252266,1.34046210,0.44405371,1.32631504,3.29279810,1.53727543,0.00000000
-5.62181091,5.33782773,0.01853020,0.25300793,1.34223879,0.44500222,1.32218013,3.27409106,1.53291582,0.00000000
-5.61580790,5.31453545,0.01884091,0.24391148,1.34442422,0.44604875,1.31899883,3.25731900,1.52971170,0.00000000
-5.60980490,5.29461369,0.01914647,0.23530681,1.34697898,0.44716473,1.31679218,3.24256139,1.52762786,0.00000000
-5.60380190,5.27814961,0.01944311,0.22726614,1.34985839,0.44833086,1.31558650,3.22993433,1.52663765,0.00000000
-5.59779890,5.26527714,0.01972761,0.21985860,1.35301426,0.44953692,1.31541135,3.21958582,1.52672226,0.00000000
-5.59179590,5.25617036,0.01999736,0.21314855,1.35639738,0.45078143,1.31629768,3.21169031,1.52786992,0.00000000
-5.58579290,5.25103616,0.02025042,0.20719393,1.35996073,0.45207107,1.31827621,3.20644267,1.53007505,0.00000000
-5.57978989,5.25010615,0.02048558,0.20204471,1.36366318,0.45341987,1.32137622,3.20405155,1.53333738,0.00000000
-5.57378689,5.25362786,0.02070244,0.19774158,1.36747355,0.45484834,1.32562471,3.20473214,1.53766114,0.00000000
-5.56778389,5.26185539,0.02090137,0.19431476,1.37137470,0.45638243,1.33104594,3.20869843,1.54305416,0.00000000
-5.56178089,5.27503951,0.02108354,0.19178307,1.37536742,0.45805246,1.33766130,3.21615505,1.54952711,0.00000000
-5.55577789,5.29341745,0.02125089,0.19015315,1.37947373,0.45989197,1.34548949,3.22728878,1.55709266,0.00000000
-5.54977489,5.31720256,0.02140607,0.18941908,1.38373950,0.46193669,1.35454684,3.24226007,1.56576468,0.00000000
-5.54377189,5.34657414,0.02155242,0.18956211,1.38823591,0.46422344,1.36484767,3.26119472,1.57555738,0.00000000
-5.53776888,5.38166784,0.02169381,0.19055074,1.39305976,0.46678919,1.37640473,3.28417616,1.58648460,0.00000000
-5.53176588,5.42256693,0.02183459,0.19234114,1.39833234,0.46967020,1.38922931,3.31123870,1.59855897,0.00000000
-5.52576288,5.46929492,0.02197941,0.19487769,1.40419685,0.47290124,1.40333130,3.34236195,1.61179128,0.00000000
-5.51975988,5.52180983,0.02213314,0.19809401,1.41081439,0.47651503,1.41871880,3.37746700,1.62618973,0.00000000
-5.51375688,5.58000035,0.02230070,0.20191409,1.41835853,0.48054166,1.43539741,3.41641441,1.64175933,0.00000000
-5.50775388,5.64368408,0.02248688,0.20625375,1.42700860,0.48500815,1.45336903,3.45900416,1.65850126,0.00000000
-5.50175088,5.71260786,0.02269621,0.21102235,1.43694207,0.48993810,1.47263033,3.50497786,1.67641223,0.00000000
-5.49574787,5.78645007,0.02293281,0.21612457,1.44832595,0.49535129,1.49317062,3.55402286,1.69548368,0.00000000
-5.48974487,5.86482462,0.02320024,0.22146242,1.46130790,0.50126323,1.51496950,3.60577819,1.71570086,0.00000000
-5.48374187,5.94728636,0.02350131,0.22693727,1.47600711,0.50768469,1.53799396,3.65984216,1.73704166,0.00000000
-5.47773887,6.03333735,0.02383800,0.23245189,1.49250539,0.51462102,1.56219540,3.71578099,1.75947517,0.00000000
-5.47173587,6.12243366,0.02421133,0.23791246,1.51083893,0.52207140,1.58750642,3.77313822,1.78295979,0.00000000
-5.46573287,6.21399221,0.02462122,0.24323040,1.53099095,0.53002793,1.61383760,3.83144445,1.80744113,0.00000000
-5.45972986,6.30739725,0.02506644,0.24832410,1.55288567,0.53847451,1.64107451,3.89022691,1.83284949,0.00000000
-5.45372686,6.40200633,0.02554455,0.25312030,1.57638396,0.54738573,1.66907502,3.94901848,1.85909712,0.00000000
-5.44772386,6.49715558,0.02605183,0.25755529,1.60128084,0.55672567,1.69766726,4.00736596,1.88607545,0.00000000
