energy_ev,total_up,N_s_up,N_p_up,Se_s_up,Se_p_up,V_p_up,V_d_up,Zn_p_up,Zn_d_up
-6.00000000,3.88173192,0.00389193,1.18906119,0.14333427,0.81355165,1.52861420,1.11805208,0.69819165,0.16536642
-5.99399700,3.89849210,0.00417700,1.18217422,0.14344415,0.82908163,1.53318976,1.11062528,0.71532132,0.16788287
-5.98799400,3.90192933,0.00446551,1.17180489,0.14288532,0.84184366,1.53615604,1.09863074,0.72945953,0.16975853
-5.98199100,3.89308686,0.00475631,1.15859174,0.14169649,0.85181183,1.53840846,1.08251243,0.74047897,0.17098670
-5.97598799,3.87326741,0.00504835,1.14324431,0.13992837,0.85901159,1.54092827,1.06278590,0.74831327,0.17157329
-5.96998499,3.84399303,0.00534075,1.12652184,0.13764207,0.86351826,1.54475143,1.04002330,0.75295854,0.17153667
-5.96398199,3.80695824,0.00563274,1.10921042,0.13490736,0.86545416,1.55093379,1.01483719,0.75447303,0.17090695
-5.95797899,3.76397780,0.00592372,1.09209906,0.13180058,0.86498422,1.56051371,0.98786366,0.75297475,0.16972506
-5.95197599,3.71693076,0.00621318,1.07595552,0.12840256,0.86231035,1.57447313,0.95974541,0.74863723,0.16804137
-5.94597299,3.66770247,0.00650075,1.06150270,0.12479641,0.85766454,1.59369846,0.93111502,0.74168357,0.16591414
-5.93996998,3.61812643,0.00678606,1.04939617,0.12106533,0.85130102,1.61894271,0.90257912,0.73237894,0.16340762
-5.93396698,3.56992776,0.00706876,1.04020367,0.11729053,0.84348759,1.65079010,0.87470377,0.72102190,0.16059009
-5.92796398,3.52467023,0.00734842,1.03438720,0.11354928,0.83449657,1.68962472,0.84800147,0.70793480,0.15753173
-5.92196098,3.48370867,0.00762446,1.03228826,0.10991314,0.82459549,1.73560449,0.82292010,0.69345367,0.15430247
-5.91595798,3.44814833,0.00789608,1.03411681,0.10644646,0.81403805,1.78864170,0.79983413,0.67791803,0.15096995
-5.90995498,3.41881290,0.00816218,1.03994446,0.10320513,0.80305565,1.84839115,0.77903824,0.66166093,0.14759753
-5.90395198,3.39622228,0.00842134,1.04970195,0.10023565,0.79184980,1.91424690,0.76074359,0.64499974,0.14424255
-5.89794897,3.38058126,0.00867174,1.06318141,0.09757450,0.78058593,1.98534808,0.74507670,0.62822794,0.14095490
-5.89194597,3.37177949,0.00891115,1.08004313,0.09524784,0.76938867,2.06059410,0.73208101,0.61160826,0.13777579
-5.88594297,3.36940312,0.00913694,1.09982693,0.09327150,0.75833908,2.13866915,0.72172097,0.59536738,0.13473703
-5.87993997,3.37275751,0.00934611,1.12196760,0.09165135,0.74747383,2.21807542,0.71388842,0.57969239,0.13186064
-5.87393697,3.38090047,0.00953535,1.14581399,0.09038381,0.73678645,2.29717420,0.70841112,0.56472904,0.12915883
-5.86793397,3.39268445,0.00970110,1.17065114,0.08945673,0.72623068,2.37423350,0.70506284,0.55058176,0.12663445
-5.86193097,3.40680609,0.00983972,1.19572446,0.08885039,0.71572562,2.44748052,0.70357468,0.53731533,0.12428171
-5.85592796,3.42186083,0.00994755,1.22026508,0.08853869,0.70516257,2.51515690,0.70364720,0.52495798,0.12208732
-5.84992496,3.43640020,0.01002110,1.24351540,0.08849042,0.69441314,2.57557475,0.70496260,0.51350571,0.12003180
-5.84392196,3.44898919,0.01005719,1.26475368,0.08867060,0.68333818,2.62717089,0.70719659,0.50292746,0.11809095
-5.83791896,3.45826093,0.01005309,1.28331671,0.08904175,0.67179714,2.66855722,0.71002943,0.49317069,0.11623750
-5.83191596,3.46296636,0.01000669,1.29861951,0.08956520,0.65965726,2.69856484,0.71315553,0.48416722,0.11444272
-5.82591296,3.46201650,0.00991658,1.31017140,0.09020220,0.64680221,2.71628020,0.71629144,0.47583878,0.11267789
-5.81990995,3.45451566,0.00978221,1.31758768,0.09091493,0.63313958,2.72107159,0.71918176,0.46810203,0.11091577
-5.81390695,3.43978419,0.00960390,1.32059659,0.09166740,0.61860702,2.71260489,0.72160304,0.46087286,0.10913171
-5.80790395,3.41737029,0.00938290,1.31904143,0.09242604,0.60317664,2.69084814,0.72336549,0.45406975,0.10730458
-5.80190095,3.38705076,0.00912138,1.31287789,0.09316023,0.58685743,2.65606481,0.72431266,0.44761603,0.10541741
-5.79589795,3.34882131,0.00882243,1.30216711,0.09384260,0.56969583,2.60879641,0.72431953,0.44144121,0.10345772
-5.78989495,3.30287787,0.00848990,1.28706484,0.09444920,0.55177436,2.54983556,0.72328902,0.43548132,0.10141760
-5.78389195,3.24959041,0.00812837,1.26780782,0.09495951,0.53320846,2.48019104,0.72114771,0.42967839,0.09929345
-5.77788894,3.18947137,0.00774300,1.24469794,0.09535639,0.51414200,2.40104672,0.71784103,0.42397945,0.09708566
-5.77188594,3.12314121,0.00733933,1.21808544,0.09562600,0.49474151,2.31371658,0.71332842,0.41833509,0.09479797
-5.76588294,3.05129302,0.00692319,1.18835204,0.09575761,0.47518975,2.21959805,0.70757898,0.41269793,0.09243686
-5.75987994,2.97465873,0.00650048,1.15589487,0.09574351,0.45567890,2.12012574,0.70056796,0.40702126,0.09001082
-5.75387694,2.89397853,0.00607702,1.12111206,0.09557886,0.43640369,2.01672783,0.69227430,0.40125800,0.08752970
-5.74787394,2.80997516,0.00565841,1.08439060,0.09526166,0.41755500,1.91078666,0.68267951,0.39536018,0.08500405
-5.74187094,2.72333400,0.00524986,1.04609688,0.09479265,0.39931395,1.80360504,0.67176778,0.38927899,0.08244464
-5.73586793,2.63468942,0.00485611,1.00657011,0.09417530,0.38184689,1.69637916,0.65952738,0.38296550,0.07986204
-5.72986493,2.54461734,0.00448132,0.96611858,0.09341583,0.36530139,1.59017870,0.64595308,0.37637197,0.07726634
-5.72386193,2.45363348,0.00412902,0.92501862,0.09252307,0.34980313,1.48593413,0.63104921,0.36945360,0.07466706
-5.71785893,2.36219638,0.00380204,0.88351575,0.09150843,0.33545384,1.38443094,0.61483325,0.36217067,0.07207306
-5.71185593,2.27071386,0.00350251,0.84182767,0.09038564,0.32233017,1.28631008,0.59733923,0.35449075,0.06949261
-5.70585293,2.17955176,0.00323188,0.80014840,0.08917051,0.31048326,1.19207370,0.57862084,0.34639096,0.06693352
-5.69984992,2.08904335,0.00299090,0.75865297,0.08788045,0.29993901,1.10209508,0.55875375,0.33785983,0.06440322
-5.69384692,1.99949835,0.00277973,0.71750221,0.08653394,0.29069885,1.01663162,0.53783687,0.32889879,0.06190892
-5.68784392,1.91121024,0.00259792,0.67684703,0.08514986,0.28274080,0.93583958,0.51599243,0.31952307,0.05945763
-5.68184092,1.82446140,0.00244453,0.63683182,0.08374670,0.27602089,0.85978969,0.49336468,0.30976193,0.05705626
-5.67583792,1.73952535,0.00231817,0.59759682,0.08234175,0.27047463,0.78848248,0.47011732,0.29965811,0.05471152
-5.66983492,1.65666623,0.00221707,0.55927916,0.08095020,0.26601875,0.72186274,0.44642972,0.28926676,0.05242985
-5.66383192,1.57613571,0.00213917,0.52201271,0.07958439,0.26255303,0.65983255,0.42249221,0.27865358,0.05021727
-5.65782891,1.49816790,0.00208220,0.48592689,0.07825302,0.25996231,0.60226241,0.39850060,0.26789272,0.04807917
-5.65182591,1.42297297,0.00204372,0.45114453,0.07696061,0.25811878,0.54900062,0.37465046,0.25706425,0.04602013
-5.64582291,1.35073049,0.00202124,0.41777922,0.07570709,0.25688456,0.49988065,0.35113126,0.24625160,0.04404371
-5.63981991,1.28158329,0.00201224,0.38593236,0.07448768,0.25611462,0.45472694,0.32812099,0.23553917,0.04215231
-5.63381691,1.21563273,0.00201429,0.35569031,0.07329293,0.25566014,0.41335920,0.30578132,0.22501011,0.04034710
-5.62781391,1.15293618,0.00202506,0.32712195,0.07210917,0.25537227,0.37559574,0.28425372,0.21474468,0.03862796
-5.62181091,1.09350700,0.00204242,0.30027681,0.07091907,0.25510619,0.34125585,0.26365667,0.20481908,0.03699361
-5.61580790,1.03731758,0.00206449,0.27518406,0.06970253,0.25472557,0.31016193,0.24408409,0.19530499,0.03544173
-5.60980490,0.98430511,0.00208969,0.25185235,0.06843770,0.25410714,0.28214122,0.22560491,0.18626963,0.03396928
-5.60380190,0.93438008,0.00211677,0.23027060,0.06710216,0.25314527,0.25702760,0.20826397,0.17777657,0.03257281
-5.59779890,0.88743688,0.00214485,0.21040973,0.06567414,0.25175645,0.23466342,0.19208376,0.16988692,0.03124888
-5.59179590,0.84336588,0.00217348,0.19222503,0.06413374,0.24988337,0.21490143,0.17706725,0.16266102,0.02999444
-5.58579290,0.80206622,0.00220259,0.17565918,0.06246411,0.24749843,0.19760683,0.16320118,0.15616023,0.02880733
-5.57978989,0.76345849,0.00223256,0.16064565,0.06065240,0.24460659,0.18265922,0.15045991,0.15044886,0.02768665
-5.57378689,0.72749645,0.00226414,0.14711223,0.05869063,0.24124722,0.16995454,0.13880935,0.14559597,0.02663312
-5.56778389,0.69417713,0.00229846,0.13498455,0.05657621,0.23749505,0.15940661,0.12821090,0.14167687,0.02564936
-5.56178089,0.66354861,0.00233697,0.12418936,0.05431226,0.23345993,0.15094838,0.11862508,0.13877419,0.02474011
-5.55577789,0.63571514,0.00238136,0.11465732,0.05190768,0.22928559,0.14453265,0.11001483,0.13697842,0.02391224
-5.54977489,0.61083930,0.00243353,0.10632541,0.04937683,0.22514732,0.14013213,0.10234816,0.13638786,0.02317479
-5.54377189,0.58914110,0.00249545,0.09913858,0.04673910,0.22124862,0.13773889,0.09560027,0.13710791,0.02253875
-5.53776888,0.57089425,0.00256908,0.09305089,0.04401820,0.21781710,0.13736309,0.08975501,0.13924975,0.02201685
-5.53176588,0.55641965,0.00265626,0.08802587,0.04124124,0.21509960,0.13903111,0.08480563,0.14292842,0.02162318
-5.52576288,0.54607674,0.00275863,0.08403644,0.03843781,0.21335690,0.14278294,0.08075501,0.14826044,0.02137282
-5.51975988,0.54025296,0.00287748,0.08106414,0.03563889,0.21285798,0.14866918,0.07761528,0.15536097,0.02128130
-5.51375688,0.53935190,0.00301370,0.07909805,0.03287578,0.21387424,0.15674742,0.07540695,0.16434072,0.02136416
-5.50775388,0.54378061,0.00316765,0.07813323,0.03017914,0.21667361,0.16707843,0.07415767,0.17530268,0.02163639
-5.50175088,0.55393648,0.00333911,0.07816904,0.02757801,0.22151477,0.17972198,0.07390065,0.18833880,0.02211195
-5.49574787,0.57019405,0.00352725,0.07920715,0.02509904,0.22864160,0.19473254,0.07467283,0.20352669,0.02280330
-5.48974487,0.59289212,0.00373058,0.08124959,0.02276582,0.23827774,0.21215489,0.07651280,0.22092641,0.02372094
-5.48374187,0.62232113,0.00394695,0.08429672,0.02059839,0.25062151,0.23201973,0.07945863,0.24057752,0.02487301
-5.47773887,0.65871119,0.00417358,0.08834523,0.01861288,0.26584086,0.25433927,0.08354557,0.26249620,0.02626500
-5.47173587,0.70222058,0.00440715,0.09338624,0.01682137,0.28406862,0.27910300,0.08880362,0.28667267,0.02789937
-5.46573287,0.75292478,0.00464380,0.09940348,0.01523183,0.30539779,0.30627342,0.09525507,0.31306879,0.02977538
-5.45972986,0.81080611,0.00487931,0.10637162,0.01384821,0.32987694,0.33578208,0.10291199,0.34161579,0.03188882
-5.45372686,0.87574384,0.00510920,0.11425471,0.01267067,0.35750571,0.36752570,0.11177371,0.37221224,0.03423188
-5.44772386,0.94750505,0.00532883,0.12300476,0.01169581,0.38823046,0.40136266,0.12182433,0.40472217,0.03679299
-5.44172086,1.02573627,0.00553359,0.13256062,0.01091705,0.42194015,0.43710983,0.13303038,0.43897340,0.03955671
-5.43571786,1.10995628,0.00571904,0.14284689,0.01032494,0.45846264,0.47453993,0.14533854,0.47475614,0.04250367
-5.42971486,1.19955044,0.00588101,0.15377331,0.00990761,0.49756162,0.51337963,0.15867382,0.51182193,0.04561047
-5.42371186,1.29376713,0.00601578,0.16523427,0.00965110,0.53893442,0.55330845,0.17293793,0.54988313,0.04884977
-5.41770885,1.39171681,0.00612021,0.17710888,0.00953979,0.58221106,0.59395887,0.18800840,0.58861301,0.05219027
-5.41170585,1.49237446,0.00619177,0.18926135,0.00955671,0.62695487,0.63491774,0.20373810,0.62764680,0.05559689
-5.40570285,1.59458601,0.00622867,0.20154199,0.00968391,0.67266491,0.67572918,0.21995580,0.66658369,0.05903103
-5.39969985,1.69707923,0.00622989,0.21378873,0.00990282,0.71878066,0.71589937,0.23646742,0.70499023,0.06245084
-5.39369685,1.79847973,0.00619518,0.22582926,0.01019451,0.76468898,0.75490299,0.25305833,0.74240511,0.06581178
