energy_ev,total_up,C_s_up,C_p_up,Ni_p_up,Ni_d_up,Se_s_up,Se_p_up,V_p_up,V_d_up
-6.00000000,1.93867368,0.01297261,0.03176305,0.58907507,0.41389557,0.02299874,1.19906154,0.57228190,0.21269800
-5.99399700,1.95574466,0.01218906,0.03071170,0.59973494,0.42168723,0.02218731,1.21171901,0.58062195,0.21454087
-5.98799400,1.97527113,0.01141907,0.02982322,0.61107478,0.43066014,0.02138569,1.22560950,0.58985731,0.21648679
-5.98199100,1.99643966,0.01066544,0.02908407,0.62277481,0.44061793,0.02058916,1.24023068,0.59975667,0.21844243
-5.97598799,2.01833560,0.00993086,0.02847791,0.63448814,0.45132154,0.01979305,1.25502117,0.61004552,0.22030901
-5.96998499,2.03996442,0.00921797,0.02798599,0.64584854,0.46249358,0.01899313,1.26937388,0.62041179,0.22198470
-5.96398199,2.06027659,0.00852920,0.02758771,0.65647917,0.47382431,0.01818588,1.28265141,0.63051331,0.22336726
-5.95797899,2.07819534,0.00786679,0.02726114,0.66600197,0.48497921,0.01736876,1.29420301,0.63998688,0.22435669
-5.95197599,2.09264643,0.00723269,0.02698367,0.67404753,0.49560781,0.01654041,1.30338283,0.64845875,0.22485790
-5.94597299,2.10258928,0.00662857,0.02673267,0.68026519,0.50535363,0.01570065,1.30956865,0.65555599,0.22478338
-5.93996998,2.10704802,0.00605574,0.02648612,0.68433291,0.51386487,0.01485060,1.31218070,0.66091847,0.22405560
-5.93396698,2.10514188,0.00551515,0.02622326,0.68596675,0.52080533,0.01399253,1.31069978,0.66421087,0.22260929
-5.92796398,2.09611336,0.00500740,0.02592518,0.68492955,0.52586538,0.01312979,1.30468410,0.66513431,0.22039340
-5.92196098,2.07935347,0.00453271,0.02557532,0.68103846,0.52877225,0.01226662,1.29378423,0.66343702,0.21737265
-5.91595798,2.05442283,0.00409094,0.02515993,0.67417103,0.52929942,0.01140793,1.27775546,0.65892365,0.21352872
-5.90995498,2.02106787,0.00368164,0.02466839,0.66426971,0.52727461,0.01055911,1.25646720,0.65146286,0.20886102
-5.90395198,1.97923140,0.00330404,0.02409343,0.65134441,0.52258595,0.00972575,1.22990902,0.64099265,0.20338687
-5.89794897,1.92905712,0.00295712,0.02343122,0.63547311,0.51518622,0.00891345,1.19819292,0.62752349,0.19714130
-5.89194597,1.87088786,0.00263965,0.02268140,0.61680042,0.50509483,0.00812758,1.16155185,0.61113880,0.19017626
-5.88594297,1.80525751,0.00235021,0.02184688,0.59553414,0.49239751,0.00737314,1.12033457,0.59199309,0.18255944
-5.87993997,1.73287715,0.00208725,0.02093366,0.57193997,0.47724378,0.00665459,1.07499681,0.57030750,0.17437263
-5.87393697,1.65461572,0.00184916,0.01995050,0.54633452,0.45984223,0.00597574,1.02608938,0.54636333,0.16570968
-5.86793397,1.57147629,0.00163424,0.01890850,0.51907695,0.44045398,0.00533969,0.97424352,0.52049355,0.15667421
-5.86193097,1.48456876,0.00144082,0.01782069,0.49055951,0.41938459,0.00474884,0.92015419,0.49307281,0.14737706
-5.85592796,1.39508020,0.00126722,0.01670152,0.46119739,0.39697472,0.00420481,0.86456194,0.46450649,0.13793367
-5.84992496,1.30424397,0.00111184,0.01556643,0.43141830,0.37359013,0.00370859,0.80823405,0.43521902,0.12846136
-5.84392196,1.21330888,0.00097313,0.01443133,0.40165203,0.34961132,0.00326051,0.75194582,0.40564215,0.11907673
-5.83791896,1.12350957,0.00084960,0.01331220,0.37232049,0.32542332,0.00286041,0.69646239,0.37620357,0.10989318
-5.83191596,1.03603897,0.00073990,0.01222470,0.34382847,0.30140603,0.00250765,0.64252206,0.34731626,0.10101867
