energy_ev,total_up,Ag_p_up,Ag_d_up,Hg_p_up,Hg_d_up,N_s_up,N_p_up,Se_s_up,Se_p_up
-6.00000000,1.93526679,0.64144963,1.29366976,0.09366201,0.20901502,0.01601325,0.02330841,0.06051399,0.19259365
-5.99399700,1.84903208,0.61746370,1.23678352,0.09109406,0.19981913,0.01558991,0.02290262,0.05726872,0.18373969
-5.98799400,1.76125913,0.59126095,1.17905716,0.08858307,0.19050493,0.01513022,0.02245252,0.05393816,0.17455490
-5.98199100,1.67326211,0.56325582,1.12140209,0.08619018,0.18118695,0.01464174,0.02196735,0.05056393,0.16517614
-5.97598799,1.58636812,0.53388630,1.06473474,0.08398000,0.17198512,0.01413340,0.02145880,0.04718686,0.15574062
-5.96998499,1.50187987,0.50360207,1.00995095,0.08201803,0.16302069,0.01361518,0.02094046,0.04384610,0.14638247
-5.96398199,1.42103951,0.47285255,0.95790124,0.08036798,0.15441226,0.01309764,0.02042717,0.04057831,0.13722959
-5.95797899,1.34499465,0.44207542,0.90936760,0.07908903,0.14627183,0.01259150,0.01993426,0.03741692,0.12840065
-5.95197599,1.27476765,0.41168582,0.86504255,0.07823326,0.13870116,0.01210729,0.01947687,0.03439162,0.12000254
-5.94597299,1.21122911,0.38206673,0.82551110,0.07784316,0.13178847,0.01165484,0.01906920,0.03152783,0.11212816
-5.93996998,1.15507636,0.35356072,0.79123624,0.07794951,0.12560564,0.01124300,0.01872384,0.02884649,0.10485472
-5.93396698,1.10681758,0.32646340,0.76254817,0.07856957,0.12020603,0.01087929,0.01845118,0.02636384,0.09824252
-5.92796398,1.06676206,0.30101863,0.73963791,0.07970572,0.11562292,0.01056966,0.01825894,0.02409147,0.09233426
-5.92196098,1.03501688,0.27741564,0.72255524,0.08134471,0.11186869,0.01031832,0.01815177,0.02203639,0.08715495
-5.91595798,1.01149017,0.25578813,0.71121125,0.08345740,0.10893474,0.01012759,0.01813102,0.02020131,0.08271225
-5.90995498,0.99590075,0.23621508,0.70538529,0.08599915,0.10679218,0.00999792,0.01819474,0.01858497,0.07899741
-5.90395198,0.98779390,0.21872340,0.70473623,0.08891088,0.10539323,0.00992794,0.01833770,0.01718262,0.07598661
-5.89794897,0.98656276,0.20329203,0.70881764,0.09212069,0.10467333,0.00991455,0.01855166,0.01598648,0.07364269
-5.89194597,0.99147466,0.18985740,0.71709633,0.09554615,0.10455381,0.00995314,0.01882579,0.01498636,0.07191729
-5.88594297,1.00170133,0.17831982,0.72897376,0.09909703,0.10494512,0.01003781,0.01914716,0.01417022,0.07075319
-5.87993997,1.01635213,0.16855069,0.74380949,0.10267857,0.10575045,0.01016171,0.01950141,0.01352479,0.07008682
