energy_ev,total_up,Ag_p_up,Ag_d_up,C_s_up,C_p_up,Cd_p_up,Cd_d_up,Te_p_up,Te_d_up
-6.00000000,1.87542650,0.62222326,1.45410211,0.00556146,0.01824454,0.19531809,0.03379970,0.21118842,0.00000000
-5.99399700,1.88737925,0.62788954,1.45946136,0.00604143,0.01780595,0.19773652,0.03430047,0.21421047,0.00000000
-5.98799400,1.90274204,0.63494414,1.46704033,0.00655431,0.01743665,0.20062170,0.03500408,0.21739672,0.00000000
-5.98199100,1.92198211,0.64358802,1.47728013,0.00709617,0.01713225,0.20387609,0.03592258,0.22073368,0.00000000
-5.97598799,1.94549798,0.65400876,1.49056795,0.00766282,0.01688805,0.20740010,0.03706529,0.22420752,0.00000000
-5.96998499,1.97358900,0.66636699,1.50721152,0.00824968,0.01669914,0.21109367,0.03843803,0.22780308,0.00000000
-5.96398199,2.00642798,0.68078364,1.52741593,0.00885184,0.01656047,0.21485800,0.04004247,0.23150305,0.00000000
-5.95797899,2.04403803,0.69732865,1.55126389,0.00946403,0.01646702,0.21859737,0.04187560,0.23528726,0.00000000
-5.95197599,2.08627498,0.71601175,1.57870050,0.01008065,0.01641389,0.22222097,0.04392934,0.23913218,0.00000000
-5.94597299,2.13281634,0.73677566,1.60952342,0.01069578,0.01639646,0.22564468,0.04619031,0.24301061,0.00000000
-5.93996998,2.18315769,0.75949232,1.64337911,0.01130329,0.01641058,0.22879273,0.04863985,0.24689166,0.00000000
-5.93396698,2.23661697,0.78396213,1.67976557,0.01189690,0.01645269,0.23159928,0.05125413,0.25074085,0.00000000
-5.92796398,2.29234679,0.80991647,1.71804166,0.01247031,0.01651998,0.23400989,0.05400457,0.25452064,0.00000000
-5.92196098,2.34935471,0.83702349,1.75744290,0.01301741,0.01661059,0.23598290,0.05685841,0.25819112,0.00000000
-5.91595798,2.40653069,0.86489674,1.79710303,0.01353248,0.01672369,0.23749071,0.05977947,0.26171101,0.00000000
-5.90995498,2.46268084,0.89310658,1.83608076,0.01401040,0.01685969,0.23852108,0.06272907,0.26503897,0.00000000
-5.90395198,2.51656616,0.92119369,1.87339039,0.01444700,0.01702038,0.23907839,0.06566711,0.26813508,0.00000000
-5.89794897,2.56694462,0.94868408,1.90803508,0.01483931,0.01720909,0.23918487,0.06855325,0.27096255,0.00000000
-5.89194597,2.61261480,0.97510510,1.93904124,0.01518595,0.01743084,0.23888194,0.07134812,0.27348963,0.00000000
-5.88594297,2.65245908,1.00000153,1.96549247,0.01548739,0.01769252,0.23823142,0.07401458,0.27569151,0.00000000
-5.87993997,2.68548455,1.02295123,1.98656153,0.01574634,0.01800303,0.23731681,0.07651894,0.27755229,0.00000000
-5.87393697,2.71085964,1.04357949,2.00153883,0.01596800,0.01837343,0.23624430,0.07883202,0.27906688,0.00000000
-5.86793397,2.72794496,1.06157167,2.00985621,0.01616033,0.01881702,0.23514363,0.08093025,0.28024262,0.00000000
-5.86193097,2.73631680,1.07668340,2.01110494,0.01633425,0.01934950,0.23416860,0.08279638,0.28110075,0.00000000
-5.85592796,2.73578245,1.08874817,2.00504726,0.01650375,0.01998889,0.23349699,0.08442018,0.28167742,0.00000000
-5.84992496,2.72638654,1.09768188,1.99162112,0.01668587,0.02075557,0.23332986,0.08579875,0.28202429,0.00000000
