energy_ev,total_up,Co_p_up,Co_d_up,N_s_up,N_p_up,Re_p_up,Re_d_up,Te_p_up,Te_d_up
-6.00000000,0.54614975,0.19474269,0.09774316,0.00099343,0.04352219,0.26538281,0.15133640,0.28282152,0.00000000
-5.99399700,0.49000904,0.17177349,0.08773860,0.00084382,0.03921066,0.24049257,0.13758411,0.25119391,0.00000000
-5.98799400,0.43919641,0.15091575,0.07863373,0.00071350,0.03520930,0.21706168,0.12532133,0.22256037,0.00000000
-5.98199100,0.39377479,0.13210866,0.07043612,0.00060136,0.03152173,0.19521069,0.11462357,0.19688065,0.00000000
-5.97598799,0.35378232,0.11527655,0.06314991,0.00050618,0.02815096,0.17504048,0.10556247,0.17409656,0.00000000
-5.96998499,0.31923598,0.10033203,0.05677602,0.00042672,0.02509909,0.15663150,0.09820637,0.15413561,0.00000000
-5.96398199,0.29013494,0.08717898,0.05131241,0.00036171,0.02236695,0.14004365,0.09262074,0.13691434,0.00000000
-5.95797899,0.26646345,0.07571526,0.04675433,0.00030997,0.01995402,0.12531674,0.08886839,0.12234137,0.00000000
-5.95197599,0.24819313,0.06583515,0.04309457,0.00027039,0.01785825,0.11247136,0.08700928,0.11031981,0.00000000
-5.94597299,0.23528436,0.05743144,0.04032355,0.00024197,0.01607610,0.10151012,0.08710006,0.10074935,0.00000000
-5.93996998,0.22768684,0.05039718,0.03842947,0.00022385,0.01460257,0.09241915,0.08919311,0.09352767,0.00000000
-5.93396698,0.22533899,0.04462710,0.03739821,0.00021529,0.01343128,0.08516971,0.09333515,0.08855134,0.00000000
-5.92796398,0.22816642,0.04001864,0.03721322,0.00021569,0.01255458,0.07971975,0.09956536,0.08571619,0.00000000
-5.92196098,0.23607928,0.03647275,0.03785522,0.00022459,0.01196366,0.07601546,0.10791302,0.08491711,0.00000000
-5.91595798,0.24896861,0.03389430,0.03930176,0.00024163,0.01164866,0.07399255,0.11839481,0.08604746,0.00000000
-5.90995498,0.26670197,0.03219230,0.04152679,0.00026656,0.01159870,0.07357730,0.13101167,0.08899809,0.00000000
-5.90395198,0.28911840,0.03127998,0.04449994,0.00029920,0.01180197,0.07468744,0.14574551,0.09365607,0.00000000
-5.89794897,0.31602313,0.03107457,0.04818600,0.00033943,0.01224568,0.07723261,0.16255576,0.09990329,0.00000000
-5.89194597,0.34718221,0.03149712,0.05254414,0.00038715,0.01291612,0.08111473,0.18137602,0.10761501,0.00000000
-5.88594297,0.38231757,0.03247223,0.05752741,0.00044226,0.01379853,0.08622808,0.20211096,0.11665858,0.00000000
-5.87993997,0.42110286,0.03392779,0.06308216,0.00050460,0.01487712,0.09245936,0.22463361,0.12689237,0.00000000
-5.87393697,0.46316038,0.03579476,0.06914775,0.00057399,0.01613503,0.09968769,0.24878330,0.13816507,0.00000000
-5.86793397,0.50805959,0.03800715,0.07565637,0.00065013,0.01755427,0.10778472,0.27436443,0.15031561,0.00000000
-5.86193097,0.55531748,0.04050201,0.08253320,0.00073261,0.01911585,0.11661492,0.30114620,0.16317358,0.00000000
-5.85592796,0.60440111,0.04321979,0.08969687,0.00082089,0.02079983,0.12603621,0.32886349,0.17656046,0.00000000
-5.84992496,0.65473253,0.04610471,0.09706023,0.00091429,0.02258556,0.13590086,0.35721898,0.19029157,0.00000000
-5.84392196,0.70569613,0.04910548,0.10453148,0.00101195,0.02445196,0.14605694,0.38588656,0.20417883,0.00000000
-5.83791896,0.75664861,0.05217619,0.11201570,0.00111288,0.02637796,0.15635017,0.41451615,0.21803422,0.00000000
-5.83191596,0.80693119,0.05527740,0.11941668,0.00121590,0.02834304,0.16662632,0.44273971,0.23167407,0.00000000
-5.82591296,0.85588417,0.05837741,0.12663908,0.00131970,0.03032786,0.17673399,0.47017851,0.24492385,0.00000000
-5.81990995,0.90286320,0.06145365,0.13359083,0.00142287,0.03231498,0.18652793,0.49645145,0.25762345,0.00000000
-5.81390695,0.94725697,0.06449417,0.14018573,0.00152387,0.03428975,0.19587257,0.52118420,0.26963284,0.00000000
-5.80790395,0.98850574,0.06749914,0.14634613,0.00162111,0.03624114,0.20464592,0.54401888,0.28083769,0.00000000
-5.80190095,1.02612006,0.07048229,0.15200564,0.00171299,0.03816264,0.21274345,0.56462411,0.29115499,0.00000000
-5.79589795,1.05969895,0.07347222,0.15711169,0.00179793,0.04005315,0.22008192,0.58270488,0.30053818,0.00000000
-5.78989495,1.08894679,0.07651355,0.16162791,0.00187441,0.04191776,0.22660308,0.59801210,0.30898169,0.00000000
-5.78389195,1.11368828,0.07966762,0.16553609,0.00194104,0.04376842,0.23227681,0.61035129,0.31652462,0.00000000
-5.77788894,1.13388053,0.08301296,0.16883782,0.00199657,0.04562446,0.23710380,0.61959019,0.32325321,0.00000000
-5.77188594,1.14962184,0.08664517,0.17155540,0.00203997,0.04751283,0.24111738,0.62566487,0.32930207,0.00000000
-5.76588294,1.16115632,0.09067629,0.17373228,0.00207046,0.04946809,0.24438453,0.62858404,0.33485376,0.00000000
-5.75987994,1.16887419,0.09523352,0.17543264,0.00208751,0.05153212,0.24700582,0.62843147,0.34013679,0.00000000
-5.75387694,1.17330706,0.10045728,0.17674028,0.00209089,0.05375341,0.24911422,0.62536614,0.34542180,0.00000000
-5.74787394,1.17511840,0.10649855,0.17775674,0.00208065,0.05618605,0.25087277,0.61962015,0.35101602,0.00000000
-5.74187094,1.17508895,0.11351555,0.17859863,0.00205715,0.05888830,0.25247108,0.61149442,0.35725588,0.00000000
-5.73586793,1.17409750,0.12166959,0.17939425,0.00202105,0.06192091,0.25412069,0.60135215,0.36449806,0.00000000
-5.72986493,1.17309732,0.13112049,0.18027961,0.00197325,0.06534498,0.25604933,0.58961031,0.37310906,0.00000000
-5.72386193,1.17308899,0.14202125,0.18139390,0.00191488,0.06921966,0.25849437,0.57672935,0.38345355,0.00000000
-5.71785893,1.17509039,0.15451245,0.18287463,0.00184729,0.07359966,0.26169546,0.56320150,0.39588189,0.00000000
-5.71185593,1.18010477,0.16871626,0.18485257,0.00177195,0.07853257,0.26588670,0.54953802,0.41071711,0.00000000
-5.70585293,1.18908815,0.18473048,0.18744669,0.00169046,0.08405627,0.27128853,0.53625593,0.42824186,0.00000000
-5.69984992,1.20291702,0.20262263,0.19075931,0.00160446,0.09019635,0.27809962,0.52386446,0.44868578,0.00000000
-5.69384692,1.22235764,0.22242447,0.19487164,0.00151558,0.09696384,0.28648914,0.51285199,0.47221380,0.00000000
-5.68784392,1.24803824,0.24412711,0.19984002,0.00142544,0.10435318,0.29658953,0.50367371,0.49891575,0.00000000
-5.68184092,1.28042499,0.26767700,0.20569283,0.00133557,0.11234071,0.30849021,0.49674047,0.52879799,0.00000000
-5.67583792,1.31980293,0.29297307,0.21242848,0.00124737,0.12088362,0.32223237,0.49240923,0.56177718,0.00000000
-5.66983492,1.36626272,0.31986507,0.22001438,0.00116212,0.12991960,0.33780520,0.49097536,0.59767685,0.00000000
-5.66383192,1.41969356,0.34815357,0.22838717,0.00108093,0.13936708,0.35514355,0.49266701,0.63622686,0.00000000
-5.65782891,1.47978301,0.37759141,0.23745401,0.00100477,0.14912620,0.37412744,0.49764168,0.67706598,0.00000000
-5.65182591,1.54602354,0.40788697,0.24709513,0.00093442,0.15908054,0.39458312,0.50598494,0.71974775,0.00000000
-5.64582291,1.61772573,0.43870907,0.25716745,0.00087052,0.16909942,0.41628612,0.51771133,0.76374936,0.00000000
-5.63981991,1.69403770,0.46969345,0.26750913,0.00081357,0.17904088,0.43896583,0.53276724,0.80848362,0.00000000
-5.63381691,1.77397006,0.50045077,0.27794491,0.00076395,0.18875515,0.46231183,0.55103548,0.85331352,0.00000000
-5.62781391,1.85642531,0.53057581,0.28829208,0.00072196,0.19808854,0.48598154,0.57234135,0.89756893,0.00000000
-5.62181091,1.94023077,0.55965759,0.29836670,0.00068782,0.20688755,0.50960919,0.59645975,0.94056514,0.00000000
-5.61580790,2.02417357,0.58729017,0.30798999,0.00066171,0.21500312,0.53281557,0.62312309,0.98162226,0.00000000
-5.60980490,2.10703649,0.61308360,0.31699446,0.00064383,0.22229481,0.55521845,0.65202953,1.02008511,0.00000000
-5.60380190,2.18763318,0.63667467,0.32522961,0.00063438,0.22863478,0.57644326,0.68285124,1.05534262,0.00000000
-5.59779890,2.26484142,0.65773712,0.33256702,0.00063356,0.23391137,0.59613355,0.71524235,1.08684625,0.00000000
-5.59179590,2.33763329,0.67599075,0.33890444,0.00064168,0.23803223,0.61396107,0.74884638,1.11412648,0.00000000
-5.58579290,2.40510100,0.69120922,0.34416889,0.00065904,0.24092675,0.62963496,0.78330280,1.13680693,0.00000000
-5.57978989,2.46647769,0.70322612,0.34831863,0.00068602,0.24254783,0.64290974,0.81825269,1.15461540,0.00000000
-5.57378689,2.52115234,0.71193913,0.35134379,0.00072305,0.24287290,0.65359190,0.85334341,1.16739150,0.00000000
-5.56778389,2.56867865,0.71731207,0.35326584,0.00077056,0.24190412,0.66154482,0.88823220,1.17509052,0.00000000
-5.56178089,2.60877761,0.71937481,0.35413584,0.00082899,0.23966779,0.66669176,0.92258892,1.17778337,0.00000000
