energy_ev,total_up,total_down,C_s_up,C_s_down,C_p_up,C_p_down,Cr_p_up,Cr_p_down,Cr_d_up,Cr_d_down,Fe_p_up,Fe_p_down,Fe_d_up,Fe_d_down,S_s_up,S_s_down,S_p_up,S_p_down
-6.00000000,6.31932492,-6.87380395,0.07646043,-0.12254726,0.40289586,-0.32660482,1.58804267,-1.64144784,0.76637113,-0.50845283,0.86585364,-0.88681454,0.38995137,-0.28004011,0.10077876,-0.12954267,2.80225974,-3.37661203
-5.99399700,6.36560561,-6.92563125,0.07538984,-0.12189170,0.41176494,-0.33127381,1.60931839,-1.66709598,0.77471008,-0.51595438,0.88202592,-0.89557561,0.39222111,-0.27776120,0.09997050,-0.13071898,2.81786509,-3.40238082
-5.98799400,6.40316693,-6.96732030,0.07441575,-0.12075596,0.41997352,-0.33530997,1.62784885,-1.69202661,0.78194989,-0.52249059,0.89560372,-0.90359275,0.39401935,-0.27465727,0.09909203,-0.13167082,2.82933583,-3.42408786
-5.98199100,6.43004923,-7.00002052,0.07350718,-0.11917985,0.42738552,-0.33876787,1.64302227,-1.71632670,0.78781640,-0.52812442,0.90631526,-0.91106383,0.39531239,-0.27084289,0.09813006,-0.13241789,2.83582482,-3.44226818
-5.97598799,6.44471283,-7.02510563,0.07263416,-0.11720996,0.43388267,-0.34171104,1.65434384,-1.74008946,0.79208233,-0.53293222,0.91395609,-0.91820519,0.39608314,-0.26645361,0.09707717,-0.13298368,2.83668954,-3.45756085
-5.96998499,6.44604262,-7.04407863,0.07176845,-0.11489777,0.43936434,-0.34420760,1.66144183,-1.76339641,0.79456885,-0.53699714,0.91838871,-0.92523827,0.39632899,-0.26164071,0.09593168,-0.13339375,2.83149419,-3.47066260
-5.96398199,6.43333628,-7.05847330,0.07088410,-0.11229776,0.44374685,-0.34632570,1.66406924,-1.78629983,0.79514532,-0.54040258,0.91954026,-0.93237573,0.39605929,-0.25656543,0.09469730,-0.13367395,2.82000365,-3.48227957
-5.95797899,6.40627884,-7.06975814,0.06995787,-0.10946548,0.44696256,-0.34812941,1.66210136,-1.80880692,0.79372760,-0.54322608,0.91739859,-0.93980801,0.39529255,-0.25139319,0.09338251,-0.13384877,2.80217056,-3.49308025
-5.95197599,6.36490676,-7.07924863,0.06896947,-0.10645576,0.44895875,-0.34967495,1.65552971,-1.83086688,0.79027510,-0.54553400,0.91200720,-0.94769114,0.39405366,-0.24628778,0.09199976,-0.13393987,2.77811690,-3.50365245
-5.94597299,6.30956486,-7.08803260,0.06790168,-0.10332114,0.44969672,-0.35100775,1.64445325,-1.85236170,0.78478705,-0.54737731,0.90345935,-0.95613654,0.39237144,-0.24140603,0.09056457,-0.13396489,2.74811163,-3.51446661
-5.93996998,6.24085947,-7.09691289,0.06674044,-0.10011052,0.44915091,-0.35216030,1.62906740,-1.87310142,0.77729833,-0.54878881,0.89189188,-0.96520355,0.39027652,-0.23689303,0.08909452,-0.13393655,2.71254613,-3.52584775
-5.93396698,6.15961086,-7.10636988,0.06547477,-0.09686822,0.44730847,-0.35315112,1.60965169,-1.89282434,0.76787507,-0.54978178,0.87747905,-0.97489499,0.38779986,-0.23287814,0.08760826,-0.13386223,2.67190868,-3.53795720
-5.92796398,6.06680761,-7.11654535,0.06409675,-0.09363329,0.44416913,-0.35398459,1.58655672,-1.91120210,0.75661051,-0.55035026,0.86042660,-0.98515618,0.38497192,-0.22947193,0.08612452,-0.13374382,2.62675967,-3.55078495
-5.92196098,5.96356504,-7.12724759,0.06260139,-0.09043921,0.43974542,-0.35465187,1.56019105,-1.92784937,0.74362102,-0.55047069,0.84096640,-0.99587729,0.38182238,-0.22676404,0.08466127,-0.13357800,2.57770834,-3.56415256
-5.91595798,5.85108895,-7.13797651,0.06098652,-0.08731387,0.43406326,-0.35513264,1.53100835,-1.94233779,0.72904276,-0.55010490,0.81935176,-1.00689882,0.37838060,-0.22482202,0.08323494,-0.13335684,2.52539210,-3.57772608
-5.90995498,5.73064563,-7.14796592,0.05925271,-0.08427992,0.42716276,-0.35539762,1.49949544,-1.95421301,0.71302872,-0.54920416,0.79585331,-1.01802001,0.37467649,-0.22369110,0.08185980,-0.13306867,2.47045881,-3.59103763
-5.90395198,5.60353806,-7.15623985,0.05740315,-0.08135519,0.41909916,-0.35541155,1.46616115,-1.96301414,0.69574636,-0.54771388,0.77075558,-1.02900929,0.37074174,-0.22339481,0.08054749,-0.13269919,2.41355236,-3.60351400
-5.89794897,5.47108793,-7.16167825,0.05544349,-0.07855341,0.40994372,-0.35513657,1.43152641,-1.96829428,0.67737558,-0.54557875,0.74435405,-1.03961632,0.36661127,-0.22393631,0.07930670,-0.13223262,2.35530137,-3.61451004
-5.89194597,5.33462250,-7.16308793,0.05338177,-0.07588491,0.39978447,-0.35453560,1.39611536,-1.96964094,0.65810709,-0.54274784,0.71695253,-1.04958469,0.36232473,-0.22530022,0.07814306,-0.13165302,2.29631100,-3.62334476
-5.88594297,5.19546525,-7.15927387,0.05122825,-0.07335739,0.38872657,-0.35357563,1.36044758,-1.96669532,0.63814089,-0.53917937,0.68886062,-1.05866453,0.35792778,-0.22745493,0.07705905,-0.13094543,2.23715709,-3.62933770
-5.87993997,5.05492888,-7.14910655,0.04899524,-0.07097658,0.37689231,-0.35223063,1.32503126,-1.95916926,0.61768473,-0.53484487,0.66039123,-1.06662417,0.35347311,-0.23035511,0.07605415,-0.13009698,2.17838254,-3.63184337
-5.87393697,4.91430943,-7.13158176,0.04669685,-0.06874688,0.36442040,-0.35048399,1.29035727,-1.94685897,0.59695244,-0.52973239,0.63185776,-1.07326023,0.34902105,-0.23394428,0.07512509,-0.12909783,2.12049504,-3.63028197
-5.86793397,4.77488036,-7.10586950,0.04434884,-0.06667173,0.35146477,-0.34833025,1.25689393,-1.92965502,0.57616202,-0.52384863,0.60357103,-1.07840556,0.34463963,-0.23815736,0.07426610,-0.12794184,2.06396579,-3.62416465
-5.86193097,4.63788564,-7.07135004,0.04196823,-0.06475397,0.33819251,-0.34577616,1.22508248,-1.90754789,0.55553333,-0.51721997,0.57583572,-1.08193456,0.34040422,-0.24292305,0.07346931,-0.12662700,2.00922875,-3.61311236
-5.85592796,4.50453131,-7.02763604,0.03957305,-0.06299584,0.32478140,-0.34284094,1.19533306,-1.88062921,0.53528537,-0.50989217,0.54894642,-1.08376580,0.33639653,-0.24816600,0.07272522,-0.12515563,1.95668005,-3.59686761
-5.84992496,4.37597526,-6.97458035,0.03718194,-0.06139901,0.31141657,-0.33955590,1.16802133,-1.84908856,0.51563320,-0.50192910,0.52318333,-1.08386181,0.33270323,-0.25380867,0.07202314,-0.12353432,1.90667731,-3.57529906
-5.84392196,4.25331525,-6.91227054,0.03481381,-0.05996432,0.29828691,-0.33596330,1.14348563,-1.81320629,0.49678453,-0.49341034,0.49880770,-1.08222631,0.32941415,-0.25977286,0.07135167,-0.12177362,1.85953878,-3.54839922
-5.83791896,4.13757560,-6.84101158,0.03248746,-0.05869147,0.28558097,-0.33211472,1.12202468,-1.77334299,0.47893603,-0.48442806,0.47605716,-1.07889926,0.32662031,-0.26598105,0.07069923,-0.11988752,1.81554233,-3.51627622
-5.83191596,4.02969323,-6.76129894,0.03022117,-0.05757869,0.27348276,-0.32806901,1.10389607,-1.72992611,0.46226953,-0.47508335,0.45514125,-1.07395016,0.32441170,-0.27235738,0.07005452,-0.11789286,1.77492436,-3.47914060
-5.82591296,3.93050375,-6.67378482,0.02803242,-0.05662230,0.26216740,-0.32388996,1.08931536,-1.68343482,0.44694833,-0.46548220,0.43623725,-1.06747028,0.32287523,-0.27882846,0.06940697,-0.11580856,1.73787876,-3.43728852
-5.81990995,3.84072856,-6.57924029,0.02593754,-0.05581640,0.25179710,-0.31964385,1.07845601,-1.63438388,0.43311365,-0.45573145,0.41948665,-1.05956443,0.32209266,-0.28532401,0.06874719,-0.11365481,1.70455626,-3.39108285
-5.81390695,3.76096373,-6.47851619,0.02395147,-0.05515258,0.24251735,-0.31539704,1.07145019,-1.58330741,0.42088153,-0.44593494,0.40499232,-1.05034300,0.32213897,-0.29177735,0.06806732,-0.11145234,1.67506419,-3.34093356
-5.80790395,3.69167172,-6.37250546,0.02208758,-0.05461974,0.23445362,-0.31121371,1.06839040,-1.53074341,0.41034024,-0.43619007,0.39281681,-1.03991475,0.32308097,-0.29812586,0.06736136,-0.10922160,1.64946704,-3.28727877
-5.80190095,3.63317629,-6.26210896,0.02035754,-0.05420408,0.22770874,-0.30715388,1.06933200,-1.47721969,0.40154839,-0.42658494,0.38298163,-1.02838095,0.32497641,-0.30431138,0.06662536,-0.10698218,1.62778787,-3.23056760
-5.79589795,3.58566139,-6.14820663,0.01877128,-0.05388919,0.22236100,-0.30327173,1.07429655,-1.42324190,0.39453390,-0.41719616,0.37546784,-1.01583121,0.32787350,-0.31028054,0.06585763,-0.10475219,1.61001072,-3.17124562
-5.78989495,3.54917417,-6.03163490,0.01733699,-0.05365636,0.21846302,-0.29961435,1.08327592,-1.36928385,0.38929381,-0.40808741,0.37021784,-1.00234120,0.33181094,-0.31598519,0.06505881,-0.10254783,1.59608402,-3.10974360
-5.78389195,3.52363227,-5.91317090,0.01606127,-0.05348495,0.21604154,-0.29622083,1.09623709,-1.31578049,0.38579505,-0.39930874,0.36713840,-0.98797224,0.33681840,-0.32138264,0.06423179,-0.10038307,1.58592508,-3.04646963
-5.77788894,3.50883508,-5.79352317,0.01494918,-0.05335295,0.21509802,-0.29312179,1.11312742,-1.26312352,0.38397620,-0.39089656,0.36610481,-0.97277283,0.34291735,-0.32643599,0.06338170,-0.09826946,1.57942541,-2.98180465
-5.77188594,3.50447887,-5.67332831,0.01400453,-0.05323759,0.21561011,-0.29033913,1.13388032,-1.21165938,0.38375007,-0.38287425,0.36696601,-0.95678151,0.35012219,-0.33111433,0.06251567,-0.09621605,1.57645694,-2.91610095
-5.76588294,3.51017494,-5.55315232,0.01323003,-0.05311604,0.21753379,-0.28788618,1.15842098,-1.16168952,0.38500723,-0.37525317,0.36955057,-0.94003100,0.35844161,-0.33539276,0.06164261,-0.09422934,1.57687867,-2.84968307
-5.75987994,3.52547018,-5.43349531,0.01262756,-0.05296610,0.22080620,-0.28576794,1.18667212,-1.11347228,0.38762019,-0.36803409,0.37367320,-0.92255288,0.36788002,-0.33925238,0.06077287,-0.09231337,1.58054373,-2.78285037
-5.75387694,3.54986916,-5.31479810,0.01219840,-0.05276687,0.22534896,-0.28398153,1.21855923,-1.06722627,0.39144820,-0.36120869,0.37914168,-0.90438247,0.37843892,-0.34268004,0.05991795,-0.09046985,1.58730644,-2.71588052
-5.74787394,3.58285673,-5.19744921,0.01194345,-0.05249939,0.23107186,-0.28251665,1.25401533,-1.02313437,0.39634236,-0.35476116,0.38576384,-0.88556322,0.39011815,-0.34566793,0.05909007,-0.08869827,1.59702906,-2.64903299
-5.74187094,3.62392002,-5.08179098,0.01186345,-0.05214720,0.23787667,-0.28135611,1.29298470,-0.98134816,0.40215109,-0.34866968,0.39335431,-0.86615038,0.40291682,-0.34821300,0.05830183,-0.08699611,1.60958804,-2.58255200
-5.73586793,3.67256887,-4.96812382,0.01195910,-0.05169668,0.24566101,-0.28047629,1.33542542,-0.94199228,0.40872540,-0.34290768,0.40174096,-0.84621331,0.41683388,-0.35031624,0.05756580,-0.08535894,1.62487920,-2.51666832
-5.72986493,3.72835352,-4.85670807,0.01223120,-0.05113746,0.25432193,-0.27984761,1.38131053,-0.90516830,0.41592401,-0.33744493,0.41077055,-0.82583648,0.43186822,-0.35198183,0.05689414,-0.08378063,1.64282186,-2.45159953
-5.72386193,3.79087870,-4.74776323,0.01268065,-0.05046247,0.26375928,-0.27943494,1.43062744,-0.87095797,0.42361799,-0.33224828,0.42031355,-0.80511881,0.44801819,-0.35321627,0.05629834,-0.08225349,1.66336135,-2.38754877
-5.71785893,3.85981315,-4.64146479,0.01330847,-0.04966802,0.27387841,-0.27919804,1.48337549,-0.83942569,0.43169467,-0.32728217,0.43026792,-0.78417150,0.46528064,-0.35402745,0.05578884,-0.08076845,1.68646993,-2.32470195
-5.71185593,3.93489408,-4.53793934,0.01411569,-0.04875364,0.28459228,-0.27909197,1.53956165,-0.81062006,0.44006074,-0.32250891,0.44056162,-0.76311454,0.48364934,-0.35442390,0.05537482,-0.07931520,1.71214576,-2.26322375
-5.70585293,4.01592596,-4.43725886,0.01510318,-0.04772191,0.29582286,-0.27906766,1.59919430,-0.78457484,0.44864426,-0.31788889,0.45115393,-0.74207213,0.50311283,-0.35441409,0.05506399,-0.07788242,1.74041000,-2.20325305
-5.69984992,4.10277365,-4.33943524,0.01627147,-0.04657812,0.30750170,-0.27907254,1.66227516,-0.76130914,0.45739559,-0.31338064,0.46203534,-0.72116744,0.52365188,-0.35400606,0.05486239,-0.07645798,1.77130191,-2.14489817
