energy_ev,total_up,C_s_up,C_p_up,Ca_p_up,Ca_d_up,S_s_up,S_p_up,Zr_p_up,Zr_d_up
-6.00000000,1.71667561,0.01187394,0.11100872,0.01292136,0.00000000,0.01383400,1.00144773,0.31331265,0.29484872
-5.99399700,1.71942500,0.01188460,0.11269697,0.01303631,0.00000000,0.01398971,1.00210764,0.31589644,0.29375552
-5.98799400,1.72175014,0.01190320,0.11425911,0.01314938,0.00000000,0.01415291,1.00267133,0.31955703,0.29208923
-5.98199100,1.72393727,0.01193480,0.11570542,0.01326127,0.00000000,0.01432281,1.00330581,0.32435570,0.28992962
-5.97598799,1.72626367,0.01198494,0.11704615,0.01337299,0.00000000,0.01449859,1.00417069,0.33033135,0.28736266
-5.96998499,1.72899325,0.01205955,0.11829135,0.01348580,0.00000000,0.01467941,1.00541554,0.33749932,0.28447881
-5.96398199,1.73237187,0.01216486,0.11945077,0.01360130,0.00000000,0.01486454,1.00717722,0.34585058,0.28137112
-5.95797899,1.73662241,0.01230722,0.12053389,0.01372131,0.00000000,0.01505330,1.00957694,0.35535133,0.27813342
-5.95197599,1.74193998,0.01249300,0.12154982,0.01384791,0.00000000,0.01524507,1.01271744,0.36594305,0.27485837
-5.94597299,1.74848704,0.01272825,0.12250741,0.01398329,0.00000000,0.01543931,1.01668025,0.37754301,0.27163575
-5.93996998,1.75638907,0.01301852,0.12341517,0.01412973,0.00000000,0.01563543,1.02152319,0.39004525,0.26855067
-5.93396698,1.76573060,0.01336854,0.12428134,0.01428948,0.00000000,0.01583282,1.02727828,0.40332209,0.26568201
-5.92796398,1.77655211,0.01378189,0.12511384,0.01446466,0.00000000,0.01603073,1.03395015,0.41722610,0.26310094
-5.92196098,1.78884775,0.01426071,0.12592020,0.01465714,0.00000000,0.01622824,1.04151514,0.43159263,0.26086967
-5.91595798,1.80256420,0.01480543,0.12670743,0.01486845,0.00000000,0.01642419,1.04992102,0.44624266,0.25904031
