energy_ev,total_up,Li_s_up,N_s_up,N_p_up,Sc_p_up,Sc_d_up,Se_s_up,Se_p_up
-6.00000000,1.85664863,0.35692642,0.00727178,0.16510751,0.19543167,0.15411841,0.02308364,0.93889572
-5.99399700,1.82508967,0.36429638,0.00778273,0.16608410,0.18682967,0.15309983,0.02259043,0.91725118
-5.98799400,1.79274436,0.37246999,0.00831522,0.16651707,0.17854377,0.15184198,0.02207134,0.89582218
-5.98199100,1.75990160,0.38132242,0.00886525,0.16644074,0.17061167,0.15037180,0.02153508,0.87475629
-5.97598799,1.72687316,0.39071816,0.00942827,0.16589844,0.16307169,0.14872006,0.02099144,0.85420507
-5.96998499,1.69399469,0.40051570,0.00999922,0.16494160,0.15596386,0.14692104,0.02045122,0.83432563
-5.96398199,1.66162587,0.41057255,0.01057269,0.16362860,0.14933082,0.14501216,0.01992599,0.81528180
-5.95797899,1.63014932,0.42075027,0.01114301,0.16202351,0.14321838,0.14303360,0.01942791,0.79724477
-5.95197599,1.59996861,0.43091957,0.01170446,0.16019469,0.13767587,0.14102776,0.01896944,0.78039329
-5.94597299,1.57150498,0.44096512,0.01225138,0.15821335,0.13275607,0.13903875,0.01856307,0.76491324
-5.93996998,1.54519298,0.45078999,0.01277840,0.15615189,0.12851501,0.13711173,0.01822099,0.75099671
-5.93396698,1.52147478,0.46031932,0.01328053,0.15408232,0.12501135,0.13529227,0.01795478,0.73884039
-5.92796398,1.50079307,0.46950319,0.01375336,0.15207452,0.12230550,0.13362550,0.01777505,0.72864318
-5.92196098,1.48358265,0.47831840,0.01419315,0.15019448,0.12045844,0.13215528,0.01769115,0.72060306
-5.91595798,1.47026052,0.48676892,0.01459693,0.14850267,0.11953032,0.13092319,0.01771082,0.71491305
-5.90995498,1.46121476,0.49488509,0.01496252,0.14705226,0.11957873,0.12996755,0.01783990,0.71175636
-5.90395198,1.45679220,0.50272129,0.01528859,0.14588766,0.12065681,0.12932229,0.01808209,0.71130064
-5.89794897,1.45728534,0.51035230,0.01557456,0.14504309,0.12281114,0.12901586,0.01843869,0.71369149
-5.89194597,1.46291884,0.51786841,0.01582056,0.14454142,0.12607958,0.12907007,0.01890846,0.71904550
-5.88594297,1.47383623,0.52536938,0.01602730,0.14439335,0.13048902,0.12949912,0.01948750,0.72744276
-5.87993997,1.49008735,0.53295766,0.01619595,0.14459688,0.13605317,0.13030862,0.02016920,0.73891958
-5.87393697,1.51161738,0.54073124,0.01632794,0.14513725,0.14277055,0.13149487,0.02094429,0.75346134
-5.86793397,1.53825801,0.54877627,0.01642482,0.14598733,0.15062269,0.13304438,0.02180093,0.77099624
-5.86193097,1.56972166,0.55716019,0.01648806,0.14710847,0.15957266,0.13493358,0.02272489,0.79139018
-5.85592796,1.60559920,0.56592557,0.01651895,0.14845184,0.16956414,0.13712900,0.02369984,0.81444316
-5.84992496,1.64536180,0.57508502,0.01651842,0.14996026,0.18052097,0.13958774,0.02470767,0.83988776
-5.84392196,1.68836718,0.58461767,0.01648698,0.15157041,0.19234732,0.14225830,0.02572889,0.86738975
-5.83791896,1.73387038,0.59446725,0.01642467,0.15321535,0.20492861,0.14508182,0.02674310,0.89655127
-5.83191596,1.78103902,0.60454203,0.01633103,0.15482734,0.21813303,0.14799368,0.02772948,0.92691650
-5.82591296,1.82897250,0.61471666,0.01620519,0.15634070,0.23181378,0.15092528,0.02866732,0.95797991
-5.81990995,1.87672477,0.62483571,0.01604592,0.15769473,0.24581192,0.15380623,0.02953655,0.98919680
-5.81390695,1.92332963,0.63471883,0.01585175,0.15883635,0.25995978,0.15656647,0.03031828,1.01999591
-5.80790395,1.96782763,0.64416725,0.01562115,0.15972256,0.27408474,0.15913859,0.03099527,1.04979357
-5.80190095,2.00929346,0.65297111,0.01535267,0.16032236,0.28801332,0.16146002,0.03155240,1.07800900
-5.79589795,2.04686255,0.66091738,0.01504514,0.16061821,0.30157530,0.16347505,0.03197708,1.10407992
-5.78989495,2.07975569,0.66779783,0.01469783,0.16060676,0.31460781,0.16513654,0.03225954,1.12747802
-5.78389195,2.10730050,0.67341662,0.01431059,0.16029891,0.32695908,0.16640741,0.03239306,1.14772345
-5.77788894,2.12894885,0.67759713,0.01388399,0.15971925,0.33849179,0.16726154,0.03237414,1.16439780
-5.77188594,2.14428925,0.68018772,0.01341940,0.15890461,0.34908581,0.16768425,0.03220248,1.17715497
-5.76588294,2.15305391,0.68106609,0.01291906,0.15790214,0.35864015,0.16767233,0.03188099,1.18572939
-5.75987994,2.15511997,0.68014220,0.01238604,0.15676671,0.36707418,0.16723352,0.03141554,1.18994137
-5.75387694,2.15050511,0.67735957,0.01182426,0.15555796,0.37432801,0.16638547,0.03081482,1.18969931
-5.74787394,2.13935785,0.67269510,0.01123834,0.15433703,0.38036196,0.16515440,0.03008989,1.18499875
-5.74187094,2.12194314,0.66615749,0.01063352,0.15316315,0.38515539,0.16357333,0.02925390,1.17591842
-5.73586793,2.09862417,0.65778458,0.01001551,0.15209035,0.38870484,0.16168011,0.02832157,1.16261361
-5.72986493,2.06984143,0.64763974,0.00939029,0.15116429,0.39102161,0.15951533,0.02730872,1.14530713
-5.72386193,2.03609020,0.63580777,0.00876396,0.15041962,0.39212913,0.15712015,0.02623182,1.12427866
-5.71785893,1.99789778,0.62239050,0.00814255,0.14987777,0.39206014,0.15453433,0.02510747,1.09985276
-5.71185593,1.95580155,0.60750256,0.00753183,0.14954541,0.39085391,0.15179436,0.02395193,1.07238649
-5.70585293,1.91032912,0.59126740,0.00693716,0.14941364,0.38855381,0.14893200,0.02278069,1.04225700
-5.69984992,1.86198144,0.57381392,0.00636334,0.14945799,0.38520518,0.14597309,0.02160812,1.00984987
-5.69384692,1.81121964,0.55527377,0.00581454,0.14963917,0.38085385,0.14293687,0.02044713,0.97554866
