energy_ev,total_up,Au_p_up,Au_d_up,C_s_up,C_p_up,Mn_p_up,Mn_d_up,S_s_up,S_p_up
-6.00000000,11.37580567,2.22234683,6.89103861,0.01518869,0.77970027,1.14579042,0.52364958,0.10952797,2.33905675
-5.99399700,11.48442881,2.25679788,6.91815032,0.01593297,0.78668110,1.17373900,0.53718876,0.10938621,2.39343499
-5.98799400,11.57815679,2.28901427,6.93774200,0.01672337,0.79372246,1.19825771,0.54979188,0.10900011,2.44292166
-5.98199100,11.65531398,2.31877745,6.94880396,0.01755863,0.80063836,1.21909852,0.56136272,0.10837539,2.48712591
-5.97598799,11.71458710,2.34591615,6.95047703,0.01843701,0.80723156,1.23611583,0.57183757,0.10752000,2.52581113
-5.96998499,11.75508268,2.37031140,6.94209060,0.01935644,0.81329540,1.24927193,0.58118889,0.10644408,2.55890771
-5.96398199,11.77637647,2.39190117,6.92319809,0.02031473,0.81861690,1.25863918,0.58942799,0.10516002,2.58652085
-5.95797899,11.77855093,2.41068405,6.89360739,0.02130985,0.82298115,1.26439857,0.59660666,0.10368255,2.60893275
-5.95197599,11.76221786,2.42672166,6.85340398,0.02234017,0.82617650,1.26683450,0.60281760,0.10202870,2.62659860
-5.94597299,11.72852343,2.44013955,6.80296489,0.02340463,0.82800064,1.26632602,0.60819337,0.10021780,2.64013638
-5.93996998,11.67913426,2.45112632,6.74296203,0.02450297,0.82826694,1.26333454,0.61290413,0.09827139,2.65031024
-5.93396698,11.61620350,2.45993081,6.67435412,0.02563583,0.82681096,1.25838848,0.61715387,0.09621303,2.65800803
-5.92796398,11.54231763,2.46685728,6.59836708,0.02680483,0.82349669,1.25206544,0.62117533,0.09406811,2.66421365
-5.92196098,11.46042500,2.47225862,6.51646316,0.02801253,0.81822230,1.24497230,0.62522386,0.09186351,2.66997481
-5.91595798,11.37374853,2.47652764,6.43029988,0.02926234,0.81092500,1.23772421,0.62957017,0.08962716,2.67636770
-5.90995498,11.28568560,2.48008657,6.34168037,0.03055829,0.80158480,1.23092307,0.63449240,0.08738762,2.68445963
-5.90395198,11.19969892,2.48337512,6.25249709,0.03190478,0.79022704,1.22513644,0.64026768,0.08517351,2.69527102
-5.89794897,11.11920258,2.48683726,6.16467118,0.03330615,0.77692333,1.22087751,0.64716353,0.08301292,2.70973841
-5.89194597,11.04744799,2.49090714,6.08009009,0.03476634,0.76179102,1.21858713,0.65542937,0.08093283,2.72867977
-5.88594297,10.98741406,2.49599465,6.00054618,0.03628837,0.74499107,1.21861832,0.66528849,0.07895848,2.75276357
-5.87993997,10.94170636,2.50247094,5.92767871,0.03787384,0.72672439,1.22122412,0.67693067,0.07711281,2.78248285
-5.87393697,10.91246935,2.51065461,5.86292183,0.03952254,0.70722673,1.22654901,0.69050584,0.07541591,2.81813545
-5.86793397,10.90131517,2.52079896,5.80746068,0.04123197,0.68676243,1.23462449,0.70611890,0.07388453,2.85981104
-5.86193097,10.90927215,2.53308098,5.76219733,0.04299699,0.66561713,1.24536876,0.72382594,0.07253174,2.90738573
-5.85592796,10.93675491,2.54759257,5.72772790,0.04480962,0.64408986,1.25859072,0.74363185,0.07136665,2.96052437
-5.84992496,10.98355751,2.56433460,5.70433171,0.04665888,0.62248475,1.27399813,0.76548958,0.07039424,3.01869054
-5.84392196,11.04886959,2.58321411,5.69197262,0.04853083,0.60110267,1.29120947,0.78930084,0.06961534,3.08116388
-5.83791896,11.13131491,2.60404522,5.69031233,0.05040875,0.58023332,1.30976935,0.81491832,0.06902674,3.14706406
-5.83191596,11.22901061,2.62655376,5.69873477,0.05227346,0.56014779,1.32916665,0.84214923,0.06862139,3.21538047
-5.82591296,11.33964436,2.65038588,5.71638020,0.05410380,0.54109212,1.34885481,0.87076009,0.06838878,3.28500651
-5.81990995,11.46056629,2.67512045,5.74218748,0.05587728,0.52328202,1.36827347,0.90048248,0.06831531,3.35477696
-5.81390695,11.58889159,2.70028488,5.77494216,0.05757078,0.50689876,1.38687060,0.93101963,0.06838485,3.42350729
-5.80790395,11.72160941,2.72537411,5.81332836,0.05916136,0.49208659,1.40412425,0.96205352,0.06857931,3.49003293
-5.80190095,11.85569344,2.74987181,5.85598185,0.06062716,0.47895150,1.41956306,0.99325232,0.06887925,3.55324746
-5.79589795,11.98820963,2.77327320,5.90154214,0.06194824,0.46756137,1.43278463,1.02427790,0.06926447,3.61213781
-5.78989495,12.11641658,2.79510839,5.94870118,0.06310740,0.45794739,1.44347108,1.05479321,0.06971468,3.66581553
-5.78389195,12.23785454,2.81496523,5.99624677,0.06409097,0.45010663,1.45140117,1.08446924,0.07021003,3.71354281
-5.77788894,12.35041985,2.83251062,6.04309896,0.06488942,0.44400544,1.45645836,1.11299159,0.07073166,3.75475237
-5.77188594,12.45242197,2.84750918,6.08833824,0.06549784,0.43958358,1.45863459,1.14006615,0.07126212,3.78906066
-5.76588294,12.54262132,2.85983827,6.13122462,0.06591625,0.43675878,1.45802972,1.16542419,0.07178583,3.81627408
-5.75987994,12.62024724,2.86949858,6.17120735,0.06614967,0.43543139,1.45484640,1.18882644,0.07228928,3.83638811
-5.75387694,12.68499580,2.87661960,6.20792542,0.06620803,0.43548914,1.44938097,1.21006624,0.07276129,3.84957957
-5.74787394,12.73700863,2.88145941,6.24119935,0.06610581,0.43681143,1.44201057,1.22897180,0.07319314,3.85619271
-5.74187094,12.77683438,2.88439879,6.27101525,0.06586147,0.43927339,1.43317710,1.24540746,0.07357854,3.85671974
-5.73586793,12.80537525,2.88592959,6.29750255,0.06549675,0.44274922,1.42336886,1.25927400,0.07391369,3.85177678
-5.72986493,12.82382164,2.88663769,6.32090674,0.06503579,0.44711495,1.41310053,1.27050822,0.07419710,3.84207636
-5.72386193,12.83357817,2.88718125,6.34155884,0.06450408,0.45225046,1.40289250,1.27908163,0.07442947,3.82839759
