energy_ev,total_up,Al_p_up,Al_d_up,Rh_p_up,Rh_d_up,Te_p_up,Te_d_up
-6.00000000,1.63597955,0.15523644,0.00000000,1.02769074,0.78995810,0.53508677,0.00000000
-5.99399700,1.56665390,0.13949387,0.00000000,0.98146425,0.76377908,0.51086786,0.00000000
-5.98799400,1.50035003,0.12470186,0.00000000,0.93575582,0.73950991,0.48723682,0.00000000
-5.98199100,1.43742402,0.11097111,0.00000000,0.89104911,0.71718150,0.46434008,0.00000000
-5.97598799,1.37811658,0.09838428,0.00000000,0.84777058,0.69676706,0.44229527,0.00000000
-5.96998499,1.32256517,0.08699738,0.00000000,0.80628563,0.67819232,0.42119389,0.00000000
-5.96398199,1.27081913,0.07684188,0.00000000,0.76689698,0.66134688,0.40110477,0.00000000
-5.95797899,1.22285653,0.06792725,0.00000000,0.72984498,0.64609624,0.38207791,0.00000000
-5.95197599,1.17860202,0.06024379,0.00000000,0.69530982,0.63229387,0.36414831,0.00000000
-5.94597299,1.13794457,0.05376558,0.00000000,0.66341525,0.61979270,0.34733976,0.00000000
-5.93996998,1.10075434,0.04845336,0.00000000,0.63423352,0.60845574,0.33166808,0.00000000
-5.93396698,1.06689799,0.04425728,0.00000000,0.60779121,0.59816532,0.31714384,0.00000000
-5.92796398,1.03625174,0.04111939,0.00000000,0.58407568,0.58883061,0.30377433,0.00000000
-5.92196098,1.00871201,0.03897579,0.00000000,0.56304167,0.58039344,0.29156477,0.00000000
-5.91595798,0.98420320,0.03775841,0.00000000,0.54461787,0.57283214,0.28051875,0.00000000
-5.90995498,0.96268278,0.03739652,0.00000000,0.52871317,0.56616349,0.27063788,0.00000000
-5.90395198,0.94414364,0.03781782,0.00000000,0.51522239,0.56044290,0.26192103,0.00000000
-5.89794897,0.92861406,0.03894930,0.00000000,0.50403129,0.55576297,0.25436291,0.00000000
-5.89194597,0.91615553,0.04071789,0.00000000,0.49502087,0.55225058,0.24795264,0.00000000
-5.88594297,0.90685881,0.04305088,0.00000000,0.48807079,0.55006280,0.24267207,0.00000000
-5.87993997,0.90083868,0.04587633,0.00000000,0.48306208,0.54938182,0.23849438,0.00000000
-5.87393697,0.89822768,0.04912338,0.00000000,0.47987897,0.55040911,0.23538289,0.00000000
-5.86793397,0.89916919,0.05272261,0.00000000,0.47841010,0.55335902,0.23329040,0.00000000
-5.86193097,0.90381012,0.05660645,0.00000000,0.47854906,0.55845193,0.23215899,0.00000000
-5.85592796,0.91229340,0.06070963,0.00000000,0.48019442,0.56590706,0.23192042,0.00000000
-5.84992496,0.92475034,0.06496976,0.00000000,0.48324925,0.57593508,0.23249714,0.00000000
-5.84392196,0.94129295,0.06932793,0.00000000,0.48762028,0.58873051,0.23380374,0.00000000
-5.83791896,0.96200622,0.07372938,0.00000000,0.49321675,0.60446385,0.23574890,0.00000000
-5.83191596,0.98694027,0.07812419,0.00000000,0.49994889,0.62327376,0.23823757,0.00000000
-5.82591296,1.01610255,0.08246792,0.00000000,0.50772630,0.64525905,0.24117328,0.00000000
-5.81990995,1.04944989,0.08672220,0.00000000,0.51645605,0.67047077,0.24446049,0.00000000
-5.81390695,1.08688074,0.09085523,0.00000000,0.52604072,0.69890454,0.24800675,0.00000000
-5.80790395,1.12822777,0.09484214,0.00000000,0.53637640,0.73049340,0.25172452,0.00000000
-5.80190095,1.17325098,0.09866524,0.00000000,0.54735080,0.76510140,0.25553267,0.00000000
-5.79589795,1.22163214,0.10231406,0.00000000,0.55884152,0.80251837,0.25935754,0.00000000
-5.78989495,1.27297061,0.10578539,0.00000000,0.57071477,0.84245639,0.26313347,0.00000000
-5.78389195,1.32678157,0.10908306,0.00000000,0.58282449,0.88454827,0.26680302,0.00000000
-5.77788894,1.38249691,0.11221778,0.00000000,0.59501236,0.92834847,0.27031678,0.00000000
-5.77188594,1.43946956,0.11520687,0.00000000,0.60710855,0.97333713,0.27363295,0.00000000
-5.76588294,1.49698159,0.11807405,0.00000000,0.61893360,1.01892707,0.27671680,0.00000000
-5.75987994,1.55425647,0.12084924,0.00000000,0.63030134,1.06447434,0.27954018,0.00000000
-5.75387694,1.61047543,0.12356846,0.00000000,0.64102306,1.10929205,0.28208112,0.00000000
-5.74787394,1.66479793,0.12627384,0.00000000,0.65091278,1.15266742,0.28432370,0.00000000
-5.74187094,1.71638560,0.12901366,0.00000000,0.65979357,1.19388157,0.28625827,0.00000000
-5.73586793,1.76442905,0.13184247,0.00000000,0.66750466,1.23223145,0.28788191,0.00000000
-5.72986493,1.80817642,0.13482128,0.00000000,0.67390911,1.26705316,0.28919937,0.00000000
-5.72386193,1.84696245,0.13801762,0.00000000,0.67890169,1.29774557,0.29022417,0.00000000
-5.71785893,1.88023675,0.14150553,0.00000000,0.68241647,1.32379330,0.29097991,0.00000000
-5.71185593,1.90758963,0.14536531,0.00000000,0.68443385,1.34478780,0.29150168,0.00000000
-5.70585293,1.92877411,0.14968307,0.00000000,0.68498641,1.36044557,0.29183728,0.00000000
-5.69984992,1.94372278,0.15454983,0.00000000,0.68416332,1.37062231,0.29204818,0.00000000
-5.69384692,1.95255820,0.16006023,0.00000000,0.68211289,1.37532240,0.29221014,0.00000000
-5.68784392,1.95559618,0.16631088,0.00000000,0.67904303,1.37470273,0.29241316,0.00000000
-5.68184092,1.95334131,0.17339820,0.00000000,0.67521944,1.36907094,0.29276082,0.00000000
-5.67583792,1.94647472,0.18141587,0.00000000,0.67096154,1.35887755,0.29336894,0.00000000
-5.66983492,1.93583438,0.19045198,0.00000000,0.66663613,1.34470259,0.29436340,0.00000000
-5.66383192,1.92238879,0.20058595,0.00000000,0.66264913,1.32723706,0.29587748,0.00000000
-5.65782891,1.90720500,0.21188533,0.00000000,0.65943552,1.30726009,0.29804837,0.00000000
-5.65182591,1.89141260,0.22440269,0.00000000,0.65744799,1.28561275,0.30101346,0.00000000
-5.64582291,1.87616508,0.23817268,0.00000000,0.65714468,1.26316987,0.30490615,0.00000000
-5.63981991,1.86260046,0.25320946,0.00000000,0.65897642,1.24081086,0.30985162,0.00000000
-5.63381691,1.85180281,0.26950470,0.00000000,0.66337398,1.21939098,0.31596270,0.00000000
-5.62781391,1.84476624,0.28702603,0.00000000,0.67073570,1.19971416,0.32333587,0.00000000
-5.62181091,1.84236281,0.30571637,0.00000000,0.68141583,1.18250847,0.33204768,0.00000000
-5.61580790,1.84531549,0.32549382,0.00000000,0.69571386,1.16840500,0.34215167,0.00000000
-5.60980490,1.85417680,0.34625236,0.00000000,0.71386507,1.15792085,0.35367581,0.00000000
-5.60380190,1.86931379,0.36786315,0.00000000,0.73603239,1.15144664,0.36662053,0.00000000
-5.59779890,1.89089935,0.39017643,0.00000000,0.76229966,1.14923863,0.38095739,0.00000000
-5.59179590,1.91890958,0.41302386,0.00000000,0.79266629,1.15141535,0.39662827,0.00000000
-5.58579290,1.95312693,0.43622118,0.00000000,0.82704330,1.15795851,0.41354513,0.00000000
-5.57978989,1.99314832,0.45957107,0.00000000,0.86525089,1.16871784,0.43159023,0.00000000
-5.57378689,2.03839768,0.48286599,0.00000000,0.90701727,1.18341916,0.45061684,0.00000000
-5.56778389,2.08814190,0.50589108,0.00000000,0.95197920,1.20167532,0.47045028,0.00000000
-5.56178089,2.14150978,0.52842684,0.00000000,0.99968399,1.22299933,0.49088951,0.00000000
-5.55577789,2.19751306,0.55025176,0.00000000,1.04959338,1.24681922,0.51170900,0.00000000
-5.54977489,2.25506920,0.57114471,0.00000000,1.10108935,1.27249419,0.53266128,0.00000000
-5.54377189,2.31302556,0.59088739,0.00000000,1.15348216,1.29933161,0.55347987,0.00000000
-5.53776888,2.37018456,0.60926666,0.00000000,1.20602074,1.32660473,0.57388295,0.00000000
-5.53176588,2.42532993,0.62607707,0.00000000,1.25790557,1.35357079,0.59357776,0.00000000
-5.52576288,2.47725371,0.64112359,0.00000000,1.30830425,1.37948932,0.61226569,0.00000000
-5.51975988,2.52478415,0.65422474,0.00000000,1.35636943,1.40364067,0.62964822,0.00000000
-5.51375688,2.56681400,0.66521596,0.00000000,1.40125914,1.42534447,0.64543355,0.00000000
-5.50775388,2.60232935,0.67395364,0.00000000,1.44215895,1.44397781,0.65934399,0.00000000
-5.50175088,2.63043811,0.68031933,0.00000000,1.47830545,1.45899302,0.67112367,0.00000000
-5.49574787,2.65039786,0.68422439,0.00000000,1.50901029,1.46993454,0.68054669,0.00000000
-5.48974487,2.66164206,0.68561477,0.00000000,1.53368399,1.47645458,0.68742510,0.00000000
-5.48374187,2.66380375,0.68447566,0.00000000,1.55185833,1.47832695,0.69161653,0.00000000
-5.47773887,2.65673563,0.68083584,0.00000000,1.56320647,1.47545853,0.69303103,0.00000000
-5.47173587,2.64052536,0.67477143,0.00000000,1.56755972,1.46789779,0.69163678,0.00000000
-5.46573287,2.61550508,0.66640862,0.00000000,1.56491989,1.45583984,0.68746420,0.00000000
-5.45972986,2.58225408,0.65592519,0.00000000,1.55546667,1.43962731,0.68060825,0.00000000
-5.45372686,2.54159395,0.64355058,0.00000000,1.53955916,1.41974681,0.67122857,0.00000000
-5.44772386,2.49457561,0.62956419,0.00000000,1.51773138,1.39682070,0.65954736,0.00000000
-5.44172086,2.44245827,0.61429192,0.00000000,1.49068167,1.37159402,0.64584494,0.00000000
-5.43571786,2.38668037,0.59810083,0.00000000,1.45925613,1.34491679,0.63045301,0.00000000
-5.42971486,2.32882336,0.58139205,0.00000000,1.42442681,1.31772202,0.61374590,0.00000000
-5.42371186,2.27056926,0.56459212,0.00000000,1.38726521,1.29100010,0.59613004,0.00000000
-5.41770885,2.21365349,0.54814295,0.00000000,1.34891232,1.26577027,0.57803214,0.00000000
