energy_ev,total_up,As_p_up,As_d_up,Ta_p_up,Ta_d_up,Te_p_up,Te_d_up
-6.00000000,6.13585556,2.06940163,0.00000000,7.29742943,2.87853222,1.27375360,0.00000000
-5.99399700,6.12818814,2.03908494,0.00000000,7.24186406,2.87453429,1.28210081,0.00000000
-5.98799400,6.10177478,2.00299418,0.00000000,7.16182723,2.86186226,1.28612879,0.00000000
-5.98199100,6.05805851,1.96201167,0.00000000,7.06020465,2.84115679,1.28583305,0.00000000
-5.97598799,5.99900390,1.91720603,0.00000000,6.94047934,2.81329519,1.28133167,0.00000000
-5.96998499,5.92702461,1.86979401,0.00000000,6.80662848,2.77935734,1.27285637,0.00000000
-5.96398199,5.84489448,1.82109745,0.00000000,6.66300039,2.74058477,1.26073972,0.00000000
-5.95797899,5.75564460,1.77249619,0.00000000,6.51417491,2.69833388,1.24539888,0.00000000
-5.95197599,5.66244986,1.72537861,0.00000000,6.36481174,2.65402510,1.22731663,0.00000000
-5.94597299,5.56850914,1.68109101,0.00000000,6.21949197,2.60908959,1.20702043,0.00000000
-5.93996998,5.47692367,1.64088771,0.00000000,6.08255867,2.56491565,1.18506047,0.00000000
-5.93396698,5.39057869,1.60588358,0.00000000,5.95796286,2.52279693,1.16198780,0.00000000
-5.92796398,5.31203340,1.57701077,0.00000000,5.84912107,2.48388464,1.13833341,0.00000000
-5.92196098,5.24342403,1.55498135,0.00000000,5.75879066,2.44914586,1.11458940,0.00000000
-5.91595798,5.18638443,1.54025749,0.00000000,5.68896838,2.41932955,1.09119308,0.00000000
-5.90995498,5.14198784,1.53303040,0.00000000,5.64081695,2.39494205,1.06851467,0.00000000
-5.90395198,5.11071261,1.53320912,0.00000000,5.61462313,2.37623291,1.04684920,0.00000000
-5.89794897,5.09243358,1.54041989,0.00000000,5.60978977,2.36319166,1.02641296,0.00000000
-5.89194597,5.08643955,1.55401619,0.00000000,5.62486250,2.35555576,1.00734448,0.00000000
-5.88594297,5.09147613,1.57309937,0.00000000,5.65759054,2.35282907,0.98970993,0.00000000
-5.87993997,5.10581207,1.59654925,0.00000000,5.70501937,2.35431007,0.97351248,0.00000000
-5.87393697,5.12732589,1.62306349,0.00000000,5.76361155,2.35912825,0.95870511,0.00000000
-5.86793397,5.15360891,1.65120429,0.00000000,5.82939069,2.36628710,0.94520592,0.00000000
-5.86193097,5.18207962,1.67945064,0.00000000,5.89810255,2.37471140,0.93291518,0.00000000
-5.85592796,5.21010422,1.70625394,0.00000000,5.96538624,2.38329663,0.92173291,0.00000000
-5.84992496,5.23511748,1.73009465,0.00000000,6.02694815,2.39095828,0.91157618,0.00000000
-5.84392196,5.25473823,1.74953781,0.00000000,6.07873102,2.39667846,0.90239488,0.00000000
-5.83791896,5.26687425,1.76328485,0.00000000,6.11707070,2.39954803,0.89418520,0.00000000
-5.83191596,5.26981144,1.77021969,0.00000000,6.13883403,2.39880204,0.88699981,0.00000000
-5.82591296,5.26228336,1.76944727,0.00000000,6.14153178,2.39384720,0.88095422,0.00000000
-5.81990995,5.24351807,1.76032278,0.00000000,6.12340214,2.38428015,0.87622882,0.00000000
-5.81390695,5.21326021,1.74247067,0.00000000,6.08346155,2.36989599,0.87306616,0.00000000
-5.80790395,5.17176780,1.71579272,0.00000000,6.02152125,2.35068685,0.87176375,0.00000000
-5.80190095,5.11978418,1.68046511,0.00000000,5.93816967,2.32683099,0.87266232,0.00000000
-5.79589795,5.05848704,1.63692491,0.00000000,5.83472232,2.29867326,0.87613017,0.00000000
-5.78989495,4.98941731,1.58584684,0.00000000,5.71314246,2.26669811,0.88254410,0.00000000
-5.78389195,4.91439200,1.52811168,0.00000000,5.57593703,2.23149692,0.89226798,0.00000000
-5.77788894,4.83540540,1.46476800,0.00000000,5.42603348,2.19373136,0.90562978,0.00000000
-5.77188594,4.75452408,1.39698907,0.00000000,5.26664383,2.15409497,0.92289830,0.00000000
-5.76588294,4.67378074,1.32602708,0.00000000,5.10112271,2.11327491,0.94426070,0.00000000
-5.75987994,4.59507249,1.25316675,0.00000000,4.93282597,2.07191593,0.96980208,0.00000000
-5.75387694,4.52006850,1.17968029,0.00000000,4.76497653,2.03058842,0.99948823,0.00000000
-5.74787394,4.45013131,1.10678562,0.00000000,4.60054292,1.98976204,1.03315253,0.00000000
-5.74187094,4.38625562,1.03560942,0.00000000,4.44213571,1.94978622,1.07048797,0.00000000
-5.73586793,4.32902706,0.96715623,0.00000000,4.29192522,1.91087832,1.11104483,0.00000000
-5.72986493,4.27860272,0.90228450,0.00000000,4.15158339,1.87311982,1.15423449,0.00000000
-5.72386193,4.23471370,0.84169025,0.00000000,4.02225077,1.83646064,1.19933954,0.00000000
-5.71785893,4.19668918,0.78589829,0.00000000,3.90452873,1.80073091,1.24552990,0.00000000
-5.71185593,4.16350035,0.73526094,0.00000000,3.79849565,1.76565951,1.29188458,0.00000000
-5.70585293,4.13382138,0.68996370,0.00000000,3.70374488,1.73089822,1.33741832,0.00000000
-5.69984992,4.10610433,0.65003710,0.00000000,3.61944136,1.69604985,1.38111208,0.00000000
-5.69384692,4.07866367,0.61537373,0.00000000,3.54439309,1.66069905,1.42194613,0.00000000
-5.68784392,4.04976655,0.58574945,0.00000000,3.47713355,1.62444382,1.45893450,0.00000000
-5.68184092,4.01772389,0.56084740,0.00000000,3.41601058,1.58692629,1.49115917,0.00000000
-5.67583792,3.98097834,0.54028376,0.00000000,3.35927741,1.54786103,1.51780266,0.00000000
-5.66983492,3.93818479,0.52363405,0.00000000,3.30518207,1.50705956,1.53817747,0.00000000
-5.66383192,3.88828006,0.51045876,0.00000000,3.25205120,1.46444987,1.55175118,0.00000000
-5.65782891,3.83053861,0.50032743,0.00000000,3.19836529,1.42009004,1.55816602,0.00000000
-5.65182591,3.76461230,0.49284025,0.00000000,3.14282276,1.37417540,1.55725214,0.00000000
-5.64582291,3.69055259,0.48764645,0.00000000,3.08439093,1.32703894,1.54903381,0.00000000
-5.63981991,3.60881486,0.48445899,0.00000000,3.02234265,1.27914509,1.53372855,0.00000000
-5.63381691,3.52024481,0.48306508,0.00000000,2.95627802,1.23107718,1.51173898,0.00000000
-5.62781391,3.42604827,0.48333240,0.00000000,2.88613118,1.18351934,1.48363802,0.00000000
-5.62181091,3.32774594,0.48521091,0.00000000,2.81216275,1.13723350,1.45014785,0.00000000
-5.61580790,3.22711547,0.48873041,0.00000000,2.73493911,1.09303282,1.41211386,0.00000000
