energy_ev,total_up,In_p_up,In_d_up,Se_s_up,Se_p_up,Zr_p_up,Zr_d_up
-6.00000000,5.64831781,0.42430223,0.00795206,0.03011849,3.24399299,1.83575843,1.54383472
-5.99399700,5.65172737,0.42134325,0.00789690,0.02949662,3.27143988,1.82570744,1.56099381
-5.98799400,5.65270212,0.41742886,0.00783074,0.02888666,3.29906376,1.81651189,1.57947966
-5.98199100,5.65160558,0.41247102,0.00775418,0.02827489,3.32738759,1.80832779,1.59955239
-5.97598799,5.64901094,0.40640339,0.00766805,0.02764882,3.35705951,1.80134810,1.62154093
-5.96998499,5.64571161,0.39918630,0.00757349,0.02699788,3.38884430,1.79580760,1.64583867
-5.96398199,5.64271441,0.39081029,0.00747194,0.02631398,3.42360427,1.79198213,1.67289315
-5.95797899,5.64121457,0.38129822,0.00736510,0.02559185,3.46226967,1.79018207,1.70318982
-5.95197599,5.64255285,0.37070571,0.00725496,0.02482927,3.50579915,1.79074009,1.73723020
-5.94597299,5.64815660,0.35911991,0.00714369,0.02402705,3.55513188,1.79399387,1.77550531
-5.93996998,5.65946765,0.34665683,0.00703360,0.02318896,3.61113352,1.80026462,1.81846563
-5.93396698,5.67786090,0.33345728,0.00692705,0.02232144,3.67453884,1.80983307,1.86648908
-5.92796398,5.70455860,0.31968169,0.00682637,0.02143322,3.74589435,1.82291422,1.91984877
-5.92196098,5.74054554,0.30550413,0.00673376,0.02053483,3.82550437,1.83963300,1.97868240
-5.91595798,5.78649056,0.29110596,0.00665118,0.01963809,3.91338430,1.86000236,2.04296538
-5.90995498,5.84267978,0.27666921,0.00658029,0.01875556,4.00922414,1.88390573,2.11248911
-5.90395198,5.90896598,0.26237035,0.00652235,0.01789996,4.11236532,1.91108525,2.18684635
-5.89794897,5.98473801,0.24837445,0.00647819,0.01708366,4.22179298,1.94113689,2.26542459
-5.89194597,6.06891265,0.23483024,0.00644815,0.01631821,4.33614481,1.97351333,2.34740821
-5.88594297,6.15995004,0.22186608,0.00643206,0.01561391,4.45373701,2.00753456,2.43178990
-5.87993997,6.25589233,0.20958707,0.00642928,0.01497949,4.57260652,2.04240624,2.51739073
-5.87393697,6.35442386,0.19807336,0.00643868,0.01442188,4.69056772,2.07724470,2.60288847
-5.86793397,6.45294960,0.18737953,0.00645872,0.01394602,4.80528126,2.11110755,2.68685268
-5.86193097,6.54868764,0.17753518,0.00648752,0.01355481,4.91433135,2.14302820,2.76778509
-5.85592796,6.63877085,0.16854634,0.00652290,0.01324909,5.01530779,2.17205234,2.84416341
-5.84992496,6.72035194,0.16039776,0.00656252,0.01302771,5.10588852,2.19727438,2.91448643
-5.84392196,6.79070648,0.15305576,0.00660390,0.01288764,5.18391852,2.21787192,2.97731847
-5.83791896,6.84732849,0.14647147,0.00664455,0.01282414,5.24748112,2.23313614,3.03133110
-5.83191596,6.88801377,0.14058424,0.00668203,0.01283095,5.29495828,2.24249663,3.07534044
-5.82591296,6.91092728,0.13532506,0.00671405,0.01290048,5.32507720,2.24553929,3.10833861
-5.81990995,6.91465169,0.13061985,0.00673848,0.01302407,5.33694133,2.24201650,3.12951811
-5.81390695,6.89821566,0.12639241,0.00675340,0.01319217,5.33004490,2.23184923,3.13828866
-5.80790395,6.86110169,0.12256700,0.00675717,0.01339461,5.30427113,2.21512106,3.13428615
-5.80190095,6.80323440,0.11907049,0.00674839,0.01362078,5.25987487,2.19206504,3.11737392
-5.79589795,6.72495137,0.11583403,0.00672595,0.01385987,5.19745188,2.16304415,3.08763689
-5.78989495,6.62695959,0.11279427,0.00668899,0.01410107,5.11789672,2.12852682,3.04536943
-5.78389195,6.51028086,0.10989416,0.00663688,0.01433377,5.02235269,2.08905922,2.99105803
-5.77788894,6.37619031,0.10708335,0.00656925,0.01454774,4.91215657,2.04523596,2.92535992
-5.77188594,6.22615188,0.10431832,0.00648588,0.01473333,4.78878173,1.99767093,2.84907889
-5.76588294,6.06175455,0.10156223,0.00638679,0.01488162,4.65378237,1.94697000,2.76313962
-5.75987994,5.88465278,0.09878469,0.00627212,0.01498459,4.50874176,1.89370699,2.66856148
-5.75387694,5.69651377,0.09596128,0.00614216,0.01503531,4.35522672,1.83840401,2.56643279
-5.74787394,5.49897363,0.09307318,0.00599734,0.01502798,4.19474971,1.78151703,2.45788643
-5.74187094,5.29360357,0.09010665,0.00583822,0.01495814,4.02873979,1.72342706,2.34407718
-5.73586793,5.08188667,0.08705265,0.00566547,0.01482269,3.85852258,1.66443706,2.22616127
-5.72986493,4.86520467,0.08390640,0.00547990,0.01461996,3.68530906,1.60477421,2.10527833
-5.72386193,4.64483395,0.08066704,0.00528242,0.01434975,3.51019232,1.54459693,1.98253573
-5.71785893,4.42194919,0.07733736,0.00507410,0.01401333,3.33415121,1.48400577,1.85899528
-5.71185593,4.19763279,0.07392342,0.00485610,0.01361333,3.15805927,1.42305717,1.73566207
-5.70585293,3.97288822,0.07043437,0.00462973,0.01315373,2.98269733,1.36177883,1.61347536
-5.69984992,3.74865507,0.06688214,0.00439641,0.01263970,2.80876818,1.30018561,1.49330117
-5.69384692,3.52582422,0.06328114,0.00415766,0.01207745,2.63691170,1.23829479,1.37592656
-5.68784392,3.30525125,0.05964796,0.00391511,0.01147405,2.46771909,1.17613982,1.26205521
-5.68184092,3.08776705,0.05600103,0.00367044,0.01083723,2.30174505,1.11378151,1.15230441
-5.67583792,2.87418477,0.05236022,0.00342539,0.01017519,2.13951724,1.05131647,1.04720328
-5.66983492,2.66530254,0.04874641,0.00318170,0.00949633,1.98154241,0.98888204,0.94719213
-5.66383192,2.46190228,0.04518111,0.00294110,0.00880909,1.82830925,0.92665797,0.85262307
-5.65782891,2.26474470,0.04168596,0.00270528,0.00812171,1.68028800,0.86486476,0.76376181
-5.65182591,2.07456137,0.03828233,0.00247584,0.00744204,1.53792738,0.80375914,0.68079069
-5.64582291,1.89204476,0.03499096,0.00225428,0.00677741,1.40164935,0.74362712,0.60381288
-5.63981991,1.71783723,0.03183156,0.00204197,0.00613449,1.27184261,0.68477524,0.53285778
-5.63381691,1.55252030,0.02882260,0.00184011,0.00551917,1.14885550,0.62752079,0.46788754
-5.62781391,1.39660500,0.02598116,0.00164976,0.00493655,1.03298932,0.57218159,0.40880466
-5.62181091,1.25052453,0.02332282,0.00147180,0.00439090,0.92449258,0.51906618,0.35546039
-5.61580790,1.11462988,0.02086178,0.00130694,0.00388567,0.82355701,0.46846484,0.30766400
-5.60980490,0.98918904,0.01861108,0.00115576,0.00342359,0.73031576,0.42064210,0.26519247
-5.60380190,0.87439009,0.01658286,0.00101866,0.00300668,0.64484403,0.37583110,0.22780061
-5.59779890,0.77034831,0.01478888,0.00089597,0.00263644,0.56716234,0.33423001,0.19523131
-5.59179590,0.67711711,0.01324109,0.00078791,0.00231395,0.49724240,0.29600059,0.16722559
-5.58579290,0.59470230,0.01195224,0.00069466,0.00203999,0.43501523,0.26126902,0.14353239
-5.57978989,0.52307915,0.01093669,0.00061639,0.00181524,0.38038134,0.23012862,0.12391779
-5.57378689,0.46221150,0.01021117,0.00055331,0.00164042,0.33322234,0.20264433,0.10817338
-5.56778389,0.41207178,0.00979559,0.00050568,0.00151641,0.29341345,0.17885864,0.09612378
-5.56178089,0.37266120,0.00971382,0.00047388,0.00144441,0.26083627,0.15879838,0.08763284
-5.55577789,0.34402878,0.00999443,0.00045843,0.00142605,0.23539110,0.14248217,0.08260865
-5.54977489,0.32628837,0.01067128,0.00046003,0.00146349,0.21700822,0.12992780,0.08100693
-5.54377189,0.31963238,0.01178399,0.00047954,0.00155947,0.20565738,0.12115935,0.08283285
-5.53776888,0.32434142,0.01337822,0.00051807,0.00171733,0.20135500,0.11621346,0.08814100
-5.53176588,0.34078892,0.01550561,0.00057689,0.00194101,0.20416852,0.11514441,0.09703351
-5.52576288,0.36943996,0.01822359,0.00065748,0.00223500,0.21421752,0.11802776,0.10965625
-5.51975988,0.41084389,0.02159468,0.00076151,0.00260424,0.23167134,0.12496225,0.12619297
-5.51375688,0.46562032,0.02568556,0.00089076,0.00305399,0.25674301,0.13606987,0.14685745
-5.50775388,0.53443848,0.03056568,0.00104709,0.00358962,0.28967953,0.15149393,0.17188380
-5.50175088,0.61799031,0.03630556,0.00123238,0.00421645,0.33074871,0.17139525,0.20151497
-5.49574787,0.71695762,0.04297462,0.00144846,0.00493947,0.38022289,0.19594661,0.23598977
-5.48974487,0.83197446,0.05063876,0.00169698,0.00576306,0.43836007,0.22532550,0.27552870
-5.48374187,0.96358583,0.05935760,0.00197934,0.00669073,0.50538320,0.25970575,0.32031901
-5.47773887,1.11220423,0.06918154,0.00229661,0.00772482,0.58145854,0.29924811,0.37049970
-5.47173587,1.27806607,0.08014862,0.00264935,0.00886619,0.66667399,0.34409053,0.42614674
-5.46573287,1.46118984,0.09228153,0.00303757,0.01011403,0.76101866,0.39433834,0.48725960
-5.45972986,1.66133834,0.10558456,0.00346061,0.01146559,0.86436485,0.45005513,0.55374954
-5.45372686,1.87798723,0.12004098,0.00391706,0.01291600,0.97645345,0.51125467,0.62543053
-5.44772386,2.11030207,0.13561073,0.00440467,0.01445824,1.09688422,0.57789451,0.70201353
-5.44172086,2.35712583,0.15222867,0.00492035,0.01608304,1.22511168,0.64987164,0.78310468
-5.43571786,2.61697849,0.16980355,0.00546011,0.01777899,1.36044753,0.72702062,0.86820807
-5.42971486,2.88807008,0.18821771,0.00601909,0.01953268,1.50207020,0.80911447,0.95673332
-5.42371186,3.16832745,0.20732769,0.00659164,0.02132893,1.64904163,0.89586842,1.04800808
-5.41770885,3.45543503,0.22696570,0.00717134,0.02315114,1.80033113,0.98694655,1.14129550
-5.41170585,3.74688850,0.24694200,0.00775118,0.02498166,1.95484584,1.08197106,1.23581609
-5.40570285,4.04005995,0.26704820,0.00832365,0.02680230,2.11146664,1.18053387,1.33077347
-5.39969985,4.33227226,0.28706128,0.00888098,0.02859478,2.26908823,1.28220999,1.42538297
-5.39369685,4.62087953,0.30674827,0.00941527,0.03034131,2.42666152,1.38657195,1.51890195
-5.38769385,4.90335036,0.32587148,0.00991876,0.03202508,2.58323632,1.49320454,1.61066047
-5.38169085,5.17734991,0.34419401,0.01038398,0.03363078,2.73800199,1.60171898,1.70009073
-5.37568784,5.44081670,0.36148532,0.01080404,0.03514501,2.89032381,1.71176540,1.78675375
-5.36968484,5.69203023,0.37752681,0.01117280,0.03655668,3.03977260,1.82304303,1.87036165
-5.36368184,5.92966552,0.39211691,0.01148501,0.03785725,3.18614550,1.93530694,1.95079406
-5.35767884,6.15283141,0.40507584,0.01173655,0.03904093,3.32947608,2.04837076,2.02810736
-5.35167584,6.36108986,0.41624952,0.01192449,0.04010468,3.47003221,2.16210480,2.10253567
-5.34567284,6.55445467,0.42551282,0.01204716,0.04104814,3.60830105,2.27642918,2.17448302
-5.33966983,6.73336881,0.43277175,0.01210425,0.04187347,3.74496062,2.39130206,2.24450622
-5.33366683,6.89866058,0.43796481,0.01209673,0.04258502,3.88083861,2.50670298,2.31328883
-5.32766383,7.05148026,0.44106333,0.01202683,0.04318893,4.01685945,2.62261208,2.38160670
-5.32166083,7.19321952,0.44207086,0.01189793,0.04369270,4.15398159,2.73898587,2.45028622
-5.31565783,7.32541720,0.44102175,0.01171446,0.04410465,4.29312740,2.85573079,2.52015700
-5.30965483,7.44965571,0.43797896,0.01148169,0.04443342,4.43510898,2.97267585,2.59200062
-5.30365183,7.56745303,0.43303125,0.01120555,0.04468746,4.58055309,3.08954599,2.66649810
-5.29764882,7.68015556,0.42628994,0.01089246,0.04487450,4.72982939,3.20593770,2.74417820
-5.29164582,7.78883744,0.41788526,0.01054909,0.04500119,4.88298556,3.32129880,2.82536947
-5.28564282,7.89421151,0.40796264,0.01018216,0.04507269,5.03969339,3.43491381,2.91015846
-5.27963982,7.99655699,0.39667887,0.00979826,0.04509246,5.19920919,3.54589655,2.99835657
-5.27363682,8.09566806,0.38419837,0.00940362,0.04506209,5.36035164,3.65319109,3.08947767
-5.26763382,8.19082669,0.37068972,0.00900402,0.04498130,5.52149930,3.75558198,3.18272837
-5.26163082,8.28080194,0.35632237,0.00860461,0.04484793,5.68060929,3.85171414,3.27701190
-5.25562781,8.36387674,0.34126375,0.00820985,0.04465822,5.83525768,3.94012243,3.37094653
-5.24962481,8.43790166,0.32567679,0.00782341,0.04440699,5.98270074,4.01927021,3.46289814
-5.24362181,8.50037401,0.30971776,0.00744818,0.04408807,6.11995567,4.08759600,3.55102644
-5.23761881,8.54853917,0.29353463,0.00708626,0.04369468,6.24389782,4.14356633,3.63334309
-5.23161581,8.57950973,0.27726574,0.00673900,0.04321991,6.35137077,4.18573301,3.70777985
-5.22561281,8.59039737,0.26103892,0.00640703,0.04265721,6.43930477,4.21279220,3.77226374
-5.21960980,8.57845115,0.24497094,0.00609039,0.04200087,6.50483828,4.22364277,3.82479622
-5.21360680,8.54119588,0.22916724,0.00578862,0.04124653,6.54543733,4.21744095,3.86353290
-5.20760380,8.47656387,0.21372202,0.00550083,0.04039157,6.55900696,4.19364880,3.88686004
-5.20160080,8.38301344,0.19871847,0.00522587,0.03943552,6.54398951,4.15207370,3.89346435
-5.19559780,8.25962856,0.18422924,0.00496240,0.03838033,6.49944487,4.09289675,3.88239285
-5.18959480,8.10619437,0.17031698,0.00470905,0.03723062,6.42510877,4.01668827,3.85309978
-5.18359180,7.92324481,0.15703509,0.00446446,0.03599377,6.32142589,3.92440920,3.80547826
-5.17758879,7.71207975,0.14442838,0.00422741,0.03467992,6.18955606,3.81739789,3.73987531
-5.17158579,7.47475061,0.13253384,0.00399686,0.03330189,6.03135289,3.69734234,3.65708912
-5.16558279,7.21401496,0.12138131,0.00377202,0.03187497,5.84931556,3.56623876,3.55834896
-5.15957979,6.93326194,0.11099415,0.00355238,0.03041662,5.64651572,3.42633790,3.44527838
-5.15357679,6.63641203,0.10138980,0.00333770,0.02894608,5.42650274,3.28008118,3.31984347
-5.14757379,6.32779555,0.09258020,0.00312801,0.02748389,5.19319129,3.13002916,3.18428852
-5.14157079,6.01201545,0.08457217,0.00292362,0.02605136,4.95073622,2.97878517,3.04106205
-5.13556778,5.69380033,0.07736762,0.00272504,0.02467002,4.70340008,2.82891715,2.89273630
-5.12956478,5.37785431,0.07096363,0.00253295,0.02336102,4.45541888,2.68288083,2.74192397
-5.12356178,5.06870991,0.06535251,0.00234816,0.02214448,4.21087152,2.54294725,2.59119545
-5.11755878,4.77059024,0.06052170,0.00217155,0.02103898,3.97355826,2.41113733,2.44300017
-5.11155578,4.48728568,0.05645360,0.00200401,0.02006099,3.74689266,2.28916606,2.29959500
-5.10555278,4.22205001,0.05312550,0.00184638,0.01922436,3.53381104,2.17839811,2.16298240
-5.09954977,3.97751935,0.05050936,0.00169943,0.01853995,3.33670232,2.07981648,2.03486046
-5.09354677,3.75565659,0.04857172,0.00156380,0.01801527,3.15736035,1.99400502,1.91658625
-5.08754377,3.55772259,0.04727374,0.00143997,0.01765431,2.99695966,1.92114520,1.80915349
-5.08154077,3.38427425,0.04657123,0.00132826,0.01745740,2.85605458,1.86102688,1.71318452
-5.07553777,3.23518863,0.04641497,0.00122882,0.01742126,2.73460088,1.81307230,1.62893650
-5.06953477,3.10971105,0.04675111,0.00114160,0.01753913,2.63199793,1.77637212,1.55632055
-5.06353177,3.00652425,0.04752180,0.00106643,0.01780104,2.54714893,1.74973174,1.49493270
-5.05752876,2.92383524,0.04866604,0.00100296,0.01819418,2.47853603,1.73172597,1.44409455
-5.05152576,2.85947546,0.05012068,0.00095075,0.01870341,2.42430677,1.72075977,1.40290179
-5.04552276,2.81100992,0.05182163,0.00090928,0.01931183,2.38236785,1.71513260,1.37027799
-5.03951976,2.77585061,0.05370521,0.00087798,0.02000143,2.35048247,1.71310382,1.34503146
-5.03351676,2.75136938,0.05570961,0.00085626,0.02075380,2.32636708,1.71295686,1.32591262
-5.02751376,2.73500605,0.05777636,0.00084360,0.02155083,2.30778393,1.71305954,1.31166966
-5.02151076,2.72436721,0.05985186,0.00083949,0.02237543,2.29262586,1.71191854,1.30110018
-5.01550775,2.71731239,0.06188875,0.00084352,0.02321219,2.27899045,1.70822609,1.29309716
