energy_ev,total_up,Al_p_up,Al_d_up,Pt_p_up,Pt_d_up,Se_s_up,Se_p_up
-2.12806403,8.90551680,0.56774284,0.00000000,1.26107385,6.55915616,0.26192995,2.22837320
-2.12206103,8.73116877,0.55888748,0.00000000,1.23646312,6.39614529,0.25921426,2.21855574
-2.11605803,8.54425927,0.54852694,0.00000000,1.20869849,6.22648773,0.25580906,2.20299274
-2.11005503,8.34465674,0.53664604,0.00000000,1.17782509,6.05041563,0.25171912,2.18134394
-2.10405203,8.13251271,0.52326109,0.00000000,1.14398190,5.86832821,0.24696149,2.15337482
-2.09804902,7.90829857,0.50842124,0.00000000,1.10739843,5.68081560,0.24156554,2.11896956
-2.09204602,7.67283505,0.49220880,0.00000000,1.06838867,5.48867789,0.23557304,2.07814162
-2.08604302,7.42731259,0.47473850,0.00000000,1.02734278,5.29293771,0.22903819,2.03104167
-2.08004002,7.17330067,0.45615579,0.00000000,0.98471669,5.09484530,0.22202759,1.97796209
-2.07403702,6.91274441,0.43663405,0.00000000,0.94102021,4.89587494,0.21462004,1.91933755
-2.06803402,6.64794750,0.41637100,0.00000000,0.89680380,4.69771193,0.20690622,1.85574129
-2.06203102,6.38154073,0.39558428,0.00000000,0.85264449,4.50222995,0.19898798,1.78787692
-2.05602801,6.11643611,0.37450643,0.00000000,0.80913143,4.31145873,0.19097738,1.71656574
-2.05002501,5.85576740,0.35337938,0.00000000,0.76685128,4.12754252,0.18299532,1.64272963
-2.04402201,5.60281814,0.33244864,0.00000000,0.72637380,3.95269038,0.17516983,1.56737012
-2.03801901,5.36093929,0.31195743,0.00000000,0.68823819,3.78911953,0.16763384,1.49154399
-2.03201601,5.13345891,0.29214085,0.00000000,0.65294016,3.63899366,0.16052268,1.41633638
-2.02601301,4.92358676,0.27322030,0.00000000,0.62092024,3.50435809,0.15397112,1.34283212
-2.02001001,4.73431729,0.25539834,0.00000000,0.59255345,3.38707412,0.14811017,1.27208638
-2.01400700,4.56833429,0.23885399,0.00000000,0.56814061,3.28875509,0.14306358,1.20509561
-2.00800400,4.42792086,0.22373880,0.00000000,0.54790143,3.21070641,0.13894428,1.14276983
-2.00200100,4.31487810,0.21017359,0.00000000,0.53196949,3.15387206,0.13585078,1.08590720
-1.99599800,4.23045558,0.19824602,0.00000000,0.52038930,3.11878979,0.13386360,1.03517179
-1.98999500,4.17529649,0.18800899,0.00000000,0.51311541,3.10555677,0.13304205,0.99107533
-1.98399200,4.14939960,0.17947996,0.00000000,0.51001365,3.11380751,0.13342127,0.95396343
-1.97798899,4.15209986,0.17264109,0.00000000,0.51086448,3.14270503,0.13500982,0.92400686
-1.97198599,4.18206855,0.16744025,0.00000000,0.51536832,3.19094599,0.13778790,0.90119801
-1.96598299,4.23733349,0.16379280,0.00000000,0.52315285,3.25678016,0.14170627,0.88535271
-1.95997999,4.31531880,0.16158421,0.00000000,0.53378198,3.33804366,0.14668602,0.87611715
-1.95397699,4.41290342,0.16067325,0.00000000,0.54676649,3.43220541,0.15261928,0.87297989
-1.94797399,4.52649662,0.16089590,0.00000000,0.56157582,3.53642540,0.15937079,0.87528820
-1.94197099,4.65212829,0.16206965,0.00000000,0.57765098,3.64762316,0.16678048,0.88226848
-1.93596798,4.78555139,0.16399829,0.00000000,0.59441808,3.76255427,0.17466693,0.89304992
-1.92996498,4.92235322,0.16647698,0.00000000,0.61130224,3.87789270,0.18283172,0.90669065
-1.92396198,5.05807217,0.16929740,0.00000000,0.62774144,3.99031617,0.19106445,0.92220563
-1.91795898,5.18831616,0.17225302,0.00000000,0.64319993,4.09659204,0.19914838,0.93859531
-1.91195598,5.30887903,0.17514419,0.00000000,0.65718096,4.19366065,0.20686651,0.95487421
-1.90595298,5.41585089,0.17778303,0.00000000,0.66923820,4.27871369,0.21400772,0.97009850
-1.89994997,5.50571918,0.17999790,0.00000000,0.67898585,4.34926466,0.22037305,0.98339173
-1.89394697,5.57545667,0.18163736,0.00000000,0.68610691,4.40320940,0.22578153,0.99396794
-1.88794397,5.62259390,0.18257350,0.00000000,0.69035941,4.43887440,0.23007563,1.00115135
-1.88194097,5.64527343,0.18270457,0.00000000,0.69158058,4.45505151,0.23312592,1.00439220
-1.87593797,5.64228441,0.18195677,0.00000000,0.68968866,4.45101784,0.23483479,1.00327813
-1.86993497,5.61307645,0.18028521,0.00000000,0.68468253,4.42654047,0.23513921,0.99754093
-1.86393197,5.55775273,0.17767405,0.00000000,0.67663907,4.38186581,0.23401216,0.98705860
