energy_ev,total_up,Mn_p_up,Mn_d_up,N_s_up,N_p_up,S_s_up,S_p_up,Zr_p_up,Zr_d_up
-6.00000000,2.61286458,0.73061733,0.56371737,0.00609901,0.33659074,0.00117587,1.44191042,0.34278433,0.40474754
-5.99399700,2.68049811,0.75468485,0.56842536,0.00617829,0.34732310,0.00130169,1.47844782,0.35807190,0.41610144
-5.98799400,2.75035955,0.77867110,0.57298741,0.00623017,0.35892225,0.00143737,1.51546639,0.37359272,0.42836063
-5.98199100,2.82297741,0.80271881,0.57758209,0.00625554,0.37140513,0.00158255,1.55331664,0.38936696,0.44158279
-5.97598799,2.89872800,0.82695577,0.58236556,0.00625575,0.38475002,0.00173664,1.59229129,0.40539827,0.45578559
-5.96998499,2.97778889,0.85147957,0.58746179,0.00623253,0.39889253,0.00189882,1.63259683,0.42166754,0.47094054
-5.96398199,3.06009952,0.87634318,0.59295438,0.00618791,0.41372313,0.00206797,1.67432799,0.43812735,0.48696844
-5.95797899,3.14533166,0.90154216,0.59888050,0.00612406,0.42908658,0.00224272,1.71744685,0.45469761,0.50373682
-5.95197599,3.23287212,0.92700444,0.60522729,0.00604325,0.44478328,0.00242144,1.76176800,0.47126258,0.52105963
-5.94597299,3.32181934,0.95258354,0.61193106,0.00594772,0.46057265,0.00260225,1.80695115,0.48766982,0.53869940
-5.93996998,3.41099511,0.97805575,0.61887936,0.00583961,0.47617853,0.00278310,1.85250193,0.50373114,0.55637180
-5.93396698,3.49897158,1.00312191,0.62591597,0.00572085,0.49129647,0.00296178,1.89778132,0.51922572,0.57375269
-5.92796398,3.58411307,1.02741369,0.63284848,0.00559320,0.50560258,0.00313601,1.94202375,0.53390540,0.59048731
-5.92196098,3.66463125,1.05050449,0.63945828,0.00545815,0.51876378,0.00330350,1.98436315,0.54750204,0.60620138
-5.91595798,3.73865133,1.07192440,0.64551225,0.00531695,0.53044887,0.00346206,2.02386609,0.55973654,0.62051369
-5.90995498,3.80428647,1.09117870,0.65077568,0.00517060,0.54034015,0.00360965,2.05957019,0.57032935,0.63304958
-5.90395198,3.85971664,1.10776887,0.65502568,0.00501994,0.54814486,0.00374449,2.09052623,0.57901172,0.64345479
-5.89794897,3.90326823,1.12121503,0.65806427,0.00486563,0.55360622,0.00386517,2.11584150,0.58553740,0.65140902
-5.89194597,3.93349015,1.13107881,0.65973048,0.00470827,0.55651322,0.00397066,2.13472233,0.58969394,0.65663855
-5.88594297,3.94922254,1.13698505,0.65991072,0.00454840,0.55670911,0.00406045,2.14651329,0.59131319,0.65892741
-5.87993997,3.94965442,1.13864141,0.65854684,0.00438663,0.55409781,0.00413454,2.15073104,0.59028028,0.65812647
-5.87393697,3.93436716,1.13585470,0.65564133,0.00422363,0.54864824,0.00419353,2.14709084,0.58654064,0.65416000
-5.86793397,3.90336135,1.12854288,0.65125946,0.00406022,0.54039623,0.00423860,2.13552430,0.58010472,0.64702956
-5.86193097,3.85706581,1.11674226,0.64552812,0.00389739,0.52944402,0.00427150,2.11618728,0.57105002,0.63681480
-5.85592796,3.79632802,1.10060931,0.63863144,0.00373631,0.51595728,0.00429457,2.08945757,0.55952044,0.62367133
-5.84992496,3.72238666,1.08041710,0.63080336,0.00357834,0.50016001,0.00431064,2.05592243,0.54572282,0.60782571
-5.84392196,3.63682772,1.05654652,0.62231777,0.00342499,0.48232740,0.00432302,2.01635671,0.52992098,0.58956790
