energy_ev,total_up,Bi_p_up,Bi_d_up,Ru_p_up,Ru_d_up,S_s_up,S_p_up
-6.00000000,1.30141956,0.58057101,0.00433694,0.62946455,0.63782994,0.00051489,0.19221262
-5.99399700,1.20594796,0.53688119,0.00409820,0.58444307,0.59179212,0.00048762,0.17750232
-5.98799400,1.11526763,0.49527176,0.00388535,0.54177295,0.54818545,0.00046419,0.16337034
-5.98199100,1.03082269,0.45637041,0.00370390,0.50217080,0.50772627,0.00044521,0.15003209
-5.97598799,0.95388459,0.42072732,0.00355889,0.46627033,0.47104684,0.00043122,0.13767516
-5.96998499,0.88553090,0.38880630,0.00345477,0.43461138,0.43868463,0.00042270,0.12645680
-5.96398199,0.82663010,0.36097872,0.00339528,0.40763188,0.41107428,0.00042008,0.11650230
-5.95797899,0.77783192,0.33751989,0.00338338,0.38566236,0.38854233,0.00042369,0.10790431
-5.95197599,0.73956273,0.31860781,0.00342114,0.36892298,0.37130440,0.00043375,0.10072289
-5.94597299,0.71202535,0.30432383,0.00350967,0.35752263,0.35946442,0.00045039,0.09498630
-5.93996998,0.69520276,0.29465504,0.00364910,0.35145999,0.35301589,0.00047359,0.09069224
-5.93396698,0.68886499,0.28949810,0.00383846,0.35062620,0.35184467,0.00050322,0.08780961
-5.92796398,0.69257900,0.28866415,0.00407574,0.35480902,0.35573331,0.00053901,0.08628056
-5.92196098,0.70572105,0.29188493,0.00435782,0.36369840,0.36436669,0.00058054,0.08602285
-5.91595798,0.72749145,0.29881958,0.00468053,0.37689332,0.37733897,0.00062726,0.08693239
-5.90995498,0.75693170,0.30906255,0.00503863,0.39390997,0.39416185,0.00067847,0.08888599
-5.90395198,0.79294396,0.32215212,0.00542597,0.41419130,0.41427412,0.00073337,0.09174426
-5.89794897,0.83431296,0.33757998,0.00583546,0.43711791,0.43705262,0.00079101,0.09535464
-5.89194597,0.87973039,0.35480152,0.00625932,0.46202048,0.46182457,0.00085035,0.09955466
-5.88594297,0.92782164,0.37324708,0.00668915,0.48819348,0.48788135,0.00091028,0.10417528
-5.87993997,0.97717488,0.39233393,0.00711613,0.51491027,0.51449348,0.00096960,0.10904439
-5.87393697,1.02637206,0.41147898,0.00753123,0.54143930,0.54092678,0.00102712,0.11399041
-5.86793397,1.07402127,0.43011190,0.00792546,0.56706119,0.56645933,0.00108162,0.11884602
-5.86193097,1.11878991,0.44768851,0.00829006,0.59108621,0.59039887,0.00113191,0.12345178
-5.85592796,1.15943764,0.46370408,0.00861677,0.61287182,0.61210024,0.00117687,0.12765980
-5.84992496,1.19484823,0.47770609,0.00889808,0.63183958,0.63098214,0.00121550,0.13133713
-5.84392196,1.22405910,0.48930608,0.00912742,0.64749095,0.64654284,0.00124688,0.13436890
-5.83791896,1.24628759,0.49819015,0.00929939,0.65942130,0.65837408,0.00127027,0.13666116
-5.83191596,1.26095271,0.50412767,0.00940993,0.66733161,0.66617265,0.00128511,0.13814303
-5.82591296,1.26769158,0.50697787,0.00945644,0.67103732,0.66974916,0.00129103,0.13876848
-5.81990995,1.26636973,0.50669396,0.00943784,0.67047390,0.66903357,0.00128784,0.13851726
-5.81390695,1.25708479,0.50332453,0.00935470,0.66569890,0.66407723,0.00127560,0.13739524
-5.80790395,1.24016322,0.49701223,0.00920909,0.65689037,0.65505129,0.00125455,0.13543390
-5.80190095,1.21615030,0.48798966,0.00900465,0.64434154,0.64224157,0.00122513,0.13268920
-5.79589795,1.18579366,0.47657259,0.00874638,0.62845216,0.62604003,0.00118796,0.12923962
-5.78989495,1.15002092,0.46315075,0.00844055,0.60971664,0.60693320,0.00114384,0.12518370
-5.78389195,1.10991245,0.44817655,0.00809450,0.58870956,0.58548812,0.00109367,0.12063697
-5.77788894,1.06667026,0.43215203,0.00771639,0.56606906,0.56233629,0.00103849,0.11572844
-5.77188594,1.02158412,0.41561469,0.00731505,0.54247885,0.53815627,0.00097940,0.11059687
-5.76588294,0.97599632,0.39912235,0.00689970,0.51864930,0.51365566,0.00091754,0.10538676
-5.75987994,0.93126612,0.38323789,0.00647972,0.49529846,0.48955306,0.00085408,0.10024439
-5.75387694,0.88873515,0.36851400,0.00606448,0.47313351,0.46656066,0.00079014,0.09531391
-5.74787394,0.84969476,0.35547864,0.00566310,0.45283326,0.44536787,0.00072685,0.09073357
-5.74187094,0.81535610,0.34462131,0.00528429,0.43503208,0.42662667,0.00066524,0.08663229
-5.73586793,0.78682373,0.33638071,0.00493624,0.42030571,0.41093868,0.00060628,0.08312656
-5.72986493,0.76507314,0.33113379,0.00462647,0.40915919,0.39884444,0.00055085,0.08031775
-5.72386193,0.75093238,0.32918657,0.00436177,0.40201705,0.39081482,0.00049974,0.07828985
-5.71785893,0.74506806,0.33076683,0.00414815,0.39921580,0.38724452,0.00045362,0.07710771
-5.71185593,0.74797558,0.33601861,0.00399077,0.40099878,0.38844772,0.00041309,0.07681573
-5.70585293,0.75997329,0.34499882,0.00389397,0.40751325,0.39465550,0.00037864,0.07743705
-5.69984992,0.78120057,0.35767580,0.00386126,0.41880960,0.40601488,0.00035066,0.07897325
-5.69384692,0.81161926,0.37392988,0.00389530,0.43484246,0.42258929,0.00032948,0.08140440
-5.68784392,0.85101821,0.39355591,0.00399794,0.45547361,0.44436005,0.00031534,0.08468973
-5.68184092,0.89902062,0.41626774,0.00417020,0.48047654,0.47122878,0.00030843,0.08876856
-5.67583792,0.95509376,0.44170453,0.00441231,0.50954228,0.50302037,0.00030885,0.09356179
-5.66983492,1.01856078,0.46943875,0.00472365,0.54228659,0.53948647,0.00031668,0.09897371
-5.66383192,1.08861431,0.49898582,0.00510277,0.57825807,0.58030929,0.00033194,0.10489417
-5.65782891,1.16433175,0.52981513,0.00554737,0.61694729,0.62510574,0.00035458,0.11120111
-5.65182591,1.24469173,0.56136220,0.00605425,0.65779655,0.67343180,0.00038454,0.11776336
-5.64582291,1.32859187,0.59304174,0.00661929,0.70021032,0.72478729,0.00042169,0.12444365
-5.63981991,1.41486742,0.62426128,0.00723743,0.74356612,0.77862109,0.00046587,0.13110184
-5.63381691,1.50231074,0.65443506,0.00790265,0.78722567,0.83433700,0.00051687,0.13759811
-5.62781391,1.58969143,0.68299767,0.00860800,0.83054631,0.89130028,0.00057446,0.14379632
-5.62181091,1.67577693,0.70941725,0.00934558,0.87289240,0.94884531,0.00063834,0.14956709
-5.61580790,1.75935341,0.73320770,0.01010664,0.91364669,1.00628422,0.00070821,0.15479088
-5.60980490,1.83924683,0.75393968,0.01088165,0.95222144,1.06291686,0.00078374,0.15936064
-5.60380190,1.91434391,0.77125000,0.01166043,0.98806922,1.11804208,0.00086460,0.16318421
-5.59779890,1.98361275,0.78484920,0.01243233,1.02069316,1.17097031,0.00095044,0.16618623
-5.59179590,2.04612299,0.79452715,0.01318644,1.04965662,1.22103743,0.00104095,0.16830958
-5.58579290,2.10106504,0.80015656,0.01391183,1.07459206,1.26761967,0.00113586,0.16951634
-5.57978989,2.14776813,0.80169434,0.01459781,1.09520893,1.31014921,0.00123496,0.16978815
-5.57378689,2.18571678,0.79918094,0.01523423,1.11130049,1.34813021,0.00133807,0.16912608
-5.56778389,2.21456532,0.79273780,0.01581180,1.12274936,1.38115460,0.00144515,0.16754994
-5.56178089,2.23414995,0.78256307,0.01632239,1.12953157,1.40891708,0.00155623,0.16509722
-5.55577789,2.24449786,0.76892584,0.01675930,1.13171903,1.43122878,0.00167142,0.16182148
-5.54977489,2.24583308,0.75215919,0.01711755,1.12948023,1.44802872,0.00179097,0.15779057
-5.54377189,2.23857850,0.73265238,0.01739406,1.12307895,1.45939264,0.00191519,0.15308445
-5.53776888,2.22335377,0.71084234,0.01758788,1.11287099,1.46553836,0.00204447,0.14779289
-5.53176588,2.20096872,0.68720486,0.01770025,1.09929879,1.46682738,0.00217927,0.14201312
-5.52576288,2.17241236,0.66224563,0.01773464,1.08288390,1.46376224,0.00232004,0.13584740
-5.51975988,2.13883712,0.63649139,0.01769674,1.06421748,1.45697949,0.00246725,0.12940068
-5.51375688,2.10153877,0.61048126,0.01759433,1.04394881,1.44723830,0.00262130,0.12277838
-5.50775388,2.06193224,0.58475846,0.01743710,1.02277207,1.43540479,0.00278247,0.11608430
-5.50175088,2.02152380,0.55986237,0.01723642,1.00141186,1.42243274,0.00295092,0.10941881
-5.49574787,1.98188026,0.53632114,0.01700503,0.98060744,1.40934094,0.00312662,0.10287719
-5.48974487,1.94459614,0.51464458,0.01675670,0.96109654,1.39718825,0.00330933,0.09654829
