energy_ev,total_up,Cr_p_up,Cr_d_up,N_s_up,N_p_up,Re_p_up,Re_d_up,S_s_up,S_p_up
-6.00000000,3.66385141,2.40124582,0.52140519,0.00341071,0.37753194,1.19282669,0.59874689,0.01939770,2.07323913
-5.99399700,3.72213354,2.44576888,0.52836856,0.00345588,0.38102022,1.22161533,0.60726095,0.01917138,2.11333321
-5.98799400,3.76858411,2.48123131,0.53356820,0.00351208,0.38336375,1.24553259,0.61423379,0.01887040,2.14664240
-5.98199100,3.80219398,2.50699238,0.53689372,0.00358076,0.38442896,1.26413959,0.61949209,0.01849587,2.17257232
-5.97598799,3.82221634,2.52259575,0.53827644,0.00366347,0.38410430,1.27708312,0.62290389,0.01805036,2.19067696
-5.96998499,3.82818674,2.52777957,0.53769097,0.00376182,0.38230360,1.28410465,0.62438245,0.01753788,2.20067026
-5.96398199,3.81993426,2.52248116,0.53515530,0.00387735,0.37896884,1.28504708,0.62388856,0.01696380,2.20243274
-5.95797899,3.79758314,2.50683578,0.53072955,0.00401144,0.37407202,1.27985899,0.62143102,0.01633461,2.19601285
-5.95197599,3.76154483,2.48116981,0.52451328,0.00416521,0.36761615,1.26859622,0.61706527,0.01565780,2.18162288
-5.94597299,3.71250084,2.44598836,0.51664171,0.00433940,0.35963533,1.25142050,0.61089036,0.01494159,2.15962974
-5.93996998,3.65137711,2.40195798,0.50728074,0.00453430,0.35019381,1.22859527,0.60304435,0.01419469,2.13054098
-5.93396698,3.57931120,2.34988513,0.49662126,0.00474961,0.33938412,1.20047867,0.59369839,0.01342604,2.09498662
-5.92796398,3.49761379,2.29069136,0.48487283,0.00498438,0.32732443,1.16751406,0.58304988,0.01264455,2.05369787
-5.92196098,3.40772632,2.22538613,0.47225712,0.00523698,0.31415506,1.13021832,0.57131496,0.01185888,2.00748351
-5.91595798,3.31117679,2.15503851,0.45900143,0.00550501,0.30003449,1.08916834,0.55872083,0.01107723,1.95720517
-5.90995498,3.20953545,2.08074875,0.44533240,0.00578533,0.28513486,1.04498628,0.54549821,0.01030715,1.90375252
-5.90395198,3.10437255,2.00362089,0.43147039,0.00607406,0.26963729,0.99832407,0.53187434,0.00955539,1.84801954
-5.89794897,2.99721972,1.92473737,0.41762461,0.00636666,0.25372708,0.94984780,0.51806684,0.00882782,1.79088274
-5.89194597,2.88953631,1.84513641,0.40398914,0.00665799,0.23758902,0.90022242,0.50427863,0.00812934,1.73318211
-5.88594297,2.78268194,1.76579294,0.39074004,0.00694245,0.22140301,0.85009735,0.49069416,0.00746388,1.67570562
-5.87993997,2.67789578,1.68760337,0.37803352,0.00721412,0.20534005,0.80009347,0.47747699,0.00683442,1.61917731
-5.87393697,2.57628289,1.61137460,0.36600507,0.00746692,0.18955880,0.75079179,0.46476869,0.00624301,1.56424944
-5.86793397,2.47880740,1.53781704,0.35476967,0.00769481,0.17420275,0.70272412,0.45268905,0.00569087,1.51149838
-5.86193097,2.38629193,1.46754161,0.34442270,0.00789199,0.15939808,0.65636582,0.44133737,0.00517846,1.46142399
-5.85592796,2.29942248,1.40106022,0.33504154,0.00805306,0.14525220,0.61213082,0.43079468,0.00470562,1.41445192
-5.84992496,2.21875747,1.33878913,0.32668752,0.00817326,0.13185304,0.57036872,0.42112645,0.00427166,1.37093826
-5.84392196,2.14473982,1.28105462,0.31940812,0.00824860,0.11926894,0.53136396,0.41238575,0.00387553,1.33117565
-5.83791896,2.07771050,1.22810019,0.31323912,0.00827601,0.10754919,0.49533673,0.40461632,0.00351589,1.29540023
-5.83191596,2.01792235,1.18009457,0.30820654,0.00825348,0.09672504,0.46244541,0.39785540,0.00319126,1.26379844
-5.82591296,1.96555293,1.13713986,0.30432819,0.00818012,0.08681119,0.43279022,0.39213607,0.00290013,1.23651321
-5.81990995,1.92071534,1.09927928,0.30161471,0.00805618,0.07780754,0.40641783,0.38748880,0.00264103,1.21364887
-5.81390695,1.88346639,1.06650394,0.30007002,0.00788307,0.06970120,0.38332641,0.38394228,0.00241266,1.19527438
-5.80790395,1.85381149,1.03875840,0.29969121,0.00766329,0.06246858,0.36347106,0.38152322,0.00221390,1.18142471
-5.80190095,1.83170643,1.01594487,0.30046780,0.00740035,0.05607752,0.34676926,0.38025540,0.00204392,1.17210039
-5.79589795,1.81705588,0.99792600,0.30238057,0.00709865,0.05048929,0.33310604,0.38015782,0.00190216,1.16726525
-5.78989495,1.80970944,0.98452636,0.30540008,0.00676332,0.04566057,0.32233895,0.38124228,0.00178841,1.16684296
-5.78389195,1.80945566,0.97553295,0.30948487,0.00640005,0.04154508,0.31430241,0.38351046,0.00170272,1.17071250
-5.77788894,1.81601504,0.97069511,0.31457980,0.00601491,0.03809507,0.30881173,0.38695083,0.00164547,1.17870339
-5.77188594,1.82903285,0.96972407,0.32061444,0.00561414,0.03526253,0.30566647,0.39153554,0.00161730,1.19059118
-5.76588294,1.84807282,0.97229274,0.32750191,0.00520397,0.03300009,0.30465350,0.39721761,0.00161905,1.20609368
-5.75987994,1.87261257,0.97803608,0.33513814,0.00479046,0.03126173,0.30554948,0.40392862,0.00165172,1.22486876
-5.75387694,1.90204145,0.98655229,0.34340184,0.00437933,0.03000312,0.30812317,0.41157713,0.00171638,1.24651385
-5.74787394,1.93566163,0.99740529,0.35215520,0.00397583,0.02918187,0.31213749,0.42004796,0.00181409,1.27056774
-5.74187094,1.97269261,1.01012854,0.36124532,0.00358460,0.02875747,0.31735134,0.42920242,0.00194577,1.29651472
-5.73586793,2.01227942,1.02423022,0.37050646,0.00320965,0.02869113,0.32352157,0.43887960,0.00211217,1.32379115
-5.72986493,2.05350448,1.03919991,0.37976301,0.00285428,0.02894551,0.33040482,0.44889873,0.00231368,1.35179445
-5.72386193,2.09540281,1.05451642,0.38883313,0.00252105,0.02948437,0.33775954,0.45906239,0.00255027,1.37989409
-5.71785893,2.13698006,1.06965667,0.39753289,0.00221181,0.03027214,0.34534811,0.46916072,0.00282138,1.40744432
-5.71185593,2.17723285,1.08410532,0.40568075,0.00192772,0.03127361,0.35293905,0.47897627,0.00312581,1.43379817
-5.70585293,2.21517057,1.09736467,0.41310230,0.00166929,0.03245352,0.36030944,0.48828939,0.00346167,1.45832221
-5.69984992,2.24983783,1.10896462,0.41963491,0.00143647,0.03377637,0.36724732,0.49688401,0.00382625,1.48041138
-5.69384692,2.28033684,1.11847219,0.42513228,0.00122871,0.03520620,0.37355423,0.50455344,0.00421609,1.49950343
-5.68784392,2.30584863,1.12550023,0.42946851,0.00104504,0.03670658,0.37904765,0.51110618,0.00462686,1.51509248
-5.68184092,2.32565266,1.12971514,0.43254178,0.00088417,0.03824072,0.38356337,0.51637134,0.00505344,1.52674093
-5.67583792,2.33914380,1.13084315,0.43427716,0.00074456,0.03977163,0.38695772,0.52020361,0.00548996,1.53408966
-5.66983492,2.34584636,1.12867503,0.43462878,0.00062448,0.04126250,0.38910949,0.52248755,0.00592990,1.53686585
-5.66383192,2.34542462,1.12306913,0.43358103,0.00052213,0.04267719,0.38992158,0.52314104,0.00636617,1.53488840
-5.65782891,2.33768943,1.11395264,0.43114888,0.00043567,0.04398075,0.38932223,0.52211783,0.00679132,1.52807070
-5.65182591,2.32260099,1.10132104,0.42737719,0.00036325,0.04514006,0.38726579,0.51940909,0.00719768,1.51642073
-5.64582291,2.30026741,1.08523591,0.42233920,0.00030310,0.04612456,0.38373307,0.51504389,0.00757758,1.50003849
-5.63981991,2.27093951,1.06582111,0.41613411,0.00025357,0.04690685,0.37873109,0.50908861,0.00792356,1.47911108
-5.63381691,2.23500177,1.04325757,0.40888386,0.00021308,0.04746346,0.37229237,0.50164532,0.00822859,1.45390542
-5.62781391,2.19295997,1.01777694,0.40072931,0.00018023,0.04777537,0.36447367,0.49284919,0.00848629,1.42475908
-5.62181091,2.14542586,0.98965418,0.39182591,0.00015373,0.04782856,0.35535426,0.48286494,0.00869115,1.39206941
-5.61580790,2.09309935,0.95919956,0.38233895,0.00013247,0.04761442,0.34503374,0.47188252,0.00883868,1.35628158
-5.60980490,2.03674881,0.92675020,0.37243867,0.00011545,0.04712998,0.33362948,0.46011204,0.00892559,1.31787566
-5.60380190,1.97719017,0.89266135,0.36229530,0.00010186,0.04637797,0.32127371,0.44777830,0.00894987,1.27735344
-5.59779890,1.91526530,0.85729788,0.35207429,0.00009097,0.04536681,0.30811041,0.43511474,0.00891090,1.23522524
-5.59179590,1.85182051,0.82102602,0.34193185,0.00008219,0.04411030,0.29429199,0.42235736,0.00880943,1.19199719
-5.58579290,1.78768575,0.78420559,0.33201091,0.00007505,0.04262721,0.27997599,0.40973849,0.00864755,1.14815946
-5.57978989,1.72365513,0.74718311,0.32243778,0.00006916,0.04094076,0.26532171,0.39748074,0.00842865,1.10417562
-5.57378689,1.66046938,0.71028562,0.31331943,0.00006422,0.03907789,0.25048703,0.38579125,0.00815725,1.06047370
-5.56778389,1.59880078,0.67381563,0.30474166,0.00005998,0.03706853,0.23562539,0.37485650,0.00783889,1.01743890
-5.56178089,1.53924095,0.63804717,0.29676812,0.00005629,0.03494474,0.22088304,0.36483764,0.00747988,0.97540847
