energy_ev,total_up,Bi_p_up,Bi_d_up,Re_p_up,Re_d_up,Se_s_up,Se_p_up
-6.00000000,5.86697004,0.40967387,0.02137270,1.70803289,2.96589560,0.08741433,3.16811791
-5.99399700,6.05648600,0.40357502,0.02191735,1.76636859,3.05710812,0.08989089,3.29537686
-5.98799400,6.22891759,0.39805469,0.02240743,1.82193247,3.13818137,0.09218821,3.41158553
-5.98199100,6.38151107,0.39310832,0.02283489,1.87384380,3.20790436,0.09424729,3.51504879
-5.97598799,6.51181923,0.38869188,0.02319236,1.92121942,3.26528709,0.09601281,3.60430044
-5.96998499,6.61778091,0.38472561,0.02347342,1.96320169,3.30959272,0.09743528,3.67814660
-5.96398199,6.69779132,0.38109961,0.02367287,1.99898726,3.34036253,0.09847310,3.73570197
-5.95797899,6.75076011,0.37768054,0.02378692,2.02785532,3.35743257,0.09909441,3.77641724
-5.95197599,6.77615491,0.37431947,0.02381343,2.04919446,3.36094133,0.09927860,3.80009688
-5.94597299,6.77402865,0.37086011,0.02375201,2.06252667,3.35132813,0.09901748,3.80690654
-5.93996998,6.74502970,0.36714740,0.02360416,2.06752798,3.32932273,0.09831607,3.79737023
-5.93396698,6.69039497,0.36303578,0.02337326,2.06404459,3.29592650,0.09719296,3.77235740
-5.92796398,6.61192653,0.35839698,0.02306459,2.05210420,3.25238659,0.09568017,3.73306104
-5.92196098,6.51195339,0.35312702,0.02268525,2.03192203,3.20016420,0.09382267,3.68096780
-5.91595798,6.39328027,0.34715210,0.02224404,2.00390163,3.14089872,0.09167741,3.61782177
-5.90995498,6.25912607,0.34043331,0.02175128,1.96863043,3.07636939,0.08931195,3.54558364
-5.90395198,6.11305458,0.33296995,0.02121864,1.92687047,3.00845611,0.08680283,3.46638686
-5.89794897,5.95890053,0.32480151,0.02065884,1.87954486,2.93910105,0.08423358,3.38249284
-5.89194597,5.80069345,0.31600822,0.02008546,1.82772060,2.87027243,0.08169252,3.29624658
-5.88594297,5.64258225,0.30671037,0.01951262,1.77258852,2.80393151,0.07927045,3.21003434
-5.87993997,5.48876244,0.29706636,0.01895471,1.71544118,2.74200363,0.07705821,3.12624440
-5.87393697,5.34340799,0.28726974,0.01842612,1.65764953,2.68635368,0.07514426,3.04723185
-5.86793397,5.21060893,0.27754541,0.01794098,1.60063914,2.63876603,0.07361229,2.97528780
-5.86193097,5.09431558,0.26814508,0.01751288,1.54586656,2.60092882,0.07253899,2.91261312
-5.85592796,4.99828957,0.25934221,0.01715470,1.49479656,2.57442181,0.07199196,2.86129672
-5.84992496,4.92606142,0.25142664,0.01687834,1.44888045,2.56070728,0.07202790,2.82329751
-5.84392196,4.88089409,0.24469902,0.01669466,1.40953594,2.56112285,0.07269107,2.80042965
-5.83791896,4.86575154,0.23946515,0.01661324,1.37812840,2.57687539,0.07401209,2.79435004
-5.83191596,4.88327110,0.23603036,0.01664236,1.35595372,2.60903484,0.07600709,2.80654705
-5.82591296,4.93573856,0.23469394,0.01678891,1.34422227,2.65852724,0.07867727,2.83832959
-5.81990995,5.02506466,0.23574378,0.01705835,1.34404402,2.72612602,0.08200886,2.89081562
-5.81390695,5.15276205,0.23945101,0.01745471,1.35641425,2.81244120,0.08597339,2.96491927
-5.80790395,5.31992192,0.24606491,0.01798057,1.38219960,2.91790610,0.09052853,3.06133628
-5.80190095,5.52718985,0.25580780,0.01863714,1.42212426,3.04276167,0.09561912,3.18052733
-5.79589795,5.77474110,0.26887018,0.01942422,1.47675602,3.18703881,0.10117861,3.32269962
-5.78989495,6.06225558,0.28540591,0.02034032,1.54649234,3.35053937,0.10713082,3.48778705
-5.78389195,6.38889377,0.30552754,0.02138260,1.63154645,3.53281687,0.11339189,3.67543001
-5.77788894,6.75327499,0.32930195,0.02254697,1.73193393,3.73315808,0.11987239,3.88495584
-5.77188594,7.15345985,0.35674623,0.02382809,1.84746046,3.95056713,0.12647956,4.11536157
-5.76588294,7.58693932,0.38782411,0.02521938,1.97771129,4.18375357,0.13311959,4.36530065
-5.75987994,8.05063276,0.42244301,0.02671307,2.12204363,4.43112609,0.13969986,4.63307541
-5.75387694,8.54089730,0.46045199,0.02830017,2.27958273,4.69079356,0.14613099,4.91663701
-5.74787394,9.05355117,0.50164077,0.02997052,2.44922285,4.96057457,0.15232888,5.21359479
